sep=,
DeviceTag:,Xsens_DOT_5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-05-05 12:05:01.049 +0200,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 3494048334, -0.59782606, -0.23602493, -0.30674708, 0.70200163, -0.010256786, 0.07545932, -0.070329666, 0
2, 3494065001, -0.5978386, -0.23601685, -0.30669406, 0.70201683, -0.012812433, 0.07248738, -0.0819788, 0
3, 3494081668, -0.59784085, -0.23600827, -0.3066333, 0.70204437, -0.002319841, 0.06360732, -0.07386589, 0
4, 3494098335, -0.59783834, -0.23598255, -0.3065791, 0.70207876, -0.01101606, 0.061653815, -0.07673454, 0
5, 3494115002, -0.5978384, -0.23595439, -0.30650797, 0.7021191, 0.001069286, 0.054631595, -0.08186817, 0
6, 3494131669, -0.5978307, -0.23591717, -0.30643076, 0.702172, -0.020158857, 0.051184356, -0.06635189, 0
7, 3494148336, -0.5978256, -0.23588553, -0.30635095, 0.7022219, -0.038008153, 0.059853192, -0.0752821, 0
8, 3494165003, -0.5978325, -0.23585449, -0.30625167, 0.7022697, -0.035424568, 0.06779684, -0.084303856, 0
9, 3494181670, -0.5978411, -0.23582348, -0.30615088, 0.7023166, -0.036716472, 0.06990323, -0.09387684, 0
10, 3494198337, -0.59785247, -0.23579744, -0.3060503, 0.7023595, -0.035675127, 0.043005235, -0.08801746, 0
11, 3494215004, -0.59785914, -0.23577605, -0.3059504, 0.7024046, -0.031872947, 0.053023644, -0.09105396, 0
12, 3494231671, -0.5978649, -0.23578373, -0.30587253, 0.702431, -0.041807204, 0.04672315, -0.10894394, 0
13, 3494248338, -0.5978731, -0.23578312, -0.30579457, 0.7024582, -0.027046632, 0.047046237, -0.111190796, 0
14, 3494265005, -0.5978852, -0.23579761, -0.30573267, 0.70247006, -0.01640205, 0.0432283, -0.08002758, 0
15, 3494281672, -0.59789884, -0.23580745, -0.3056921, 0.7024728, -0.02966464, 0.050688267, -0.08735561, 0
16, 3494298339, -0.59790176, -0.23582262, -0.30565333, 0.70248204, -0.040154103, 0.05577967, -0.07688236, 0
17, 3494315006, -0.59790736, -0.23583926, -0.3056083, 0.7024912, -0.02271942, 0.068199836, -0.08255291, 0
18, 3494331673, -0.59791076, -0.23586032, -0.30556348, 0.7025009, -0.017952338, 0.057292182, -0.080877304, 0
19, 3494348340, -0.59790814, -0.23586796, -0.30552697, 0.7025163, -0.013402061, 0.05642216, -0.07690239, 0
20, 3494365007, -0.5979154, -0.2358553, -0.30549753, 0.7025271, -0.01996753, 0.056070797, -0.08725929, 0
21, 3494381674, -0.5979114, -0.23584157, -0.3054719, 0.7025463, -0.028789362, 0.074912935, -0.107990265, 0
22, 3494398341, -0.59792304, -0.2358408, -0.30544877, 0.7025468, -0.053332426, 0.031660274, -0.08787441, 0
23, 3494415008, -0.5979413, -0.23585218, -0.30542484, 0.7025379, -0.031829137, 0.073192, -0.091594696, 0
24, 3494431675, -0.59795105, -0.23586877, -0.30539706, 0.70253605, -0.027041268, 0.07394591, -0.088887215, 0
25, 3494448342, -0.5979531, -0.23588459, -0.305364, 0.7025433, -0.019994576, 0.050534043, -0.06912422, 0
26, 3494465009, -0.5979524, -0.23589112, -0.30533838, 0.7025528, -0.014962404, 0.03962136, -0.07247925, 0
27, 3494481676, -0.59795153, -0.23590718, -0.3053223, 0.70255536, -0.02391231, 0.06035498, -0.072730064, 0
28, 3494498343, -0.5979547, -0.23591617, -0.30528364, 0.70256627, -0.037123043, 0.07253465, -0.10370445, 0
29, 3494515010, -0.5979683, -0.23593234, -0.30526516, 0.7025574, -0.034853715, 0.032119595, -0.09910393, 0
30, 3494531677, -0.59797454, -0.23599285, -0.3052776, 0.70252633, -0.06389766, 0.05071073, -0.115576744, 0
31, 3494548344, -0.59797615, -0.23606989, -0.30530423, 0.7024874, -0.019151485, 0.036687415, -0.07928085, 0
32, 3494565011, -0.5979831, -0.23614247, -0.30533168, 0.7024452, -0.011839928, 0.07676217, -0.08469868, 0
33, 3494581678, -0.59799004, -0.2361899, -0.3053504, 0.7024153, -0.008424426, 0.081164934, -0.0741539, 0
34, 3494598345, -0.5980104, -0.23622018, -0.3053321, 0.7023957, -0.02819996, 0.06574287, -0.07369232, 0
35, 3494615012, -0.59802043, -0.23625192, -0.3053071, 0.7023873, -0.020260332, 0.053982627, -0.09440327, 0
36, 3494631679, -0.59802204, -0.2362871, -0.30529562, 0.702379, -0.043531384, 0.057329286, -0.0751791, 0
37, 3494648346, -0.5980324, -0.23631272, -0.30527928, 0.70236874, -0.033342768, 0.060804576, -0.07856178, 0
38, 3494665013, -0.598047, -0.23633322, -0.30526185, 0.70235705, -0.010705824, 0.069275826, -0.08367729, 0
