sep=,
DeviceTag:,Xsens_DOT_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-05-05 11:56:17.859 +0200,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 2970854537, -0.82878214, 0.06885349, -0.25240993, -0.49470907, -0.13659662, 0.0020670479, 0.3509903, 0
2, 2970871204, -0.8287958, 0.06885046, -0.25239617, -0.4946937, -0.1187726, -0.022652311, 0.3472166, 0
3, 2970887871, -0.82883817, 0.06881803, -0.25238985, -0.4946304, -0.109390356, -0.048453026, 0.3420534, 0
4, 2970904538, -0.8288402, 0.06880465, -0.2523666, -0.49464062, -0.10528712, -0.036194347, 0.32584763, 0
5, 2970921205, -0.82885665, 0.06879051, -0.25234127, -0.49462807, -0.12220182, -0.02018065, 0.3315153, 0
6, 2970937872, -0.82886696, 0.06880032, -0.25230494, -0.49462798, -0.11803571, -0.034846116, 0.3431387, 0
7, 2970954539, -0.82889146, 0.068791315, -0.2522799, -0.494601, -0.11897117, -0.02280704, 0.3281374, 0
8, 2970971206, -0.82890314, 0.06877293, -0.25226822, -0.49458975, -0.12761872, -0.04632211, 0.32514668, 0
9, 2970987873, -0.82891494, 0.06876061, -0.25225157, -0.49458033, -0.116016105, -0.04631669, 0.3252144, 0
10, 2971004540, -0.82895905, 0.06874236, -0.2522472, -0.49451107, -0.12917249, -0.040866382, 0.3380232, 0
11, 2971021207, -0.82895017, 0.0687307, -0.25226745, -0.49451733, -0.119758785, -0.020856217, 0.33505535, 0
12, 2971037874, -0.8289253, 0.068722665, -0.25229478, -0.49454606, -0.11203445, -0.018816046, 0.32125854, 0
13, 2971054541, -0.8289236, 0.06871176, -0.2523078, -0.4945439, -0.13414921, -0.037572395, 0.34851742, 0
14, 2971071208, -0.8289219, 0.068710305, -0.25232607, -0.4945376, -0.10738497, -0.041883536, 0.3257103, 0
15, 2971087875, -0.8289223, 0.06871019, -0.25235102, -0.49452418, -0.12973222, -0.019409418, 0.33573818, 0
16, 2971104542, -0.82888985, 0.06871824, -0.25236237, -0.49457157, -0.114734314, -0.04260696, 0.31503963, 0
17, 2971121209, -0.82888824, 0.0687251, -0.25239763, -0.4945553, -0.12126483, -0.026554931, 0.33172607, 0
18, 2971137876, -0.8288828, 0.068706624, -0.25244713, -0.49454197, -0.12310999, -0.030114738, 0.32374477, 0
19, 2971154543, -0.8288779, 0.068693675, -0.2524909, -0.49452943, -0.12010639, -0.013778401, 0.2919941, 0
20, 2971171210, -0.82886904, 0.06867645, -0.25259075, -0.49449563, -0.17565444, -0.05671127, 0.28152466, 0
21, 2971187877, -0.8288277, 0.06866287, -0.25280055, -0.49445984, -0.15705892, -0.07089082, 0.34238052, 0
22, 2971204544, -0.82879686, 0.068675235, -0.2530513, -0.4943818, -0.13259342, -0.062987685, 0.34519863, 0
23, 2971221211, -0.8287332, 0.06871278, -0.25327978, -0.49436605, -0.0995791, -0.026179513, 0.36430454, 0
24, 2971237878, -0.8287049, 0.068733454, -0.25348204, -0.49430692, -0.10832837, -0.02918364, 0.32878304, 0
25, 2971254545, -0.82870466, 0.0687357, -0.25363353, -0.4942292, -0.07887002, -0.017399702, 0.34618855, 0
26, 2971271212, -0.82869077, 0.068742, -0.253725, -0.49420482, -0.07168142, -0.024561672, 0.35314465, 0
27, 2971287879, -0.8286784, 0.06875606, -0.25374907, -0.4942112, -0.09373632, -0.01880962, 0.33560848, 0
