sep=,
DeviceTag:,Xsens_DOT_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-05-05 12:01:19.151 +0200,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 3272160563, -0.76504165, 0.111600615, -0.24717796, -0.5841531, -0.16354409, -0.030845122, 0.3105049, 0
2, 3272177230, -0.7650696, 0.11176155, -0.24714127, -0.5841012, -0.15549073, -0.04926136, 0.26271152, 0
3, 3272193897, -0.76509273, 0.11188348, -0.24706069, -0.5840816, -0.15819769, -0.049693525, 0.27916908, 0
4, 3272210564, -0.7651298, 0.11199294, -0.24696487, -0.5840528, -0.1458727, -0.087023765, 0.3241768, 0
5, 3272227231, -0.76515484, 0.112124145, -0.24689928, -0.5840225, -0.14844757, -0.061176613, 0.39172173, 0
6, 3272243898, -0.7651887, 0.11226468, -0.24685371, -0.5839705, -0.15394567, -0.046197355, 0.32864285, 0
7, 3272260565, -0.76519465, 0.112380356, -0.24684584, -0.5839437, -0.18745385, -0.062571555, 0.29593372, 0
8, 3272277232, -0.7651889, 0.11247442, -0.24684682, -0.5839327, -0.17255059, -0.06729388, 0.36136913, 0
9, 3272293899, -0.765193, 0.11255269, -0.24683064, -0.5839189, -0.18221107, -0.052114338, 0.340024, 0
10, 3272310566, -0.765191, 0.112642124, -0.24684152, -0.58389974, -0.15687299, -0.08185581, 0.32702065, 0
11, 3272327233, -0.76517963, 0.11274201, -0.24686497, -0.5838856, -0.14321807, -0.077245854, 0.32297516, 0
12, 3272343900, -0.7651726, 0.11283247, -0.24685185, -0.58388287, -0.13299823, -0.076787874, 0.3049717, 0
13, 3272360567, -0.76518315, 0.11288047, -0.24680607, -0.583879, -0.1222932, -0.04085895, 0.31034374, 0
14, 3272377234, -0.765199, 0.1128954, -0.2467362, -0.5838848, -0.1449078, -0.059346434, 0.3382454, 0
15, 3272393901, -0.76519376, 0.112942114, -0.24672979, -0.58388555, -0.14718916, -0.07920048, 0.37432194, 0
16, 3272410568, -0.7651744, 0.11304685, -0.24677536, -0.58387136, -0.15028042, -0.048823386, 0.33173275, 0
17, 3272427235, -0.7651502, 0.11314607, -0.24683541, -0.5838585, -0.13920307, -0.033674687, 0.28636646, 0
18, 3272443902, -0.7651589, 0.113177195, -0.24681944, -0.58384764, -0.12142003, -0.020926848, 0.3219185, 0
19, 3272460569, -0.7651754, 0.11316172, -0.24672708, -0.583868, -0.0861763, -0.037210103, 0.31992817, 0
20, 3272477236, -0.765202, 0.113133565, -0.24662845, -0.58388025, -0.079545274, -0.03886041, 0.33217716, 0
21, 3272493903, -0.7652277, 0.11311088, -0.24653816, -0.5838892, -0.086579084, -0.03600358, 0.35825253, 0
22, 3272510570, -0.7652641, 0.11311643, -0.2464413, -0.5838814, -0.12050536, -0.010142571, 0.33300114, 0
23, 3272527237, -0.7652901, 0.113156065, -0.2463733, -0.58386827, -0.1437804, -0.005237579, 0.29806995, 0
24, 3272543904, -0.7653034, 0.1132236, -0.24631917, -0.58386064, -0.13456567, -7.3982787E-4, 0.32519817, 0
25, 3272560571, -0.7653239, 0.11325084, -0.24622914, -0.58386636, -0.10815662, -0.023745792, 0.33085823, 0
26, 3272577238, -0.7653698, 0.11327195, -0.24612226, -0.5838473, -0.08403439, -0.039566264, 0.3472967, 0
27, 3272593905, -0.7654327, 0.11328158, -0.24597104, -0.5838266, -0.11216611, -0.08968558, 0.3614006, 0
