sep=,
DeviceTag:,Xsens_DOT_5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-05-05 11:54:06.685 +0200,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 2839685247, -0.79705375, -0.10841265, -0.35603297, 0.47559386, 0.058064196, 0.07001722, -0.08458996, 0
2, 2839701914, -0.79704416, -0.10840129, -0.3560473, 0.47560194, 0.083517626, 0.06666531, -0.08659458, 0
3, 2839718581, -0.7970359, -0.10839146, -0.3560611, 0.47560775, 0.07106438, 0.06407088, -0.078474045, 0
4, 2839735248, -0.7970302, -0.108370334, -0.35605985, 0.47562304, 0.075149305, 0.0679899, -0.09787464, 0
5, 2839751915, -0.79702723, -0.1083616, -0.35604465, 0.47564128, 0.06692179, 0.046740472, -0.08190346, 0
6, 2839768582, -0.7970306, -0.10834661, -0.35603666, 0.47564512, 0.051827066, 0.07341417, -0.11118221, 0
7, 2839785249, -0.79703546, -0.10833575, -0.35602534, 0.4756479, 0.07485292, 0.06301864, -0.08538914, 0
8, 2839801916, -0.7970423, -0.10832907, -0.3560138, 0.47564667, 0.07483236, 0.05763354, -0.09939003, 0
9, 2839818583, -0.7970346, -0.108332485, -0.3560128, 0.47565943, 0.07891036, 0.06090706, -0.09747982, 0
10, 2839835250, -0.7970317, -0.10833366, -0.35601637, 0.47566125, 0.080719694, 0.06403015, -0.08393192, 0
11, 2839851917, -0.79702693, -0.10834519, -0.3560115, 0.47567028, 0.06911177, 0.047452137, -0.062012672, 0
12, 2839868584, -0.7970237, -0.108344436, -0.3560081, 0.4756783, 0.06883618, 0.061575975, -0.09137535, 0
13, 2839885251, -0.7970172, -0.10833549, -0.3559954, 0.47570077, 0.08381825, 0.07351347, -0.07955837, 0
14, 2839901918, -0.79702294, -0.10831066, -0.3559756, 0.4757116, 0.06617973, 0.06628405, -0.08390522, 0
15, 2839918585, -0.79702216, -0.10829741, -0.35594985, 0.47573537, 0.058639295, 0.06314559, -0.0898447, 0
16, 2839935252, -0.79702264, -0.10827705, -0.3559371, 0.47574878, 0.075442776, 0.045949794, -0.07970619, 0
17, 2839951919, -0.79702103, -0.108273886, -0.3559322, 0.47575584, 0.06671504, 0.06647778, -0.0792284, 0
18, 2839968586, -0.7970139, -0.108269565, -0.35591173, 0.4757841, 0.07660549, 0.055445686, -0.084602356, 0
19, 2839985253, -0.79703015, -0.108243555, -0.35589632, 0.4757743, 0.07387014, 0.06842676, -0.09476757, 0
20, 2840001920, -0.79703873, -0.1082212, -0.35586303, 0.47578987, 0.058102418, 0.06508032, -0.105047226, 0
21, 2840018587, -0.79704696, -0.108183146, -0.35583818, 0.47580338, 0.07163143, 0.057238705, -0.0836916, 0
22, 2840035254, -0.7970548, -0.10815889, -0.35580269, 0.4758222, 0.06711312, 0.062166832, -0.08427811, 0
23, 2840051921, -0.7970618, -0.10813277, -0.35577357, 0.47583824, 0.06788379, 0.06201043, -0.088531494, 0
24, 2840068588, -0.79707134, -0.10810585, -0.3557374, 0.47585532, 0.060453996, 0.05636276, -0.09810352, 0
25, 2840085255, -0.79707056, -0.10809529, -0.35571915, 0.47587246, 0.068065286, 0.04860066, -0.0956831, 0
26, 2840101922, -0.79706895, -0.10808446, -0.35570902, 0.47588548, 0.091925964, 0.060937285, -0.0884285, 0
27, 2840118589, -0.79706466, -0.108068176, -0.355692, 0.47590905, 0.06273651, 0.05839047, -0.09392357, 0
28, 2840135256, -0.7970702, -0.10805023, -0.35566667, 0.47592282, 0.06832389, 0.05643043, -0.095923424, 0
29, 2840151923, -0.7970765, -0.10803585, -0.35563356, 0.47594035, 0.06555098, 0.05280611, -0.087667465, 0
30, 2840168590, -0.7970688, -0.10803176, -0.35562006, 0.47596413, 0.06989273, 0.060150802, -0.1043787, 0
31, 2840185257, -0.7970625, -0.10801559, -0.35559946, 0.47599363, 0.09218211, 0.06676707, -0.078084946, 0
32, 2840201924, -0.79705703, -0.107990794, -0.35559165, 0.47601432, 0.091214746, 0.06251708, -0.09775448, 0
33, 2840218591, -0.7970675, -0.10797537, -0.35557646, 0.47601154, 0.06600695, 0.06862144, -0.08657551, 0
34, 2840235258, -0.7970647, -0.107954234, -0.35555592, 0.4760364, 0.078765966, 0.052615117, -0.08400822, 0
35, 2840251925, -0.7970609, -0.10794459, -0.35554188, 0.47605544, 0.07904357, 0.046806127, -0.080584526, 0
36, 2840268592, -0.7970465, -0.10793285, -0.355543, 0.4760815, 0.07884062, 0.058304586, -0.09662151, 0
