sep=,
DeviceTag:,Xsens_DOT_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-05-05 11:33:38.317 +0200,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1611327347, 0.6874663, 0.08945805, -0.7206044, 0.010894678, -0.023615485, -0.07508426, 0.137146, 0
2, 1611344014, 0.6884467, 0.09028534, -0.71955204, 0.011692749, 0.05477006, -0.15094316, 0.1210804, 0
3, 1611360681, 0.68948835, 0.09120686, -0.71842045, 0.012703179, -0.043690525, -0.18557605, 0.026118279, 0
4, 1611377348, 0.69043875, 0.09219469, -0.7173612, 0.013754462, -0.08011017, -0.16218507, -0.014215469, 0
5, 1611394015, 0.69124717, 0.09319249, -0.7164339, 0.014733555, -0.09576725, -0.16005774, -0.008353233, 0
6, 1611410682, 0.69184256, 0.09410382, -0.71572113, 0.015600687, -0.023586428, -0.09311357, 0.047569275, 0
7, 1611427349, 0.6922, 0.09500129, -0.7152388, 0.01640597, 0.009786291, -0.019972838, 0.091973305, 0
8, 1611444016, 0.6924377, 0.095880866, -0.7148741, 0.017142579, 0.011019189, -0.009159813, 0.06485653, 0
9, 1611460683, 0.69261074, 0.09672367, -0.7145772, 0.017785877, 0.0049414244, -0.058237612, -0.0529356, 0
10, 1611477350, 0.6927614, 0.097555965, -0.7143028, 0.018387271, -3.5449155E-4, -0.105790496, -0.0943861, 0
11, 1611494017, 0.6929154, 0.09833269, -0.71403295, 0.018915392, 0.07521881, -0.13543136, -0.112015724, 0
12, 1611510684, 0.6930441, 0.09905221, -0.71379924, 0.01926268, 0.08532562, -0.12037919, -0.091786385, 0
