sep=,
DeviceTag:,Xsens_DOT_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-05-05 11:38:09.191 +0200,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1882199431, -0.3880747, 0.62751204, 0.37509835, 0.56118006, 0.8693579, 1.8605728, -0.13336658, 0
2, 1882216098, -0.38821483, 0.62737644, 0.3749735, 0.56131816, 0.85105115, 1.8861423, -0.1405716, 0
3, 1882232765, -0.38835508, 0.6272528, 0.3748372, 0.5614503, 0.8980777, 1.8710606, -0.14717388, 0
4, 1882249432, -0.38849407, 0.627127, 0.37471828, 0.56157404, 0.9468075, 1.8521943, -0.14753342, 0
5, 1882266099, -0.3886245, 0.6269927, 0.3745998, 0.5617129, 0.8762697, 1.8654075, -0.15902805, 0
6, 1882282766, -0.3887552, 0.6268763, 0.37445554, 0.5618486, 0.83467984, 1.8591276, -0.15872955, 0
7, 1882299433, -0.38889778, 0.6267648, 0.37429553, 0.5619809, 0.86025876, 1.8110201, -0.12621498, 0
8, 1882316100, -0.38905331, 0.6266487, 0.37414217, 0.5621048, 0.9275391, 1.7609582, -0.10708904, 0
9, 1882332767, -0.38921443, 0.626527, 0.37399524, 0.56222653, 0.8870911, 1.7340349, -0.10730934, 0
10, 1882349434, -0.38937426, 0.6264197, 0.3738448, 0.5623356, 0.8485665, 1.7990241, -0.11729622, 0
11, 1882366101, -0.38955683, 0.62631667, 0.37366265, 0.56244487, 0.89232385, 1.819644, -0.13621998, 0
12, 1882382768, -0.38976237, 0.6262111, 0.37346104, 0.56255376, 0.96704066, 1.8053334, -0.14422607, 0
13, 1882399435, -0.3899724, 0.6261178, 0.3732604, 0.5626453, 0.9046221, 1.7907474, -0.14808273, 0
14, 1882416102, -0.39020652, 0.6260474, 0.37302935, 0.56271476, 0.88492095, 1.7994881, -0.17055988, 0
15, 1882432769, -0.39043722, 0.62598675, 0.3727939, 0.56277823, 0.8878829, 1.7938892, -0.1300726, 0
16, 1882449436, -0.39066663, 0.62592196, 0.37255085, 0.5628521, 0.86323977, 1.80505, -0.12829399, 0
17, 1882466103, -0.39089033, 0.62584686, 0.37233788, 0.5629209, 0.8277725, 1.8337836, -0.12799263, 0
18, 1882482770, -0.39109743, 0.6257749, 0.3721091, 0.5630084, 0.79258287, 1.8057113, -0.12993717, 0
19, 1882499437, -0.39130706, 0.62568593, 0.37190938, 0.5630938, 0.8439039, 1.7919805, -0.10866547, 0
20, 1882516104, -0.39150566, 0.6255889, 0.37172422, 0.56318563, 0.8211609, 1.7509665, -0.09676933, 0
21, 1882532771, -0.39170218, 0.62547916, 0.3715463, 0.5632882, 0.7880312, 1.7707195, -0.10381508, 0
22, 1882549438, -0.39188695, 0.62537366, 0.37136233, 0.56339824, 0.7863305, 1.7772863, -0.1385212, 0
23, 1882566105, -0.39207542, 0.62525916, 0.37119168, 0.5635068, 0.8628778, 1.7452886, -0.10137081, 0
24, 1882582772, -0.39224225, 0.62514824, 0.37102723, 0.5636218, 0.8441484, 1.7696848, -0.12293148, 0
25, 1882599439, -0.39240623, 0.6250348, 0.370865, 0.56374025, 0.7792427, 1.8001139, -0.1253233, 0
26, 1882616106, -0.39256784, 0.6249365, 0.3706929, 0.5638501, 0.78627133, 1.7555884, -0.109954834, 0
27, 1882632773, -0.39272082, 0.6248254, 0.3705335, 0.5639714, 0.8151495, 1.7321361, -0.112342834, 0
28, 1882649440, -0.3928555, 0.624701, 0.37039727, 0.56410486, 0.79313135, 1.7604215, -0.10854149, 0
29, 1882666107, -0.39297462, 0.6245644, 0.37025988, 0.56426316, 0.77627903, 1.7837132, -0.13976288, 0
30, 1882682774, -0.3930724, 0.62442446, 0.37014934, 0.5644224, 0.76499844, 1.7880336, -0.15244389, 0
31, 1882699441, -0.393148, 0.6242771, 0.37007028, 0.5645846, 0.7824745, 1.7447304, -0.13578606, 0
32, 1882716108, -0.39319873, 0.6241204, 0.37000075, 0.56476814, 0.82290953, 1.7642393, -0.13070202, 0
33, 1882732775, -0.3932316, 0.6239535, 0.36995974, 0.5649565, 0.81228566, 1.7687947, -0.11117458, 0
34, 1882749442, -0.39325878, 0.6237798, 0.36992562, 0.5651518, 0.8315985, 1.7701632, -0.13707161, 0
