sep=,
DeviceTag:,Xsens_DOT_5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-05-05 11:42:28.605 +0200,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 2141637953, -0.6917502, -0.013460871, -0.36738184, 0.62155515, -0.055355217, 0.16222708, -0.13553524, 0
2, 2141654620, -0.6917775, -0.013475375, -0.36732823, 0.62155634, -0.035201054, 0.17916569, -0.13234997, 0
3, 2141671287, -0.69184625, -0.013478473, -0.36724383, 0.62152946, -0.026633134, 0.14267784, -0.12413025, 0
4, 2141687954, -0.69195664, -0.013478741, -0.36712483, 0.62147695, -0.0027570324, 0.1642635, -0.1053648, 0
5, 2141704621, -0.6920701, -0.013455186, -0.367003, 0.6214228, 0.007232656, 0.15194708, -0.102807045, 0
6, 2141721288, -0.69215363, -0.013414124, -0.36690924, 0.6213863, 0.004844196, 0.1666341, -0.12592506, 0
7, 2141737955, -0.6922185, -0.013354907, -0.36682114, 0.6213672, -0.031853277, 0.13749808, -0.1253519, 0
8, 2141754622, -0.69222254, -0.013335656, -0.36678207, 0.6213863, -0.002862307, 0.1253422, -0.10817814, 0
9, 2141771289, -0.69224656, -0.0132919345, -0.36679485, 0.6213529, 0.027034115, 0.12516607, -0.09115696, 0
10, 2141787956, -0.6921987, -0.013259752, -0.36690432, 0.6213422, 0.02927595, 0.12114387, -0.099702835, 0
11, 2141804623, -0.6921216, -0.0132368505, -0.36705863, 0.6213374, -0.0019776425, 0.15710436, -0.12504578, 0
12, 2141821290, -0.69202703, -0.013210861, -0.3672226, 0.6213464, 0.019478036, 0.15562294, -0.09029579, 0
13, 2141837957, -0.69193286, -0.013151081, -0.36737275, 0.6213638, -0.004967352, 0.16876328, -0.12014961, 0
14, 2141854624, -0.6918485, -0.013090264, -0.36746317, 0.62140554, -0.038822412, 0.17687508, -0.1288147, 0
15, 2141871291, -0.691766, -0.013024753, -0.36747226, 0.6214934, -0.018870976, 0.1798, -0.13453674, 0
16, 2141887958, -0.691678, -0.012963954, -0.3674555, 0.6216026, -0.040284634, 0.13282603, -0.12979603, 0
17, 2141904625, -0.6916207, -0.012891429, -0.36742267, 0.6216873, 0.0052094166, 0.17604004, -0.12333393, 0
18, 2141921292, -0.6915248, -0.012815908, -0.3673527, 0.6218369, 0.021593811, 0.17102928, -0.102007866, 0
19, 2141937959, -0.69137824, -0.012755878, -0.36728936, 0.6220384, -0.0143513195, 0.12157382, -0.13611889, 0
20, 2141954626, -0.69126767, -0.012697142, -0.36729944, 0.6221565, -0.054666128, 0.118061125, -0.124240875, 0
21, 2141971293, -0.6911627, -0.012677601, -0.36730933, 0.6222678, -0.043443095, 0.13285764, -0.14962292, 0
22, 2141987960, -0.69110096, -0.012707552, -0.3672727, 0.6223573, -0.041402645, 0.1265721, -0.12905788, 0
23, 2142004627, -0.69105697, -0.012730433, -0.36720455, 0.6224459, -0.029418776, 0.1542612, -0.13471317, 0
24, 2142021294, -0.6910513, -0.01275738, -0.3671355, 0.6224923, -0.057394996, 0.1317752, -0.12796402, 0
25, 2142037961, -0.69106597, -0.012784796, -0.3670572, 0.62252164, -0.005440529, 0.16467507, -0.13100529, 0
26, 2142054628, -0.69102395, -0.0127628185, -0.3669497, 0.6226322, 0.023418346, 0.19956088, -0.109093666, 0
27, 2142071295, -0.69099677, -0.012692779, -0.36673716, 0.62278897, -0.038454063, 0.1713922, -0.14992905, 0
28, 2142087962, -0.6909853, -0.012647582, -0.36647645, 0.622956, -0.0814061, 0.13096903, -0.12933254, 0
29, 2142104629, -0.6910444, -0.0126170665, -0.36616716, 0.6230731, -0.06129463, 0.11040593, -0.11272144, 0
30, 2142121296, -0.691139, -0.01255995, -0.3658527, 0.6231541, 0.02533497, 0.16576791, -0.10792446, 0
31, 2142137963, -0.6911853, -0.012492983, -0.36558086, 0.62326354, 0.011972918, 0.111151285, -0.11818218, 0
32, 2142154630, -0.69119984, -0.012437528, -0.36537158, 0.6233711, 0.0018649921, 0.13218987, -0.10401726, 0
33, 2142171297, -0.6911852, -0.012401644, -0.36518624, 0.6234967, -0.014635628, 0.12662569, -0.11561108, 0
34, 2142187964, -0.6912063, -0.012369046, -0.36499614, 0.6235852, -0.04913463, 0.13958552, -0.12528515, 0
35, 2142204631, -0.69125867, -0.012357987, -0.364793, 0.62364626, -0.03984744, 0.117955655, -0.11810112, 0
36, 2142221298, -0.6913388, -0.012375744, -0.36460802, 0.62366515, -0.036463905, 0.06160781, -0.13386822, 0
37, 2142237965, -0.6914153, -0.012421718, -0.36451867, 0.6236316, 0.04330854, 0.0785593, -0.11264801, 0
38, 2142254632, -0.6914438, -0.012468556, -0.36453593, 0.6235891, 0.01981286, 0.094566934, -0.11525917, 0
39, 2142271299, -0.69142383, -0.01257661, -0.3646687, 0.6235314, -0.010178333, 0.111386396, -0.11787701, 0
40, 2142287966, -0.69140303, -0.012678118, -0.36485055, 0.6234461, 0.015486989, 0.1446363, -0.098059654, 0
41, 2142304633, -0.69136834, -0.012757974, -0.36500776, 0.62339085, -0.05451928, 0.16843657, -0.12138367, 0
42, 2142321300, -0.69139755, -0.012814082, -0.3650859, 0.62331146, -0.044166382, 0.13686496, -0.1124897, 0
44, 2142354634, -0.6915398, -0.012922695, -0.3651702, 0.6231022, -0.034152333, 0.100074224, -0.11502266, 0
47, 2142404635, -0.69172317, -0.013181515, -0.3655946, 0.6226442, -0.03852827, 0.1266921, -0.11040211, 0
48, 2142421302, -0.6917842, -0.013301017, -0.36569136, 0.62251693, -0.008122237, 0.1584766, -0.10457897, 0
50, 2142454636, -0.6918558, -0.013272878, -0.36578065, 0.62238556, -0.017608574, 0.14174053, -0.12132263, 0
51, 2142471303, -0.691853, -0.013286354, -0.365817, 0.622367, -0.036260284, 0.08518393, -0.13784122, 0
52, 2142487970, -0.6919192, -0.013343032, -0.36590275, 0.62224185, -0.045351896, 0.08318818, -0.12869453, 0
54, 2142521304, -0.69198096, -0.013441816, -0.3662063, 0.62199223, 0.008940518, 0.17236662, -0.11455536, 0
55, 2142537971, -0.69193375, -0.013444943, -0.36636412, 0.6219518, -0.008749191, 0.17010437, -0.108633995, 0
