sep=,
DeviceTag:,Xsens_DOT_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-05-05 11:32:50.671 +0200,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1563693061, 0.9626373, 0.13330635, 0.14049637, -0.18940294, 0.06535776, 0.08539882, 0.37411308, 0
2, 1563709728, 0.9626332, 0.13334674, 0.14049116, -0.18939891, 0.043437954, 0.07004963, 0.37550735, 0
3, 1563726395, 0.96263695, 0.13336074, 0.14047605, -0.1893821, 0.021185452, 0.026527468, 0.36811733, 0
4, 1563743062, 0.96263635, 0.13337146, 0.14043775, -0.18940493, 0.035668757, 0.03220598, 0.3716812, 0
5, 1563759729, 0.9626337, 0.13337661, 0.1404022, -0.18944103, 0.09703748, 0.06323754, 0.35881805, 0
6, 1563776396, 0.96263146, 0.13338563, 0.14035726, -0.18947944, 0.060485456, 0.09568054, 0.35139084, 0
7, 1563793063, 0.9626368, 0.13338193, 0.14031316, -0.18948802, 0.0033136914, 0.09171245, 0.36374187, 0
8, 1563809730, 0.96264803, 0.13336988, 0.14026438, -0.18947506, 0.052238666, 0.06307432, 0.38562775, 0
9, 1563826397, 0.96265507, 0.13334534, 0.14020443, -0.18950146, 0.0770048, 0.06982665, 0.40109825, 0
10, 1563843064, 0.96266234, 0.13332638, 0.1401534, -0.18951505, 0.041348107, 0.08200302, 0.35638046, 0
11, 1563859731, 0.9626681, 0.13332343, 0.14011747, -0.18951496, 0.07355029, 0.08130317, 0.39603996, 0
12, 1563876398, 0.96267265, 0.13331755, 0.14009714, -0.1895107, 0.118016966, 0.095608786, 0.39913082, 0
13, 1563893065, 0.9626714, 0.13331236, 0.14008959, -0.18952614, 0.09950372, 0.115084894, 0.37952423, 0
14, 1563909732, 0.96267414, 0.13332132, 0.14007671, -0.1895158, 0.022211488, 0.13405631, 0.36133003, 0
15, 1563926399, 0.96267366, 0.13335174, 0.14007458, -0.18949857, 0.01906465, 0.118145816, 0.35607052, 0
16, 1563943066, 0.9626725, 0.13337836, 0.14008397, -0.18947873, 0.063323006, 0.11333149, 0.38051796, 0
17, 1563959733, 0.96266955, 0.13340467, 0.14008746, -0.18947193, 0.098440915, 0.05279292, 0.38371086, 0
