sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:45:16_229 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1428077208,161.081650,-84.937943,-13.422845,0.172443,0.267225,0.027002
2,1428093875,160.739380,-84.917976,-13.013558,0.095314,0.106614,0.177295
3,1428110542,160.296875,-84.895508,-12.507853,0.134925,-0.011154,0.116559
4,1428127209,159.839478,-84.879295,-11.996535,0.123657,0.001929,-0.010867
5,1428143876,159.519318,-84.867676,-11.595377,0.130061,0.043701,-0.027062
6,1428160543,159.490631,-84.866074,-11.469133,0.227755,0.093896,-0.052322
7,1428177210,159.704697,-84.861801,-11.599772,0.278633,0.153459,0.065056
8,1428193877,160.001175,-84.866837,-11.836789,0.193721,0.042421,0.128308
9,1428210544,160.319061,-84.878677,-12.084434,-0.039914,-0.144086,0.105814
10,1428227211,160.609512,-84.903999,-12.307828,-0.050265,-0.326076,0.039257
11,1428243878,160.818146,-84.926498,-12.470455,0.028083,-0.315092,0.000065
12,1428260545,160.960251,-84.942825,-12.591867,0.013654,-0.204510,-0.025628
13,1428277212,161.115906,-84.958961,-12.736833,0.051698,-0.093719,0.001692
14,1428293879,161.314423,-84.973251,-12.929449,0.072989,-0.017512,-0.012321
15,1428310546,161.447189,-84.985077,-13.034946,-0.070610,0.010587,0.083374
16,1428327213,161.394592,-84.998489,-12.905394,-0.025066,-0.098556,0.058943
17,1428343880,161.195328,-84.999702,-12.596783,0.010082,-0.193300,-0.030878
18,1428360547,160.920181,-84.992226,-12.190747,0.037454,-0.226987,-0.041636
19,1428377214,160.637146,-84.985855,-11.790862,0.063877,-0.210519,-0.018734
20,1428393881,160.369553,-84.978943,-11.424745,0.037808,-0.177168,0.067299
21,1428410548,160.119186,-84.978088,-11.069731,0.046125,-0.195868,0.050113
22,1428427215,159.884506,-84.972038,-10.716050,0.043918,-0.197616,0.028101
23,1428443882,159.590195,-84.962891,-10.312618,0.032867,-0.169858,0.090441
24,1428460549,159.329758,-84.965111,-9.946940,0.130669,-0.104541,0.033818
25,1428477216,159.221985,-84.971649,-9.747827,0.144222,-0.039025,-0.021278
26,1428493883,159.282623,-84.972427,-9.699458,0.122207,-0.086545,0.043447
27,1428510550,159.374146,-84.974998,-9.684014,0.061317,-0.199848,0.155425
28,1428527217,159.383682,-84.983627,-9.622966,0.056816,-0.272629,0.062848
29,1428543884,159.368179,-84.995514,-9.539309,0.049923,-0.293500,-0.031975
30,1428560551,159.433136,-85.007980,-9.533884,0.069740,-0.280772,-0.069660
31,1428577218,159.559265,-85.017952,-9.611785,0.051992,-0.248527,-0.013315
32,1428593885,159.689117,-85.026772,-9.711761,0.005168,-0.234327,0.084924
33,1428610552,159.744919,-85.038414,-9.743936,-0.012345,-0.271651,0.097256
34,1428627219,159.689590,-85.040939,-9.665113,-0.041582,-0.275671,0.052567
35,1428643886,159.521973,-85.045280,-9.481482,0.041056,-0.248685,0.010365
36,1428660553,159.343475,-85.048058,-9.285687,0.074773,-0.188513,-0.020728
37,1428677220,159.286102,-85.050423,-9.207036,0.093433,-0.179647,-0.021502
38,1428693887,159.351517,-85.055023,-9.273159,0.118108,-0.171532,0.108172
39,1428710554,159.476730,-85.072403,-9.433837,0.151955,-0.120488,0.114190
40,1428727221,159.670578,-85.090088,-9.667305,0.072771,-0.132110,0.013036
41,1428743888,159.922760,-85.110237,-9.949226,0.025427,-0.181299,-0.004429
42,1428760555,160.261505,-85.138725,-10.325051,0.083581,-0.167371,0.032601
43,1428777222,160.657486,-85.160782,-10.781771,0.137136,-0.104330,0.037439
44,1428793889,161.070618,-85.180008,-11.248732,0.061596,-0.111404,0.077936
45,1428810556,161.486877,-85.197800,-11.695581,-0.023883,-0.252013,0.085073
46,1428827223,161.837845,-85.218163,-12.071858,-0.009636,-0.307317,-0.018827
47,1428843890,162.122635,-85.237946,-12.393142,0.019578,-0.250857,-0.041797
48,1428860557,162.400009,-85.252945,-12.699537,-0.027339,-0.207458,-0.023575
49,1428877224,162.717590,-85.261948,-13.027841,-0.077986,-0.255224,0.022861
50,1428893891,162.971512,-85.266251,-13.285645,-0.097364,-0.350739,0.099548
51,1428910558,163.011871,-85.273293,-13.346967,-0.065990,-0.347886,0.073507
52,1428927225,162.944626,-85.282295,-13.309740,-0.003713,-0.302669,-0.045348
53,1428943892,162.929581,-85.288483,-13.325925,0.047759,-0.208683,-0.049027
54,1428960559,163.032898,-85.291527,-13.466824,0.037589,-0.109401,0.007856
55,1428977226,163.173798,-85.298264,-13.648411,0.071230,-0.072295,0.077038
56,1428993893,163.314804,-85.305435,-13.823019,0.090920,-0.113514,0.063000
57,1429010560,163.391830,-85.307648,-13.921701,0.045102,-0.204735,0.071490
58,1429027227,163.373703,-85.315422,-13.937534,-0.026263,-0.274003,0.064136
59,1429043894,163.341278,-85.330833,-13.955449,0.012828,-0.235851,-0.017191
60,1429060561,163.367889,-85.337807,-14.039147,0.087517,-0.133806,-0.014760
61,1429077228,163.481918,-85.344147,-14.204781,0.065733,-0.082169,0.021203
62,1429093895,163.658203,-85.352699,-14.417549,0.035097,-0.062488,0.085003
63,1429110562,163.840134,-85.366165,-14.628135,0.054888,-0.093334,0.070020
64,1429127229,164.014755,-85.379120,-14.837529,0.083538,-0.070745,0.054626
65,1429143896,164.236847,-85.390755,-15.089223,0.081820,-0.071894,0.043582
66,1429160563,164.526245,-85.402626,-15.403694,0.101119,-0.055356,0.035556
67,1429177230,164.937714,-85.413284,-15.821854,0.065566,-0.054119,0.042559
68,1429193897,165.365402,-85.421104,-16.254755,0.079429,-0.095491,0.051989
69,1429210564,165.783295,-85.430954,-16.683870,0.050009,-0.150843,0.051502
70,1429227231,166.205612,-85.450890,-17.126112,0.012603,-0.182641,0.042307
71,1429243898,166.714890,-85.472466,-17.655149,0.032118,-0.169560,-0.001096
72,1429260565,167.317505,-85.489159,-18.273180,0.038555,-0.138691,-0.035556
73,1429277232,167.984482,-85.499023,-18.942997,-0.002324,-0.154617,0.068698
74,1429293899,168.607162,-85.510399,-19.575256,-0.013915,-0.196496,0.068175
75,1429310566,169.145386,-85.523590,-20.133257,-0.019538,-0.247646,0.051363
76,1429327233,169.609131,-85.543411,-20.620165,0.021363,-0.266926,-0.010018
77,1429343900,170.059921,-85.560020,-21.098066,0.045724,-0.249946,-0.024946
78,1429360567,170.475769,-85.569336,-21.551262,0.059192,-0.178374,0.038908
79,1429377234,170.813614,-85.576057,-21.937674,0.026660,-0.162345,0.056912
80,1429393901,171.093613,-85.582840,-22.267090,-0.015392,-0.193414,0.031803
81,1429410568,171.347214,-85.592293,-22.585634,0.051187,-0.184868,0.018590
82,1429427235,171.595032,-85.607292,-22.906372,0.093385,-0.140538,0.003871
83,1429443902,171.851639,-85.618584,-23.243952,0.110891,-0.078031,0.033273
84,1429460569,172.150879,-85.628342,-23.626623,0.138929,-0.004023,0.044108
85,1429477236,172.512833,-85.633057,-24.059652,0.110634,0.055078,0.078403
86,1429493903,172.901138,-85.641350,-24.510126,0.101640,0.041930,0.064976
87,1429510570,173.219345,-85.649315,-24.879681,0.090232,0.003322,0.069156
88,1429527237,173.525955,-85.662254,-25.231047,0.088728,-0.077271,0.028831
89,1429543904,173.836487,-85.675636,-25.591675,0.096222,-0.088154,-0.045770
90,1429560571,174.154953,-85.679222,-25.949301,0.048445,-0.075866,0.020266
91,1429577238,174.375626,-85.679581,-26.201508,-0.063977,-0.100385,0.071756
92,1429593905,174.433792,-85.685570,-26.279230,-0.078381,-0.121440,0.017037
93,1429610572,174.372696,-85.690796,-26.224186,-0.018514,-0.140086,-0.034739
94,1429627239,174.242081,-85.695343,-26.087006,0.046154,-0.082903,-0.065829
95,1429643906,174.064621,-85.692795,-25.896433,0.054138,-0.011273,-0.004113
96,1429660573,173.846390,-85.684708,-25.645237,0.047655,-0.042641,0.069540
97,1429677240,173.514557,-85.679855,-25.267982,0.007357,-0.126225,0.053741
98,1429693907,173.091904,-85.675140,-24.777359,-0.005040,-0.177865,-0.017077
99,1429710574,172.556351,-85.666771,-24.167723,-0.000748,-0.164466,0.014012
100,1429727241,171.946671,-85.654137,-23.492235,0.015771,-0.152551,0.027768
101,1429743908,171.336502,-85.646034,-22.839394,-0.011857,-0.150625,0.041865
102,1429760575,170.775101,-85.644325,-22.262985,0.030459,-0.141445,0.065223
103,1429777242,170.240479,-85.645317,-21.734879,0.132519,-0.032656,0.026939
104,1429793909,169.814758,-85.645943,-21.311714,0.207656,0.042315,0.020435
105,1429810576,169.503738,-85.644012,-20.999058,0.133204,0.117770,0.071923
106,1429827243,169.240143,-85.640457,-20.704758,0.087651,0.060798,0.075102
107,1429843910,169.041016,-85.640457,-20.465218,0.102309,-0.032432,0.016678
108,1429860577,168.904022,-85.640099,-20.285713,0.043334,-0.071574,0.022685
109,1429877244,168.810318,-85.645264,-20.159115,0.033995,-0.066720,0.022781
110,1429893911,168.799881,-85.652473,-20.121330,0.097685,-0.055312,0.031501
111,1429910578,168.835815,-85.658150,-20.134216,0.103292,-0.007117,0.060563
112,1429927245,168.900894,-85.663879,-20.158279,0.058566,-0.024618,0.082476
