sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:45:16_235 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1428093875,-8.087572,-84.071304,136.250031,0.293973,-0.016617,0.246396
2,1428110542,-8.212507,-84.070244,136.427673,0.035163,-0.201610,0.228307
3,1428127209,-8.321741,-84.071136,136.556168,0.064189,-0.283680,0.084270
4,1428143876,-8.312050,-84.079041,136.553360,0.281011,-0.033108,0.078253
5,1428160543,-8.081957,-84.098007,136.364243,0.540755,0.122903,0.039136
6,1428177210,-7.579332,-84.110146,135.974609,0.417040,0.106621,0.128216
7,1428193877,-6.915971,-84.107414,135.440338,0.141330,-0.252771,0.209817
8,1428210544,-6.284250,-84.097412,134.891678,-0.083786,-0.343190,0.196096
9,1428227211,-5.764142,-84.080040,134.414993,-0.083296,-0.310883,0.131217
10,1428243878,-5.284445,-84.067566,133.958206,-0.103953,-0.302264,0.083446
11,1428260545,-4.782189,-84.061226,133.465424,0.074995,-0.237052,0.100554
12,1428277212,-4.239775,-84.054565,132.960159,0.127106,-0.098346,0.087857
13,1428293879,-3.667698,-84.044777,132.453552,0.119346,-0.157400,0.124913
14,1428310546,-3.173505,-84.029099,132.039688,-0.017142,-0.261454,0.182797
15,1428327213,-2.746461,-84.014374,131.683517,-0.110386,-0.416145,0.199224
16,1428343880,-2.406176,-83.999458,131.406738,-0.075916,-0.353212,0.121069
17,1428360547,-2.085873,-83.986473,131.150940,-0.016754,-0.278872,0.061416
18,1428377214,-1.777051,-83.974815,130.904251,0.018064,-0.230184,0.083007
19,1428393881,-1.491476,-83.957596,130.676971,0.054341,-0.184893,0.170953
20,1428410548,-1.252516,-83.932793,130.503586,0.061696,-0.252285,0.168579
21,1428427215,-1.007698,-83.914696,130.315170,0.042149,-0.272101,0.143442
22,1428443882,-0.736638,-83.899506,130.103195,0.125781,-0.166586,0.158124
23,1428460549,-0.411937,-83.885704,129.846085,0.139069,-0.139030,0.092460
24,1428477216,-0.032459,-83.875420,129.537857,0.174324,-0.193364,0.073300
25,1428493883,0.364982,-83.860588,129.204559,0.184756,-0.139283,0.143332
26,1428510550,0.757859,-83.840660,128.885590,0.059374,-0.176767,0.177246
27,1428527217,1.144627,-83.822067,128.564102,-0.051269,-0.354189,0.162949
