sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:45:16_238 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1428077208,0.950181,0.826342,14.504981,-0.135276,-0.054136,0.378208
2,1428093875,0.952622,0.825523,14.505448,-0.144856,-0.044261,0.354712
3,1428110542,0.954245,0.824226,14.505433,-0.131497,-0.042650,0.361580
4,1428127209,0.956343,0.825139,14.505411,-0.134374,-0.049192,0.364223
5,1428143876,0.957892,0.825721,14.505365,-0.125401,-0.042667,0.350962
6,1428160543,0.960673,0.825128,14.504539,-0.124952,-0.048442,0.353024
7,1428177210,0.964112,0.825317,14.504028,-0.138465,-0.042297,0.353374
8,1428193877,0.967100,0.825019,14.503538,-0.138973,-0.048673,0.380639
9,1428210544,0.969496,0.825519,14.502908,-0.136449,-0.055108,0.357327
10,1428227211,0.971909,0.826083,14.502095,-0.140400,-0.037272,0.391015
11,1428243878,0.973159,0.825805,14.502007,-0.130706,-0.049954,0.357941
12,1428260545,0.974841,0.826080,14.501162,-0.120447,-0.051217,0.377812
13,1428277212,0.976823,0.824484,14.501434,-0.133235,-0.053738,0.371300
14,1428293879,0.979654,0.821548,14.756845,-0.119782,-0.050826,0.366088
15,1428310546,0.982655,0.822379,14.756832,-0.126343,-0.047912,0.368858
16,1428327213,0.985487,0.821982,14.757189,-0.127500,-0.046015,0.358384
17,1428343880,0.987000,0.821397,14.756342,-0.113554,-0.038715,0.375481
18,1428360547,0.990056,0.821251,14.755977,-0.134269,-0.039636,0.380681
19,1428377214,0.991932,0.820480,14.756501,-0.114209,-0.044344,0.399385
20,1428393881,0.994432,0.820106,14.756130,-0.122096,-0.042343,0.373792
21,1428410548,0.997338,0.818834,14.756305,-0.123086,-0.039451,0.390444
22,1428427215,0.999091,0.818616,14.755527,-0.117303,-0.043319,0.366758
23,1428443882,1.000785,0.817862,14.756216,-0.119373,-0.039446,0.362674
24,1428460549,1.002524,0.817667,14.755867,-0.113374,-0.044520,0.374890
25,1428477216,1.005440,0.816274,14.756519,-0.123317,-0.051493,0.374332
26,1428493883,1.008001,0.815658,14.756250,-0.124454,-0.028811,0.375856
27,1428510550,1.008969,0.813516,14.755255,-0.124222,-0.031557,0.379120
28,1428527217,1.011526,0.813423,14.755190,-0.124088,-0.049818,0.370299
29,1428543884,1.013557,0.814169,14.754270,-0.124869,-0.049155,0.378771
30,1428560551,1.015447,0.814075,14.753341,-0.117214,-0.039348,0.371760
31,1428577218,1.017696,0.814273,14.752975,-0.111869,-0.048256,0.376732
32,1428593885,1.021062,0.814477,14.753270,-0.123933,-0.038519,0.370668
33,1428610552,1.022904,0.813891,14.752635,-0.123858,-0.035736,0.370264
34,1428627219,1.025187,0.814061,14.752497,-0.120130,-0.047473,0.361247
35,1428643886,1.027352,0.814888,14.752199,-0.109212,-0.050034,0.364502
