sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:45:56_933 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1468761355,11.144479,31.183905,150.185287,0.024998,0.047017,-0.445218
2,1468778022,11.124588,31.210440,150.170090,0.087699,0.033617,-0.393960
3,1468794689,11.113363,31.231300,150.162796,0.121022,0.014272,-0.409963
4,1468811356,11.107803,31.245502,150.159058,0.087469,0.017845,-0.382508
5,1468828023,11.097645,31.256603,150.152313,0.054039,0.029755,-0.416603
6,1468844690,11.078689,31.270279,150.142120,0.026313,0.048949,-0.394823
7,1468861357,11.056778,31.287071,150.128479,0.064391,0.036143,-0.401507
8,1468878024,11.035284,31.302082,150.115936,0.089401,0.019926,-0.389637
9,1468894691,11.013685,31.311193,150.104614,0.117287,0.037245,-0.391252
10,1468911358,10.999459,31.313799,150.097992,0.115644,0.017352,-0.434213
11,1468928025,10.989660,31.315100,150.093689,0.055579,0.069605,-0.441097
12,1468944692,10.972402,31.323071,150.083878,0.011961,0.061571,-0.444458
13,1468961359,10.956171,31.334063,150.073746,0.118267,0.049779,-0.408671
14,1468978026,10.947906,31.343178,150.071777,0.116422,0.019915,-0.403834
15,1468994693,10.942834,31.346300,150.072159,0.090744,0.015097,-0.403749
16,1469011360,10.937659,31.348038,150.070801,0.048796,0.043298,-0.438301
17,1469028027,10.922723,31.353933,150.061783,0.024284,0.042571,-0.414219
18,1469044694,10.904567,31.361870,150.051163,0.046234,0.055286,-0.388128
19,1469061361,10.889556,31.370089,150.042603,0.124352,0.050939,-0.413831
20,1469078028,10.884068,31.373358,150.041214,0.111927,0.027768,-0.400146
21,1469094695,10.882625,31.372200,150.042984,0.095593,0.012299,-0.404756
22,1469111362,10.879073,31.368761,150.042557,0.063013,0.055205,-0.441824
23,1469128029,10.872150,31.369888,150.038620,0.047922,0.032488,-0.445198
24,1469144696,10.862750,31.373587,150.034973,0.065296,0.033917,-0.400975
25,1469161363,10.852166,31.376312,150.031128,0.109821,0.017989,-0.413836
26,1469178030,10.841146,31.375877,150.026901,0.080749,0.029612,-0.416950
27,1469194697,10.834370,31.372169,150.025101,0.081947,0.054663,-0.411743
28,1469211364,10.829087,31.372910,150.023407,0.023212,0.080441,-0.440046
29,1469228031,10.823165,31.382780,150.020264,0.041164,0.051858,-0.432586
30,1469244698,10.815679,31.392267,150.017456,0.083973,0.014669,-0.414367
31,1469261365,10.807482,31.398338,150.014877,0.088075,0.023622,-0.399858
32,1469278032,10.801838,31.398994,150.013977,0.117758,0.010121,-0.409417
33,1469294699,10.798820,31.391239,150.014557,0.086145,0.009762,-0.412185
34,1469311366,10.796663,31.381035,150.017654,0.071606,0.042419,-0.431086
35,1469328033,10.794579,31.372862,150.020554,0.076848,0.045317,-0.416015
36,1469344700,10.795519,31.366753,150.024307,0.081788,0.044593,-0.407969
37,1469361367,10.801146,31.358051,150.032501,0.100245,0.043570,-0.413031
38,1469378034,10.809567,31.344511,150.043076,0.097502,0.023882,-0.421412
39,1469394701,10.817850,31.331034,150.053253,0.043317,0.035292,-0.442416
40,1469411368,10.821794,31.321268,150.057373,0.049230,0.060027,-0.439116
41,1469428035,10.825569,31.319019,150.061569,0.052158,0.062988,-0.434553
42,1469444702,10.827480,31.323105,150.062820,0.060161,0.059288,-0.418226
43,1469461369,10.832510,31.326584,150.066544,0.117868,0.036420,-0.414185
44,1469478036,10.840452,31.327654,150.072433,0.078221,0.014312,-0.423760
45,1469494703,10.846965,31.327005,150.077698,0.082951,0.032048,-0.429125
46,1469511370,10.855835,31.325748,150.084229,0.093907,0.050570,-0.414241
47,1469528037,10.864729,31.324409,150.090622,0.056519,0.036618,-0.420773
48,1469544704,10.869408,31.325378,150.094238,0.050749,0.021255,-0.435819
49,1469561371,10.871850,31.325262,150.096527,0.071914,0.018790,-0.415443
50,1469578038,10.874462,31.324707,150.100021,0.087974,0.027229,-0.414482
51,1469594705,10.877746,31.322538,150.104492,0.058701,0.033429,-0.425131
52,1469611372,10.875152,31.322746,150.104233,0.010174,0.041855,-0.439249
53,1469628039,10.866783,31.327944,150.102570,0.069267,0.053894,-0.418393
54,1469644706,10.860021,31.333603,150.100739,0.078087,0.022370,-0.415909
55,1469661373,10.850636,31.336775,150.099060,0.098784,0.017377,-0.420764
56,1469678040,10.842631,31.334208,150.099564,0.096757,0.011900,-0.416617
