sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:48:56_006 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1647864937,145.428741,-84.687912,20.407211,0.123762,0.072137,0.022264
2,1647881604,145.330246,-84.689575,20.515022,0.138770,0.097956,0.051304
3,1647898271,145.245087,-84.687294,20.623812,0.093187,0.049213,-0.029675
4,1647914938,145.220123,-84.683716,20.670219,0.095645,0.081387,0.003394
5,1647931605,145.190659,-84.684822,20.709118,0.155514,0.081561,0.042658
6,1647948272,145.117966,-84.688431,20.795507,0.148201,0.089548,0.025470
7,1647964939,145.028763,-84.684563,20.877245,0.140669,0.016254,-0.003714
8,1647981606,144.973511,-84.676460,20.942894,0.133869,-0.017030,0.041365
9,1647998273,144.940796,-84.671890,20.978971,0.153661,0.091948,-0.000380
10,1648014940,144.913223,-84.666306,21.012041,0.102047,0.148966,-0.014222
11,1648031607,144.900070,-84.661308,21.052416,0.067092,0.123232,0.002217
12,1648048274,144.894882,-84.669434,21.077534,0.120898,0.064454,0.066355
13,1648064941,144.861618,-84.679993,21.159641,0.169058,0.030221,-0.012132
14,1648081608,144.932358,-84.678146,21.116825,0.190652,0.039619,0.002433
15,1648098275,145.043533,-84.673737,21.023319,0.089797,0.031592,-0.005711
16,1648114942,145.121124,-84.672813,20.958954,0.062532,-0.098549,-0.001555
17,1648131609,145.163849,-84.672302,20.898233,0.073191,-0.087037,0.033298
18,1648148276,145.122910,-84.671303,20.899565,0.160619,0.029804,0.023030
19,1648164943,145.131180,-84.667366,20.855516,0.060969,0.119209,0.037094
20,1648181610,145.182190,-84.667885,20.805159,0.015271,0.133808,0.016321
21,1648198277,145.222672,-84.672188,20.770079,0.073048,0.119209,-0.015420
22,1648214944,145.242691,-84.670532,20.758652,0.139303,0.113154,-0.019232
23,1648231611,145.265533,-84.668549,20.741264,0.086994,0.080616,0.009748
24,1648248278,145.290848,-84.667702,20.719505,0.070842,0.001558,0.032634
25,1648264945,145.371460,-84.667038,20.593979,0.128022,-0.013766,-0.005504
26,1648281612,145.398468,-84.665169,20.529100,0.182420,0.026925,0.020940
27,1648298279,145.402298,-84.664688,20.486801,0.072974,0.070885,0.017763
28,1648314946,145.399734,-84.663406,20.459555,0.015064,0.041857,-0.002336
29,1648331613,145.388641,-84.664474,20.459328,0.074243,0.099929,0.036899
30,1648348280,145.349060,-84.660980,20.493467,0.147608,0.096201,-0.007446
31,1648364947,145.343033,-84.650826,20.472023,0.124076,0.054568,-0.009399
32,1648381614,145.256882,-84.640976,20.539783,0.058067,0.022091,-0.012678
33,1648398281,145.119003,-84.630714,20.675398,0.052272,0.025583,0.000952
34,1648414948,144.947083,-84.617958,20.829290,0.194710,0.073207,-0.011678
35,1648431615,144.836441,-84.601921,20.935335,0.129679,0.155598,0.076479
36,1648448282,144.717773,-84.592751,21.033325,0.053650,0.087674,0.051787
37,1648464949,144.646439,-84.586693,21.097918,0.077559,0.098425,-0.017865
38,1648481616,144.597717,-84.577980,21.121439,0.098671,0.086220,-0.039516
39,1648498283,144.530701,-84.568840,21.165337,0.123282,0.055866,-0.029306
40,1648514950,144.496063,-84.558571,21.169189,0.101548,0.056897,0.059498
41,1648531617,144.364685,-84.553635,21.299213,0.121066,0.106526,0.033747
42,1648548284,144.232025,-84.550545,21.428225,0.152476,0.205064,0.019959
43,1648564951,144.139404,-84.537544,21.531679,0.139177,0.199832,0.016799
44,1648581618,144.049545,-84.534714,21.611853,0.066101,0.072916,0.044641
45,1648598285,143.982101,-84.534348,21.702448,0.130078,-0.000414,-0.029948
46,1648614952,143.895386,-84.530342,21.822851,0.155542,0.063694,-0.007989
47,1648631619,143.843521,-84.527222,21.880768,0.102816,0.056577,0.039244
48,1648648286,143.823639,-84.526863,21.916103,0.010798,0.073619,0.019152
49,1648664953,143.766632,-84.530342,21.999559,0.127664,0.022210,-0.016825
50,1648681620,143.762192,-84.525398,22.003639,0.112996,-0.008660,-0.019671
51,1648698287,143.728333,-84.518600,22.012972,0.057275,-0.013291,0.010520
52,1648714954,143.688080,-84.511238,22.024998,0.040899,0.005107,0.056223
53,1648731621,143.603394,-84.512878,22.087694,0.121066,0.052735,0.046160
54,1648748288,143.453781,-84.510239,22.225176,0.167026,0.040749,-0.057338
55,1648764955,143.422821,-84.493805,22.253456,0.123183,0.130114,0.008423
56,1648781622,143.421799,-84.487541,22.246004,0.008447,0.193856,0.037425
57,1648798289,143.366257,-84.491173,22.310127,0.070364,0.128316,0.017367
58,1648814956,143.322144,-84.493340,22.371881,0.143184,0.015144,0.009210
59,1648831623,143.281464,-84.488792,22.409037,0.172076,-0.017889,-0.003391
60,1648848290,143.267731,-84.477242,22.421917,0.067396,0.047790,0.009046
61,1648864957,143.265167,-84.470398,22.450249,0.027637,0.091550,0.023914
62,1648881624,143.205811,-84.467743,22.521009,0.073053,0.047825,0.020923
63,1648898291,143.115707,-84.466751,22.612564,0.137604,0.003619,0.044845
64,1648914958,143.042511,-84.465904,22.696941,0.159351,0.018901,-0.001672
65,1648931625,143.004761,-84.460342,22.754141,0.063385,0.047807,-0.008017
66,1648948292,142.931931,-84.454369,22.817436,-0.022046,0.036307,-0.001067
67,1648964959,142.886841,-84.453697,22.855335,0.091197,0.044742,0.024715
68,1648981626,142.812241,-84.452248,22.933136,0.129960,0.076314,0.039524
69,1648998293,142.760818,-84.452110,22.990639,0.120157,0.040028,-0.001704
70,1649014960,142.811203,-84.445152,22.931978,0.021223,0.026128,-0.004461
71,1649031627,142.811188,-84.448334,22.925074,0.083176,-0.008763,0.012406
72,1649048294,142.756317,-84.448296,22.999794,0.130655,0.007584,0.001124
73,1649064961,142.740387,-84.446388,22.997473,0.097551,0.091600,0.027782
74,1649081628,142.705841,-84.449532,23.053108,0.052916,0.079260,-0.005987
75,1649098295,142.727234,-84.450272,23.058578,0.107415,0.080406,0.027504
76,1649114962,142.655685,-84.454514,23.121693,0.151739,0.098184,0.021842
77,1649131629,142.668289,-84.446701,23.117338,0.104499,0.141335,0.008664
78,1649148296,142.667114,-84.443848,23.163841,0.074128,0.144848,0.048366
79,1649164963,142.671234,-84.450523,23.180687,0.039846,0.059935,0.016959
80,1649181630,142.703323,-84.460411,23.188236,0.098128,-0.000763,0.009385
81,1649198297,142.694794,-84.477066,23.223787,0.208726,0.006349,0.020751
82,1649214964,142.686523,-84.482605,23.247953,0.090028,-0.033361,-0.035213
83,1649231631,142.675583,-84.482887,23.257765,0.009096,-0.041435,-0.015964
84,1649248298,142.644272,-84.482361,23.318274,0.025708,-0.020715,0.046110
85,1649264965,142.572891,-84.482925,23.370047,0.123267,0.075686,0.042275
86,1649281632,142.469330,-84.483070,23.465752,0.041378,0.114607,0.037873
87,1649298299,142.371216,-84.487083,23.606911,0.033786,0.087347,-0.001103
88,1649314966,142.297531,-84.493454,23.701683,0.111245,0.111007,0.018433
89,1649331633,142.190948,-84.504211,23.801840,0.086110,0.144796,0.001842
90,1649348300,142.148224,-84.508057,23.822065,0.090836,0.091756,0.005597
91,1649364967,142.084183,-84.517960,23.870296,0.085191,0.050105,0.084747
92,1649381634,141.959549,-84.536324,24.013954,0.092700,0.088157,0.007031
93,1649398301,141.814987,-84.543724,24.207458,0.127737,0.017419,-0.021338
94,1649414968,141.733383,-84.541962,24.284575,0.009949,0.048957,-0.022997
95,1649431635,141.686844,-84.535103,24.345871,-0.001809,0.028261,0.059223
96,1649448302,141.483826,-84.527618,24.543242,0.058043,-0.124199,0.000728
97,1649464969,141.228729,-84.512276,24.820507,0.077805,-0.050893,-0.073130
98,1649481636,141.153259,-84.504784,24.885674,0.074995,0.235078,0.022611
99,1649498303,140.716400,-84.501038,25.321915,-0.013100,0.476591,0.136170
100,1649514970,140.356033,-84.478706,25.703693,0.081822,0.444985,-0.092240
101,1649531637,139.834259,-84.453842,26.278088,0.103721,0.358117,-0.073134
102,1649548304,139.214233,-84.423492,26.973269,0.049034,0.329011,-0.113787
103,1649564971,138.567963,-84.391220,27.707256,0.091655,0.353014,0.019462
104,1649581638,138.130508,-84.357086,28.258806,0.072636,0.222747,0.087445
105,1649598305,137.721756,-84.350319,28.755856,0.092846,0.076555,0.080928
106,1649614972,137.293854,-84.357224,29.250059,0.111451,-0.113541,-0.069415
107,1649631639,137.156967,-84.352226,29.434937,0.093216,-0.154887,-0.014851
108,1649648306,137.119034,-84.348198,29.556025,0.060651,-0.163350,0.033348
109,1649664973,137.111847,-84.356422,29.659206,0.236148,-0.317603,0.006570
110,1649681640,137.117020,-84.367027,29.723673,0.469685,-0.485577,-0.130885
111,1649698307,137.342697,-84.360901,29.457701,0.395737,-0.457959,-0.101158
112,1649714974,137.666977,-84.351952,29.052547,0.316468,-0.347460,-0.036561
113,1649731641,138.040588,-84.339638,28.565245,0.382915,-0.265714,-0.059449
114,1649748308,138.426498,-84.316010,28.056376,0.419598,-0.000685,0.098902
115,1649764975,138.767822,-84.292305,27.621897,0.245715,0.232250,0.129829
116,1649781642,139.007751,-84.276794,27.331539,0.210523,0.253569,0.006632
117,1649798309,141.852142,-84.058586,23.879189,-13.590117,8.970709,4.127655
118,1649814976,112.033699,-85.056961,48.730690,16.697670,-6.985739,-3.966782
119,1649831643,128.516678,-85.351227,37.474136,18.157419,-7.159736,-1.237105
120,1649848310,129.599945,-85.176392,36.991352,-2.241172,-1.653655,-1.432774
121,1649864977,128.998764,-84.804802,37.175175,-0.971669,3.523338,-6.054618
122,1649881644,139.170685,-83.662933,27.271944,-2.364830,3.412729,5.982030
123,1649898311,136.390350,-84.140770,31.231255,-1.137843,0.287312,2.323110
