sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:48:56_017 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1647881604,-68.182922,-80.632401,-154.956879,0.232089,0.074504,0.138125
2,1647898271,-68.159027,-80.623360,-154.993927,0.229497,0.122329,0.129930
3,1647914938,-68.123962,-80.618126,-155.009476,0.146267,0.079774,0.068543
4,1647931605,-68.107895,-80.610641,-155.009094,0.155093,-0.109779,0.145014
5,1647948272,-68.095459,-80.601707,-155.006531,0.187494,-0.151571,0.140181
6,1647964939,-68.092079,-80.591972,-155.024429,0.211644,-0.043496,0.145731
7,1647981606,-68.086266,-80.584724,-155.040390,0.240499,0.111645,0.139995
8,1647998273,-68.070625,-80.580177,-155.037521,0.129133,0.055221,0.090068
9,1648014940,-68.066109,-80.574142,-155.027588,0.122539,-0.104094,0.135951
10,1648031607,-68.075821,-80.568977,-155.031723,0.163397,-0.077449,0.102606
11,1648048274,-68.096252,-80.566788,-155.015594,0.258055,0.048199,0.144458
12,1648064941,-68.105789,-80.566605,-155.001221,0.248921,0.087115,0.145549
13,1648081608,-68.098022,-80.568230,-154.984116,0.151907,0.022857,0.104679
14,1648098275,-68.108620,-80.569893,-154.983490,0.098976,-0.088147,0.098425
15,1648114942,-68.126343,-80.566887,-154.974228,0.130256,-0.147445,0.122894
16,1648131609,-68.141983,-80.559982,-154.958221,0.164318,-0.120979,0.145351
17,1648148276,-68.180168,-80.552345,-154.929901,0.118603,-0.050057,0.142262
18,1648164943,-68.216225,-80.546242,-154.913452,0.188467,0.036112,0.134831
19,1648181610,-68.242966,-80.541275,-154.899658,0.221462,0.098411,0.100889
20,1648198277,-68.264343,-80.539429,-154.901138,0.183852,0.029074,0.109299
21,1648214944,-68.275078,-80.538925,-154.890137,0.122412,-0.091861,0.105961
22,1648231611,-68.288185,-80.533775,-154.883331,0.167321,-0.072330,0.127764
23,1648248278,-68.294342,-80.530418,-154.899185,0.181635,0.049878,0.154487
24,1648264945,-68.290466,-80.528107,-154.957779,0.172942,0.046967,0.120454
25,1648281612,-68.293007,-80.526680,-154.969528,0.135930,-0.010922,0.107656
26,1648298279,-68.300911,-80.524605,-154.945786,0.159047,-0.060989,0.115996
27,1648314946,-68.325836,-80.522820,-154.945709,0.167274,-0.025741,0.138803
28,1648331613,-68.334717,-80.520866,-154.952301,0.171264,0.006372,0.126018
29,1648348280,-68.338280,-80.517761,-154.978882,0.116877,0.019177,0.111404
30,1648364947,-68.326370,-80.512413,-155.006256,0.131109,-0.007120,0.123447
31,1648381614,-68.315430,-80.504440,-155.036148,0.140619,0.003361,0.110669
32,1648398281,-68.297455,-80.496536,-155.062057,0.127662,-0.036253,0.119602
33,1648414948,-68.279678,-80.485909,-155.085068,0.132263,-0.124274,0.141074
34,1648431615,-68.263832,-80.475998,-155.139999,0.199202,-0.048940,0.171743
35,1648448282,-68.240417,-80.467598,-155.200760,0.277276,0.120098,0.137228
36,1648464949,-68.197578,-80.464584,-155.251953,0.219067,0.162208,0.084712
37,1648481616,-68.160217,-80.465431,-155.277771,0.106015,-0.031750,0.041584
38,1648498283,-68.133095,-80.463936,-155.296143,0.077544,-0.163678,0.116885
39,1648514950,-68.124001,-80.460472,-155.327347,0.147211,-0.107042,0.129995
40,1648531617,-68.115837,-80.458740,-155.357620,0.247145,0.057701,0.129462
41,1648548284,-68.096771,-80.460182,-155.388168,0.268673,0.120915,0.134737
42,1648564951,-68.059944,-80.465828,-155.421448,0.174279,0.048387,0.110842
43,1648581618,-68.031593,-80.471893,-155.451645,0.129507,-0.016058,0.104614
44,1648598285,-67.998924,-80.480270,-155.464325,0.125998,-0.047288,0.061820
45,1648614952,-68.006187,-80.487953,-155.455490,0.178385,-0.063896,0.143424
46,1648631619,-68.012032,-80.496223,-155.477631,0.202626,-0.012852,0.129099
