sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:48:56_018 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1647864937,-2.819208,23.416742,18.157600,-0.012260,0.102123,-0.392824
2,1647881604,-2.819680,23.421221,18.154922,-0.041935,0.107235,-0.405251
3,1647898271,-2.822632,23.424253,18.152637,-0.048330,0.098600,-0.398221
4,1647914938,-2.821885,23.425842,18.156418,-0.024230,0.079784,-0.420561
5,1647931605,-2.820938,23.426531,18.166384,-0.014176,0.106483,-0.415866
6,1647948272,-2.820151,23.428984,18.173397,-0.009169,0.107720,-0.409896
7,1647964939,-2.823463,23.432564,18.157648,-0.034870,0.125028,-0.396986
8,1647981606,-2.828034,23.435184,18.157356,-0.024582,0.110040,-0.399938
9,1647998273,-2.831238,23.435955,18.159418,-0.026272,0.097283,-0.400206
10,1648014940,-2.832322,23.436781,18.162607,-0.009777,0.090295,-0.432063
11,1648031607,-2.832944,23.438406,18.167498,-0.003707,0.086076,-0.425943
12,1648048274,-2.834558,23.441605,18.164106,-0.007627,0.111626,-0.417167
13,1648064941,-2.839170,23.444155,18.170698,-0.013804,0.111170,-0.400117
14,1648081608,-2.844796,23.445728,18.174765,-0.016573,0.083393,-0.408280
15,1648098275,-2.845795,23.446795,18.183054,-0.016246,0.077045,-0.423026
16,1648114942,-2.846509,23.448416,18.181408,-0.009823,0.107299,-0.411325
17,1648131609,-2.849404,23.449238,18.183638,0.003892,0.092655,-0.421165
18,1648148276,-2.851755,23.453873,18.188217,-0.012569,0.086382,-0.396726
19,1648164943,-2.854332,23.460062,18.192753,-0.039548,0.106730,-0.414172
20,1648181610,-2.856480,23.462404,18.195818,-0.041036,0.100901,-0.383626
21,1648198277,-2.858161,23.462944,18.184488,-0.030194,0.100143,-0.409012
22,1648214944,-2.858323,23.462261,18.185860,-0.016487,0.097158,-0.432096
23,1648231611,-2.856673,23.463127,18.182821,-0.017579,0.116206,-0.409271
24,1648248278,-2.857129,23.463169,18.183210,-0.011601,0.093566,-0.394211
