sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:48:56_020 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1647848270,0.831339,0.158980,-165.946533,0.010847,0.028139,0.357606
2,1647864937,0.831156,0.159373,-165.946228,0.022842,0.003763,0.369253
3,1647881604,0.831310,0.158572,-165.945572,0.000084,0.008310,0.374129
4,1647898271,0.831332,0.156825,-165.945389,0.031210,0.020965,0.372259
5,1647914938,0.831442,0.157378,-165.946686,0.012510,0.019430,0.392592
6,1647931605,0.831249,0.156747,-165.945709,0.019417,0.016093,0.386368
7,1647948272,0.832427,0.157975,-165.946304,0.019898,0.018753,0.368919
8,1647964939,0.831837,0.158842,-165.946777,0.010790,0.015344,0.367559
9,1647981606,0.830908,0.159156,-165.947464,0.017470,0.024296,0.377831
10,1647998273,0.830834,0.159104,-165.948959,0.020760,0.016776,0.371211
11,1648014940,0.831046,0.158422,-165.947388,0.024847,0.024190,0.360875
12,1648031607,0.831383,0.157768,-165.947693,0.018557,0.013397,0.378431
13,1648048274,0.830792,0.159102,-165.946014,0.015187,0.022552,0.366546
14,1648064941,0.830971,0.159101,-165.942612,-0.002120,0.020490,0.360482
15,1648081608,0.831216,0.158911,-165.941177,0.026462,0.009693,0.371726
16,1648098275,0.831634,0.158697,-165.942856,0.017232,0.005809,0.360387
17,1648114942,0.830599,0.158978,-165.943008,0.020545,0.006037,0.388532
18,1648131609,0.830875,0.159803,-165.944031,0.027202,0.007978,0.364075
19,1648148276,0.829759,0.160497,-165.942184,0.029288,0.003376,0.366140
20,1648164943,0.830102,0.158965,-165.944443,0.021047,0.010617,0.393565
21,1648181610,0.829837,0.157494,-165.948822,0.010490,0.009790,0.368017
22,1648198277,0.829348,0.157408,-165.950760,0.013835,0.015135,0.367287
23,1648214944,0.830237,0.157068,-165.950638,0.012218,0.021279,0.368119
24,1648231611,0.830245,0.156140,-165.953003,0.021249,0.017214,0.359053
25,1648248278,0.829390,0.155774,-165.950684,0.016073,0.017570,0.361284
26,1648264945,0.828960,0.156143,-165.950439,0.007481,0.020683,0.374781
27,1648281612,0.829078,0.155272,-165.950485,0.022906,0.005926,0.368882
28,1648298279,0.885594,0.129541,-165.995377,-0.001950,0.005591,0.357668
29,1648314946,0.885588,0.128603,-165.995972,0.012855,0.007959,0.360626
30,1648331613,0.885210,0.128358,-165.999573,0.009742,0.015604,0.370378
31,1648348280,0.884392,0.129481,-165.996933,0.012085,0.005788,0.382985
32,1648364947,0.883382,0.130177,-165.996246,0.005876,0.022313,0.376817
33,1648381614,0.883421,0.130695,-165.997940,0.007645,0.006015,0.366521
34,1648398281,0.882039,0.130684,-165.998459,-0.011024,0.016818,0.384375
35,1648414948,0.881820,0.130057,-165.997513,0.010946,0.011909,0.386691
36,1648431615,0.881437,0.131223,-165.997131,0.000213,0.014257,0.363573
37,1648448282,0.880466,0.129333,-165.995850,0.010390,0.012577,0.344630
38,1648464949,0.880631,0.128532,-165.996063,0.020516,0.014863,0.378370
39,1648481616,0.880311,0.130270,-165.996155,0.005781,0.002503,0.350692
40,1648498283,0.880656,0.130726,-165.997757,0.003124,0.007740,0.360959
41,1648514950,0.880781,0.130349,-165.996979,0.018109,0.002652,0.362467
42,1648531617,0.880417,0.130749,-165.995865,0.008905,0.003086,0.378379
43,1648548284,0.881142,0.130469,-165.996689,0.009602,0.024029,0.346137
44,1648564951,0.881138,0.131675,-165.998779,0.013058,0.002850,0.368482
45,1648581618,0.880480,0.131921,-165.997726,0.013136,0.022983,0.362531
46,1648598285,0.881299,0.131629,-165.997147,-0.001859,0.020249,0.364027
47,1648614952,0.880588,0.131924,-165.999008,0.005926,0.025848,0.380651
48,1648631619,0.880078,0.131744,-166.000397,0.003003,0.014361,0.373724
49,1648648286,0.881245,0.130735,-166.000290,0.010319,0.023422,0.359527
50,1648664953,0.881703,0.131174,-166.000229,0.005210,0.021639,0.383638
51,1648681620,0.882010,0.131873,-166.000397,-0.000903,0.019435,0.372699
52,1648698287,0.882547,0.133205,-166.000290,0.012903,0.012200,0.351196
53,1648714954,0.883177,0.132449,-166.002060,0.011339,0.005805,0.364282
54,1648731621,0.883620,0.132248,-166.002441,0.001656,0.003167,0.361512
55,1648748288,0.884088,0.131798,-166.003464,0.006942,0.030476,0.367155
56,1648764955,0.883253,0.132164,-166.003098,0.005194,0.014514,0.366979
57,1648781622,0.883369,0.132432,-165.999695,0.012279,0.009280,0.381960
58,1648798289,0.883496,0.131751,-165.998245,0.002045,0.013371,0.384094
59,1648814956,0.883618,0.131855,-165.998764,0.017928,0.016325,0.363123
60,1648831623,0.883617,0.131965,-165.997360,0.000461,0.019641,0.362681
61,1648848290,0.884398,0.130786,-165.996109,-0.000885,0.012401,0.383282
62,1648864957,0.883704,0.131638,-165.996719,0.014746,0.005859,0.380032
63,1648881624,0.884246,0.130934,-165.995712,-0.003894,0.020255,0.366121
64,1648898291,0.884373,0.131053,-165.995575,-0.001908,0.019220,0.363152
65,1648914958,0.884682,0.130158,-165.996201,-0.005896,0.010938,0.375716
66,1648931625,0.884442,0.129838,-165.996460,0.014018,0.008147,0.358383
67,1648948292,0.883945,0.130664,-165.995880,-0.000597,0.025276,0.375151
68,1648964959,0.883904,0.130857,-165.994583,0.007832,0.008763,0.359788
69,1648981626,0.883901,0.131321,-165.991226,0.020270,0.022894,0.378453
70,1648998293,0.882764,0.131882,-165.991837,0.004954,0.016658,0.365843
71,1649014960,0.882241,0.132196,-165.993622,0.007086,0.011708,0.345535
