sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:53:45_678 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1937537397,-18.843964,-74.258476,103.908546,-0.061129,0.057862,0.210199
2,1937554064,-18.868731,-74.257179,103.926285,-0.058249,0.074243,0.209243
3,1937570731,-18.898872,-74.253960,103.950752,-0.036235,0.054610,0.208355
4,1937587398,-18.935709,-74.250237,103.978706,-0.066198,0.038257,0.202094
5,1937604065,-18.975494,-74.246185,104.006554,-0.058742,0.068254,0.204745
6,1937620732,-19.013891,-74.242241,104.034019,-0.045631,0.048542,0.195169
7,1937637399,-19.055996,-74.238983,104.065834,-0.052324,0.038771,0.192820
8,1937654066,-19.103094,-74.235893,104.102646,-0.038883,0.051706,0.195535
9,1937670733,-19.150311,-74.233177,104.140289,-0.035383,0.064664,0.190191
10,1937687400,-19.192247,-74.230118,104.174683,-0.006344,0.065875,0.212079
11,1937704067,-19.230368,-74.227188,104.208832,-0.031472,0.072077,0.213552
12,1937720734,-19.268629,-74.224716,104.242828,-0.029260,0.049737,0.197330
13,1937737401,-19.308043,-74.221100,104.276527,-0.037005,0.060023,0.211089
14,1937754068,-19.351210,-74.219330,104.313026,-0.025997,0.049582,0.197802
15,1937770735,-19.393585,-74.217476,104.348785,-0.052646,0.057853,0.202244
16,1937787402,-19.433414,-74.214119,104.382530,-0.054911,0.047160,0.197931
17,1937804069,-19.472485,-74.210327,104.415604,-0.044760,0.070584,0.199038
18,1937820736,-19.513088,-74.206657,104.449883,-0.026682,0.085938,0.205270
19,1937837403,-19.552902,-74.201096,104.484161,-0.037712,0.055012,0.214632
20,1937854070,-19.591076,-74.195488,104.518471,-0.032410,0.051972,0.202783
21,1937870737,-19.624971,-74.189629,104.549065,-0.030080,0.048809,0.216802
22,1937887404,-19.651579,-74.183052,104.575333,-0.021402,0.022941,0.215716
23,1937904071,-19.676220,-74.178101,104.601562,-0.009232,0.041052,0.197895
24,1937920738,-19.696882,-74.174225,104.628639,0.007438,0.063217,0.205551
25,1937937405,-19.707249,-74.170334,104.647018,-0.003589,0.060219,0.205298
26,1937954072,-19.710514,-74.167328,104.661636,0.007759,0.060012,0.220295
27,1937970739,-19.713675,-74.166534,104.680481,-0.020059,0.048111,0.206931
28,1937987406,-19.715576,-74.166183,104.698441,-0.037019,0.087518,0.217271
29,1938004073,-19.722015,-74.162399,104.718117,-0.010350,0.044522,0.209039
30,1938020740,-19.728548,-74.160179,104.741119,-0.013125,0.066920,0.211593
31,1938037407,-19.729643,-74.158798,104.759750,-0.037379,0.042777,0.206472
32,1938054074,-19.735689,-74.157066,104.778221,-0.056781,0.060506,0.197580
33,1938070741,-19.746607,-74.155022,104.795822,-0.026450,0.056502,0.216169
34,1938087408,-19.753139,-74.153145,104.803856,-0.033177,0.064837,0.210383
35,1938104075,-19.763008,-74.150719,104.809746,-0.070989,0.055450,0.190509
36,1938120742,-19.782656,-74.145996,104.818878,-0.047925,0.072582,0.217938
37,1938137409,-19.795170,-74.143646,104.821693,-0.014548,0.058135,0.218913
38,1938154076,-19.806917,-74.140541,104.824104,-0.013290,0.037569,0.207662
39,1938170743,-19.822870,-74.138519,104.829407,-0.034800,0.042389,0.214255
40,1938187410,-19.836334,-74.138054,104.834663,-0.039417,0.044956,0.207971
41,1938204077,-19.842396,-74.137741,104.840248,-0.037629,0.047210,0.211201
42,1938220744,-19.845770,-74.136024,104.843048,-0.049371,0.055668,0.213355
43,1938237411,-19.854622,-74.135101,104.852303,-0.043549,0.036780,0.219769
44,1938254078,-19.864513,-74.133247,104.865807,-0.020942,0.038853,0.214997
45,1938270745,-19.872757,-74.131149,104.878120,-0.030005,0.030647,0.212355
46,1938287412,-19.880882,-74.129578,104.890236,-0.035759,0.028158,0.222129
47,1938304079,-19.891754,-74.126381,104.903633,-0.030043,0.074580,0.207413
48,1938320746,-19.902868,-74.123886,104.910698,-0.047749,0.036262,0.211261
49,1938337413,-19.922098,-74.122902,104.919319,-0.058336,0.054957,0.216222
50,1938354080,-19.940329,-74.121490,104.924675,-0.030987,0.076749,0.198837
51,1938370747,-19.950874,-74.122063,104.924492,-0.016944,0.061010,0.200253
52,1938387414,-19.961136,-74.122810,104.925865,-0.020231,0.047548,0.205173
53,1938404081,-19.971220,-74.121880,104.924515,-0.052027,0.060991,0.214022
54,1938420748,-19.983854,-74.120491,104.927193,-0.057767,0.043111,0.216078
55,1938437415,-19.995821,-74.119125,104.929665,-0.049456,0.055696,0.204148
56,1938454082,-20.003086,-74.118393,104.926903,-0.048955,0.069836,0.206511
57,1938470749,-20.010046,-74.118988,104.926254,-0.031327,0.056493,0.199101
58,1938487416,-20.018953,-74.115845,104.928169,-0.029099,0.038647,0.213306
59,1938504083,-20.028650,-74.113113,104.931458,-0.056059,0.035159,0.211730
60,1938520750,-20.035521,-74.109848,104.933784,-0.043249,0.059973,0.206461
