sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:53:45_680 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1937520730,8.006371,27.539198,-176.535324,0.014901,0.042509,-0.403544
2,1937537397,8.006459,27.537792,-176.545517,0.012831,0.041330,-0.400991
3,1937554064,8.008603,27.536310,-176.539871,0.025110,0.033015,-0.412311
4,1937570731,8.009560,27.534500,-176.537674,0.010323,0.032753,-0.410917
5,1937587398,8.011945,27.533722,-176.543427,0.017524,0.031601,-0.403358
6,1937604065,8.013280,27.533556,-176.551437,0.017730,0.033657,-0.416850
7,1937620732,8.015164,27.532581,-176.545822,0.007113,0.043591,-0.404653
8,1937637399,8.017552,27.530363,-176.536896,0.018200,0.037979,-0.392423
9,1937654066,8.020219,27.529087,-176.539551,0.014164,0.027797,-0.385375
10,1937670733,8.022594,27.527540,-176.523422,0.008288,0.030482,-0.407854
11,1937687400,8.024664,27.524448,-176.522400,0.009771,0.039760,-0.408615
12,1937704067,8.026849,27.521069,-176.518280,0.017027,0.027172,-0.414509
13,1937720734,8.029521,27.518827,-176.516220,0.002693,0.046618,-0.388664
14,1937737401,8.031727,27.515226,-176.516754,0.010810,0.029647,-0.400635
15,1937754068,8.035149,27.513529,-176.509201,0.001074,0.037889,-0.399125
16,1937770735,8.037420,27.511103,-176.509689,0.013234,0.030933,-0.409771
17,1937787402,8.040364,27.507917,-176.513260,0.018857,0.037515,-0.423527
18,1937804069,8.043200,27.502691,-176.513367,0.001887,0.034186,-0.435333
19,1937820736,8.045495,27.500122,-176.510544,0.007373,0.028911,-0.413777
20,1937837403,8.047327,27.496408,-176.505463,0.006488,0.047814,-0.413122
21,1937854070,8.048523,27.491337,-176.500839,0.014787,0.041336,-0.409928
22,1937870737,8.048890,27.487179,-176.492859,0.013546,0.036570,-0.424657
23,1937887404,8.052248,27.482159,-176.494965,0.027173,0.044713,-0.408662
24,1937904071,8.055511,27.478609,-176.488998,0.013237,0.035845,-0.409395
25,1937920738,8.057334,27.474955,-176.485840,0.012967,0.044044,-0.405933
26,1937937405,8.057501,27.471848,-176.488449,0.005582,0.037803,-0.420901
27,1937954072,8.057399,27.469248,-176.494751,0.000013,0.039619,-0.407685
28,1937970739,8.055888,27.466175,-176.490417,0.005882,0.032454,-0.403350
29,1937987406,8.056107,27.463823,-176.490158,0.011424,0.043358,-0.412898
30,1938004073,8.054476,27.463274,-176.493729,-0.003387,0.037756,-0.412815
