sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:55:15_718 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2027572531,101.553322,-76.636925,63.888783,0.057002,0.246996,0.049077
2,2027589198,101.548950,-76.640366,63.863853,0.070909,0.229780,0.055532
3,2027605865,101.550438,-76.647507,63.840298,0.041074,0.221610,0.076578
4,2027622532,101.563873,-76.657600,63.814281,0.054577,0.198029,0.052833
5,2027639199,101.582588,-76.670380,63.787361,0.040871,0.147705,0.032378
6,2027655866,101.597595,-76.683594,63.769558,0.035385,0.074929,0.028852
7,2027672533,101.610008,-76.694000,63.754147,-0.002985,0.032540,0.006536
8,2027689200,101.632225,-76.702316,63.728153,0.019494,-0.014325,0.011748
9,2027705867,101.655563,-76.708824,63.698864,0.008370,-0.038740,0.001138
10,2027722534,101.677422,-76.714691,63.670048,0.045589,-0.041992,0.006745
11,2027739201,101.692802,-76.714615,63.645931,0.036055,-0.070130,-0.000170
12,2027755868,101.719566,-76.712166,63.610558,0.008413,-0.049734,-0.003241
13,2027772535,101.763451,-76.705063,63.561367,0.021117,-0.032893,-0.002946
14,2027789202,101.824158,-76.696289,63.500801,0.058328,-0.005012,0.014649
15,2027805869,101.886307,-76.684242,63.446980,0.036769,-0.023718,0.023638
16,2027822536,101.938553,-76.672813,63.398178,0.054546,-0.046928,0.052753
17,2027839203,101.972359,-76.663780,63.357800,0.054278,-0.062633,0.063911
18,2027855870,102.004044,-76.660187,63.310314,0.094933,-0.053564,0.058449
19,2027872537,102.018906,-76.660912,63.270332,0.069998,-0.026462,0.068619
20,2027889204,102.018097,-76.665718,63.235641,0.029984,0.001276,0.058840
21,2027905871,102.015778,-76.674225,63.199665,0.028312,-0.008456,0.037710
22,2027922538,102.017746,-76.684227,63.159626,0.021098,0.008529,0.023982
23,2027939205,102.016960,-76.696922,63.118141,0.008223,0.007714,0.027251
24,2027955872,102.018570,-76.712013,63.074352,0.008883,0.007207,0.013886
25,2027972539,102.021667,-76.727310,63.027885,-0.015165,0.012873,0.017245
26,2027989206,102.013374,-76.739571,62.992931,-0.039009,0.013523,0.006190
27,2028005873,102.000755,-76.749214,62.959435,-0.012312,0.010194,0.019389
28,2028022540,101.991005,-76.756271,62.922581,-0.036550,0.030066,0.017822
29,2028039207,101.981407,-76.765244,62.886948,-0.022564,0.050286,0.027743
30,2028055874,101.977295,-76.773254,62.849747,-0.012769,0.087570,0.010753
31,2028072541,101.968742,-76.780708,62.821774,0.013104,0.079176,0.030077
32,2028089208,101.953415,-76.790573,62.797729,-0.019373,0.074081,0.025826
33,2028105875,101.939346,-76.802925,62.773399,-0.010077,0.073524,0.020038
34,2028122542,101.946701,-76.817184,62.732582,0.006963,0.077557,0.018079
35,2028139209,101.967354,-76.831696,62.684055,0.017768,0.057411,0.009679
36,2028155876,101.995811,-76.848457,62.633629,0.022931,0.055410,0.035550
37,2028172543,102.010849,-76.866516,62.598293,0.012354,0.035689,0.040358
38,2028189210,102.018806,-76.887062,62.571712,0.031366,0.041357,0.023461
39,2028205877,102.028656,-76.909286,62.545506,0.034640,0.031972,0.024031
40,2028222544,102.041595,-76.929932,62.511551,0.031607,0.014998,0.031817
41,2028239211,102.057556,-76.947021,62.476170,0.026301,-0.006314,0.013035
42,2028255878,102.074623,-76.963753,62.439827,0.018718,0.001529,0.007391
43,2028272545,102.092926,-76.976326,62.405884,0.004518,-0.009053,0.009015
44,2028289212,102.098709,-76.985420,62.380207,0.006788,-0.015316,0.014113
45,2028305879,102.085533,-76.990013,62.373173,0.019177,0.006301,0.015591
46,2028322546,102.059959,-76.992340,62.383717,0.018687,0.015207,-0.002302
47,2028339213,102.063911,-76.993431,62.376907,0.013424,0.047076,0.003311
48,2028355880,102.083885,-76.990715,62.364292,0.014785,0.027315,0.030294
49,2028372547,102.098686,-76.986031,62.361084,0.019726,0.004607,0.034382
50,2028389214,102.097343,-76.983704,62.375221,0.000668,-0.019870,0.047691
51,2028405881,102.102081,-76.982056,62.381710,-0.002516,-0.030639,0.036828
52,2028422548,102.109901,-76.984528,62.383751,0.039179,-0.026898,0.043750
53,2028439215,102.122383,-76.988258,62.378704,0.026735,-0.017575,0.047775
54,2028455882,102.129356,-76.994972,62.377148,-0.003343,-0.011886,0.033617
55,2028472549,102.143021,-77.002884,62.368267,-0.031647,-0.004863,0.036164
56,2028489216,102.142822,-77.010803,62.371014,-0.050079,-0.016369,0.019761
57,2028505883,102.145340,-77.017532,62.369389,-0.038348,-0.016109,0.010028
58,2028522550,102.135727,-77.025200,62.373734,-0.020516,-0.017721,0.018759
59,2028539217,102.121422,-77.030815,62.382938,0.008212,-0.018599,0.025507
60,2028555884,102.118774,-77.034805,62.387905,-0.004743,0.017790,0.041240
61,2028572551,102.124512,-77.041382,62.387657,0.015276,0.036260,0.016232
62,2028589218,102.137970,-77.049011,62.385616,0.012888,0.045904,0.038602
63,2028605885,102.153603,-77.056122,62.387070,-0.012575,0.030394,0.038500
