sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:55:15_730 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2027572531,2.313159,-0.153219,14.008218,0.004975,0.001193,0.354294
2,2027589198,2.312736,-0.152223,14.007994,-0.003002,-0.001096,0.394510
3,2027605865,2.311806,-0.151587,14.007970,-0.002559,0.009488,0.368224
4,2027622532,2.311097,-0.151194,14.008167,-0.005744,0.007225,0.406987
5,2027639199,2.311402,-0.150728,14.009162,-0.005579,-0.002364,0.383087
6,2027655866,2.312278,-0.152252,14.009286,0.005222,0.002698,0.362695
7,2027672533,2.312388,-0.152110,14.008809,0.016585,-0.004464,0.364902
8,2027689200,2.312618,-0.152264,14.010436,0.016177,0.007280,0.385689
9,2027705867,2.313711,-0.151904,14.008642,0.002319,0.004978,0.409124
10,2027722534,2.313767,-0.151867,14.008824,-0.004005,0.005386,0.388891
11,2027739201,2.313990,-0.151957,14.009274,0.013907,-0.017926,0.368010
12,2027755868,2.313992,-0.151787,14.009725,0.005635,-0.011885,0.396673
13,2027772535,2.314043,-0.152015,14.011376,0.000305,-0.002617,0.359138
14,2027789202,2.314489,-0.151759,14.011452,0.008876,0.007979,0.390195
15,2027805869,2.314362,-0.150998,14.013584,-0.001476,0.005573,0.385345
16,2027822536,2.314256,-0.151724,14.013533,-0.000247,0.011565,0.372323
17,2027839203,2.314080,-0.151958,14.012783,-0.001836,-0.008418,0.398053
18,2027855870,2.313878,-0.151614,14.010561,-0.016441,0.006342,0.382062
19,2027872537,2.313659,-0.152780,14.010290,0.000871,0.014657,0.385306
20,2027889204,2.313481,-0.152249,14.010089,-0.008488,0.002845,0.369785
21,2027905871,2.313958,-0.152784,14.010457,-0.007667,0.018018,0.377277
22,2027922538,2.314641,-0.153607,14.010565,-0.004135,-0.006672,0.390991
23,2027939205,2.314653,-0.154561,14.010414,-0.000869,0.010376,0.376431
24,2027955872,2.314190,-0.154586,14.010821,0.010430,-0.000895,0.367541
25,2027972539,2.313962,-0.155282,14.009974,-0.001775,-0.004944,0.367053
26,2027989206,2.314103,-0.155250,14.010561,-0.006396,0.002222,0.371209
27,2028005873,2.313827,-0.155066,14.010810,0.005040,-0.001434,0.373815
28,2028022540,2.313148,-0.154688,14.007367,-0.008870,0.008940,0.370998
29,2028039207,2.313254,-0.155087,14.007851,0.000778,0.003822,0.391407
30,2028055874,2.312911,-0.156114,14.008540,0.009259,0.008241,0.380205
31,2028072541,2.313644,-0.155661,14.008655,-0.004781,-0.001021,0.386624
32,2028089208,2.314058,-0.155964,14.008182,-0.005271,0.005383,0.384411
33,2028105875,2.314201,-0.156633,14.008181,0.006223,0.014179,0.383574
34,2028122542,2.313872,-0.157389,14.011811,-0.001990,0.009635,0.382676
35,2028139209,2.313967,-0.157203,14.010293,0.010945,-0.003109,0.373560
36,2028155876,2.314632,-0.157069,14.010365,0.003479,0.000385,0.356382
37,2028172543,2.315247,-0.158308,14.011015,0.014140,-0.002297,0.369808
38,2028189210,2.314859,-0.157833,14.014254,0.002461,-0.005661,0.374459
39,2028205877,2.315368,-0.158080,14.015081,0.014682,-0.016578,0.375339
40,2028222544,2.315397,-0.158777,14.015264,0.000977,0.011240,0.374350
41,2028239211,2.315757,-0.159966,14.015690,0.001404,0.001587,0.377433
42,2028255878,2.316172,-0.160178,14.014245,0.009566,0.015961,0.376486
43,2028272545,2.316252,-0.161288,14.015016,0.004329,0.009120,0.386488
44,2028289212,2.315832,-0.162810,14.015116,0.009607,0.002730,0.371509
45,2028305879,2.318879,-0.140866,14.012273,-0.008330,-0.000330,0.376829
46,2028322546,2.318469,-0.139663,14.012061,0.013064,0.009281,0.370306
47,2028339213,2.317734,-0.139728,14.011580,0.007013,0.007035,0.375015
48,2028355880,2.317366,-0.140686,14.011354,-0.011776,0.000061,0.394176
49,2028372547,2.317119,-0.140982,14.011200,0.005185,-0.004871,0.366678
50,2028389214,2.317961,-0.141541,14.012211,0.000680,-0.000891,0.366901
51,2028405881,2.317626,-0.140811,14.014131,-0.007856,0.003432,0.360513
52,2028422548,2.316814,-0.140877,14.014893,-0.002529,0.017675,0.386943
53,2028439215,2.315723,-0.140784,14.016139,-0.008203,0.003303,0.376203
54,2028455882,2.315243,-0.141704,14.015553,-0.002406,0.014199,0.389385
55,2028472549,2.315269,-0.142898,14.015328,-0.002544,0.011760,0.397779
56,2028489216,2.315375,-0.142874,14.015830,-0.004325,-0.002393,0.397256
57,2028505883,2.315076,-0.141398,14.011751,0.009997,0.008387,0.360879
58,2028522550,2.315341,-0.140053,14.011841,0.005696,0.002576,0.376598
59,2028539217,2.315905,-0.140421,14.012424,0.010606,0.007512,0.370511
60,2028555884,2.316507,-0.140863,14.013556,0.007340,-0.000366,0.373543
61,2028572551,2.316410,-0.140517,14.014237,0.013196,0.003451,0.384083
62,2028589218,2.315631,-0.142103,14.014366,-0.007777,0.002714,0.374249
63,2028605885,2.315182,-0.143144,14.013259,-0.000858,-0.003369,0.372873
64,2028622552,2.315735,-0.141759,14.015019,-0.009497,0.015568,0.368044
65,2028639219,2.316032,-0.141809,14.014121,-0.000227,-0.000223,0.362306
66,2028655886,2.315633,-0.142280,14.013540,0.004525,0.004679,0.368346
67,2028672553,2.314906,-0.141917,14.014299,0.008568,-0.001584,0.382476
68,2028689220,2.314506,-0.141273,14.014858,-0.003370,0.000802,0.375057
69,2028705887,2.314550,-0.140598,14.014179,-0.004146,-0.002427,0.369723
70,2028722554,2.314070,-0.142223,14.014634,0.001519,0.017935,0.381038
71,2028739221,2.314591,-0.140807,14.014533,0.013367,0.001437,0.370316
72,2028755888,2.314023,-0.140340,14.014325,-0.007150,0.015144,0.368279
73,2028772555,2.313606,-0.140811,14.014139,-0.003751,0.011326,0.382626
74,2028789222,2.314378,-0.142372,14.013136,0.010290,0.017680,0.384311
75,2028805889,2.314900,-0.141245,14.008583,-0.003809,-0.002739,0.386186
76,2028822556,2.315156,-0.141278,14.005936,-0.003009,-0.005585,0.374023
77,2028839223,2.315348,-0.140597,14.007688,-0.009050,0.011108,0.374915
78,2028855890,2.314527,-0.141560,14.008940,0.005517,0.006362,0.367994
79,2028872557,2.314384,-0.141532,14.009184,-0.000475,0.015116,0.383523
80,2028889224,2.314186,-0.142650,14.011610,0.012085,0.013591,0.384736
81,2028905891,2.314152,-0.143302,14.011439,-0.009059,0.014759,0.383019
82,2028922558,2.313734,-0.143270,14.009303,-0.004216,-0.002499,0.367091
83,2028939225,2.313130,-0.143548,14.010049,0.000646,0.009019,0.365702
84,2028955892,2.313506,-0.144355,14.008254,0.011528,0.009626,0.379350
85,2028972559,2.314071,-0.143885,14.008100,0.009864,-0.001751,0.386073
86,2028989226,2.313764,-0.145032,14.007946,0.005708,0.007134,0.393711
87,2029005893,2.313348,-0.145114,14.008362,0.001599,0.006259,0.381489
88,2029022560,2.312592,-0.145189,14.007590,0.027556,0.011075,0.379561
89,2029039227,2.312142,-0.145276,14.007925,-0.000648,0.014511,0.377939
90,2029055894,2.312720,-0.145592,14.003993,-0.003039,0.006217,0.381435
91,2029072561,2.312154,-0.144430,14.001747,0.021899,0.004809,0.387338
92,2029089228,2.311977,-0.144494,14.002464,0.000834,0.019979,0.388811
93,2029105895,2.312046,-0.145226,14.001463,0.004165,0.001809,0.394335
94,2029122562,2.313499,-0.145444,14.000642,0.018697,0.003443,0.359244
95,2029139229,2.313818,-0.145859,14.001279,-0.007944,0.001628,0.375072
96,2029155896,2.314381,-0.146088,14.002029,-0.003114,0.008613,0.366035
97,2029172563,2.315249,-0.146328,14.000995,-0.014125,0.002472,0.378808
98,2029189230,2.314369,-0.146427,14.001646,0.002688,0.007322,0.377418
99,2029205897,2.313731,-0.146693,14.002279,0.015650,0.014131,0.375252
100,2029222564,2.314443,-0.147150,14.002711,0.000554,0.012742,0.369848
101,2029239231,2.315135,-0.146369,14.003201,0.004157,0.005264,0.379869
102,2029255898,2.315233,-0.147024,14.001763,-0.002315,0.024326,0.376635
103,2029272565,2.315273,-0.147403,14.001101,0.010103,0.005113,0.367363
104,2029289232,2.315067,-0.147911,14.001110,0.005601,0.000770,0.391331
105,2029305899,2.314445,-0.148018,14.001639,0.020291,0.008413,0.391150
106,2029322566,2.315218,-0.147504,14.004671,0.012672,0.008712,0.383292
107,2029339233,2.314455,-0.147029,14.004318,0.012812,0.001710,0.379086
108,2029355900,2.315057,-0.147346,14.003366,0.005735,0.016372,0.376911
109,2029372567,2.315139,-0.146577,14.003438,0.006148,0.012277,0.402992
110,2029389234,2.314658,-0.147616,14.002828,-0.001745,0.004090,0.356849
111,2029405901,2.314247,-0.146053,14.002982,-0.006022,0.008225,0.384991
112,2029422568,2.313880,-0.145789,14.002123,0.015257,0.007175,0.396653
113,2029439235,2.314434,-0.147385,14.002981,0.014055,0.006702,0.369456
114,2029455902,2.313986,-0.147327,14.001579,0.006349,0.015609,0.373022
115,2029472569,2.314023,-0.147350,14.001435,-0.008430,0.003538,0.390646
116,2029489236,2.313754,-0.148562,14.002878,0.004761,0.015553,0.370203
117,2029505903,2.314484,-0.148938,14.002934,0.006173,0.017878,0.372679
118,2029522570,2.315202,-0.148838,14.001981,-0.010131,0.003309,0.359637
119,2029539237,2.315701,-0.149157,14.001369,-0.004092,0.001799,0.364473
