sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:56:59_796 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2131691280,-65.033607,-84.547272,124.608200,0.067995,-0.122321,0.168469
2,2131707947,-65.255981,-84.518600,124.818619,0.285355,-0.115361,0.125213
3,2131724614,-65.505653,-84.489716,125.111977,0.250183,-0.120472,0.096169
4,2131741281,-65.771034,-84.464058,125.429283,-0.096898,-0.142247,0.096091
5,2131757948,-65.996513,-84.441032,125.671455,-0.141903,-0.231132,0.108162
6,2131774615,-66.250092,-84.417557,125.921204,-0.065912,-0.289265,0.096241
7,2131791282,-66.530807,-84.398148,126.198853,-0.006549,-0.188633,0.094590
8,2131807949,-66.827980,-84.380959,126.503029,0.018530,-0.108749,0.121534
9,2131824616,-67.109711,-84.360489,126.793610,0.031735,-0.121305,0.129477
10,2131841283,-67.359383,-84.338844,127.060478,0.110708,-0.118761,0.148985
11,2131857950,-67.635078,-84.316521,127.378716,0.061171,-0.132509,0.085306
12,2131874617,-67.915466,-84.297005,127.695023,0.018735,-0.222452,0.077122
13,2131891284,-68.195007,-84.276390,127.994919,0.090457,-0.226262,0.065380
14,2131907951,-68.442459,-84.259460,128.253448,0.175499,-0.201199,0.112510
15,2131924618,-68.638161,-84.248650,128.460495,0.188197,-0.180185,0.086551
16,2131941285,-68.823128,-84.239693,128.668655,0.296661,-0.112049,0.084302
17,2131957952,-68.969528,-84.234077,128.861008,0.227673,-0.079996,0.085992
18,2131974619,-69.102707,-84.230888,129.048950,0.090826,-0.187174,0.085589
19,2131991286,-69.220139,-84.228073,129.210495,0.017945,-0.184015,0.107158
20,2132007953,-69.302628,-84.227554,129.336273,0.051837,-0.155965,0.120875
21,2132024620,-69.391724,-84.229561,129.468140,0.089897,-0.230081,0.102876
22,2132041287,-69.473450,-84.232513,129.584198,0.019807,-0.241657,0.105538
