sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:56:59_797 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2131674613,-8.794302,26.136055,37.426105,0.038085,0.089451,-0.397542
2,2131691280,-8.803295,26.144123,37.431595,0.071456,0.063872,-0.409291
3,2131707947,-8.819559,26.155859,37.437904,0.046260,0.106966,-0.380989
4,2131724614,-8.835613,26.165995,37.441498,0.016139,0.068143,-0.404445
5,2131741281,-8.851692,26.172915,37.439575,0.041267,0.071879,-0.395658
6,2131757948,-8.865266,26.182642,37.442680,0.048684,0.070513,-0.417032
7,2131774615,-8.884707,26.197817,37.440876,0.034791,0.060361,-0.417325
8,2131791282,-8.910177,26.216581,37.445801,0.052426,0.064223,-0.421858
9,2131807949,-8.936092,26.238441,37.444382,0.077642,0.039798,-0.426863
10,2131824616,-8.963902,26.262056,37.441723,0.033957,0.091603,-0.382834
11,2131841283,-8.994174,26.290670,37.434238,0.045995,0.073604,-0.385988
12,2131857950,-9.023651,26.319239,37.431519,0.025824,0.068104,-0.400985
13,2131874617,-9.047264,26.345991,37.435165,0.016030,0.116765,-0.361598
14,2131891284,-9.068534,26.369003,37.436428,0.001267,0.087729,-0.362942
15,2131907951,-9.088104,26.388243,37.431995,0.000434,0.088109,-0.376994
16,2131924618,-9.104177,26.404757,37.434013,0.037367,0.137696,-0.376987
17,2131941285,-9.121332,26.419985,37.433201,0.012576,0.087960,-0.384048
18,2131957952,-9.137936,26.432625,37.430542,0.005670,0.075959,-0.389504
19,2131974619,-9.153176,26.443750,37.431576,0.029285,0.083173,-0.370612
20,2131991286,-9.171857,26.452911,37.422001,0.061951,0.094153,-0.372534
21,2132007953,-9.189184,26.462341,37.409916,0.035039,0.072088,-0.404860
22,2132024620,-9.205251,26.474911,37.402733,0.020596,0.073935,-0.361368
23,2132041287,-9.221123,26.488934,37.402760,0.029634,0.091883,-0.376738
24,2132057954,-9.235984,26.501171,37.402416,0.042629,0.098485,-0.403218
25,2132074621,-9.246244,26.511112,37.399548,0.023373,0.093711,-0.376407
26,2132091288,-9.250232,26.516676,37.398407,-0.009482,0.079143,-0.379230
27,2132107955,-9.253109,26.516737,37.403187,0.026601,0.091398,-0.373912
28,2132124622,-9.252703,26.513823,37.399956,0.032594,0.094293,-0.365119
29,2132141289,-9.257812,26.511749,37.396778,0.061348,0.084978,-0.396505
30,2132157956,-9.262446,26.511669,37.390789,0.036333,0.094314,-0.388449
31,2132174623,-9.269414,26.514051,37.389469,0.036762,0.078068,-0.369137
32,2132191290,-9.275855,26.514706,37.387497,0.040442,0.114930,-0.378046
33,2132207957,-9.282217,26.515444,37.388618,0.036201,0.078958,-0.405204
34,2132224624,-9.290305,26.517998,37.385159,0.056708,0.071012,-0.395905
35,2132241291,-9.297049,26.521389,37.387344,0.047271,0.083164,-0.374554
36,2132257958,-9.304361,26.524578,37.386806,0.049834,0.081463,-0.398723
37,2132274625,-9.309795,26.528072,37.389542,0.037606,0.069638,-0.396601
38,2132291292,-9.314964,26.530111,37.384460,0.040476,0.096590,-0.372031
39,2132307959,-9.322552,26.534424,37.382221,0.023416,0.090483,-0.394514
40,2132324626,-9.328022,26.537146,37.382050,0.031102,0.085189,-0.379010
41,2132341293,-9.331831,26.537800,37.378658,0.039563,0.078868,-0.392361
42,2132357960,-9.334219,26.535700,37.377617,0.034383,0.088546,-0.387449
43,2132374627,-9.336287,26.532915,37.379940,0.045203,0.102829,-0.389649
44,2132391294,-9.338185,26.530622,37.370125,0.013754,0.085375,-0.390613
45,2132407961,-9.337553,26.525801,37.365105,0.032536,0.089544,-0.389185
46,2132424628,-9.336335,26.521080,37.360809,0.027792,0.087336,-0.376819
47,2132441295,-9.334939,26.515076,37.356258,0.032787,0.084085,-0.370649
48,2132457962,-9.332214,26.509768,37.360043,0.012327,0.087477,-0.392203
49,2132474629,-9.328394,26.504251,37.369637,0.020714,0.082609,-0.382744
50,2132491296,-9.324088,26.496828,37.380043,0.038786,0.079901,-0.381824
51,2132507963,-9.318665,26.488155,37.380547,0.022305,0.090968,-0.391107
52,2132524630,-9.314156,26.479725,37.384884,0.056994,0.074967,-0.386128
53,2132541297,-9.311265,26.474926,37.387371,0.051594,0.062074,-0.400884
54,2132557964,-9.309911,26.471010,37.384819,0.057147,0.085030,-0.376045
55,2132574631,-9.310525,26.468870,37.385098,0.051055,0.071282,-0.406659
56,2132591298,-9.312841,26.468601,37.385223,0.043050,0.074767,-0.394506
57,2132607965,-9.312634,26.466986,37.384365,0.043196,0.073311,-0.389121
58,2132624632,-9.313268,26.463564,37.383682,0.054572,0.097083,-0.389385
59,2132641299,-9.315376,26.461737,37.382275,0.060387,0.098938,-0.382727
60,2132657966,-9.318108,26.462833,37.379673,0.041526,0.080842,-0.380028
61,2132674633,-9.319397,26.463625,37.375866,0.023218,0.100037,-0.379162
62,2132691300,-9.318930,26.463736,37.377666,0.037762,0.090822,-0.370604
63,2132707967,-9.318623,26.462820,37.383945,0.045589,0.089731,-0.377176
64,2132724634,-9.317284,26.460508,37.384964,0.030812,0.091675,-0.391437
65,2132741301,-9.316732,26.458851,37.385777,0.022624,0.078113,-0.388251
66,2132757968,-9.314790,26.455065,37.379116,0.035594,0.087686,-0.385215
67,2132774635,-9.312444,26.451017,37.379646,0.023951,0.091918,-0.393983
68,2132791302,-9.311333,26.446913,37.380661,0.037734,0.086278,-0.384627
69,2132807969,-9.310220,26.443718,37.379177,0.034856,0.080966,-0.395137
70,2132824636,-9.307905,26.439375,37.376064,0.028452,0.069992,-0.399096
71,2132841303,-9.305433,26.434500,37.376122,0.042507,0.096467,-0.378565
72,2132857970,-9.301068,26.427994,37.376434,0.027143,0.108879,-0.389630
73,2132874637,-9.295805,26.421942,37.376347,0.013025,0.110603,-0.384322
74,2132891304,-9.290391,26.414185,37.375095,0.026649,0.091376,-0.370258
75,2132907971,-9.286351,26.404951,37.370274,0.038194,0.079105,-0.373495
76,2132924638,-9.280662,26.393059,37.369640,0.027571,0.097302,-0.405092
77,2132941305,-9.274513,26.383522,37.367409,0.042504,0.085896,-0.370503
78,2132957972,-9.270156,26.373013,37.359360,0.024841,0.081668,-0.387165
79,2132974639,-9.265575,26.362995,37.360077,0.047215,0.077869,-0.388469
80,2132991306,-9.258606,26.351807,37.358513,0.042035,0.082441,-0.393524
81,2133007973,-9.252038,26.340038,37.356667,0.057495,0.080111,-0.391979
82,2133024640,-9.246229,26.328150,37.355068,0.063295,0.074967,-0.390720
83,2133041307,-9.242393,26.319338,37.360073,0.045759,0.077128,-0.386003
84,2133057974,-9.237028,26.311039,37.357647,0.046260,0.085354,-0.410702
85,2133074641,-9.231435,26.303562,37.361328,0.039213,0.083998,-0.406202
86,2133091308,-9.227246,26.295895,37.363426,0.021574,0.081195,-0.409068
87,2133107975,-9.221346,26.288219,37.361485,0.044376,0.076099,-0.403629
88,2133124642,-9.216211,26.281164,37.366852,0.052447,0.085256,-0.391337
89,2133141309,-9.211859,26.273642,37.363979,0.052001,0.080264,-0.384555
90,2133157976,-9.205812,26.267729,37.366051,0.049449,0.081781,-0.396954
91,2133174643,-9.200750,26.262037,37.368599,0.051120,0.088089,-0.399020
92,2133191310,-9.197351,26.256590,37.363647,0.042308,0.086717,-0.393088
93,2133207977,-9.195923,26.253086,37.360420,0.053605,0.086330,-0.401804
94,2133224644,-9.194609,26.251795,37.363609,0.045408,0.092062,-0.390721
95,2133241311,-9.194112,26.251087,37.363800,0.038742,0.089186,-0.391173
96,2133257978,-9.192344,26.250059,37.371483,0.031567,0.088586,-0.394636
97,2133274645,-9.190570,26.247234,37.377964,0.036842,0.098579,-0.394477
98,2133291312,-9.190581,26.246189,37.370377,0.025307,0.079637,-0.392740
99,2133307979,-9.189992,26.243992,37.364300,0.042490,0.089513,-0.371797
100,2133324646,-9.186591,26.240364,37.361488,0.036256,0.075693,-0.373835
101,2133341313,-9.183684,26.236692,37.361099,0.030114,0.077554,-0.381567
102,2133357980,-9.180354,26.233032,37.356392,0.019233,0.087979,-0.374376
103,2133374647,-9.177378,26.229128,37.351551,0.010430,0.062326,-0.382464
