sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:57:39_091 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2170942065,-149.127441,-86.414665,-61.141766,0.191968,-0.026748,0.042419
2,2170958732,-148.814850,-86.404251,-61.479584,0.190376,0.000053,0.032967
3,2170975399,-148.584488,-86.393433,-61.735889,0.157103,0.024824,0.089911
4,2170992066,-148.345688,-86.385674,-61.993965,0.159230,-0.025665,0.097193
5,2171008733,-148.146210,-86.386597,-62.213707,0.178870,-0.050053,0.068228
6,2171025400,-148.025864,-86.393379,-62.345505,0.155375,-0.045030,0.068097
7,2171042067,-147.990112,-86.402397,-62.388630,0.150143,-0.053676,0.066896
8,2171058734,-147.963776,-86.416473,-62.427505,0.148977,-0.039027,0.059834
9,2171075401,-147.953217,-86.433334,-62.448071,0.162301,-0.009565,0.052993
10,2171092068,-147.949341,-86.449844,-62.463215,0.156223,0.009653,0.047896
11,2171108735,-147.954254,-86.462547,-62.481007,0.120595,0.048524,0.022448
12,2171125402,-147.923996,-86.469803,-62.546066,0.159023,0.072638,0.013562
13,2171142069,-147.838867,-86.471695,-62.675224,0.175121,0.123150,0.016837
14,2171158736,-147.725082,-86.467812,-62.836777,0.173812,0.169136,0.010865
15,2171175403,-147.557968,-86.459396,-63.049431,0.189419,0.171250,0.022051
16,2171192070,-147.364960,-86.451111,-63.283009,0.192958,0.138532,0.042262
17,2171208737,-147.158371,-86.442184,-63.521927,0.210078,0.109247,0.033207
18,2171225404,-146.936218,-86.430649,-63.772438,0.173132,0.104689,0.052224
19,2171242071,-146.693542,-86.417564,-64.049500,0.187615,0.078611,0.044837
20,2171258738,-146.452484,-86.404579,-64.325203,0.140457,0.075314,0.052567
21,2171275405,-146.226089,-86.393700,-64.581635,0.162738,0.047110,0.058487
22,2171292072,-146.020966,-86.384697,-64.817200,0.182111,0.026225,0.063409
23,2171308739,-145.821091,-86.378418,-65.045258,0.189379,0.002892,0.079580
24,2171325406,-145.639175,-86.377991,-65.250977,0.207757,-0.016570,0.070839
25,2171342073,-145.504410,-86.381180,-65.406815,0.151222,0.008909,0.059245
26,2171358740,-145.408188,-86.386002,-65.522636,0.175920,0.042112,0.044706
27,2171375407,-145.350922,-86.391426,-65.595306,0.151916,0.077321,0.073485
