sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_16:57:39_101 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2170942065,0.705076,-0.271910,-162.061325,-0.012333,0.011808,0.366626
2,2170958732,0.704054,-0.273045,-162.061142,-0.017193,-0.003739,0.362605
3,2170975399,0.703041,-0.273336,-162.061218,-0.016378,-0.005509,0.341136
4,2170992066,0.701553,-0.272832,-162.061737,-0.017251,0.000745,0.364058
5,2171008733,0.700130,-0.272572,-162.062469,-0.007890,-0.013681,0.389258
6,2171025400,0.699618,-0.273552,-162.062271,-0.015656,0.004235,0.384081
7,2171042067,0.699185,-0.273088,-162.062759,-0.011665,-0.004406,0.393978
8,2171058734,0.698592,-0.273248,-162.062897,-0.025408,-0.007931,0.389253
9,2171075401,0.698024,-0.274257,-162.063446,-0.016164,-0.004086,0.387282
10,2171092068,0.698163,-0.273956,-162.063110,-0.025101,0.003806,0.371801
11,2171108735,0.697553,-0.273654,-162.064865,-0.016798,-0.014204,0.363693
12,2171125402,0.696519,-0.275436,-162.065338,-0.020804,-0.009962,0.389551
13,2171142069,0.695657,-0.275407,-162.066147,-0.027117,-0.003171,0.368935
14,2171158736,0.695671,-0.275710,-162.066956,-0.020466,0.000426,0.390303
15,2171175403,0.694809,-0.276585,-162.067596,-0.025658,-0.011152,0.384339
16,2171192070,0.693749,-0.277113,-162.067749,-0.027568,-0.009075,0.360410
17,2171208737,0.692921,-0.276340,-162.068054,-0.024839,-0.001584,0.376350
18,2171225404,0.691125,-0.276352,-162.068527,-0.018648,-0.010763,0.373138
19,2171242071,0.690354,-0.275804,-162.069580,-0.015035,0.006377,0.367279
20,2171258738,0.690008,-0.275500,-162.069794,-0.009776,-0.011618,0.358524
21,2171275405,0.690216,-0.276079,-162.070129,-0.020268,-0.004575,0.374720
22,2171292072,0.689571,-0.276392,-162.070419,-0.008731,-0.008021,0.394839
23,2171308739,0.688930,-0.276228,-162.071243,-0.012332,-0.002935,0.342401
24,2171325406,0.688104,-0.277345,-162.070602,-0.007810,-0.002385,0.356052
25,2171342073,0.687358,-0.276561,-162.071060,-0.003453,-0.004728,0.387303
26,2171358740,0.687083,-0.276305,-162.072281,-0.001196,0.001154,0.392405
27,2171375407,0.686305,-0.275834,-162.072128,-0.023694,-0.005303,0.376454
28,2171392074,0.685928,-0.274804,-162.072906,-0.015466,0.018887,0.369122
29,2171408741,0.685017,-0.274994,-162.073822,0.000621,-0.014885,0.397426
30,2171425408,0.684728,-0.275103,-162.073853,-0.008653,-0.010701,0.364876
31,2171442075,0.683275,-0.275614,-162.073898,-0.005672,-0.008814,0.384853
32,2171458742,0.681745,-0.275732,-162.074722,-0.011784,-0.003769,0.366623
33,2171475409,0.680970,-0.276333,-162.074875,-0.015373,-0.012891,0.366972
34,2171492076,0.680642,-0.277273,-162.075119,-0.019500,-0.009794,0.375238
35,2171508743,0.680556,-0.277113,-162.075531,-0.032332,-0.016405,0.365946
36,2171525410,0.680594,-0.276493,-162.076157,-0.019811,-0.015408,0.371996
37,2171542077,0.679522,-0.276693,-162.076157,-0.015506,-0.012909,0.387609
38,2171558744,0.678767,-0.277434,-162.075607,-0.024930,-0.017270,0.373793
39,2171575411,0.677508,-0.276381,-162.075790,-0.025906,-0.013267,0.392335
40,2171592078,0.677452,-0.275246,-162.077087,-0.014240,-0.011101,0.362392
41,2171608745,0.677634,-0.276492,-162.077026,-0.016867,-0.016256,0.389131
42,2171625412,0.677978,-0.277560,-162.077393,-0.018114,-0.001239,0.352269
43,2171642079,0.676542,-0.277151,-162.076828,-0.029760,-0.005428,0.381874
44,2171658746,0.676115,-0.277247,-162.076935,-0.000050,-0.006803,0.364604
45,2171675413,0.675724,-0.278832,-162.077301,-0.004468,-0.013200,0.372607
46,2171692080,0.675579,-0.278571,-162.078445,-0.012529,0.000774,0.391628
47,2171708747,0.674761,-0.278422,-162.078659,-0.009470,-0.010238,0.359896
48,2171725414,0.675848,-0.278540,-162.077255,-0.016437,-0.001453,0.376416
49,2171742081,0.674960,-0.277575,-162.077896,-0.024118,-0.003756,0.380318
50,2171758748,0.674273,-0.277664,-162.078873,-0.005857,-0.005167,0.361215
51,2171775415,0.674269,-0.277914,-162.079285,-0.010436,-0.005014,0.355145
52,2171792082,0.674270,-0.277547,-162.079224,0.010104,0.004050,0.379586
53,2171808749,0.674050,-0.276636,-162.080048,-0.002545,-0.006694,0.370701
54,2171825416,0.671750,-0.277960,-162.081024,-0.024784,-0.000632,0.358233
55,2171842083,0.671085,-0.278738,-162.080963,-0.015804,0.003005,0.387244
56,2171858750,0.669853,-0.279650,-162.082474,-0.015619,0.004223,0.354742
57,2171875417,0.669517,-0.278874,-162.082596,-0.007457,-0.000445,0.367379
58,2171892084,0.669159,-0.278414,-162.084274,-0.024574,-0.001038,0.390967
59,2171908751,0.667327,-0.280459,-162.085068,-0.011548,0.009827,0.375842
60,2171925418,0.667879,-0.280601,-162.086563,-0.003043,-0.012574,0.363791
61,2171942085,0.667248,-0.280035,-162.085861,-0.009556,-0.007592,0.378737
62,2171958752,0.666472,-0.279126,-162.086151,-0.023179,-0.001913,0.369492
63,2171975419,0.666177,-0.279053,-162.086487,-0.017412,-0.002205,0.371740
64,2171992086,0.665649,-0.280590,-162.086182,-0.012815,0.007762,0.366779
65,2172008753,0.665141,-0.279669,-162.086472,-0.020409,0.004235,0.390161
66,2172025420,0.664753,-0.278556,-162.086670,-0.012716,0.004577,0.366562
67,2172042087,0.662587,-0.279327,-162.087006,-0.023936,0.003556,0.369070
68,2172058754,0.661479,-0.278208,-162.086853,-0.012367,0.011833,0.390344
69,2172075421,0.660559,-0.277485,-162.087357,-0.017978,-0.010613,0.378894
