sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:06:05_136 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2676918851,-11.131421,48.543072,66.366867,-0.017782,-0.111220,-0.314590
2,2676935518,-11.144945,48.540611,66.355835,-0.022090,-0.127193,-0.332919
3,2676952185,-11.155401,48.538525,66.347694,-0.013433,-0.118503,-0.332681
4,2676968852,-11.168549,48.536041,66.336662,-0.030263,-0.117935,-0.330677
5,2676985519,-11.181194,48.534130,66.324028,-0.018041,-0.110756,-0.334864
6,2677002186,-11.192885,48.533031,66.311150,-0.009942,-0.125521,-0.321241
7,2677018853,-11.198768,48.532619,66.304840,-0.006933,-0.131026,-0.327088
8,2677035520,-11.202740,48.532494,66.302254,0.001825,-0.125146,-0.328521
9,2677052187,-11.203476,48.534576,66.305206,-0.029817,-0.120820,-0.326273
10,2677068854,-11.205012,48.535934,66.305725,-0.016908,-0.122070,-0.339445
11,2677085521,-11.206562,48.537201,66.302536,-0.023845,-0.119960,-0.325257
12,2677102188,-11.206744,48.540115,66.305824,-0.008080,-0.129533,-0.332393
13,2677118855,-11.204484,48.543350,66.311081,-0.023974,-0.120736,-0.341256
14,2677135522,-11.202853,48.544712,66.305527,-0.007698,-0.105812,-0.316113
15,2677152189,-11.201449,48.545410,66.313507,-0.033844,-0.136222,-0.339081
16,2677168856,-11.196255,48.548645,66.321678,-0.027059,-0.100700,-0.324463
17,2677185523,-11.191232,48.550228,66.328415,-0.006606,-0.131153,-0.339328
18,2677202190,-11.187015,48.552265,66.333961,-0.028456,-0.126499,-0.328880
19,2677218857,-11.180879,48.552734,66.340179,-0.039035,-0.108323,-0.331584
20,2677235524,-11.172756,48.553944,66.346901,-0.011522,-0.113028,-0.320332
21,2677252191,-11.166781,48.557133,66.344040,-0.024238,-0.100395,-0.314891
22,2677268858,-11.163769,48.559071,66.342369,-0.027867,-0.113261,-0.340240
23,2677285525,-11.161378,48.560532,66.344391,-0.027996,-0.115566,-0.341942
24,2677302192,-11.156810,48.562199,66.353912,-0.011315,-0.117453,-0.330645
25,2677318859,-11.154225,48.564491,66.357513,-0.011807,-0.114123,-0.325487
26,2677335526,-11.151339,48.565460,66.353729,-0.008028,-0.116753,-0.331163
27,2677352193,-11.145824,48.567947,66.358345,-0.026994,-0.124853,-0.333152
28,2677368860,-11.141489,48.569553,66.361488,-0.019735,-0.118109,-0.326732
29,2677385527,-11.133669,48.573063,66.374901,-0.015852,-0.110673,-0.331159
30,2677402194,-11.126838,48.577148,66.382484,-0.027691,-0.108561,-0.344233
31,2677418861,-11.120383,48.581394,66.388664,-0.012017,-0.116026,-0.310510
32,2677435528,-11.113143,48.584469,66.394272,-0.011354,-0.105220,-0.318768
33,2677452195,-11.106215,48.586529,66.409004,-0.024622,-0.120568,-0.333939
34,2677468862,-11.100768,48.590836,66.411552,0.006735,-0.125709,-0.313874
35,2677485529,-11.096292,48.594540,66.417770,-0.019206,-0.106073,-0.343946
36,2677502196,-11.089806,48.598625,66.416924,-0.022301,-0.120490,-0.334511
37,2677518863,-11.083212,48.604710,66.423286,-0.008080,-0.112665,-0.332503
38,2677535530,-11.077964,48.608181,66.428986,-0.050868,-0.115830,-0.331632
39,2677552197,-11.072452,48.612453,66.435257,-0.024481,-0.107103,-0.329113
40,2677568864,-11.065441,48.617062,66.443825,-0.012948,-0.114924,-0.336524
41,2677585531,-11.058466,48.621502,66.453651,-0.020895,-0.120369,-0.323997
42,2677602198,-11.052891,48.626411,66.465210,-0.028625,-0.115916,-0.323185
43,2677618865,-11.050879,48.631748,66.466766,-0.012828,-0.123431,-0.331986
44,2677635532,-11.047649,48.636440,66.463989,-0.030930,-0.102788,-0.318918
45,2677652199,-11.042978,48.640434,66.473305,-0.023059,-0.100989,-0.321150
46,2677668866,-11.040077,48.643944,66.475327,-0.010824,-0.106128,-0.344167
47,2677685533,-11.038050,48.647690,66.482460,-0.015416,-0.117733,-0.323664
48,2677702200,-11.035650,48.652287,66.487923,-0.030184,-0.123521,-0.324376
49,2677718867,-11.030422,48.655540,66.495392,-0.010868,-0.117118,-0.328494
50,2677735534,-11.025711,48.658405,66.481110,-0.029571,-0.125425,-0.333705
51,2677752201,-11.022536,48.660774,66.486038,-0.011042,-0.117305,-0.329032
52,2677768868,-11.016205,48.663528,66.494225,-0.013924,-0.113162,-0.343058
53,2677785535,-11.011626,48.664444,66.492752,-0.028103,-0.107464,-0.327770
54,2677802202,-11.010514,48.665329,66.492432,-0.018056,-0.109439,-0.334397
55,2677818869,-11.009626,48.666096,66.492729,-0.020036,-0.131122,-0.333207
56,2677835536,-11.007503,48.666111,66.494164,-0.013680,-0.111315,-0.311102
57,2677852203,-11.006567,48.666927,66.490257,-0.012663,-0.116423,-0.332133
58,2677868870,-11.004952,48.666553,66.494751,-0.027853,-0.102691,-0.313563
59,2677885537,-11.003390,48.666058,66.490547,-0.019185,-0.110581,-0.328948
60,2677902204,-11.004094,48.665718,66.494949,-0.025538,-0.108964,-0.325771
61,2677918871,-11.004504,48.666241,66.490448,-0.019117,-0.125548,-0.333018
62,2677935538,-11.003710,48.665733,66.491814,0.004625,-0.109623,-0.314989
63,2677952205,-11.002400,48.666759,66.491920,-0.023132,-0.112312,-0.338627
64,2677968872,-11.000690,48.666569,66.490868,-0.013083,-0.109712,-0.321500
65,2677985539,-10.999675,48.666237,66.491463,-0.020027,-0.120408,-0.337121
66,2678002206,-10.997430,48.666203,66.489464,-0.020331,-0.117263,-0.332414
67,2678018873,-10.994752,48.666275,66.495659,-0.017423,-0.115750,-0.326859
68,2678035540,-10.992274,48.665890,66.494812,-0.005515,-0.115658,-0.322865
69,2678052207,-10.990111,48.665829,66.490105,-0.027524,-0.095651,-0.336349
70,2678068874,-10.990415,48.665878,66.488556,-0.025807,-0.113168,-0.313984
71,2678085541,-10.988610,48.664703,66.487297,-0.021239,-0.100134,-0.312654
72,2678102208,-10.988751,48.663948,66.489235,-0.039705,-0.111336,-0.321495
73,2678118875,-10.987249,48.662792,66.487602,-0.026457,-0.121616,-0.313793
74,2678135542,-10.985527,48.663132,66.485680,-0.007658,-0.117630,-0.329447
75,2678152209,-10.984969,48.662785,66.483498,-0.009798,-0.115893,-0.324210
76,2678168876,-10.984613,48.663548,66.474602,-0.026366,-0.124125,-0.326657
77,2678185543,-10.986354,48.664497,66.477730,-0.011495,-0.116146,-0.314918
78,2678202210,-10.984468,48.663113,66.481903,-0.015378,-0.112024,-0.323093
79,2678218877,-10.985074,48.663643,66.471016,-0.008270,-0.115587,-0.308191
80,2678235544,-10.986037,48.663204,66.464821,-0.017377,-0.122087,-0.314855
81,2678252211,-10.985165,48.663296,66.463821,-0.013881,-0.120411,-0.332070
82,2678268878,-10.983925,48.663712,66.464561,-0.013845,-0.119979,-0.339101
83,2678285545,-10.982174,48.664627,66.468315,-0.018751,-0.125049,-0.338144
84,2678302212,-10.982092,48.665993,66.470718,-0.022123,-0.106532,-0.333755
85,2678318879,-10.981842,48.667545,66.470436,-0.018871,-0.124664,-0.332475
86,2678335546,-10.980598,48.668915,66.468552,-0.033500,-0.114950,-0.338557
87,2678352213,-10.980241,48.670437,66.468643,-0.026859,-0.111459,-0.323399
88,2678368880,-10.978609,48.671661,66.479622,-0.013094,-0.121331,-0.323262
89,2678385547,-10.978425,48.671703,66.474907,-0.012654,-0.110600,-0.329855
90,2678402214,-10.977808,48.672703,66.480019,-0.008818,-0.113554,-0.307335
91,2678418881,-10.978065,48.672508,66.477707,-0.016260,-0.121430,-0.338744
92,2678435548,-10.977775,48.673801,66.474258,-0.018214,-0.111582,-0.323123
93,2678452215,-10.976323,48.674786,66.476440,-0.017426,-0.122412,-0.336642
94,2678468882,-10.974066,48.676422,66.481560,-0.012946,-0.103035,-0.332365
95,2678485549,-10.973593,48.678432,66.480377,-0.026618,-0.128657,-0.333348
96,2678502216,-10.974538,48.679237,66.484695,-0.020256,-0.114194,-0.329115
97,2678518883,-10.973415,48.680290,66.482162,-0.019045,-0.099478,-0.307373
98,2678535550,-10.975643,48.681335,66.481865,-0.018649,-0.127052,-0.321339
99,2678552217,-10.975925,48.681087,66.481972,-0.003177,-0.119545,-0.317659
100,2678568884,-10.974043,48.682060,66.483574,-0.018736,-0.124612,-0.318385
101,2678585551,-10.973434,48.683773,66.486671,-0.009839,-0.119113,-0.326233
102,2678602218,-10.970922,48.686226,66.491226,-0.019274,-0.089809,-0.334420
103,2678618885,-10.968080,48.687759,66.498589,-0.021098,-0.116095,-0.334678
104,2678635552,-10.967948,48.690002,66.498878,-0.022925,-0.122598,-0.330906
105,2678652219,-10.965376,48.691216,66.499649,-0.015386,-0.124649,-0.324534
106,2678668886,-10.962566,48.691139,66.502258,-0.020201,-0.111415,-0.327961
107,2678685553,-10.962992,48.692902,66.502663,-0.024469,-0.102452,-0.331349
108,2678702220,-10.962569,48.693138,66.502281,-0.007054,-0.109220,-0.317675
109,2678718887,-10.962852,48.693668,66.491905,-0.046838,-0.122294,-0.335253
110,2678735554,-10.965133,48.692585,66.492661,-0.010133,-0.133570,-0.319728
111,2678752221,-10.964719,48.693756,66.492867,-0.025738,-0.109440,-0.337468
112,2678768888,-10.968349,48.694847,66.495590,-0.012892,-0.111695,-0.322460
113,2678785555,-10.972858,48.696510,66.499756,-0.016112,-0.100590,-0.338486
114,2678802222,-10.976623,48.698135,66.495712,-0.032338,-0.124931,-0.331458
115,2678818889,-10.979547,48.699745,66.498474,-0.020526,-0.118491,-0.333902
116,2678835556,-10.979011,48.700226,66.500153,-0.034611,-0.125822,-0.332189
117,2678852223,-10.978132,48.702946,66.503922,-0.022590,-0.108794,-0.322450
118,2678868890,-10.977397,48.704781,66.504539,-0.022520,-0.131864,-0.326956
119,2678885557,-10.976460,48.707516,66.506317,-0.027164,-0.107761,-0.323592
120,2678902224,-10.975631,48.710194,66.504128,-0.030218,-0.105601,-0.339916
121,2678918891,-10.975519,48.712875,66.504234,-0.016252,-0.119279,-0.317660
122,2678935558,-10.973622,48.714867,66.504898,-0.022238,-0.118287,-0.316805
123,2678952225,-10.971240,48.716869,66.505814,-0.002660,-0.113969,-0.307543
124,2678968892,-10.967424,48.719841,66.505089,-0.019604,-0.119144,-0.315223
125,2678985559,-10.963680,48.722694,66.510811,-0.003122,-0.130396,-0.326054
126,2679002226,-10.961334,48.725945,66.517815,-0.023220,-0.114809,-0.331340
127,2679018893,-10.958468,48.728836,66.510475,-0.031381,-0.123242,-0.324215
128,2679035560,-10.952919,48.731148,66.519081,-0.021007,-0.117656,-0.337576
129,2679052227,-10.946036,48.731594,66.516090,-0.038279,-0.127145,-0.320110
130,2679068894,-10.925404,48.731804,66.533676,-0.035487,-0.177222,-0.350477
131,2679085561,-10.907495,48.731480,66.541504,-0.031102,-0.107317,-0.324224
132,2679102228,-10.891133,48.733395,66.546455,-0.014619,-0.118862,-0.318217
133,2679118895,-10.878398,48.737785,66.547386,-0.015302,-0.109166,-0.317572
134,2679135562,-10.866895,48.743195,66.543846,-0.015043,-0.119954,-0.344545
135,2679152229,-10.848091,48.751202,66.554070,-0.019006,-0.141893,-0.354150
136,2679168896,-10.821529,48.758358,66.568657,-0.015537,-0.126946,-0.352399
137,2679185563,-10.786325,48.766693,66.594833,-0.014677,-0.125300,-0.337217
138,2679202230,-10.751189,48.774254,66.625694,-0.010064,-0.106704,-0.323024
139,2679218897,-10.719604,48.781136,66.648468,-0.009454,-0.102513,-0.330816
140,2679235564,-10.691573,48.788868,66.683350,-0.015407,-0.123951,-0.344036
141,2679252231,-10.670726,48.794891,66.707558,-0.017244,-0.069118,-0.314091
142,2679268898,-10.662209,48.801105,66.724373,-0.032122,-0.118150,-0.346751
143,2679285565,-10.657619,48.802155,66.738609,-0.012438,-0.104158,-0.314020
144,2679302232,-10.647586,48.806274,66.756355,-0.021115,-0.128164,-0.325027
145,2679318899,-10.625587,48.808441,66.786133,-0.018378,-0.095651,-0.327957
146,2679335566,-10.609928,48.808033,66.803482,-0.043320,-0.101739,-0.322116
147,2679352233,-10.595394,48.803997,66.816261,-0.009163,-0.096779,-0.329981
148,2679368900,-10.586144,48.802990,66.833542,-0.005498,-0.149988,-0.330711
149,2679385567,-10.565103,48.801601,66.859680,-0.029179,-0.129562,-0.329953
150,2679402234,-10.541327,48.798958,66.888458,0.003094,-0.153670,-0.338087
151,2679418901,-10.516070,48.796909,66.914627,-0.003635,-0.087469,-0.333043
152,2679435568,-10.496494,48.797249,66.949684,-0.017042,-0.127874,-0.343843
153,2679452235,-10.475916,48.797070,66.981171,-0.030867,-0.100161,-0.320374
154,2679468902,-10.458002,48.795494,67.011185,-0.049280,-0.066872,-0.300282
155,2679485569,-10.455703,48.780201,67.022949,-0.091033,0.022508,-0.271706
156,2679502236,-10.470775,48.758606,67.009659,-0.029398,-0.106475,-0.298526
157,2679518903,-10.492600,48.736195,66.988503,-0.017590,-0.077852,-0.281864
158,2679535570,-10.530888,48.715668,66.947334,0.024954,-0.072201,-0.316324
159,2679552237,-10.586699,48.702888,66.900894,0.026880,-0.095035,-0.301988
