sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:07:01_547 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2733453315,-109.358032,-87.750404,-100.238708,0.463177,-0.448852,0.016218
2,2733469982,-109.107803,-87.727982,-100.689499,0.379767,-0.401960,-0.010136
3,2733486649,-109.085594,-87.693016,-100.948753,0.260947,-0.189252,0.034670
4,2733503316,-108.963608,-87.645660,-101.316368,0.290436,-0.048654,0.054604
5,2733519983,-108.745728,-87.590683,-101.793892,0.331145,0.036002,0.093909
6,2733536650,-108.286118,-87.532562,-102.482803,0.348925,0.020248,0.083241
7,2733553317,-107.691002,-87.474464,-103.272873,0.348469,-0.047002,0.019341
8,2733569984,-107.549973,-87.409126,-103.623222,0.425750,-0.124177,0.067323
9,2733586651,-107.330200,-87.345985,-104.038528,0.412928,-0.132219,0.081062
10,2733603318,-107.164726,-87.287407,-104.380814,0.368066,-0.189171,0.069869
11,2733619985,-107.036331,-87.232613,-104.678421,0.236795,-0.160406,0.074639
12,2733636652,-107.063011,-87.172501,-104.826553,0.196930,-0.112870,0.041055
13,2733653319,-107.094009,-87.119354,-104.950027,0.189811,-0.082806,-0.028081
14,2733669986,-107.235146,-87.075241,-104.942566,0.242670,-0.065844,0.001772
15,2733686653,-107.449600,-87.036545,-104.858047,0.254084,-0.032837,0.132432
16,2733703320,-107.466034,-87.003960,-104.938492,0.257915,-0.084974,0.167175
17,2733719987,-107.426460,-86.979752,-105.045090,0.204328,-0.186219,0.080452
18,2733736654,-107.536110,-86.961205,-105.002563,0.226527,-0.250928,0.009466
19,2733753321,-107.779404,-86.950340,-104.819550,0.199536,-0.188373,0.020619
20,2733769988,-107.965225,-86.952583,-104.657791,0.108331,-0.075049,0.094275
21,2733786655,-108.071815,-86.963715,-104.558258,0.182397,-0.076954,0.059925
22,2733803322,-108.152710,-86.973404,-104.474121,0.206646,-0.120719,0.043699
23,2733819989,-108.336662,-86.977936,-104.286896,0.236513,-0.200186,-0.018835
24,2733836656,-108.685936,-86.976898,-103.945869,0.194061,-0.172251,0.042755
25,2733853323,-108.916206,-86.979881,-103.728783,0.193708,-0.080493,0.100466
26,2733869990,-108.934174,-86.986305,-103.706665,0.227581,-0.025094,0.105101
27,2733886657,-108.832596,-87.002129,-103.774384,0.235939,-0.042908,0.056242
28,2733903324,-108.725700,-87.017578,-103.811111,0.285604,-0.037427,-0.001288
29,2733919991,-108.852600,-87.025665,-103.616463,0.291998,-0.066525,0.025311
30,2733936658,-109.006180,-87.030342,-103.409470,0.251448,-0.088233,0.081827
31,2733953325,-108.939301,-87.032646,-103.432388,0.202790,-0.055634,0.088571
32,2733969992,-108.655670,-87.040581,-103.652206,0.209012,-0.072479,0.067762
33,2733986659,-108.368004,-87.052109,-103.848724,0.233864,-0.138507,0.033540
34,2734003326,-108.173531,-87.069626,-103.932770,0.234694,-0.153822,0.027719
35,2734019993,-108.190544,-87.084160,-103.821358,0.187855,-0.136813,0.090709
36,2734036660,-108.178932,-87.103020,-103.743958,0.167883,-0.115634,0.086536
37,2734053327,-108.038994,-87.124115,-103.788620,0.228099,-0.138327,0.043538
38,2734069994,-107.863319,-87.150230,-103.861053,0.275206,-0.156670,0.032921
39,2734086661,-107.815338,-87.174583,-103.801491,0.302653,-0.161474,0.038817
40,2734103328,-107.810181,-87.193832,-103.693275,0.263593,-0.106263,0.100745
41,2734119995,-107.799980,-87.215126,-103.610909,0.248104,-0.062079,0.044808
42,2734136662,-107.786217,-87.236649,-103.546547,0.233301,-0.129703,0.070594
43,2734153329,-107.495590,-87.261482,-103.741768,0.227960,-0.207539,0.046278
44,2734169996,-107.190605,-87.287331,-103.937927,0.208029,-0.214753,0.011528
45,2734186663,-107.152908,-87.308266,-103.883820,0.219652,-0.204837,0.082315
46,2734203330,-107.116653,-87.327461,-103.855293,0.278917,-0.205680,0.066749
47,2734219997,-107.263588,-87.345245,-103.656944,0.219061,-0.188469,0.032617
48,2734236664,-107.411575,-87.364487,-103.457176,0.153085,-0.132971,0.097815
49,2734253331,-107.310913,-87.383636,-103.477928,0.175769,-0.088395,0.118051
50,2734269998,-107.023735,-87.405655,-103.657906,0.221065,-0.155764,-0.008250
51,2734286665,-106.863358,-87.420784,-103.733574,0.212137,-0.228848,0.010504
52,2734303332,-107.011337,-87.427780,-103.552925,0.175333,-0.301835,0.030851
53,2734319999,-107.189316,-87.430672,-103.373230,0.165133,-0.284326,0.104815
54,2734336666,-107.121712,-87.442505,-103.441635,0.219367,-0.225799,0.072484
