sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:07:01_579 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2733436648,-58.584621,-82.134491,107.805603,-0.474135,-0.505951,0.088107
2,2733453315,-58.733078,-82.131714,107.943336,-0.449042,-0.393960,0.047771
3,2733469982,-58.949547,-82.131348,108.130478,-0.321238,-0.389294,0.080383
4,2733486649,-59.129803,-82.131363,108.261932,-0.191362,-0.401995,0.178039
5,2733503316,-59.210705,-82.132141,108.273911,-0.036236,-0.317852,0.205882
6,2733519983,-59.245636,-82.142479,108.245232,0.036839,-0.313407,0.171976
7,2733536650,-59.232433,-82.161911,108.198387,0.035465,-0.362511,0.133627
8,2733553317,-59.199203,-82.186890,108.150558,-0.132246,-0.368975,0.140778
9,2733569984,-59.146187,-82.215355,108.072365,-0.233674,-0.391806,0.168661
10,2733586651,-59.075630,-82.247612,107.958206,-0.263840,-0.388125,0.170588
11,2733603318,-58.982544,-82.276733,107.792259,-0.285134,-0.306855,0.204974
12,2733619985,-58.858917,-82.307213,107.579971,-0.199449,-0.215606,0.165812
13,2733636652,-58.750393,-82.338638,107.397133,-0.140025,-0.174666,0.109661
14,2733653319,-58.658916,-82.371208,107.253281,-0.221988,-0.195888,0.042530
15,2733669986,-58.600197,-82.401855,107.151764,-0.213268,-0.259779,0.096055
16,2733686653,-58.553669,-82.429283,107.069839,-0.239256,-0.248426,0.132016
17,2733703320,-58.528301,-82.454391,107.020920,-0.290110,-0.213722,0.126870
18,2733719987,-58.474747,-82.471855,106.945404,-0.362443,-0.212937,0.150967
19,2733736654,-58.474556,-82.485458,106.925705,-0.357588,-0.174288,0.088693
20,2733753321,-58.536797,-82.490944,106.966873,-0.278696,-0.168859,0.088289
21,2733769988,-58.629082,-82.495178,107.048332,-0.199623,-0.185643,0.139277
22,2733786655,-58.715702,-82.496750,107.142059,-0.168026,-0.200595,0.120051
23,2733803322,-58.796768,-82.496407,107.236145,-0.199420,-0.241188,0.156497
24,2733819989,-58.882652,-82.495331,107.332001,-0.245014,-0.267983,0.126552
25,2733836656,-58.949928,-82.491203,107.399544,-0.219270,-0.244402,0.128781
26,2733853323,-58.993717,-82.486374,107.438644,-0.170489,-0.271509,0.151331
27,2733869990,-59.029041,-82.481590,107.474525,-0.156460,-0.287304,0.170203
28,2733886657,-59.018024,-82.478897,107.467827,-0.075814,-0.280531,0.149181
29,2733903324,-58.987217,-82.477127,107.455353,-0.072692,-0.257607,0.153266
30,2733919991,-58.903709,-82.475304,107.398674,-0.138139,-0.283290,0.130774
31,2733936658,-58.781204,-82.473717,107.307999,-0.132564,-0.286856,0.131310
32,2733953325,-58.680450,-82.476295,107.241928,-0.236703,-0.293047,0.107767
33,2733969992,-58.558022,-82.477859,107.144272,-0.186730,-0.296257,0.165987
34,2733986659,-58.420158,-82.476738,107.034805,-0.180767,-0.260451,0.147376
35,2734003326,-58.293297,-82.474548,106.941841,-0.180609,-0.228779,0.103677
36,2734019993,-58.175072,-82.469360,106.861656,-0.190568,-0.169164,0.128526
37,2734036660,-58.063133,-82.465378,106.793465,-0.274275,-0.239970,0.108243
38,2734053327,-57.957310,-82.458504,106.734688,-0.265230,-0.303591,0.091536
39,2734069994,-57.814999,-82.448982,106.635025,-0.250145,-0.326607,0.149909
40,2734086661,-57.672615,-82.441216,106.524208,-0.197132,-0.293721,0.142827
41,2734103328,-57.539326,-82.433487,106.427940,-0.069984,-0.265312,0.131603
42,2734119995,-57.416920,-82.430817,106.352577,-0.083176,-0.247330,0.134376
43,2734136662,-57.302219,-82.431747,106.274155,-0.385175,-0.323527,0.137033
44,2734153329,-57.205006,-82.426514,106.192177,-0.273357,-0.255728,0.103992
45,2734169996,-57.146580,-82.424622,106.135735,-0.222552,-0.242783,0.135719
46,2734186663,-57.108467,-82.422783,106.099991,-0.254284,-0.261045,0.115404
47,2734203330,-57.100666,-82.418739,106.100777,-0.194047,-0.216683,0.074451
48,2734219997,-57.100449,-82.415352,106.117783,-0.258905,-0.251887,0.110699
49,2734236664,-57.106091,-82.408707,106.131508,-0.205858,-0.290562,0.181773
