sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:07:01_566 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2733419981,-0.390081,-0.228213,-153.764435,0.154348,0.122544,0.356013
2,2733436648,-0.388115,-0.228985,-153.764114,0.141801,0.126787,0.383036
3,2733453315,-0.387167,-0.230662,-153.764053,0.131756,0.120587,0.379281
4,2733469982,-0.385944,-0.232172,-153.763550,0.139541,0.131866,0.351736
5,2733486649,-0.384766,-0.232795,-153.763931,0.135099,0.132719,0.380464
6,2733503316,-0.382391,-0.232793,-153.763794,0.136389,0.125741,0.360256
7,2733519983,-0.381353,-0.234836,-153.762985,0.149341,0.126821,0.358708
8,2733536650,-0.379859,-0.234843,-153.763458,0.145214,0.135449,0.345525
9,2733553317,-0.377833,-0.236371,-153.763809,0.136636,0.130567,0.353158
10,2733569984,-0.374486,-0.237212,-153.764023,0.148772,0.145395,0.358673
11,2733586651,-0.373001,-0.238753,-153.763931,0.135042,0.119544,0.387624
12,2733603318,-0.370468,-0.238597,-153.765213,0.134305,0.127125,0.349974
13,2733619985,-0.368423,-0.238850,-153.765015,0.150947,0.124418,0.370197
14,2733636652,-0.366460,-0.238742,-153.764847,0.152126,0.133329,0.376037
15,2733653319,-0.364659,-0.239582,-153.765457,0.140528,0.141164,0.369612
16,2733669986,-0.362357,-0.240872,-153.764847,0.136871,0.120337,0.359742
17,2733686653,-0.360689,-0.241418,-153.764694,0.145571,0.136859,0.380872
18,2733703320,-0.358524,-0.241618,-153.764465,0.138754,0.132695,0.358565
19,2733719987,-0.356702,-0.242319,-153.764572,0.137707,0.139331,0.367599
20,2733736654,-0.355116,-0.243325,-153.764191,0.133833,0.116826,0.390543
21,2733753321,-0.352767,-0.244699,-153.763718,0.140848,0.129200,0.367832
22,2733769988,-0.350832,-0.245813,-153.764221,0.132909,0.132322,0.381972
23,2733786655,-0.349627,-0.246072,-153.763962,0.139970,0.127560,0.355210
