sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:08:49_304 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2841138802,-41.439606,-76.219978,57.244415,-0.161421,0.043712,0.178755
2,2841155469,-41.423111,-76.221405,57.270561,-0.150551,0.000287,0.206738
3,2841172136,-41.411888,-76.222435,57.289875,-0.156946,0.107597,0.200109
4,2841188803,-41.414543,-76.223686,57.310772,-0.159013,0.103715,0.159803
5,2841205470,-41.443363,-76.226204,57.336357,-0.094688,0.014470,0.186138
6,2841222137,-41.464550,-76.226921,57.365223,-0.118463,-0.019850,0.154395
7,2841238804,-41.483261,-76.227455,57.380783,-0.103833,-0.017582,0.217587
8,2841255471,-41.492138,-76.226463,57.409023,-0.075784,-0.007535,0.220808
9,2841272138,-41.503819,-76.226669,57.419815,-0.085780,0.038664,0.161537
10,2841288805,-41.516312,-76.229576,57.413204,-0.089886,-0.000814,0.150733
11,2841305472,-41.522663,-76.232864,57.401920,-0.093293,-0.044433,0.212412
12,2841322139,-41.509163,-76.237228,57.376602,-0.112989,-0.051289,0.184041
13,2841338806,-41.507332,-76.244667,57.367554,-0.065939,0.014191,0.173600
14,2841355473,-41.500988,-76.249199,57.356583,-0.102697,0.055223,0.191183
15,2841372140,-41.484787,-76.251686,57.340591,-0.112171,0.041412,0.194907
16,2841388807,-41.470051,-76.253029,57.323601,-0.093588,0.030676,0.179749
17,2841405474,-41.462971,-76.253586,57.311394,-0.124112,-0.011238,0.212605
18,2841422141,-41.442493,-76.253899,57.304291,-0.108062,-0.008517,0.196301
19,2841438808,-41.421299,-76.256042,57.272751,-0.101698,0.003097,0.144338
20,2841455475,-41.402843,-76.258560,57.236233,-0.112282,0.037653,0.183288
21,2841472142,-41.377712,-76.262016,57.206470,-0.096162,0.017744,0.177665
22,2841488809,-41.354748,-76.263199,57.173260,-0.102601,-0.007230,0.181416
23,2841505476,-41.332085,-76.264557,57.156662,-0.106098,-0.038924,0.173398
24,2841522143,-41.307617,-76.267937,57.146355,-0.096508,-0.033672,0.164620
25,2841538810,-41.275162,-76.269753,57.135197,-0.111890,0.021776,0.178725
26,2841555477,-41.254768,-76.272354,57.115330,-0.121085,0.019369,0.195207
27,2841572144,-41.235668,-76.274338,57.102810,-0.119084,0.050901,0.177099
28,2841588811,-41.218983,-76.275162,57.097874,-0.125018,0.083273,0.176521
29,2841605478,-41.217564,-76.273102,57.100471,-0.181933,0.139420,0.176621
30,2841622145,-41.234653,-76.269470,57.107094,-0.196326,0.117258,0.193000
31,2841638812,-41.266125,-76.262589,57.127857,-0.180110,0.108787,0.171869
32,2841655479,-41.319557,-76.251961,57.159393,-0.168012,0.083338,0.181774
33,2841672146,-41.404144,-76.238960,57.250080,-0.153658,0.106886,0.173925
34,2841688813,-41.495831,-76.226334,57.342838,-0.174332,0.013556,0.199792
35,2841705480,-41.586647,-76.212669,57.444923,-0.139726,0.034831,0.174122
36,2841722147,-41.688953,-76.199265,57.554863,-0.133732,0.078681,0.174893
37,2841738814,-41.803593,-76.186211,57.651646,-0.112405,0.050032,0.185956
38,2841755481,-41.922329,-76.173080,57.750748,-0.118929,0.018639,0.186208
39,2841772148,-42.036610,-76.162621,57.845802,-0.068421,-0.035556,0.172196
40,2841788815,-42.133934,-76.153519,57.921581,-0.043741,-0.098744,0.193829
41,2841805482,-42.222622,-76.143417,57.983109,-0.053818,-0.056056,0.194630
42,2841822149,-42.308262,-76.136818,58.056820,-0.094039,-0.022265,0.169456
43,2841838816,-42.391937,-76.131836,58.108505,-0.129665,-0.010220,0.175924
44,2841855483,-42.462296,-76.125801,58.161392,-0.129558,0.027919,0.211278
45,2841872150,-42.536354,-76.117828,58.219494,-0.112999,0.070590,0.197611
46,2841888817,-42.622734,-76.110611,58.288555,-0.128235,0.066731,0.172522
47,2841905484,-42.724354,-76.104103,58.360401,-0.134663,0.013566,0.171111
48,2841922151,-42.846336,-76.097260,58.462166,-0.155868,0.029527,0.190580
49,2841938818,-42.970905,-76.088547,58.563202,-0.137119,0.043349,0.190095
50,2841955485,-43.090076,-76.078354,58.664783,-0.093529,0.037835,0.164783
51,2841972152,-43.217453,-76.066673,58.783695,-0.080648,0.065401,0.169760
52,2841988819,-43.339592,-76.053024,58.871971,-0.092610,0.014988,0.227069
53,2842005486,-43.453892,-76.040886,58.942593,-0.070966,-0.066806,0.226337
54,2842022153,-43.554356,-76.030403,59.030552,-0.095930,-0.053078,0.187819
55,2842038820,-43.641644,-76.021080,59.090984,-0.091866,-0.030809,0.154085
56,2842055487,-43.744335,-76.016953,59.176228,-0.055619,-0.024406,0.167819
57,2842072154,-43.843544,-76.016670,59.251511,-0.051020,-0.081811,0.245238
58,2842088821,-43.911015,-76.016800,59.353695,-0.037113,-0.103111,0.234805
59,2842105488,-43.966995,-76.017334,59.409882,-0.035252,-0.008584,0.166390
60,2842122155,-44.010681,-76.019676,59.446934,-0.127423,0.024598,0.169131
61,2842138822,-44.045135,-76.020363,59.467575,-0.071924,-0.003929,0.169206
62,2842155489,-44.064762,-76.022858,59.472637,-0.046467,-0.066138,0.187027
63,2842172156,-44.063465,-76.025337,59.494766,-0.077006,-0.040571,0.210960
64,2842188823,-44.064674,-76.026321,59.505081,-0.106722,0.021692,0.181600
65,2842205490,-44.077492,-76.029282,59.510113,-0.117001,0.012350,0.202583
66,2842222157,-44.061901,-76.033882,59.514019,-0.080515,-0.052090,0.205516
67,2842238824,-44.060768,-76.044243,59.525646,-0.054350,-0.018091,0.164948
68,2842255491,-44.050049,-76.054924,59.523945,-0.080065,-0.025242,0.194108
69,2842272158,-44.022831,-76.067795,59.498932,-0.103636,-0.058153,0.203409
70,2842288825,-43.972847,-76.080757,59.455036,-0.062865,-0.019409,0.163472
71,2842305492,-43.911846,-76.093254,59.398952,-0.063445,-0.006327,0.185509
72,2842322159,-43.845520,-76.102470,59.359268,-0.121811,0.016505,0.228840
73,2842338826,-43.786217,-76.111618,59.293221,-0.107014,0.075351,0.182230
74,2842355493,-43.735497,-76.121140,59.252945,-0.156306,0.058435,0.173693
75,2842372160,-43.703182,-76.131599,59.242958,-0.135936,0.046432,0.163609
76,2842388827,-43.673782,-76.141594,59.184841,-0.118522,0.036427,0.177512
77,2842405494,-43.642124,-76.149475,59.156822,-0.127769,0.047027,0.176696
78,2842422161,-43.608387,-76.156036,59.104053,-0.099772,0.023858,0.200601
79,2842438828,-43.590546,-76.162086,59.100147,-0.114718,0.037586,0.152659
80,2842455495,-43.571457,-76.169365,59.079552,-0.125824,-0.017859,0.201450
81,2842472162,-43.532387,-76.176308,59.042732,-0.123212,-0.048558,0.236803
82,2842488829,-43.495499,-76.181793,59.009872,-0.121675,0.087877,0.149223
83,2842505496,-43.472195,-76.186661,58.986034,-0.108140,0.096272,0.146421
84,2842522163,-43.465889,-76.193855,58.954922,-0.097313,0.021741,0.208643
85,2842538830,-43.457176,-76.198677,58.947655,-0.096761,-0.004198,0.171661
86,2842555497,-43.450993,-76.204475,58.945160,-0.130677,0.041846,0.193483
87,2842572164,-43.444462,-76.209015,58.941734,-0.127409,0.036770,0.178768
88,2842588831,-43.440052,-76.213715,58.939922,-0.075691,-0.003560,0.150620
89,2842605498,-43.418480,-76.217125,58.922779,-0.105816,-0.011883,0.210218
90,2842622165,-43.390186,-76.215881,58.893669,-0.113663,0.043394,0.215064
91,2842638832,-43.354153,-76.215019,58.867706,-0.135713,0.044204,0.179991
92,2842655499,-43.322193,-76.214447,58.821861,-0.113711,0.035992,0.167212
93,2842672166,-43.299030,-76.213631,58.793041,-0.078878,0.013228,0.143072
94,2842688833,-43.292133,-76.214882,58.794373,-0.108981,-0.023182,0.189995
95,2842705500,-43.273121,-76.216667,58.788021,-0.092179,-0.042030,0.186798
96,2842722167,-43.248444,-76.219193,58.771786,-0.132507,0.019174,0.185626
97,2842738834,-43.237030,-76.221855,58.764061,-0.126648,0.069423,0.178376
98,2842755501,-43.236946,-76.224281,58.771069,-0.136796,0.076696,0.146988
99,2842772168,-43.235313,-76.226761,58.761246,-0.124555,0.012576,0.212617
100,2842788835,-43.235069,-76.227768,58.760315,-0.083483,-0.021130,0.191486
101,2842805502,-43.220627,-76.229942,58.739246,-0.092940,-0.006811,0.194841
102,2842822169,-43.210148,-76.229042,58.727100,-0.102719,0.041165,0.182449
103,2842838836,-43.201180,-76.228546,58.724300,-0.116794,0.009563,0.211821
104,2842855503,-43.191536,-76.227974,58.708118,-0.142294,0.047837,0.195740
105,2842872170,-43.174824,-76.225807,58.702225,-0.151830,0.021568,0.161110
106,2842888837,-43.168480,-76.225662,58.702560,-0.113167,0.000845,0.163814
107,2842905504,-43.173805,-76.226555,58.707287,-0.078705,0.011797,0.195148
108,2842922171,-43.169487,-76.227112,58.687294,-0.108533,0.019156,0.185259
109,2842938838,-43.168434,-76.228760,58.689323,-0.094550,0.011405,0.178680
110,2842955505,-43.166454,-76.230865,58.693195,-0.124453,0.035326,0.185419
111,2842972172,-43.179253,-76.230972,58.692139,-0.106132,0.030727,0.179188
112,2842988839,-43.193974,-76.232559,58.695606,-0.075520,-0.000332,0.199848
113,2843005506,-43.210148,-76.231903,58.708317,-0.100009,0.009702,0.164641
114,2843022173,-43.223644,-76.231964,58.725872,-0.136768,0.031668,0.183416
115,2843038840,-43.236961,-76.232735,58.734245,-0.113159,0.001703,0.219891
116,2843055507,-43.236046,-76.231674,58.740147,-0.113316,0.010346,0.175633
117,2843072174,-43.241245,-76.231544,58.704159,-0.140057,0.043612,0.172530
118,2843088841,-43.244652,-76.233070,58.712948,-0.117909,0.037787,0.217276
119,2843105508,-43.252796,-76.232086,58.730011,-0.122789,0.037961,0.200099
120,2843122175,-43.257786,-76.228714,58.731205,-0.126121,0.032940,0.181992
121,2843138842,-43.277596,-76.225212,58.751717,-0.065903,0.034626,0.158525
122,2843155509,-43.304428,-76.223892,58.782288,-0.113303,0.019926,0.186913
123,2843172176,-43.316151,-76.220657,58.790348,-0.135710,-0.021511,0.215181
124,2843188843,-43.328350,-76.218361,58.809719,-0.112203,-0.005725,0.159218
125,2843205510,-43.340630,-76.220398,58.836952,-0.104242,-0.020216,0.147265
126,2843222177,-43.349743,-76.223152,58.840870,-0.081960,-0.004784,0.205219
127,2843238844,-43.335953,-76.227272,58.828392,-0.081769,-0.043524,0.203542
128,2843255511,-43.320507,-76.232353,58.809952,-0.097888,0.005914,0.192100
129,2843272178,-43.292606,-76.235634,58.783524,-0.116959,0.017740,0.192903
130,2843288845,-43.275284,-76.237709,58.766827,-0.125929,0.019320,0.198598
