sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:08:49_298 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2841155469,11.977296,20.341145,-163.747986,0.013578,-0.051756,-0.415118
2,2841172136,11.975535,20.341080,-163.744888,0.011592,-0.047881,-0.429132
3,2841188803,11.974744,20.340532,-163.747620,0.013781,-0.041011,-0.416649
4,2841205470,11.974051,20.339918,-163.751114,0.003217,-0.038845,-0.421480
5,2841222137,11.973454,20.338806,-163.752396,-0.000038,-0.021709,-0.433273
6,2841238804,11.974849,20.339729,-163.753555,0.001995,-0.046274,-0.429737
7,2841255471,11.976543,20.342106,-163.754990,0.000113,-0.038230,-0.419193
8,2841272138,11.976749,20.343834,-163.755096,0.024146,-0.038671,-0.399911
9,2841288805,11.977707,20.343964,-163.752029,0.011491,-0.028206,-0.428919
10,2841305472,11.977227,20.343323,-163.756897,0.001043,-0.032378,-0.426329
11,2841322139,11.978496,20.342831,-163.763138,-0.001069,-0.033690,-0.440723
12,2841338806,11.978712,20.343416,-163.761749,0.006560,-0.029562,-0.424388
13,2841355473,11.977471,20.344114,-163.763153,0.007317,-0.037009,-0.435172
14,2841372140,11.975525,20.344364,-163.766998,0.005718,-0.040043,-0.422565
15,2841388807,11.973484,20.344200,-163.769043,0.005454,-0.039609,-0.433897
16,2841405474,11.971907,20.344524,-163.768600,-0.003326,-0.035260,-0.415028
17,2841422141,11.971212,20.346004,-163.772095,0.015818,-0.041142,-0.414868
18,2841438808,11.970611,20.346489,-163.770630,0.002780,-0.041492,-0.435317
19,2841455475,11.970016,20.346014,-163.769592,0.002693,-0.032527,-0.427827
20,2841472142,11.967197,20.346329,-163.774673,0.003830,-0.040774,-0.413597
21,2841488809,11.964646,20.345043,-163.774002,0.016371,-0.029486,-0.429747
22,2841505476,11.961975,20.344629,-163.771652,-0.001845,-0.036092,-0.419169
23,2841522143,11.959058,20.344374,-163.777420,0.018392,-0.042556,-0.422090
24,2841538810,11.957681,20.343332,-163.777008,0.013107,-0.024644,-0.420814
25,2841555477,11.953453,20.343199,-163.769287,0.005136,-0.031231,-0.432608
26,2841572144,11.950447,20.342413,-163.770920,0.010349,-0.038355,-0.417076
27,2841588811,11.948802,20.341629,-163.771011,0.005270,-0.036162,-0.418715
28,2841605478,11.945301,20.340439,-163.770081,-0.001176,-0.037682,-0.428814
29,2841622145,11.942954,20.338099,-163.758911,0.034248,-0.044162,-0.407619
30,2841638812,11.942425,20.335001,-163.756363,0.011903,-0.041569,-0.412648
31,2841655479,11.942295,20.331326,-163.758499,0.011221,-0.027417,-0.415590
32,2841672146,11.942691,20.327339,-163.755310,0.018029,-0.023652,-0.416493
33,2841688813,11.943163,20.324381,-163.743362,0.002206,-0.030033,-0.443620
34,2841705480,11.945902,20.321320,-163.731659,0.003524,-0.034667,-0.430098
35,2841722147,11.948586,20.319567,-163.723465,0.008918,-0.044862,-0.409892
36,2841738814,11.951808,20.318222,-163.720795,0.018634,-0.027182,-0.416669
37,2841755481,11.953793,20.315380,-163.719528,0.017748,-0.027499,-0.436011
38,2841772148,11.956738,20.311985,-163.716476,0.012657,-0.029094,-0.411229
39,2841788815,11.960007,20.310026,-163.714554,-0.001698,-0.011884,-0.429215
40,2841805482,11.961053,20.309298,-163.703690,0.001273,-0.042245,-0.440136
41,2841822149,11.962664,20.306684,-163.701309,0.015807,-0.028514,-0.426681
42,2841838816,11.964554,20.305292,-163.706665,0.009032,-0.021750,-0.413747
43,2841855483,11.965951,20.302988,-163.697937,0.000890,-0.036035,-0.426595
44,2841872150,11.968421,20.301262,-163.695328,0.010179,-0.036381,-0.415939
45,2841888817,11.970197,20.299595,-163.691452,0.001407,-0.036560,-0.420774
46,2841905484,11.972609,20.296629,-163.687073,-0.003964,-0.031149,-0.438623
47,2841922151,11.976301,20.294241,-163.682617,0.026742,-0.033887,-0.391428
48,2841938818,11.980951,20.291992,-163.677124,0.010636,-0.031535,-0.422852
49,2841955485,11.984745,20.288946,-163.667221,0.016788,-0.035468,-0.436320
50,2841972152,11.987750,20.285412,-163.651779,0.005215,-0.028424,-0.446066
51,2841988819,11.991714,20.282520,-163.645599,-0.012185,-0.023398,-0.436247
52,2842005486,11.995769,20.280943,-163.630463,0.001369,-0.023444,-0.426323
53,2842022153,12.001400,20.279955,-163.626663,0.009841,-0.030294,-0.432935
54,2842038820,12.006125,20.279768,-163.614685,0.012505,-0.035524,-0.438928
55,2842055487,12.012271,20.278925,-163.611572,-0.014747,-0.029308,-0.433429
56,2842072154,12.016304,20.280334,-163.610123,0.006241,-0.029075,-0.427378
57,2842088821,12.019187,20.282530,-163.615021,0.006467,-0.035703,-0.425188
58,2842105488,12.020795,20.284538,-163.607010,0.003736,-0.038112,-0.432154
59,2842122155,12.021674,20.285484,-163.604553,-0.007338,-0.028067,-0.427087
