sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:08:49_291 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2841155469,2.255193,-0.130085,26.836155,-0.017424,0.044945,0.355126
2,2841172136,2.255594,-0.130804,26.835512,-0.037417,0.049745,0.378806
3,2841188803,2.256315,-0.130596,26.838734,-0.026094,0.057555,0.347913
4,2841205470,2.256549,-0.131012,26.839901,-0.033090,0.046249,0.370740
5,2841222137,2.256761,-0.131862,26.840023,-0.023532,0.040127,0.351266
6,2841238804,2.257484,-0.131929,26.841448,-0.018415,0.031985,0.370973
7,2841255471,2.257932,-0.131777,26.842091,-0.016063,0.038624,0.372738
8,2841272138,2.257803,-0.131790,26.842342,-0.026893,0.046238,0.362123
9,2841288805,2.257104,-0.131283,26.843235,-0.033720,0.046116,0.362179
10,2841305472,2.256278,-0.130738,26.843182,-0.015580,0.039008,0.376808
11,2841322139,2.257315,-0.130125,26.844891,-0.029864,0.039917,0.372789
12,2841338806,2.257774,-0.128574,26.840076,-0.030861,0.021514,0.374256
13,2841355473,2.257748,-0.128585,26.838678,-0.035164,0.045056,0.356255
14,2841372140,2.257437,-0.128083,26.837921,-0.015639,0.042160,0.356115
15,2841388807,2.257916,-0.127993,26.836445,-0.031384,0.034729,0.369414
16,2841405474,2.258359,-0.127180,26.837944,-0.021562,0.050653,0.380704
17,2841422141,2.258154,-0.126856,26.840076,-0.025887,0.039722,0.373462
18,2841438808,2.257644,-0.125806,26.840397,-0.024057,0.032192,0.377045
19,2841455475,2.257109,-0.126359,26.843418,-0.027548,0.039521,0.389874
20,2841472142,2.257313,-0.127705,26.844027,-0.031484,0.031691,0.363162
