sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:09:34_173 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2886039700,99.150459,-78.082809,38.091957,0.175856,0.028891,0.039199
2,2886056367,99.140350,-78.081924,38.162338,0.173665,0.055972,0.059946
3,2886073034,99.151932,-78.084732,38.168827,0.120066,-0.028178,0.097405
4,2886089701,99.218941,-78.091995,38.162987,0.140249,-0.073954,0.031135
5,2886106368,99.292030,-78.103615,38.146069,0.134780,-0.124088,0.053868
6,2886123035,99.320961,-78.119934,38.155228,0.104414,-0.128728,0.021286
7,2886139702,99.356827,-78.136398,38.150738,0.089898,-0.177870,0.029320
8,2886156369,99.385330,-78.153053,38.126350,0.040095,-0.199792,-0.004235
9,2886173036,99.404053,-78.171432,38.118553,0.017619,-0.146551,-0.015541
10,2886189703,99.410919,-78.192062,38.165424,0.030373,-0.135771,0.011518
11,2886206370,99.420631,-78.206490,38.201530,-0.016995,-0.170033,0.042194
12,2886223037,99.429794,-78.208527,38.225948,0.013458,-0.249747,0.039907
13,2886239704,99.426788,-78.199524,38.283352,-0.032536,-0.284260,-0.046749
14,2886256371,99.423958,-78.181824,38.323208,-0.053901,-0.225969,-0.027094
15,2886273038,99.430878,-78.158714,38.345943,0.043723,-0.210510,0.027770
16,2886289705,99.403610,-78.134117,38.380383,0.140443,-0.128977,0.042691
17,2886306372,99.389000,-78.109459,38.381634,0.112858,-0.068509,0.048048
18,2886323039,99.406288,-78.084023,38.392193,0.111645,-0.018952,0.021747
19,2886339706,99.420181,-78.059288,38.408966,0.171873,-0.060711,0.047928
20,2886356373,99.437477,-78.034966,38.418873,0.152936,-0.030270,0.053701
21,2886373040,99.417648,-78.017036,38.469601,0.230238,-0.030208,0.054461
22,2886389707,99.402466,-78.004562,38.480465,0.156086,0.002544,0.017707
23,2886406374,99.426720,-77.996803,38.475704,0.130756,-0.035043,0.043734
24,2886423041,99.437408,-77.991096,38.500999,0.098017,-0.079503,0.068614
25,2886439708,99.441093,-77.984314,38.531422,0.139284,-0.141617,0.066295
26,2886456375,99.449989,-77.979591,38.558228,0.204834,-0.112867,0.040416
27,2886473042,99.415527,-77.977135,38.602097,0.154869,-0.052999,0.028977
28,2886489709,99.405029,-77.974937,38.638527,0.041900,-0.047449,0.017371
29,2886506376,99.422577,-77.970955,38.652946,0.041352,-0.103007,0.032075
30,2886523043,99.434685,-77.966927,38.668713,0.096188,-0.149945,0.054275
31,2886539710,99.438393,-77.963455,38.682346,0.048599,-0.156238,0.028402
32,2886556377,99.460991,-77.957413,38.675476,0.041920,-0.178669,-0.008396
33,2886573044,99.478699,-77.956589,38.652382,0.057762,-0.125033,0.019881
34,2886589711,99.485474,-77.958443,38.624607,0.128837,-0.092754,0.051339
35,2886606378,99.471329,-77.960739,38.616886,0.099251,-0.120282,0.076048
36,2886623045,99.460831,-77.954399,38.623604,0.055397,-0.082282,0.023220
37,2886639712,99.439140,-77.947899,38.644241,0.050219,-0.122261,-0.010160
38,2886656379,99.439697,-77.936752,38.654568,0.094286,-0.100009,-0.000322
39,2886673046,99.428635,-77.927620,38.657639,0.168650,-0.060029,0.052512
40,2886689713,99.411201,-77.920517,38.674786,0.115101,-0.019774,0.039217
41,2886706380,99.418816,-77.913399,38.675640,0.119969,-0.035939,0.035331
42,2886723047,99.407272,-77.907211,38.699089,0.125195,-0.027732,0.012278
43,2886739714,99.411919,-77.903442,38.712051,0.122847,-0.065123,0.073995
44,2886756381,99.414169,-77.902161,38.738049,0.141656,-0.057534,0.060878
45,2886773048,99.400772,-77.897034,38.776844,0.147936,-0.104767,0.031807
46,2886789715,99.404404,-77.889816,38.770317,0.046595,-0.085035,-0.005316
47,2886806382,99.447800,-77.880203,38.731297,0.043690,-0.087482,0.007543
48,2886823049,99.463097,-77.866043,38.714149,0.048156,-0.085209,0.023335
49,2886839716,99.449959,-77.852394,38.714863,0.038475,-0.042272,0.015480
50,2886856383,99.426758,-77.840706,38.760265,0.103885,-0.044684,0.047728
51,2886873050,99.408844,-77.831497,38.802547,0.149574,-0.053042,0.061490
52,2886889717,99.380806,-77.824677,38.836582,0.113057,-0.033737,0.038917
