sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:15:31_146 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3242996839,141.030563,-85.881485,-2.623600,-0.086410,-0.891125,0.041745
2,3243013506,140.137405,-85.945610,-1.366597,-0.607283,-0.024166,0.140819
3,3243030173,139.857590,-85.957565,-0.609530,-0.450719,0.205042,0.106503
4,3243046840,139.718582,-85.971588,0.101309,-0.063400,-0.243410,0.350729
5,3243063507,138.734680,-86.045128,1.593679,-0.058541,-0.645809,0.372806
6,3243080174,136.725616,-86.151825,3.828538,0.126046,-0.738131,0.099133
7,3243096841,134.337830,-86.222702,6.217973,0.172676,-0.386452,-0.212000
8,3243113508,132.630768,-86.226753,7.793681,0.146147,0.218118,-0.209269
9,3243130175,131.987274,-86.196770,8.313564,0.305310,0.712208,-0.094785
10,3243146842,132.262482,-86.170502,8.049994,0.236272,0.770574,0.132386
11,3243163509,132.859940,-86.169991,7.578162,0.202651,0.175849,0.190736
12,3243180176,133.461594,-86.194046,7.211979,-0.183167,-0.216094,0.095018
13,3243196843,134.282272,-86.250542,6.683880,-0.252443,-0.472576,-0.111990
14,3243213510,135.472931,-86.339111,5.815073,-0.380233,-0.619563,0.093806
15,3243230177,136.145264,-86.473305,5.475931,-0.953841,-0.502719,0.513762
16,3243246844,136.009659,-86.575554,5.774777,-0.695995,-0.621014,0.252786
17,3243263511,136.463730,-86.549919,5.228325,-0.176578,-0.914049,-0.602281
18,3243280178,137.695007,-86.493286,3.594930,0.075950,-0.931571,-0.347819
19,3243296845,139.115051,-86.496864,1.732717,0.207574,-0.273771,0.350303
20,3243313512,140.062546,-86.527802,0.473134,0.740128,0.571438,0.579720
21,3243330179,140.618881,-86.579842,-0.197924,0.797713,0.689660,0.343999
22,3243346846,141.387070,-86.655846,-0.904902,0.314877,0.236783,-0.040211
23,3243363513,142.531982,-86.752434,-1.931357,-0.004604,-0.156519,-0.223742
24,3243380180,143.925339,-86.845573,-3.240029,-0.050297,-0.357331,-0.230027
25,3243396847,145.464462,-86.909721,-4.740240,-0.127661,-0.210601,0.064090
26,3243413514,146.810150,-86.960625,-6.023598,-0.135049,-0.019308,0.236607
27,3243430181,147.979446,-86.990005,-7.151251,0.009941,-0.000372,0.203629
28,3243446848,148.887466,-87.030540,-8.074639,0.137162,-0.178898,0.122072
29,3243463515,149.902710,-87.075043,-9.141609,0.097258,-0.357189,0.000820
30,3243480182,151.434128,-87.106804,-10.725023,-0.065988,-0.312934,-0.031421
31,3243496849,153.148560,-87.137543,-12.478152,0.033012,-0.266090,-0.039666
32,3243513516,154.850250,-87.173264,-14.176116,0.215037,-0.256337,-0.022056
33,3243530183,156.375092,-87.225121,-15.730170,0.174626,-0.096734,0.086548
34,3243546850,158.194016,-87.266983,-17.579866,0.040018,0.068041,0.187095
35,3243563517,160.655411,-87.286827,-20.094519,-0.058994,0.084732,0.154672
36,3243580184,163.832275,-87.293549,-23.359013,-0.060402,-0.000117,0.071684
37,3243596851,167.671600,-87.302383,-27.324852,-0.049926,-0.181685,0.023306
38,3243613518,171.914154,-87.307686,-31.790064,-0.022751,-0.289829,0.047292
39,3243630185,176.323624,-87.287979,-36.506817,-0.031761,-0.323847,0.105833
40,3243646852,-179.228210,-87.236786,-41.384815,-0.095354,-0.206987,-0.003460
41,3243663519,-175.083344,-87.141525,-46.014648,-0.090814,-0.000723,-0.126522
42,3243680186,-171.419540,-87.012405,-50.173279,0.026091,-0.078334,-0.191715
43,3243696853,-168.254471,-86.870621,-53.853230,0.156198,-0.245283,-0.111983
44,3243713520,-165.574814,-86.728226,-57.031624,0.051828,-0.179276,0.086617
45,3243730187,-163.368591,-86.601028,-59.636116,0.101354,-0.141970,0.181389
46,3243746854,-161.673965,-86.491173,-61.655552,0.254765,-0.073939,0.064910
47,3243763521,-160.553436,-86.416473,-62.970486,0.320508,-0.064336,0.054944
48,3243780188,-159.933319,-86.367249,-63.667103,0.202417,0.034681,0.035751
49,3243796855,-159.821884,-86.325874,-63.726334,0.249413,0.084186,0.062051
50,3243813522,-159.796066,-86.300644,-63.576412,0.088345,0.119428,0.000629
51,3243830189,-159.606750,-86.278267,-63.536415,0.059785,0.110374,0.044339
52,3243846856,-159.043640,-86.236626,-63.854427,0.076081,0.189991,0.084980
53,3243863523,-157.881134,-86.178894,-64.774956,0.048177,0.073370,0.078543
54,3243880190,-156.380356,-86.076492,-66.085106,0.255261,-0.484596,-0.118006
55,3243896857,-154.760941,-85.960030,-67.671066,0.134907,-0.466202,0.060598
56,3243913524,-152.942078,-85.869484,-69.427872,0.112979,-0.355688,0.221773
57,3243930191,-151.585846,-85.784256,-70.681519,-0.265716,-0.189782,-0.013672
58,3243946858,-150.897430,-85.718521,-71.233841,-0.290301,-0.030570,-0.028816
59,3243963525,-150.591278,-85.685257,-71.303696,-0.240027,0.119924,0.087760
60,3243980192,-150.466385,-85.675049,-71.164261,-0.021778,-0.071675,0.009694
61,3243996859,-150.440063,-85.668900,-70.941338,0.042381,-0.486114,-0.025827
62,3244013526,-150.570099,-85.656342,-70.602623,-0.201308,-0.387853,0.144321
63,3244030193,-150.651398,-85.635696,-70.344147,-0.149882,-0.197569,0.128139
64,3244046860,-150.705597,-85.601456,-70.157097,-0.212297,-0.009739,0.004660
65,3244063527,-150.616455,-85.581909,-70.134552,-0.190624,-0.027189,0.034185
66,3244080194,-150.449738,-85.575035,-70.202759,-0.065526,-0.214957,0.067529
67,3244096861,-150.306381,-85.573227,-70.279144,0.075008,-0.416354,0.031922
