sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:15:31_178 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3243030173,-142.090881,-73.014641,177.704147,-0.251820,0.616296,-0.198674
2,3243046840,-141.812164,-72.965538,177.490021,-0.142109,-0.520315,-0.117712
3,3243063507,-141.436111,-72.908119,177.292343,-0.668951,-0.901596,0.102970
4,3243080174,-141.266083,-72.842278,177.000900,-0.821831,0.370393,-0.089536
5,3243096841,-141.334900,-72.791512,176.666733,0.128931,0.922221,-0.136076
6,3243113508,-141.344940,-72.763977,176.398483,1.370265,0.197152,0.157947
7,3243130175,-141.225616,-72.762772,176.326401,1.231661,-0.538911,0.183165
8,3243146842,-141.111984,-72.775848,176.366898,0.412493,-0.501246,0.042484
9,3243163509,-141.106140,-72.812210,176.416168,0.180165,-0.292959,-0.166659
10,3243180176,-141.173309,-72.865776,176.540268,0.631749,-0.172514,-0.228684
11,3243196843,-141.231232,-72.924355,176.785339,0.481447,-0.214883,-0.264556
12,3243213510,-141.228897,-72.973198,177.137619,-0.236086,-0.376629,-0.098896
13,3243230177,-141.106827,-72.999138,177.406586,-0.981645,0.021566,0.444775
14,3243246844,-140.949844,-73.007210,177.412231,-1.059567,0.909574,0.493589
15,3243263511,-140.770859,-73.016815,177.259842,-0.342406,0.436047,-0.149396
16,3243280178,-140.502792,-73.026878,177.124634,0.233680,-0.388153,0.036479
17,3243296845,-140.204346,-73.048210,177.065125,0.138661,-0.434133,0.129344
18,3243313512,-139.993103,-73.060150,177.059113,-0.041758,-0.578290,-0.029523
19,3243330179,-139.839401,-73.078712,177.115906,0.311775,-0.560540,-0.089800
20,3243346846,-139.728180,-73.105392,177.280487,0.598566,-0.273799,-0.245231
21,3243363513,-139.736252,-73.145340,177.542038,0.240493,0.190469,-0.368276
22,3243380180,-139.819611,-73.178284,177.833908,-0.488882,0.184794,-0.127053
23,3243396847,-139.879456,-73.200546,178.055527,-0.777145,0.026501,0.177208
24,3243413514,-139.883621,-73.219666,178.143433,-0.362221,0.035051,0.189176
25,3243430181,-139.863831,-73.237801,178.195053,-0.019442,0.056401,0.025070
26,3243446848,-139.812119,-73.264351,178.287460,0.398151,-0.127337,-0.003842
27,3243463515,-139.698532,-73.299011,178.413116,0.041554,-0.135175,-0.108522
28,3243480182,-139.641937,-73.328346,178.544647,-0.354531,0.023309,-0.152891
29,3243496849,-139.653061,-73.344887,178.654449,-0.206949,-0.078598,-0.149762
30,3243513516,-139.701233,-73.355598,178.776276,0.032963,-0.217498,-0.156562
31,3243530183,-139.798523,-73.364220,178.937653,0.280348,-0.268386,0.015469
32,3243546850,-139.917908,-73.373817,179.152679,0.296381,-0.400214,0.164655
33,3243563517,-140.057983,-73.394997,179.413834,0.254764,-0.404953,0.168020
34,3243580184,-140.235443,-73.432236,179.742371,0.163508,-0.437914,-0.008943
35,3243596851,-140.504608,-73.480263,-179.872116,0.195503,-0.208333,-0.074894
36,3243613518,-140.915634,-73.526802,-179.384949,0.366977,-0.213427,0.005498
37,3243630185,-141.387329,-73.578064,-178.833389,0.251375,-0.317101,0.115453
38,3243646852,-141.855896,-73.635605,-178.260147,-0.100443,-0.022808,-0.006460
39,3243663519,-142.294403,-73.696503,-177.719009,-0.297029,0.052170,-0.117460
40,3243680186,-142.815262,-73.743073,-177.228317,-0.462153,0.470469,-0.264472
41,3243696853,-143.455933,-73.758331,-176.781937,-0.463638,0.427916,-0.157835
42,3243713520,-143.990494,-73.767616,-176.411026,-0.325890,0.177834,-0.023364
43,3243730187,-144.344315,-73.777428,-176.103180,-0.280862,0.150413,0.082217
44,3243746854,-144.560074,-73.793861,-175.860336,-0.443652,0.301459,-0.122200
45,3243763521,-144.659973,-73.798965,-175.691223,-0.447037,0.303786,-0.121362
46,3243780188,-144.636414,-73.793877,-175.624649,-0.473393,0.191635,-0.052928
47,3243796855,-144.530609,-73.783394,-175.622803,-0.321249,0.039143,-0.073493
48,3243813522,-144.404037,-73.778221,-175.631989,0.126481,-0.201081,-0.008888
49,3243830189,-144.301361,-73.787453,-175.594925,0.518574,-0.360827,0.058178
50,3243846856,-144.254425,-73.807861,-175.463287,0.610701,-0.448023,0.041322
51,3243863523,-144.298615,-73.835373,-175.217300,0.446009,-0.486206,-0.023273
52,3243880190,-144.426849,-73.866226,-174.890518,-0.071674,-0.408550,-0.193134
53,3243896857,-144.649612,-73.880875,-174.555328,-0.717960,-0.031788,-0.165607
54,3243913524,-144.896255,-73.883049,-174.283691,-0.649954,0.074054,-0.038945
55,3243930191,-145.084595,-73.870056,-174.109756,-0.334941,0.356366,-0.142439
56,3243946858,-145.215286,-73.852463,-173.992844,-0.095059,0.522359,-0.057405
57,3243963525,-145.252502,-73.827072,-173.923248,0.034712,0.379745,-0.013624
58,3243980192,-145.201675,-73.799377,-173.904190,-0.110644,0.348403,-0.043190
59,3243996859,-145.117722,-73.767441,-173.944214,-0.230791,0.280770,0.052935
60,3244013526,-144.990555,-73.735886,-174.025589,0.067895,-0.042195,0.208508
61,3244030193,-144.826477,-73.712349,-174.107376,0.106857,-0.004714,0.036636
62,3244046860,-144.673126,-73.688408,-174.180786,-0.073470,0.074810,-0.080173
63,3244063527,-144.526443,-73.665993,-174.280991,-0.179613,0.088248,-0.088494
64,3244080194,-144.394974,-73.640442,-174.395111,-0.214417,0.007650,-0.055303
65,3244096861,-144.281693,-73.610847,-174.515076,-0.164925,-0.051455,-0.032640
66,3244113528,-144.170670,-73.579193,-174.638428,-0.149393,-0.137664,-0.008894
67,3244130195,-144.066727,-73.548080,-174.780930,-0.099318,-0.008608,-0.072705
68,3244146862,-143.966217,-73.516678,-174.920654,0.053202,-0.004650,-0.051309
69,3244163529,-143.877472,-73.484818,-175.037994,-0.045121,-0.019116,-0.065647
70,3244180196,-143.791107,-73.449249,-175.147797,-0.062373,-0.158679,-0.033160
71,3244196863,-143.705475,-73.413658,-175.261703,-0.066447,-0.183780,-0.021738
72,3244213530,-143.614258,-73.381050,-175.373398,0.092451,-0.189469,-0.031553
73,3244230197,-143.539703,-73.348450,-175.464050,0.125860,-0.073050,-0.083598
74,3244246864,-143.468063,-73.312119,-175.534592,0.186993,-0.086102,-0.057147
75,3244263531,-143.388275,-73.278435,-175.578949,0.219987,-0.093305,-0.018517
76,3244280198,-143.292511,-73.248421,-175.608795,0.032014,0.041167,-0.011600
77,3244296865,-143.210495,-73.229843,-175.644943,-0.118885,0.095610,-0.037129
78,3244313532,-143.157074,-73.215065,-175.683395,0.034425,-0.116660,-0.012518
79,3244330199,-143.129150,-73.205070,-175.701172,0.107221,-0.177677,-0.016247
80,3244346866,-143.111588,-73.196205,-175.707520,0.108613,-0.062867,0.005150
81,3244363533,-143.087677,-73.193954,-175.705917,-0.029725,0.053777,-0.023170
82,3244380200,-143.060287,-73.192093,-175.725388,-0.220071,0.166233,-0.029733
83,3244396867,-143.035156,-73.188416,-175.779816,-0.312421,0.032012,-0.050694
84,3244413534,-143.006470,-73.177162,-175.863892,-0.075030,0.002089,0.011224
85,3244430201,-142.948868,-73.169533,-175.947723,0.050966,-0.035923,-0.014975
86,3244446868,-142.887558,-73.162422,-176.033783,-0.171044,0.076087,-0.052123
87,3244463535,-142.810913,-73.150375,-176.139465,-0.067569,-0.068443,-0.060185
88,3244480202,-142.742294,-73.134750,-176.234711,0.096559,-0.171602,-0.148082
