sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:15:31_173 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3243013506,10.979778,-22.262014,-99.657906,-0.067483,-0.179432,-0.322003
2,3243030173,10.979914,-22.247879,-99.658920,-0.023830,-0.155306,-0.337593
3,3243046840,10.980733,-22.234758,-99.659233,0.082971,0.210873,-0.455801
4,3243063507,11.008938,-22.265692,-99.665062,0.163709,0.256483,-0.445858
5,3243080174,11.040397,-22.318989,-99.680779,0.018133,-0.110701,-0.324356
6,3243096841,11.056137,-22.346775,-99.689873,-0.044331,-0.197123,-0.288823
7,3243113508,11.057740,-22.347019,-99.692474,-0.046674,-0.173327,-0.343569
8,3243130175,11.053613,-22.333511,-99.693268,0.016726,0.019330,-0.393468
9,3243146842,11.049024,-22.323095,-99.694244,0.110941,0.136316,-0.375635
10,3243163509,11.041512,-22.314440,-99.697266,0.053870,0.024425,-0.396918
11,3243180176,11.032788,-22.298891,-99.701241,0.004647,0.031582,-0.446841
12,3243196843,11.019149,-22.267744,-99.703384,0.026667,0.056238,-0.471326
13,3243213510,11.016853,-22.229460,-99.702110,0.112985,0.135435,-0.461347
14,3243230177,11.045367,-22.214512,-99.700752,0.064553,-0.030897,-0.387121
15,3243246844,11.079497,-22.212246,-99.705490,-0.109411,-0.341411,-0.268763
16,3243263511,11.105193,-22.197672,-99.708305,0.001109,-0.024799,-0.331827
17,3243280178,11.138682,-22.190550,-99.710716,0.064122,-0.001220,-0.365345
18,3243296845,11.175216,-22.191725,-99.714149,0.043237,0.028166,-0.359039
19,3243313512,11.215131,-22.203777,-99.715904,0.081810,0.165754,-0.391558
20,3243330179,11.260219,-22.231153,-99.718170,0.075648,0.115563,-0.391058
21,3243346846,11.304928,-22.261007,-99.721146,0.024511,0.032975,-0.380223
22,3243363513,11.336352,-22.276775,-99.725258,0.009748,-0.011251,-0.346490
23,3243380180,11.354011,-22.272917,-99.727425,0.004268,-0.048766,-0.397199
24,3243396847,11.373609,-22.264021,-99.724770,0.063122,0.050971,-0.402134
25,3243413514,11.398415,-22.260588,-99.720917,0.023604,0.018930,-0.354642
26,3243430181,11.422642,-22.257030,-99.718613,-0.008052,-0.031352,-0.365871
27,3243446848,11.445382,-22.250490,-99.714897,0.023254,0.043434,-0.374511
28,3243463515,11.469240,-22.245001,-99.713882,0.031763,0.007154,-0.364345
29,3243480182,11.490188,-22.239176,-99.714409,0.024842,0.014186,-0.352797
30,3243496849,11.509547,-22.234558,-99.717590,0.022976,0.022088,-0.351504
31,3243513516,11.524120,-22.231514,-99.719681,0.029667,0.012375,-0.368635
32,3243530183,11.539883,-22.229475,-99.723915,0.033317,-0.001410,-0.390298
33,3243546850,11.557877,-22.231689,-99.728180,0.012805,0.008363,-0.379661
34,3243563517,11.577872,-22.234186,-99.732780,0.025800,-0.000240,-0.372143
35,3243580184,11.598388,-22.238335,-99.737488,0.018051,0.034882,-0.388731
36,3243596851,11.618846,-22.242859,-99.743050,0.023276,-0.015837,-0.361470
37,3243613518,11.643212,-22.251612,-99.749939,0.075722,-0.008277,-0.376163
38,3243630185,11.671556,-22.269966,-99.755959,0.035351,0.007573,-0.384007
39,3243646852,11.700958,-22.293036,-99.761482,0.029320,-0.010014,-0.380814
40,3243663519,11.729018,-22.314041,-99.766953,0.001417,-0.000807,-0.357245
41,3243680186,11.744692,-22.327732,-99.772331,-0.002422,-0.081986,-0.336254
42,3243696853,11.739520,-22.333633,-99.773071,0.017938,-0.034579,-0.348141
43,3243713520,11.734601,-22.343010,-99.772911,0.061907,0.123803,-0.385463
44,3243730187,11.738153,-22.358440,-99.774742,0.026978,0.021280,-0.404013
45,3243746854,11.746040,-22.373426,-99.775208,0.026652,0.001120,-0.388292
46,3243763521,11.757231,-22.386946,-99.779510,0.023309,0.015067,-0.386426
47,3243780188,11.771961,-22.402813,-99.783813,0.032533,0.020749,-0.403598
48,3243796855,11.788405,-22.415705,-99.786362,0.042449,0.020111,-0.379350
49,3243813522,11.807048,-22.423958,-99.786789,0.035905,0.013629,-0.389719
50,3243830189,11.831882,-22.432240,-99.788338,0.018958,0.007887,-0.377218
51,3243846856,11.859069,-22.441078,-99.791061,0.016523,0.015053,-0.373074
52,3243863523,11.888139,-22.449053,-99.796806,0.034074,0.032222,-0.370193
53,3243880190,11.915754,-22.454903,-99.804611,-0.012554,0.025700,-0.357255
54,3243896857,11.945285,-22.461546,-99.814682,0.040466,0.047687,-0.382656
55,3243913524,11.978291,-22.473160,-99.825378,0.024456,0.030966,-0.377827
56,3243930191,12.007265,-22.482298,-99.835892,0.017172,0.016715,-0.362096
57,3243946858,12.027640,-22.483734,-99.843628,0.027731,-0.014088,-0.381424
58,3243963525,12.040053,-22.481827,-99.848808,0.040558,-0.029014,-0.363908
59,3243980192,12.043660,-22.472603,-99.853333,0.003780,-0.049212,-0.359866
60,3243996859,12.039055,-22.459297,-99.853653,0.051657,-0.022937,-0.389771
61,3244013526,12.041803,-22.453499,-99.854759,0.041431,0.061785,-0.388680
62,3244030193,12.047946,-22.452402,-99.854736,0.022458,-0.009921,-0.401465
63,3244046860,12.052238,-22.448997,-99.852280,0.012441,-0.016815,-0.380464
64,3244063527,12.054985,-22.444408,-99.850334,0.020351,-0.006694,-0.375076
65,3244080194,12.057469,-22.440243,-99.846634,0.014789,-0.010959,-0.375377
66,3244096861,12.062152,-22.434502,-99.843353,0.039650,-0.009086,-0.393775
67,3244113528,12.068773,-22.431440,-99.839287,0.037056,0.037605,-0.381045
68,3244130195,12.077143,-22.430332,-99.834991,0.017759,-0.013348,-0.386121
69,3244146862,12.084297,-22.428375,-99.832466,0.032835,-0.005237,-0.377150
70,3244163529,12.089865,-22.425522,-99.828583,0.032859,-0.010263,-0.370115
71,3244180196,12.094237,-22.423452,-99.822701,0.032806,0.021988,-0.383317
72,3244196863,12.102988,-22.421713,-99.818787,0.040804,0.020032,-0.394464
73,3244213530,12.111765,-22.421183,-99.814117,0.012890,0.009395,-0.383479
74,3244230197,12.118984,-22.419113,-99.814369,-0.004935,0.009354,-0.379131
75,3244246864,12.122683,-22.416302,-99.812981,0.020629,0.019188,-0.380522
76,3244263531,12.126806,-22.414400,-99.812843,0.027003,0.027786,-0.391637
77,3244280198,12.128080,-22.412296,-99.811813,0.020298,-0.015613,-0.405590
78,3244296865,12.127432,-22.407398,-99.808998,0.029654,-0.036799,-0.370664
79,3244313532,12.127693,-22.403418,-99.808105,0.032666,-0.002753,-0.378780
80,3244330199,12.131697,-22.403028,-99.806541,0.029931,0.009973,-0.376630
81,3244346866,12.138273,-22.403824,-99.805893,0.030214,0.009591,-0.397091
82,3244363533,12.145518,-22.403568,-99.806267,0.013879,-0.014217,-0.398266
83,3244380200,12.151718,-22.402653,-99.801842,0.038614,-0.025285,-0.398149
84,3244396867,12.159295,-22.401598,-99.797340,0.042220,-0.004790,-0.401665
85,3244413534,12.167208,-22.401924,-99.787315,0.024468,0.016993,-0.397439
86,3244430201,12.175917,-22.401268,-99.782707,0.044129,0.004806,-0.379913
87,3244446868,12.183507,-22.400091,-99.778732,0.027060,-0.018166,-0.380040
88,3244463535,12.187050,-22.398554,-99.774971,0.014360,0.007015,-0.367078
89,3244480202,12.188270,-22.392916,-99.770027,0.024798,0.005547,-0.373332
90,3244496869,12.189976,-22.387321,-99.763885,0.029172,0.078638,-0.399685
91,3244513536,12.193236,-22.383661,-99.758179,0.052650,0.074803,-0.380434
92,3244530203,12.197063,-22.384115,-99.755402,0.078887,0.110794,-0.394403
93,3244546870,12.198244,-22.392181,-99.754547,0.065166,0.031012,-0.356783
94,3244563537,12.200818,-22.410490,-99.755508,0.019260,0.002931,-0.387219
95,3244580204,12.210657,-22.433384,-99.763763,0.001880,-0.044894,-0.370740
96,3244596871,12.223754,-22.456358,-99.770073,-0.016499,-0.080593,-0.372066
97,3244613538,12.237028,-22.479021,-99.773338,0.003415,-0.062176,-0.390942
98,3244630205,12.249127,-22.500341,-99.775063,0.018333,-0.013437,-0.380862
99,3244646872,12.262254,-22.519541,-99.777115,0.025835,-0.056800,-0.379178
100,3244663539,12.272012,-22.533560,-99.775688,0.028491,-0.060703,-0.380226
101,3244680206,12.284175,-22.547401,-99.774750,0.021828,-0.056874,-0.381828
102,3244696873,12.300673,-22.565489,-99.770538,0.028390,-0.001507,-0.387827
103,3244713540,12.311824,-22.575575,-99.770409,0.005640,0.044000,-0.379295
104,3244730207,12.307855,-22.566748,-99.767891,-0.032153,-0.076433,-0.353880
105,3244746874,12.291690,-22.550045,-99.762344,0.036479,-0.039898,-0.361081
106,3244763541,12.283569,-22.541870,-99.759888,0.060618,0.062762,-0.380594
107,3244780208,12.282344,-22.543463,-99.758904,0.027484,0.091825,-0.374033
108,3244796875,12.282463,-22.545496,-99.760963,0.004420,0.069512,-0.358500
109,3244813542,12.275431,-22.534874,-99.762497,0.013286,0.034304,-0.350256
110,3244830209,12.260438,-22.511484,-99.763092,-0.010037,0.004468,-0.387906
111,3244846876,12.240281,-22.481964,-99.763817,0.027040,-0.019220,-0.374735
112,3244863543,12.222151,-22.457605,-99.763794,0.034493,0.003367,-0.382551
113,3244880210,12.210433,-22.443228,-99.767769,0.025530,0.021345,-0.383070
114,3244896877,12.203165,-22.436611,-99.774574,0.049151,0.035863,-0.376992
115,3244913544,12.196209,-22.433275,-99.779724,0.051730,-0.036537,-0.369083
116,3244930211,12.187744,-22.429119,-99.782204,0.073704,0.010534,-0.390778
117,3244946878,12.182752,-22.429825,-99.785622,0.036734,0.071962,-0.390339
118,3244963545,12.181174,-22.433071,-99.788757,0.037205,0.012934,-0.392979
119,3244980212,12.175805,-22.432096,-99.789841,0.013375,-0.052317,-0.396297
120,3244996879,12.170965,-22.434731,-99.790443,0.063991,0.129414,-0.401506
121,3245013546,12.167440,-22.450451,-99.795853,0.076827,0.043577,-0.344676
122,3245030213,12.147671,-22.476706,-99.797012,0.046179,0.012084,-0.308364
123,3245046880,12.105471,-22.492258,-99.797791,-0.010887,-0.121976,-0.374205
124,3245063547,12.064382,-22.504368,-99.792999,0.001688,-0.100729,-0.358178
125,3245080214,12.032912,-22.515982,-99.789619,0.034233,-0.040845,-0.386840
126,3245096881,12.006113,-22.526985,-99.786270,0.035438,-0.006394,-0.398004
127,3245113548,11.981538,-22.534069,-99.782837,0.028716,-0.028984,-0.420510
128,3245130215,11.962403,-22.540659,-99.774635,0.056279,-0.022348,-0.373649
129,3245146882,11.950953,-22.549852,-99.767647,0.065099,0.000380,-0.386377
130,3245163549,11.944561,-22.565302,-99.760033,0.041168,-0.004845,-0.356323
131,3245180216,11.925372,-22.570551,-99.750542,0.008424,-0.028595,-0.355651
132,3245196883,11.891350,-22.550703,-99.739815,-0.016244,0.029666,-0.385061
