sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:15:31_166 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3243013506,0.083152,0.368790,-152.652542,0.040756,-0.569274,0.338087
2,3243030173,0.065721,0.374052,-152.653839,-0.126830,-0.627258,0.375502
3,3243046840,0.091800,0.382241,-152.653473,0.326669,-1.231837,0.387360
4,3243063507,0.068101,0.383764,-152.659775,0.570163,-1.617260,0.399438
5,3243080174,0.020927,0.379487,-152.645462,0.413168,-1.699547,0.379701
6,3243096841,-0.020620,0.374217,-152.636932,0.273307,-1.842011,0.427795
7,3243113508,-0.032811,0.362206,-152.633820,0.252451,-1.936068,0.311882
8,3243130175,0.004265,0.341424,-152.626251,-0.083650,-1.750613,0.273689
9,3243146842,0.055795,0.326068,-152.635986,0.081260,-0.700325,0.238611
10,3243163509,0.082417,0.320092,-152.662598,0.366868,-0.258199,0.315236
11,3243180176,0.091098,0.327935,-152.654449,0.666777,-0.253763,0.020152
12,3243196843,0.102463,0.330882,-152.639297,-0.606144,-0.918983,0.035370
13,3243213510,0.143666,0.331471,-152.678925,0.262404,0.792518,-0.617737
14,3243230177,-0.075927,0.335796,-152.670792,0.847443,2.677736,2.288169
15,3243246844,0.001783,0.342595,-152.635452,-1.919601,1.810496,1.057515
16,3243263511,0.034163,0.349906,-152.673294,0.640132,0.386314,-0.465372
17,3243280178,0.026995,0.363587,-152.640869,0.650797,-1.007258,0.331373
18,3243296845,-0.056862,0.368711,-152.639618,0.103752,-1.267169,0.275808
19,3243313512,-0.068822,0.372935,-152.636459,-0.059179,-1.285653,0.252645
20,3243330179,-0.068710,0.374999,-152.640366,0.356740,-1.363812,0.382072
21,3243346846,-0.060559,0.370933,-152.645309,0.172488,-1.029743,0.440258
22,3243363513,-0.064479,0.366334,-152.647385,0.333601,-0.654064,0.413113
23,3243380180,-0.079418,0.360998,-152.644028,0.202866,-0.521946,0.356803
24,3243396847,-0.098660,0.356150,-152.639450,0.156347,-0.468851,0.385284
25,3243413514,-0.100595,0.350285,-152.636841,0.018162,-0.463633,0.345170
26,3243430181,-0.095881,0.345255,-152.637970,0.153393,-0.445997,0.338127
27,3243446848,-0.106671,0.341878,-152.637985,0.216828,-0.362857,0.356385
28,3243463515,-0.131949,0.337237,-152.633163,0.160476,-0.230558,0.404805
29,3243480182,-0.160677,0.332434,-152.629761,0.076927,-0.113623,0.375313
30,3243496849,-0.182434,0.327003,-152.625076,0.051616,-0.003947,0.365528
31,3243513516,-0.194978,0.322021,-152.623032,0.020282,0.047192,0.345104
32,3243530183,-0.198964,0.319318,-152.619720,0.026246,0.058564,0.310521
33,3243546850,-0.201945,0.314801,-152.619034,0.020459,0.170737,0.360662
34,3243563517,-0.189353,0.312011,-152.620148,-0.022249,0.222772,0.384410
35,3243580184,-0.177152,0.307735,-152.625137,0.054856,0.358874,0.376185
36,3243596851,-0.166387,0.304981,-152.626740,0.071082,0.353253,0.358797
37,3243613518,-0.170298,0.302232,-152.626831,0.069701,0.354489,0.343629
38,3243630185,-0.180578,0.303353,-152.622925,0.047256,0.306338,0.356771
39,3243646852,-0.195265,0.302295,-152.622147,0.007208,0.316997,0.398700
40,3243663519,-0.199586,0.301703,-152.620789,0.008375,0.315120,0.384784
41,3243680186,-0.203766,0.301937,-152.621460,0.040114,0.256001,0.363515
42,3243696853,-0.211812,0.302928,-152.618973,0.082157,0.167360,0.365978
43,3243713520,-0.223636,0.304322,-152.615112,0.054977,0.058012,0.352077
44,3243730187,-0.230381,0.305327,-152.612991,0.054007,-0.039550,0.376604
45,3243746854,-0.227831,0.305975,-152.612976,0.038286,-0.124905,0.406076
46,3243763521,-0.217515,0.305069,-152.614166,0.092451,-0.139921,0.383228
47,3243780188,-0.206631,0.302946,-152.615143,0.107636,-0.144691,0.388114
48,3243796855,-0.197330,0.301794,-152.616425,0.101255,-0.129145,0.360558
49,3243813522,-0.188607,0.302959,-152.615982,0.114328,-0.147282,0.383937
50,3243830189,-0.182197,0.302062,-152.614563,0.108353,-0.147181,0.349885
51,3243846856,-0.177818,0.300334,-152.614792,0.064824,-0.081196,0.344554
52,3243863523,-0.174994,0.299552,-152.614792,0.099979,-0.037480,0.342869
53,3243880190,-0.175651,0.297883,-152.612305,0.077297,-0.021735,0.387618
54,3243896857,-0.172791,0.296300,-152.611862,0.041150,0.001946,0.382218
55,3243913524,-0.169857,0.294488,-152.610840,0.095809,-0.056619,0.366961
56,3243930191,-0.168987,0.293882,-152.609695,0.093170,-0.121953,0.347868
57,3243946858,-0.164834,0.292845,-152.607727,0.075796,-0.148286,0.348323
58,3243963525,-0.156145,0.292347,-152.609024,0.092307,-0.154150,0.357652
59,3243980192,-0.151186,0.292008,-152.609436,0.129056,-0.152133,0.340062
60,3243996859,-0.154226,0.290876,-152.608551,0.107068,-0.129788,0.373228
61,3244013526,-0.155455,0.288569,-152.608292,0.047483,-0.078913,0.372399
62,3244030193,-0.154244,0.287858,-152.607941,0.071649,-0.021621,0.343344
63,3244046860,-0.151376,0.285980,-152.607254,0.078896,0.010432,0.365453
64,3244063527,-0.149668,0.285913,-152.606232,0.060026,0.004948,0.363976
65,3244080194,-0.148143,0.283950,-152.605530,0.051795,0.023783,0.378576
66,3244096861,-0.145940,0.283861,-152.604111,0.080531,0.022661,0.372869
67,3244113528,-0.145483,0.284305,-152.602463,0.071115,0.008077,0.362685
68,3244130195,-0.146375,0.283678,-152.601227,0.075416,-0.032334,0.367073
69,3244146862,-0.147194,0.283251,-152.601074,0.071548,-0.071310,0.348014
70,3244163529,-0.145891,0.282626,-152.600464,0.083608,-0.064431,0.350168
71,3244180196,-0.144958,0.282065,-152.598663,0.090750,-0.110248,0.373021
72,3244196863,-0.143984,0.281449,-152.598785,0.111461,-0.194838,0.354871
73,3244213530,-0.142889,0.280041,-152.598511,0.098511,-0.256381,0.354538
74,3244230197,-0.139066,0.279935,-152.599350,0.099874,-0.309759,0.354057
75,3244246864,-0.137387,0.277397,-152.600311,0.121012,-0.282917,0.363851
76,3244263531,-0.136174,0.275905,-152.599869,0.118161,-0.282202,0.371508
77,3244280198,-0.135007,0.274905,-152.599670,0.102883,-0.263215,0.368990
78,3244296865,-0.135632,0.272381,-152.598160,0.106621,-0.208744,0.361564
79,3244313532,-0.138797,0.269971,-152.597809,0.085870,-0.034245,0.353464
80,3244330199,-0.142635,0.268159,-152.597229,0.047313,0.102642,0.368823
81,3244346866,-0.146294,0.265598,-152.595764,0.012742,0.238451,0.381585
82,3244363533,-0.144026,0.263686,-152.594727,0.005238,0.285729,0.351123
83,3244380200,-0.140878,0.263240,-152.592804,0.006672,0.331803,0.385448
84,3244396867,-0.133691,0.264879,-152.589767,0.061255,0.174960,0.396941
85,3244413534,-0.130748,0.266520,-152.588547,0.098294,-0.150396,0.350119
86,3244430201,-0.131598,0.266329,-152.586197,0.080398,-0.064795,0.331007
87,3244446868,-0.130451,0.270144,-152.584686,0.059389,-0.065334,0.437660
88,3244463535,-0.126905,0.273739,-152.583054,0.197837,-0.502513,0.441000
89,3244480202,-0.130375,0.272370,-152.578812,0.146347,-0.613477,0.355864
90,3244496869,-0.138588,0.270632,-152.579361,0.168700,-0.652662,0.374475
91,3244513536,-0.160615,0.266010,-152.577820,0.301514,-0.599371,0.392482
92,3244530203,-0.201013,0.255023,-152.572662,0.185599,-0.095224,0.463262
93,3244546870,-0.203505,0.236428,-152.565231,-0.249923,0.358080,0.490466
94,3244563537,-0.146215,0.216543,-152.564484,-0.256650,0.426926,0.368407
95,3244580204,0.009259,0.200144,-152.585403,-0.762043,0.153717,0.057101
96,3244596871,0.128011,0.192650,-152.629593,0.644244,0.678773,0.318171
97,3244613538,0.135579,0.194144,-152.619034,0.893720,0.336459,0.437840
98,3244630205,0.072512,0.194801,-152.585266,0.106678,0.076878,0.438887
99,3244646872,0.067622,0.194980,-152.581024,-0.856729,-0.019619,0.045560
100,3244663539,-0.180479,0.238538,-152.538528,2.593710,3.325530,-1.870709
101,3244680206,-0.963667,0.241849,-152.462341,-1.410943,1.412004,-0.295979
102,3244696873,-1.140369,0.222162,-152.475174,-2.534814,4.754844,5.255012
103,3244713540,-0.710064,0.254447,-152.474243,-1.110950,0.704245,-0.854751
