sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:21:15_988 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3587853736,-28.796946,-75.683655,-176.709885,0.066435,-0.004289,0.107628
2,3587870403,-28.604631,-75.701134,-176.857620,0.073918,-0.005572,0.111058
3,3587887070,-28.411131,-75.712502,-177.011002,0.031481,-0.000936,0.138281
4,3587903737,-28.243486,-75.721001,-177.143997,0.013511,-0.003346,0.147043
5,3587920404,-28.120226,-75.726448,-177.233536,0.019650,-0.019673,0.141971
6,3587937071,-28.024481,-75.731766,-177.294952,0.010751,-0.001116,0.098243
7,3587953738,-27.939295,-75.738068,-177.343582,0.015688,-0.018912,0.078130
8,3587970405,-27.831816,-75.742493,-177.418579,0.033795,-0.047699,0.102957
9,3587987072,-27.710447,-75.747849,-177.511902,0.003961,-0.097347,0.141932
10,3588003739,-27.574039,-75.753609,-177.620010,-0.011256,-0.109505,0.152559
11,3588020406,-27.416887,-75.761726,-177.737106,-0.010444,-0.104886,0.126575
12,3588037073,-27.250706,-75.773865,-177.858398,-0.006475,-0.099949,0.089514
13,3588053740,-27.077452,-75.785004,-177.991791,-0.013995,-0.087928,0.123394
14,3588070407,-26.907562,-75.797516,-178.125031,0.009259,-0.065366,0.140059
15,3588087074,-26.743486,-75.813583,-178.249176,-0.007372,-0.051692,0.110131
16,3588103741,-26.593433,-75.829079,-178.358322,-0.021037,-0.045322,0.104692
17,3588120408,-26.441069,-75.842804,-178.470810,-0.008094,-0.043394,0.106040
18,3588137075,-26.289387,-75.852722,-178.582748,0.008717,-0.057377,0.105844
19,3588153742,-26.135138,-75.863914,-178.696487,0.006037,-0.050270,0.106822
20,3588170409,-25.982216,-75.874153,-178.809265,0.028779,-0.062599,0.109277
21,3588187076,-25.832779,-75.885719,-178.917831,0.002596,-0.067922,0.119974
22,3588203743,-25.699348,-75.897644,-179.009689,0.006532,-0.056131,0.160397
23,3588220410,-25.594318,-75.906830,-179.074249,-0.006993,-0.057159,0.128275
24,3588237077,-25.517605,-75.912872,-179.117233,-0.012718,-0.064554,0.112712
25,3588253744,-25.459011,-75.913101,-179.144638,0.008935,-0.082010,0.108652
26,3588270411,-25.416250,-75.911888,-179.163208,0.009594,-0.097037,0.103035
27,3588287078,-25.376654,-75.912491,-179.186127,0.013708,-0.106962,0.114771
28,3588303745,-25.332207,-75.913315,-179.215973,-0.009750,-0.109553,0.113849
29,3588320412,-25.293030,-75.914948,-179.244629,0.004318,-0.105818,0.117648
30,3588337079,-25.263529,-75.917320,-179.264374,-0.024782,-0.091844,0.123987
31,3588353746,-25.241644,-75.919487,-179.277634,-0.003102,-0.084543,0.125500
32,3588370413,-25.218391,-75.924034,-179.290649,0.006465,-0.076869,0.116287
33,3588387080,-25.201931,-75.929092,-179.299500,-0.002092,-0.099429,0.118658
34,3588403747,-25.188675,-75.933609,-179.310944,-0.015633,-0.083038,0.103225
35,3588420414,-25.183752,-75.937309,-179.322723,-0.025108,-0.093699,0.090549
36,3588437081,-25.201162,-75.939926,-179.323395,0.011025,-0.111094,0.113120
37,3588453748,-25.236702,-75.938835,-179.314835,-0.024531,-0.111271,0.111084
38,3588470415,-25.278023,-75.937813,-179.310059,-0.013614,-0.087122,0.139047
39,3588487082,-25.340763,-75.934128,-179.293396,-0.002496,-0.077851,0.140282
40,3588503749,-25.428644,-75.933121,-179.254410,0.029036,-0.035010,0.095160
41,3588520416,-25.539228,-75.931458,-179.196579,0.003277,-0.012577,0.118480
42,3588537083,-25.630608,-75.930618,-179.155334,0.029999,-0.023736,0.141209
43,3588553750,-25.711872,-75.928627,-179.122650,0.026820,-0.014308,0.127470
44,3588570417,-25.772575,-75.926590,-179.104095,-0.012715,-0.002481,0.125754
45,3588587084,-25.819946,-75.923988,-179.086746,-0.012273,-0.015133,0.131795
46,3588603751,-25.872301,-75.923233,-179.060043,-0.013892,-0.054473,0.121739
47,3588620418,-25.920444,-75.925659,-179.035217,0.022462,-0.064916,0.112680
48,3588637085,-25.969416,-75.929970,-179.013031,-0.002616,-0.063862,0.111345
49,3588653752,-26.013548,-75.932671,-179.000580,0.025576,-0.093462,0.156216
50,3588670419,-26.055294,-75.933754,-178.994553,-0.013565,-0.098976,0.129546
51,3588687086,-26.092531,-75.937042,-178.988754,0.003601,-0.110130,0.128549
52,3588703753,-26.120621,-75.943748,-178.991135,0.015863,-0.131917,0.107424
53,3588720420,-26.134869,-75.952248,-179.014862,0.020620,-0.098585,0.115072
54,3588737087,-26.144293,-75.962463,-179.045059,0.014100,-0.034312,0.114432
55,3588753754,-26.132551,-75.976700,-179.086441,0.009977,0.000902,0.116042
56,3588770421,-26.103085,-75.991524,-179.134140,0.004611,0.016394,0.118240
57,3588787088,-26.065210,-76.006073,-179.182175,-0.003755,0.033339,0.108103
58,3588803755,-26.021305,-76.020683,-179.223099,-0.003053,0.005555,0.106041
59,3588820422,-25.982908,-76.034019,-179.250046,-0.011035,-0.016001,0.119762
60,3588837089,-25.953403,-76.045372,-179.271912,0.006995,-0.056332,0.116325
61,3588853756,-25.936560,-76.050926,-179.292175,0.018097,-0.078658,0.142328
62,3588870423,-25.933517,-76.055450,-179.308792,0.020856,-0.073403,0.119769
63,3588887090,-25.944258,-76.060890,-179.319351,-0.008509,-0.046164,0.118260
64,3588903757,-25.954163,-76.064003,-179.327988,-0.014408,0.011837,0.118195
65,3588920424,-25.952238,-76.069923,-179.340118,-0.039106,0.029118,0.109035
66,3588937091,-25.949198,-76.073830,-179.344620,0.008830,0.012457,0.117291
67,3588953758,-25.934708,-76.076851,-179.350052,0.001203,-0.011658,0.116845
68,3588970425,-25.912359,-76.079987,-179.357239,-0.008722,-0.037473,0.121404
69,3588987092,-25.887638,-76.082779,-179.369110,-0.018217,-0.067258,0.118516
70,3589003759,-25.862766,-76.084213,-179.383255,-0.028166,-0.078145,0.121600
71,3589020426,-25.843651,-76.086418,-179.395874,-0.027029,-0.076009,0.100751
72,3589037093,-25.826637,-76.087929,-179.406494,-0.034875,-0.062932,0.111567
