sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:28:26_026 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,4017879003,32.528301,-74.812843,-84.530396,0.129755,0.053405,0.089920
2,4017895670,32.569073,-74.811401,-84.563766,0.150358,0.109142,0.089750
3,4017912337,32.601841,-74.802605,-84.585266,0.148581,0.119826,0.122519
4,4017929004,32.611263,-74.795036,-84.581200,0.117600,0.085453,0.083419
5,4017945671,32.626366,-74.794571,-84.578278,0.094687,0.046935,0.087717
6,4017962338,32.636547,-74.792236,-84.572083,0.112306,0.044903,0.123863
7,4017979005,32.633629,-74.785965,-84.557610,0.092695,0.084237,0.107695
8,4017995672,32.632301,-74.781540,-84.539642,0.143756,0.064150,0.078596
9,4018012339,32.650326,-74.782143,-84.529846,0.137363,0.033843,0.087991
10,4018029006,32.658630,-74.783661,-84.500046,0.141438,0.053372,0.107898
11,4018045673,32.648506,-74.784492,-84.453323,0.093847,0.079496,0.108327
12,4018062340,32.625069,-74.789246,-84.394913,0.080377,0.079755,0.091522
13,4018079007,32.615337,-74.799561,-84.351418,0.152584,0.049778,0.104303
14,4018095674,32.618946,-74.806526,-84.311302,0.212924,0.066658,0.106346
15,4018112341,32.606968,-74.807243,-84.250374,0.140097,0.097448,0.090469
16,4018129008,32.584225,-74.814072,-84.185303,0.114023,0.113853,0.082908
17,4018145675,32.568020,-74.822083,-84.127411,0.138521,0.073800,0.099701
18,4018162342,32.548729,-74.827499,-84.058159,0.153816,0.034711,0.110573
19,4018179009,32.540756,-74.834793,-84.000046,0.114095,0.067821,0.098591
20,4018195676,32.543091,-74.841995,-83.950737,0.123022,0.105608,0.045974
21,4018212343,32.569962,-74.848686,-83.921791,0.208753,0.145640,0.063074
22,4018229010,32.588589,-74.846176,-83.883041,0.195993,0.141259,0.085064
23,4018245677,32.593983,-74.845558,-83.849228,0.153583,0.099248,0.100822
24,4018262344,32.587109,-74.845032,-83.812843,0.126123,0.023567,0.119943
25,4018279011,32.578354,-74.833900,-83.767952,0.047938,0.088885,0.106523
26,4018295678,32.572765,-74.826767,-83.718521,0.086399,0.077559,0.074776
27,4018312345,32.594162,-74.826569,-83.697632,0.135660,0.059102,0.076016
28,4018329012,32.617798,-74.828827,-83.684143,0.112209,0.051380,0.112948
29,4018345679,32.616844,-74.825966,-83.648102,0.059004,0.087001,0.147099
30,4018362346,32.614872,-74.825134,-83.618095,0.025099,0.132712,0.114772
31,4018379013,32.637775,-74.830246,-83.608070,0.081400,0.162192,0.100756
32,4018395680,32.666542,-74.836365,-83.599976,0.095191,0.172541,0.108247
33,4018412347,32.685413,-74.845085,-83.583809,0.064290,0.220617,0.088504
34,4018429014,32.676788,-74.856636,-83.545860,0.061054,0.244571,0.105168
35,4018445681,32.666733,-74.870842,-83.515236,0.105533,0.272553,0.098364
36,4018462348,32.657337,-74.886314,-83.496414,0.160292,0.254231,0.115977
37,4018479015,32.650784,-74.898338,-83.495583,0.164172,0.219623,0.100082
38,4018495682,32.646896,-74.903557,-83.507324,0.150412,0.187039,0.077121
