sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:29:27_505 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,4079330232,-58.832912,-86.301384,51.778946,-0.033488,0.001459,0.080226
2,4079346899,-59.402798,-86.293449,52.373379,-0.006787,-0.063457,0.103612
3,4079363566,-59.966808,-86.282425,52.969837,-0.030978,0.080467,0.081275
4,4079380233,-60.519321,-86.269699,53.536015,0.034495,0.265344,0.074020
5,4079396900,-60.991467,-86.249237,53.998405,0.058738,0.086304,0.092010
6,4079413567,-61.431110,-86.226341,54.422615,0.028230,0.053331,0.088826
7,4079430234,-61.821156,-86.199966,54.784424,0.011401,0.055997,0.094127
8,4079446901,-62.200779,-86.174339,55.139912,-0.017926,0.022980,0.078616
9,4079463568,-62.605057,-86.149185,55.534931,0.017388,-0.055717,0.073411
10,4079480235,-62.997341,-86.126671,55.942959,0.042467,-0.074842,0.073567
11,4079496902,-63.355694,-86.103584,56.310162,0.027261,-0.010582,0.131849
12,4079513569,-63.681896,-86.076241,56.633591,0.031273,-0.024620,0.146264
13,4079530236,-63.938858,-86.050575,56.906784,0.005893,-0.013554,0.102748
14,4079546903,-64.191170,-86.026649,57.175167,0.053002,-0.036004,0.083641
15,4079563570,-64.440018,-86.001297,57.440525,0.047802,0.015840,0.090905
16,4079580237,-64.619125,-85.973480,57.623062,0.030243,0.076591,0.108620
17,4079596904,-64.748169,-85.946144,57.742336,0.025879,0.011971,0.088341
18,4079613571,-64.819382,-85.921440,57.806923,0.063582,-0.066503,0.093396
19,4079630238,-64.859818,-85.900887,57.862667,0.038452,-0.061784,0.082438
20,4079646905,-64.882553,-85.882820,57.906685,0.029362,-0.040934,0.077777
21,4079663572,-64.897026,-85.868767,57.939899,0.020242,-0.065456,0.073780
22,4079680239,-64.885475,-85.861191,57.960945,-0.008656,-0.093859,0.066524
23,4079696906,-64.847328,-85.857498,57.965343,0.002059,-0.094184,0.080741
24,4079713573,-64.806053,-85.860764,57.975002,-0.046895,-0.068754,0.051482
25,4079730240,-64.796219,-85.870949,58.037899,-0.045656,-0.055871,0.047095
26,4079746907,-64.775192,-85.883492,58.073822,-0.050360,-0.061194,0.116295
27,4079763574,-64.733276,-85.895500,58.068672,0.040505,0.098317,0.186372
28,4079780241,-64.622520,-85.900787,57.992001,-0.013865,0.106634,0.141948
29,4079796908,-64.435074,-85.899506,57.804520,0.008444,0.116710,0.124996
30,4079813575,-64.218391,-85.895920,57.566521,-0.009717,0.023010,0.066038
31,4079830242,-64.026878,-85.887482,57.372559,-0.018985,-0.098749,0.078198
32,4079846909,-63.897396,-85.883865,57.255314,-0.052923,-0.110885,0.078676
33,4079863576,-63.794468,-85.880066,57.158993,-0.080824,-0.041432,0.124518
34,4079880243,-63.697792,-85.875786,57.084538,-0.020560,0.022433,0.082468
35,4079896910,-63.596180,-85.871658,57.013084,0.001276,0.052628,0.059139
36,4079913577,-63.539883,-85.867729,56.985744,-0.033019,0.107830,0.082217
37,4079930244,-63.450623,-85.862045,56.928936,-0.070171,0.156639,0.112794
38,4079946911,-63.352787,-85.855606,56.841156,-0.037727,0.026059,0.092998
39,4079963578,-63.283321,-85.852966,56.785000,-0.055735,-0.059976,0.081682
40,4079980245,-63.219608,-85.853249,56.744457,-0.086559,-0.071234,0.078851
41,4079996912,-63.185711,-85.854424,56.714157,-0.059536,0.052259,0.068745
42,4080013579,-63.155270,-85.858826,56.679276,-0.017881,-0.016946,0.080111
43,4080030246,-63.147560,-85.864357,56.684017,-0.046963,-0.090179,0.095101
44,4080046913,-63.165947,-85.873512,56.724674,-0.087489,0.028688,0.072724
45,4080063580,-63.213318,-85.883392,56.757866,-0.122557,0.066186,0.077559
46,4080080247,-63.320663,-85.894493,56.874554,-0.064401,0.025274,0.059271
47,4080096914,-63.441200,-85.904137,56.984619,-0.012977,-0.022490,0.082285
48,4080113581,-63.584698,-85.913376,57.122047,-0.070010,0.050156,0.111431
49,4080130248,-63.735336,-85.920670,57.267811,-0.064399,0.055527,0.099821
50,4080146915,-63.914719,-85.927826,57.438820,-0.025101,0.044226,0.078053
51,4080163582,-64.111938,-85.934952,57.635712,0.001941,0.057370,0.109681
52,4080180249,-64.289970,-85.939339,57.795353,-0.006518,0.019840,0.098268
53,4080196916,-64.482025,-85.942429,57.987152,0.029979,0.058662,0.089428
54,4080213583,-64.650345,-85.945229,58.144253,-0.010451,0.100396,0.077722
55,4080230250,-64.818459,-85.948120,58.292530,0.027015,0.026613,0.078913
56,4080246917,-64.968239,-85.951706,58.443592,0.004295,0.008150,0.094587
57,4080263584,-65.117638,-85.955811,58.576611,-0.025854,0.021157,0.081538
58,4080280251,-65.215271,-85.960320,58.641006,-0.002422,-0.031797,0.107797
59,4080296918,-65.310715,-85.963234,58.746746,0.018983,-0.041280,0.088073
60,4080313585,-65.393929,-85.965126,58.814999,0.011662,0.042998,0.122354
61,4080330252,-65.453392,-85.964828,58.847095,-0.001337,0.040999,0.101933
62,4080346919,-65.487190,-85.963326,58.858322,0.032732,0.017654,0.067780
63,4080363586,-65.486656,-85.959930,58.853775,0.019721,0.017811,0.074167
64,4080380253,-65.492897,-85.955231,58.850845,-0.003104,0.069088,0.104152
65,4080396920,-65.450172,-85.949188,58.795540,0.031234,0.037460,0.075366
66,4080413587,-65.382500,-85.944931,58.696877,0.024590,-0.002504,0.104415
67,4080430254,-65.298523,-85.940544,58.594109,-0.000629,-0.005394,0.072059
68,4080446921,-65.220146,-85.939293,58.493179,-0.005775,0.003019,0.072778
69,4080463588,-65.123543,-85.938950,58.383213,0.005690,-0.027569,0.105443
70,4080480255,-65.009071,-85.939774,58.272614,-0.005595,-0.014484,0.069743
71,4080496922,-64.881767,-85.943390,58.109821,0.018386,-0.013520,0.075191
72,4080513589,-64.755226,-85.948799,57.994606,-0.006294,-0.005482,0.086153
73,4080530256,-64.631439,-85.955482,57.887478,-0.026974,0.002521,0.082461
74,4080546923,-64.507187,-85.965271,57.818077,-0.037177,-0.034659,0.088634
75,4080563590,-64.390518,-85.972557,57.717960,0.000477,0.030841,0.123121
76,4080580257,-64.233406,-85.976494,57.579212,0.000211,0.132191,0.105314
77,4080596924,-64.075211,-85.975769,57.426197,-0.021095,0.121252,0.086855
78,4080613591,-63.926022,-85.971924,57.276081,-0.005124,0.119895,0.092919
79,4080630258,-63.748383,-85.962746,57.084091,-0.044944,0.044997,0.124663
80,4080646925,-63.571972,-85.950539,56.903835,-0.000726,0.032100,0.097055
81,4080663592,-63.391514,-85.935005,56.714096,-0.003678,-0.000155,0.103326
82,4080680259,-63.207413,-85.920334,56.538475,-0.026689,0.007736,0.055226
83,4080696926,-63.069946,-85.908447,56.398968,-0.022663,-0.020777,0.070434
84,4080713593,-62.946838,-85.900414,56.284023,-0.022006,-0.120377,0.069689
85,4080730260,-62.851837,-85.897591,56.226433,-0.072472,-0.049302,0.083844
86,4080746927,-62.774090,-85.897354,56.165615,-0.043763,-0.007248,0.067086
87,4080763594,-62.716568,-85.901939,56.125378,-0.029911,-0.044971,0.069390
88,4080780261,-62.690441,-85.910072,56.130756,-0.056366,-0.005015,0.090242
89,4080796928,-62.679928,-85.920525,56.142422,-0.050217,-0.034930,0.075719
90,4080813595,-62.712078,-85.934898,56.208134,-0.062807,-0.058189,0.040585
91,4080830262,-62.797909,-85.955376,56.325207,-0.104491,0.011094,0.029420
92,4080846929,-62.933384,-85.979370,56.467430,-0.096936,-0.095617,0.069702
93,4080863596,-63.106167,-86.004921,56.677177,-0.008858,-0.087291,0.098536
94,4080880263,-63.254738,-86.029411,56.869659,-0.021404,0.030438,0.108247
95,4080896930,-63.416225,-86.055641,57.068600,-0.002712,0.056037,0.086801
96,4080913597,-63.606171,-86.079590,57.288994,-0.013436,0.043080,0.107169
97,4080930264,-63.795349,-86.101128,57.528934,-0.022911,0.061048,0.127358
98,4080946931,-63.941116,-86.120514,57.734558,0.014967,-0.006088,0.092282
99,4080963598,-64.102654,-86.138626,57.956833,0.006163,0.045259,0.088027
100,4080980265,-64.254662,-86.154228,58.147743,0.014192,0.033249,0.098123
101,4080996932,-64.409218,-86.170242,58.343880,0.007257,-0.022812,0.112163
102,4081013599,-64.574089,-86.186432,58.577587,-0.061725,0.027358,0.097957
103,4081030266,-64.768723,-86.201714,58.809277,-0.078761,0.006141,0.082635
104,4081046933,-64.997612,-86.219490,59.056850,-0.078158,0.026463,0.056814
105,4081063600,-65.240303,-86.236832,59.344570,-0.008902,-0.002519,0.077291
106,4081080267,-65.570465,-86.256340,59.730804,-0.071559,-0.059364,0.084170
107,4081096934,-65.953300,-86.278168,60.179035,-0.110160,-0.024760,0.075185
108,4081113601,-66.362526,-86.300064,60.650345,-0.095778,0.008073,0.073321
109,4081130268,-66.829346,-86.321930,61.180744,-0.030360,0.030552,0.090619
110,4081146935,-67.350258,-86.342216,61.770382,-0.030790,0.014178,0.086024
111,4081163602,-67.887314,-86.361809,62.386162,-0.033351,0.005262,0.100687
112,4081180269,-68.371773,-86.377228,62.938309,-0.053423,0.191775,0.122952
113,4081196936,-68.835075,-86.386162,63.438210,0.076643,0.264234,0.124020
114,4081213603,-69.212387,-86.385506,63.829456,0.089280,0.124371,0.105911
115,4081230270,-69.552246,-86.377396,64.169815,-0.026974,0.094008,0.105598
116,4081246937,-69.929268,-86.366982,64.550606,-0.180674,0.030279,0.124959
117,4081263604,-70.342087,-86.355515,64.997353,-0.068086,-0.062769,0.108690
118,4081280271,-70.727310,-86.340668,65.460098,-0.050043,-0.042944,0.088451
119,4081296938,-71.237595,-86.317299,66.074127,-0.063483,0.118562,0.075143
120,4081313605,-71.726799,-86.288437,66.675888,0.059123,0.090987,0.137054
121,4081330272,-72.050072,-86.252419,67.129181,0.169964,-0.006511,0.134457
122,4081346939,-72.287483,-86.208115,67.510643,0.109074,0.176876,0.111171
123,4081363606,-72.396156,-86.156052,67.726349,0.136537,0.295924,0.087340
124,4081380273,-72.337296,-86.100876,67.737030,0.287283,0.095375,0.096802
125,4081396940,-72.137314,-86.043785,67.595833,0.257557,-0.045641,0.098982
126,4081413607,-71.811928,-85.993858,67.298058,0.068979,-0.101881,0.061580
127,4081430274,-71.463867,-85.953636,66.953934,0.020539,-0.230365,0.047995
128,4081446941,-71.041611,-85.930763,66.542755,0.162427,-0.482964,0.060861
129,4081463608,-70.542137,-85.920143,66.079933,0.126623,-0.274042,0.073583
130,4081480275,-69.988640,-85.918457,65.544487,0.104759,0.012233,0.061234
131,4081496942,-69.382729,-85.915825,64.921303,0.062379,0.039183,0.114292
132,4081513609,-68.705505,-85.911842,64.228386,0.094920,-0.036446,0.107368
133,4081530276,-67.901695,-85.908211,63.430225,0.185842,-0.034887,0.122921
134,4081546943,-67.012238,-85.897980,62.548531,0.138321,0.146002,0.120051
135,4081563610,-66.001907,-85.875977,61.514664,0.220019,0.290168,0.107172
136,4081580277,-64.871193,-85.841217,60.316238,0.274811,0.269770,0.118258
137,4081596944,-63.580238,-85.791832,58.926304,0.212876,0.258819,0.129632
138,4081613611,-62.202705,-85.728409,57.406784,0.195615,0.312733,0.138423
139,4081630278,-60.709496,-85.652557,55.739399,0.273056,0.057209,0.101550
140,4081646945,-59.160294,-85.566948,54.009209,0.241651,-0.057621,0.110838
141,4081663612,-57.572777,-85.474815,52.239178,0.126174,0.079660,0.079082
142,4081680279,-56.033432,-85.373817,50.496098,0.076250,0.110597,0.082473
143,4081696946,-54.551083,-85.263687,48.803757,0.062349,0.024888,0.083074
144,4081713613,-53.126751,-85.145744,47.192791,0.011216,0.007170,0.096145
145,4081730280,-51.747627,-85.023384,45.636623,-0.059651,0.026794,0.083928
146,4081746947,-50.493870,-84.895203,44.213345,-0.073809,0.075243,0.060386
147,4081763614,-49.402710,-84.761429,42.967419,-0.117479,0.126440,0.087790
148,4081780281,-48.402832,-84.626152,41.845737,-0.118924,0.030885,0.122013
149,4081796948,-47.455887,-84.492737,40.797897,-0.170525,-0.176600,0.127563
150,4081813615,-46.597466,-84.367302,39.868961,-0.201814,-0.202041,0.107775
151,4081830282,-45.824306,-84.255875,39.038280,-0.267816,-0.162764,0.063422
152,4081846949,-45.169960,-84.155510,38.314850,-0.267823,-0.128902,0.029277
153,4081863616,-44.653461,-84.066277,37.739990,-0.274094,-0.036362,0.070067
154,4081880283,-44.206223,-83.980148,37.234535,-0.213343,0.030404,0.167517
155,4081896950,-43.841667,-83.894882,36.808128,-0.263277,0.164369,0.216763
156,4081913617,-43.656441,-83.813316,36.557358,-0.318501,0.258666,0.060487
157,4081930284,-43.583443,-83.733810,36.395088,-0.171354,0.279950,0.153191
158,4081946951,-43.532299,-83.645355,36.254608,-0.015134,0.132862,0.210698
159,4081963618,-43.503635,-83.549255,36.150993,0.035516,0.175357,0.137884
160,4081980285,-43.573368,-83.447914,36.114006,-0.103548,0.249018,0.150834
161,4081996952,-43.720978,-83.344658,36.127514,-0.169872,0.177438,0.110551
162,4082013619,-43.846764,-83.246399,36.142944,-0.068935,-0.236979,0.155710
163,4082030286,-43.855011,-83.158806,36.093891,0.002193,-0.457189,0.112962
164,4082046953,-43.848656,-83.083923,36.055851,-0.013286,-0.302532,0.059528
165,4082063620,-43.880310,-83.025856,36.033882,-0.165703,-0.161277,0.078408
166,4082080287,-43.957352,-82.975212,36.049229,-0.206243,-0.056293,0.130158
167,4082096954,-44.020527,-82.930313,36.062988,-0.121681,0.048891,0.120937
168,4082113621,-44.125916,-82.882965,36.128601,-0.021788,0.181364,0.077486
169,4082130288,-44.255642,-82.825050,36.225697,0.001941,0.251672,0.130018
170,4082146955,-44.461266,-82.760017,36.385639,-0.066097,0.264493,0.103237
171,4082163622,-44.729374,-82.691986,36.603203,-0.088083,0.191073,0.110192
172,4082180289,-45.030029,-82.615868,36.859467,-0.071958,0.304111,0.104993
173,4082196956,-45.343407,-82.534523,37.119133,0.007492,0.327538,0.194683
174,4082213623,-45.688869,-82.443634,37.397343,-0.088723,0.120278,0.054525
175,4082230290,-46.182598,-82.360413,37.817585,-0.321333,0.177976,-0.054996
176,4082246957,-46.794514,-82.289627,38.354530,-0.355652,0.078011,0.116107
177,4082263624,-47.410366,-82.238335,38.936745,-0.315905,-0.455583,0.111802
178,4082280291,-48.054844,-82.210365,39.609581,-0.336798,-0.612957,0.006827
179,4082296958,-48.195370,-82.211349,39.845612,2.138595,-0.223911,0.915823
180,4082313625,-47.265965,-82.158455,39.029572,-0.336935,-1.786115,2.797962
181,4082330292,-46.813774,-82.102829,38.392769,-1.409660,0.219608,-4.416161
182,4082346959,-47.646618,-82.288055,39.162453,-0.894390,-4.764095,-2.427423
183,4082363626,-47.806210,-82.576408,40.122349,0.858091,-1.444926,3.330194
184,4082380293,-46.854187,-82.752052,40.052803,0.792567,3.903200,1.984610
185,4082396960,-46.462658,-82.736557,39.790287,1.195491,6.349770,-0.835329
186,4082413627,-47.173611,-82.562439,39.911041,0.025294,3.468055,-0.582053
187,4082430294,-48.077705,-82.355095,40.065109,-1.302218,-0.111290,0.457703
188,4082446961,-48.606155,-82.236794,40.067795,-0.944507,-3.335546,0.296946
189,4082463628,-48.634697,-82.250786,40.084026,0.389750,-4.094333,-0.206900
190,4082480295,-48.659142,-82.326759,40.453762,0.560568,-1.043616,-0.044245
191,4082496962,-48.835587,-82.378807,40.794415,-0.008113,1.966714,0.263234
192,4082513629,-49.159058,-82.389572,40.982548,-0.297080,1.202487,0.169202
193,4082530296,-49.686695,-82.388542,41.419189,-0.645984,-0.354240,0.145406
194,4082546963,-50.395355,-82.395561,42.286633,-0.815207,-0.557544,0.082209
195,4082563630,-51.264271,-82.422081,43.487808,-0.762847,-0.029461,0.076617
196,4082580297,-52.258911,-82.455559,44.832344,-0.265003,0.495663,0.085043
197,4082596964,-53.334789,-82.475250,46.188629,0.625991,0.576728,0.167420
198,4082613631,-53.434795,-82.481880,46.614532,5.398614,-0.101661,2.083794
199,4082630298,-52.857944,-82.361282,45.988903,-3.851939,1.047655,0.499193
200,4082646965,-53.540791,-82.307289,45.989758,0.183416,-0.805972,-4.794091
201,4082663632,-55.131432,-82.407593,47.607681,-0.501474,-5.587003,0.051851
202,4082680299,-55.081455,-82.577599,48.287109,0.030809,-0.587090,3.430700
203,4082696966,-54.325871,-82.669853,48.183903,0.506435,3.611597,0.692921
204,4082713633,-54.026920,-82.649879,47.953873,0.892307,4.848913,-0.591544
205,4082730300,-54.449993,-82.461960,47.834145,0.532440,3.064004,-0.050168
206,4082746967,-55.102352,-82.229286,47.678467,-0.703981,0.438283,-0.040491
207,4082763634,-55.668716,-82.085426,47.548573,-0.975969,-2.623809,0.374347
208,4082780301,-55.945431,-82.054382,47.610920,-0.474570,-4.194771,0.150103
209,4082796968,-56.122013,-82.116867,48.039871,-0.454454,-2.112271,-0.221742
210,4082813635,-56.448879,-82.225845,48.606239,-0.416228,0.544044,-0.056366
211,4082830302,-57.060951,-82.335197,49.222778,-0.221918,0.830089,0.166481
212,4082846969,-57.986355,-82.426819,50.042713,-0.541228,0.151184,0.095221
213,4082863636,-59.141228,-82.496635,51.105362,-1.177587,-0.606259,-0.023549
214,4082880303,-60.648674,-82.639954,52.672253,-1.405114,-0.886418,0.042174
215,4082896970,-62.563763,-82.823593,54.747066,-1.601389,-0.973897,-0.082569
216,4082913637,-64.837746,-83.065453,57.445217,1.358314,-0.903429,-0.063260
217,4082930304,-65.439644,-83.298645,58.361767,-0.259313,-3.368302,2.529443
218,4082946971,-68.185135,-83.778809,61.720951,-2.985351,0.172102,-1.083173
219,4082963638,-72.177292,-84.198463,65.954453,-0.984287,-0.628553,-5.789057
220,4082980305,-78.243576,-84.642807,72.838539,0.875033,-0.534279,1.137998
221,4082996972,-83.669426,-84.844101,79.151962,0.820658,4.950096,2.486577
222,4083013639,-88.628517,-84.737503,84.312386,-0.290036,7.114264,-0.056398
223,4083030306,-92.981438,-84.448822,88.209801,-0.670025,4.928039,-0.043433
224,4083046973,-96.409897,-84.059013,90.974762,0.821084,-0.410233,0.690214
225,4083063640,-98.945007,-83.658012,93.501541,0.841328,-3.708518,0.157500
226,4083080307,-101.011002,-83.222282,96.199684,0.686155,-0.907487,-0.004894
227,4083096974,-102.661110,-82.813293,98.149765,0.944377,2.420052,0.524880
228,4083113641,-103.821594,-82.455688,98.912148,0.750543,2.879921,0.787046
229,4083130308,-104.326202,-82.145500,98.681633,1.017748,0.913110,0.816517
230,4083146975,-104.309532,-81.850739,97.873825,0.907393,-0.569100,0.345018
231,4083163642,-104.198143,-81.595596,97.204880,0.255308,-0.573102,0.139874
232,4083180309,-103.944908,-81.387192,96.422386,0.066792,-0.029536,-0.028889
233,4083196976,-103.871826,-81.220184,95.673515,0.368036,0.770019,0.425699
234,4083213643,-103.757523,-81.128281,94.599495,0.372504,0.467693,0.639690
235,4083230310,-103.657669,-81.074890,93.437706,0.437006,-1.652023,-0.199597
236,4083246977,-103.700546,-81.076370,92.582016,0.033887,-3.308733,-0.272210
237,4083263644,-103.899994,-81.104195,92.278702,-0.170558,-2.403614,-0.144979
238,4083280311,-104.184486,-81.155800,92.223694,-0.145137,-0.963328,-0.147050
239,4083296978,-104.618080,-81.208939,92.407516,-0.099086,-0.291157,-0.234609
240,4083313645,-105.135941,-81.253204,92.721375,-0.325331,0.209673,0.042945
241,4083330312,-105.724541,-81.290047,93.105988,-0.377240,0.419641,-0.035429
242,4083346979,-106.316612,-81.308914,93.518074,0.036909,-0.415647,-0.250134
243,4083363646,-106.890816,-81.319366,94.085579,0.131046,-0.403505,0.074507
244,4083380313,-107.440765,-81.331955,94.702042,0.031961,-0.367389,-0.182717
245,4083396980,-108.178802,-81.349236,95.492546,-0.227984,-0.443937,-0.238890
246,4083413647,-109.128441,-81.379921,96.518974,-0.185720,-0.869818,-0.069262
247,4083430314,-110.167831,-81.444778,97.718819,0.120823,-1.372927,0.148685
248,4083446981,-111.231941,-81.546089,99.109306,0.330548,-1.385923,0.137278
249,4083463648,-112.356735,-81.674995,100.572884,0.300929,-0.574050,0.035027
250,4083480315,-113.644775,-81.846474,102.051659,0.558984,-0.276547,0.354844
251,4083496982,-115.073196,-82.061005,103.591003,0.412758,-1.082990,0.188766
252,4083513649,-116.464996,-82.283829,105.277634,0.128202,-1.369663,-0.217294
253,4083530316,-117.879135,-82.505379,107.200363,-0.037352,-1.041771,-0.294077
254,4083546983,-119.782516,-82.720879,109.527374,0.081845,-0.270124,0.101605
255,4083563650,-122.312668,-82.913933,112.116531,0.049734,-0.005920,-0.037738
256,4083580317,-124.696289,-83.062149,114.457214,0.271554,-0.506992,-0.602045
257,4083596984,-127.412903,-83.182640,117.217819,-0.056264,0.210495,0.190546
258,4083613651,-130.366867,-83.352997,120.146210,-0.678775,1.229970,0.684304
259,4083630318,-133.394577,-83.537804,123.136101,-0.758369,1.532307,0.417498
260,4083646985,-136.318451,-83.694199,126.069611,0.341344,0.343515,-0.087209
261,4083663652,-138.984192,-83.836678,128.949478,0.882699,-0.172184,0.138979
262,4083680319,-141.556946,-83.995346,131.839584,0.678966,0.129038,0.155610
263,4083696986,-144.454758,-84.162758,135.033264,-0.196260,-0.407872,-0.220359
264,4083713653,-147.971146,-84.323112,138.731339,-0.399614,-0.509724,-0.110821
265,4083730320,-152.149323,-84.497154,143.038971,0.074871,-0.954248,0.209167
