sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:29:27_498 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,4079346899,11.671995,30.057577,-149.893585,0.006239,0.032727,-0.402582
2,4079363566,11.681144,30.061247,-149.885086,0.036225,0.040956,-0.426012
3,4079380233,11.692423,30.065578,-149.880280,0.023369,0.032984,-0.401401
4,4079396900,11.704521,30.070400,-149.873520,0.010248,0.040322,-0.389832
5,4079413567,11.717806,30.074635,-149.864563,0.006452,0.040362,-0.394340
6,4079430234,11.730674,30.079649,-149.855789,0.012286,0.030097,-0.389873
7,4079446901,11.743594,30.085915,-149.849701,0.016399,0.023194,-0.394197
8,4079463568,11.756138,30.092007,-149.838562,0.008680,0.032105,-0.383243
9,4079480235,11.766241,30.097061,-149.836273,0.007460,0.024608,-0.422795
10,4079496902,11.775128,30.100807,-149.829483,-0.010808,0.047182,-0.395391
11,4079513569,11.781808,30.103092,-149.822220,0.020823,0.041705,-0.395791
12,4079530236,11.789564,30.108225,-149.818619,-0.001481,0.032038,-0.408822
13,4079546903,11.796208,30.114342,-149.812698,0.006416,0.020744,-0.412826
14,4079563570,11.802024,30.118933,-149.811646,-0.002671,0.049235,-0.388090
15,4079580237,11.807743,30.122562,-149.808273,0.007908,0.042180,-0.397002
16,4079596904,11.811639,30.125305,-149.805481,-0.006588,0.037830,-0.406384
17,4079613571,11.815225,30.128067,-149.805359,0.004265,0.029581,-0.397295
18,4079630238,11.817298,30.130594,-149.800797,0.007541,0.029857,-0.389705
19,4079646905,11.817884,30.132330,-149.799133,0.004194,0.040906,-0.396386
20,4079663572,11.815879,30.132755,-149.796509,0.005339,0.025753,-0.383275
21,4079680239,11.812703,30.133179,-149.794052,-0.001815,0.032927,-0.408458
22,4079696906,11.809213,30.132723,-149.793106,0.006903,0.027777,-0.392752
23,4079713573,11.804517,30.132790,-149.790344,0.009850,0.028458,-0.380844
24,4079730240,11.800000,30.132332,-149.780594,0.014865,0.022043,-0.405829
25,4079746907,11.794847,30.131321,-149.775436,0.015062,0.072519,-0.395735
26,4079763574,11.787840,30.129112,-149.779541,0.003361,0.039416,-0.416750
27,4079780241,11.782803,30.127319,-149.777710,0.013253,0.035229,-0.420456
28,4079796908,11.781649,30.125591,-149.779144,0.008304,0.030251,-0.417964
29,4079813575,11.777622,30.124170,-149.780304,0.009603,0.026058,-0.414382
30,4079830242,11.775331,30.122713,-149.782455,0.001884,0.047732,-0.389087
31,4079846909,11.773109,30.121544,-149.783844,0.003945,0.049098,-0.406632
32,4079863576,11.772344,30.122313,-149.785660,0.017309,0.049245,-0.402253
33,4079880243,11.773301,30.124344,-149.785889,0.004837,0.040912,-0.399807
34,4079896910,11.773567,30.125406,-149.782516,-0.009926,0.024244,-0.398527
35,4079913577,11.772463,30.125202,-149.780792,0.021262,0.037875,-0.397691
36,4079930244,11.771808,30.124325,-149.775406,0.003033,0.047890,-0.385672
37,4079946911,11.771048,30.124182,-149.776260,0.003651,0.013571,-0.407628
38,4079963578,11.769528,30.122852,-149.777832,0.009193,0.042435,-0.394567
39,4079980245,11.768744,30.122761,-149.778580,-0.000856,0.046778,-0.398350
40,4079996912,11.768486,30.123842,-149.784210,0.030760,0.036940,-0.412662
41,4080013579,11.767054,30.124382,-149.790771,-0.021904,0.012144,-0.409776
42,4080030246,11.766416,30.123600,-149.792908,-0.001256,0.018562,-0.422299
43,4080046913,11.765708,30.123333,-149.791977,0.019804,0.018880,-0.394126
44,4080063580,11.764888,30.123236,-149.787781,0.037292,0.040337,-0.399127
45,4080080247,11.768566,30.122131,-149.786560,0.016837,0.046297,-0.400943
46,4080096914,11.768991,30.121298,-149.787231,0.001152,0.045938,-0.408526
47,4080113581,11.769903,30.120106,-149.786957,0.020433,0.052899,-0.415330
48,4080130248,11.772641,30.119362,-149.786682,0.013420,0.034930,-0.403746
49,4080146915,11.775471,30.118645,-149.785126,0.011722,0.050117,-0.398342
50,4080163582,11.778265,30.119556,-149.785568,0.005724,0.041848,-0.381912
51,4080180249,11.780458,30.119616,-149.785522,0.002687,0.053784,-0.370630
52,4080196916,11.781275,30.119520,-149.788651,0.008688,0.032839,-0.387008
53,4080213583,11.783726,30.120581,-149.783203,0.008403,0.027970,-0.386401
54,4080230250,11.785288,30.121073,-149.784882,-0.005403,0.023856,-0.397741
55,4080246917,11.786607,30.121180,-149.779404,0.002031,0.038309,-0.389750
56,4080263584,11.787765,30.121254,-149.779343,-0.003384,0.046751,-0.400195
57,4080280251,11.789934,30.121439,-149.779083,-0.001313,0.056435,-0.388794
58,4080296918,11.790718,30.121414,-149.778732,-0.003328,0.047867,-0.403620
59,4080313585,11.792591,30.121145,-149.778702,0.006521,0.049554,-0.399116
60,4080330252,11.794296,30.121592,-149.777939,0.003965,0.040559,-0.398540
61,4080346919,11.796528,30.123108,-149.779144,-0.005330,0.018952,-0.391783
62,4080363586,11.796497,30.123621,-149.777786,0.003386,0.038813,-0.396342
63,4080380253,11.796878,30.123384,-149.779449,0.003352,0.034367,-0.388760
64,4080396920,11.798046,30.124044,-149.770599,-0.003805,0.028078,-0.388253
65,4080413587,11.798453,30.123798,-149.774551,0.000685,0.030531,-0.399183
66,4080430254,11.797526,30.123056,-149.776749,0.006296,0.039895,-0.417760
67,4080446921,11.795429,30.122391,-149.778259,0.007475,0.029234,-0.399872
68,4080463588,11.794106,30.122221,-149.780136,0.016310,0.042301,-0.384075
69,4080480255,11.791345,30.121889,-149.780624,0.005877,0.040674,-0.389750
70,4080496922,11.788507,30.121038,-149.781036,0.000339,0.031487,-0.401374
71,4080513589,11.784245,30.119686,-149.788559,0.012486,0.051277,-0.396794
72,4080530256,11.780238,30.118071,-149.787064,0.008240,0.053154,-0.393230
73,4080546923,11.776859,30.117384,-149.791443,-0.009152,0.032826,-0.405030
74,4080563590,11.775155,30.116619,-149.798187,-0.006340,0.028723,-0.404894
75,4080580257,11.772885,30.116514,-149.799728,0.016116,0.038767,-0.400728
76,4080596924,11.769786,30.115305,-149.797546,0.017169,0.044255,-0.410313
77,4080613591,11.768371,30.115059,-149.795212,0.018541,0.038364,-0.407129
78,4080630258,11.768810,30.114946,-149.793488,0.010570,0.030768,-0.402937
79,4080646925,11.768333,30.114799,-149.794235,0.000844,0.039217,-0.405459
80,4080663592,11.766243,30.116411,-149.797745,0.004409,0.044711,-0.381212
81,4080680259,11.768254,30.117655,-149.791656,0.012666,0.037719,-0.369129
82,4080696926,11.767987,30.118406,-149.792114,-0.012704,0.022710,-0.400764
83,4080713593,11.766548,30.118248,-149.796631,-0.004483,0.039624,-0.399058
84,4080730260,11.764896,30.118607,-149.803864,-0.006493,0.023008,-0.413712
85,4080746927,11.762722,30.119404,-149.804489,-0.014197,0.022234,-0.413674
86,4080763594,11.760038,30.118359,-149.800491,0.006882,0.039291,-0.383428
87,4080780261,11.757224,30.118273,-149.799500,0.001466,0.032928,-0.389194
88,4080796928,11.755108,30.116558,-149.799057,0.005010,0.042172,-0.375146
89,4080813595,11.752125,30.116907,-149.796906,0.029795,0.033083,-0.377089
90,4080830262,11.748968,30.115776,-149.793457,0.019175,0.030968,-0.386487
91,4080846929,11.744765,30.113970,-149.785507,0.015811,0.038963,-0.391483
92,4080863596,11.739864,30.112720,-149.785629,0.000374,0.044960,-0.407774
93,4080880263,11.734581,30.112682,-149.786499,0.022256,0.044204,-0.390978
94,4080896930,11.729831,30.110920,-149.784973,0.000432,0.060621,-0.413947
95,4080913597,11.724854,30.108229,-149.784103,0.013031,0.044377,-0.389565
96,4080930264,11.721807,30.106949,-149.791367,-0.002261,0.029929,-0.397473
97,4080946931,11.718318,30.106266,-149.791702,0.025499,0.050707,-0.385717
98,4080963598,11.714997,30.105402,-149.797119,-0.009480,0.031707,-0.400976
99,4080980265,11.710353,30.104548,-149.796387,-0.004950,0.035426,-0.411484
100,4080996932,11.706495,30.102556,-149.794647,0.008698,0.040988,-0.409798
101,4081013599,11.703195,30.100122,-149.798584,-0.004265,0.041420,-0.396150
102,4081030266,11.699203,30.098949,-149.799255,0.016654,0.032643,-0.390416
103,4081046933,11.694527,30.098377,-149.790604,0.012114,0.045578,-0.400736
104,4081063600,11.689621,30.097139,-149.786118,-0.013366,0.041490,-0.397386
105,4081080267,11.685735,30.095825,-149.785629,0.011714,0.037402,-0.396692
106,4081096934,11.682523,30.094627,-149.780838,0.015102,0.041188,-0.397753
107,4081113601,11.677851,30.092983,-149.778503,0.021695,0.032576,-0.403931
108,4081130268,11.673405,30.091679,-149.776428,-0.010602,0.039215,-0.397513
109,4081146935,11.668547,30.090265,-149.778091,0.000883,0.043159,-0.401701
110,4081163602,11.664284,30.088623,-149.780365,0.015110,0.051078,-0.401372
111,4081180269,11.664039,30.087257,-149.779510,0.050456,0.061009,-0.405408
112,4081196936,11.666660,30.088886,-149.775421,0.007790,0.047561,-0.399150
113,4081213603,11.667747,30.090303,-149.767456,-0.000741,0.037528,-0.396389
114,4081230270,11.669365,30.090342,-149.766983,-0.004446,0.037648,-0.398401
115,4081246937,11.669821,30.090651,-149.766449,0.007883,0.050730,-0.414697
116,4081263604,11.673489,30.094616,-149.762070,0.017450,0.057513,-0.367952
117,4081280271,11.678587,30.101320,-149.761353,-0.005674,0.039169,-0.396521
118,4081296938,11.683931,30.107861,-149.754349,-0.004132,0.030017,-0.404324
119,4081313605,11.691762,30.116308,-149.749146,0.019038,0.038744,-0.391191
120,4081330272,11.699464,30.124731,-149.745712,-0.023089,0.021211,-0.388172
121,4081346939,11.706183,30.133200,-149.749344,0.017340,0.027199,-0.394785
122,4081363606,11.714923,30.140713,-149.745926,0.039120,0.041500,-0.393733
123,4081380273,11.724512,30.150105,-149.743011,-0.013520,0.007707,-0.386441
124,4081396940,11.730700,30.155975,-149.738464,-0.015002,0.019789,-0.387185
125,4081413607,11.732238,30.158230,-149.737335,-0.017003,0.024502,-0.383088
126,4081430274,11.732348,30.159271,-149.733810,0.019494,0.039112,-0.397733
127,4081446941,11.729016,30.159018,-149.730743,-0.017727,0.050347,-0.386605
128,4081463608,11.720827,30.157352,-149.734955,-0.021095,0.032883,-0.386037
129,4081480275,11.709558,30.152550,-149.740326,0.000710,0.036527,-0.375652
130,4081496942,11.696940,30.146061,-149.743484,-0.006715,0.027132,-0.403120
131,4081513609,11.683215,30.138739,-149.745529,0.005472,0.032701,-0.407868
132,4081530276,11.671047,30.133459,-149.751892,0.015530,0.033149,-0.395084
133,4081546943,11.659172,30.128275,-149.755249,0.017625,0.037781,-0.396420
134,4081563610,11.648522,30.122419,-149.758392,0.013676,0.039088,-0.395793
135,4081580277,11.635730,30.114782,-149.764282,-0.002347,0.031323,-0.402280
