sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:29:27_510 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,4079330232,1.486578,-1.164178,34.045383,-0.016121,0.025466,0.367441
2,4079346899,1.486822,-1.164306,34.045387,-0.003134,0.014132,0.354557
3,4079363566,1.487686,-1.164106,34.043743,-0.004390,0.007881,0.358406
4,4079380233,1.488620,-1.163952,34.044743,-0.005913,0.023653,0.366856
5,4079396900,1.488434,-1.162997,34.041016,-0.008745,0.034229,0.383602
6,4079413567,1.487795,-1.163669,34.040775,-0.023765,0.019128,0.394289
7,4079430234,1.487720,-1.164437,34.038937,-0.009606,0.016566,0.365618
8,4079446901,1.487918,-1.165506,34.036385,-0.014377,0.021510,0.386813
9,4079463568,1.488856,-1.165162,34.037579,-0.003354,0.019521,0.378534
10,4079480235,1.489217,-1.164437,34.038132,-0.008851,0.021929,0.346370
11,4079496902,1.488752,-1.162728,34.038185,-0.012686,0.013343,0.354024
12,4079513569,1.489364,-1.162926,34.037334,0.006461,0.008491,0.351017
13,4079530236,1.490701,-1.163695,34.036495,-0.019072,0.030666,0.358617
14,4079546903,1.490817,-1.164124,34.036041,-0.013713,0.029491,0.361244
15,4079563570,1.491289,-1.164543,34.034061,-0.015532,0.043232,0.376419
16,4079580237,1.492201,-1.165723,34.033878,-0.013285,0.017785,0.380151
17,4079596904,1.492018,-1.165182,34.035873,-0.013909,0.013207,0.380825
18,4079613571,1.491894,-1.164148,34.035049,-0.011371,0.003725,0.377204
19,4079630238,1.492260,-1.163250,34.035107,-0.017172,0.009791,0.384939
20,4079646905,1.491727,-1.163693,34.033768,-0.003140,0.014896,0.363579
21,4079663572,1.492598,-1.163505,34.034588,-0.004066,0.021344,0.375091
22,4079680239,1.493193,-1.161969,34.035797,-0.013754,0.028098,0.372987
23,4079696906,1.492747,-1.162123,34.037560,-0.014871,0.017141,0.378825
24,4079713573,1.491514,-1.163614,34.037041,-0.015623,0.015759,0.369369
25,4079730240,1.490268,-1.163838,34.037556,-0.001270,0.023013,0.346136
26,4079746907,1.488887,-1.162766,34.040661,-0.009393,0.019683,0.380686
27,4079763574,1.488415,-1.163132,34.038113,0.009808,0.030196,0.375230
28,4079780241,1.489438,-1.161986,34.037182,-0.002200,0.022683,0.364203
29,4079796908,1.490072,-1.160472,34.039505,-0.024541,0.020946,0.357244
30,4079813575,1.491176,-1.160109,34.040615,0.004956,0.001373,0.375330
31,4079830242,1.491726,-1.159468,34.039162,-0.006055,0.022954,0.369048
32,4079846909,1.492606,-1.161054,34.039768,0.000129,0.008369,0.359266
33,4079863576,1.493325,-1.160705,34.041832,-0.005822,0.025157,0.359469
34,4079880243,1.493599,-1.160413,34.042389,0.006135,0.028837,0.348508
35,4079896910,1.493622,-1.158761,34.041477,-0.013038,0.030366,0.348216
36,4079913577,1.494054,-1.160393,34.043526,0.006832,0.041264,0.363937
37,4079930244,1.494113,-1.161537,34.043049,0.001187,0.015116,0.376034
38,4079946911,1.494748,-1.162137,34.042576,-0.006755,0.018017,0.363823
39,4079963578,1.495068,-1.161965,34.042633,-0.011339,0.002490,0.374528
40,4079980245,1.494475,-1.162212,34.042812,-0.004587,0.009250,0.371385
41,4079996912,1.494701,-1.162047,34.044094,-0.000868,0.017135,0.360868
42,4080013579,1.495636,-1.161971,34.040855,-0.003654,0.019500,0.390394
43,4080030246,1.495945,-1.163125,34.041279,-0.012160,0.033778,0.360372
44,4080046913,1.496395,-1.164964,34.042694,-0.015021,0.028049,0.366365
45,4080063580,1.495806,-1.165259,34.042690,-0.004429,0.026798,0.362104
46,4080080247,1.496278,-1.165673,34.042152,-0.009711,0.013790,0.377830
47,4080096914,1.496814,-1.165224,34.042408,0.015259,0.018593,0.386225
48,4080113581,1.497707,-1.165102,34.043316,-0.002295,0.018808,0.362803
49,4080130248,1.497737,-1.164262,34.042545,-0.008976,0.020505,0.372395
50,4080146915,1.498190,-1.163965,34.042969,-0.021582,0.014264,0.375814
51,4080163582,1.498105,-1.163428,34.043140,0.000723,0.006947,0.383293
52,4080180249,1.499279,-1.164471,34.043709,-0.019563,0.008713,0.345180
53,4080196916,1.500588,-1.165561,34.041008,-0.019628,0.024249,0.388144
54,4080213583,1.499968,-1.164120,34.045280,-0.001800,0.025105,0.392159
55,4080230250,1.501638,-1.163911,34.045452,-0.006729,0.030217,0.359985
56,4080246917,1.502386,-1.164445,34.045391,-0.009484,0.025143,0.364620
57,4080263584,1.501977,-1.164269,34.046238,-0.008320,0.037656,0.363638
58,4080280251,1.501584,-1.165691,34.047318,-0.024503,0.025824,0.359351
59,4080296918,1.501903,-1.165277,34.047874,-0.012055,0.022215,0.366434
60,4080313585,1.502550,-1.166234,34.049110,-0.009763,0.013372,0.369254
61,4080330252,1.503025,-1.165052,34.048233,-0.016064,0.020920,0.365910
62,4080346919,1.465664,-1.166540,34.047775,-0.004178,0.014387,0.375579
63,4080363586,1.465882,-1.168233,34.048397,-0.015113,0.011723,0.384415
64,4080380253,1.465978,-1.167509,34.049133,-0.019858,0.008562,0.369913
65,4080396920,1.465823,-1.167246,34.048317,-0.012852,0.004023,0.375094
66,4080413587,1.465985,-1.167057,34.048187,-0.014071,0.013381,0.380218
67,4080430254,1.465811,-1.167171,34.048355,-0.012888,0.015910,0.361948
68,4080446921,1.467010,-1.167521,34.046463,-0.009007,0.017450,0.365005
69,4080463588,1.467658,-1.168871,34.045963,-0.011436,0.024613,0.357800
70,4080480255,1.468885,-1.168390,34.046097,-0.017505,0.031893,0.352178
71,4080496922,1.468526,-1.168750,34.047424,-0.027853,0.028123,0.359970
72,4080513589,1.468326,-1.168941,34.048500,-0.016581,0.025713,0.389750
73,4080530256,1.469716,-1.170832,34.049160,-0.022586,0.011154,0.387074
74,4080546923,1.470261,-1.170412,34.051323,-0.011839,0.015182,0.366457
75,4080563590,1.470221,-1.169819,34.049908,-0.014185,0.013195,0.379358
76,4080580257,1.469534,-1.168237,34.049881,-0.001306,0.032733,0.365905
77,4080596924,1.469000,-1.168470,34.048622,-0.009712,0.018520,0.353064
78,4080613591,1.470244,-1.168947,34.047009,-0.009033,0.018967,0.389402
79,4080630258,1.471117,-1.170261,34.047234,-0.016239,0.021599,0.382004
80,4080646925,1.470575,-1.171178,34.046349,-0.011792,0.020092,0.379807
81,4080663592,1.469891,-1.170774,34.048565,-0.012783,0.023833,0.360357
82,4080680259,1.469831,-1.169215,34.047478,-0.016051,0.013716,0.375926
83,4080696926,1.470091,-1.169088,34.047443,-0.012811,0.020182,0.383874
84,4080713593,1.469673,-1.167209,34.048126,-0.014992,0.034429,0.363832
85,4080730260,1.468384,-1.165649,34.046741,-0.020672,0.023528,0.381996
86,4080746927,1.468744,-1.165239,34.048233,-0.010131,0.030578,0.357870
87,4080763594,1.468521,-1.165292,34.047058,0.003786,0.025195,0.372248
88,4080780261,1.470165,-1.165595,34.046772,-0.012705,0.025648,0.362201
89,4080796928,1.470037,-1.166708,34.045048,-0.022708,0.018188,0.391726
90,4080813595,1.469498,-1.166687,34.046986,-0.010888,0.012465,0.359892
91,4080830262,1.470277,-1.166732,34.043270,0.001498,0.020628,0.386353
92,4080846929,1.470265,-1.166267,34.045666,-0.017276,0.019452,0.371814
93,4080863596,1.470349,-1.164977,34.046341,-0.016823,0.019972,0.367537
94,4080880263,1.470834,-1.165678,34.046055,-0.008968,0.028333,0.371956
95,4080896930,1.470471,-1.165750,34.045155,-0.008558,0.010398,0.384610
96,4080913597,1.469495,-1.164407,34.046108,-0.005302,0.022798,0.368069
97,4080930264,1.469267,-1.163634,34.041866,-0.018420,0.021388,0.365973
98,4080946931,1.469259,-1.162705,34.042606,-0.011857,0.016400,0.383711
99,4080963598,1.469500,-1.163162,34.043095,-0.003126,0.028281,0.388340
100,4080980265,1.470029,-1.162633,34.042290,-0.018768,0.005986,0.372770
101,4080996932,1.469645,-1.162163,34.040344,-0.008496,0.022257,0.353281
102,4081013599,1.469293,-1.162481,34.038490,-0.001389,0.010619,0.369753
103,4081030266,1.469134,-1.163367,34.040096,-0.011782,0.030139,0.377040
104,4081046933,1.469064,-1.164270,34.039780,-0.015862,0.007355,0.364642
105,4081063600,1.469631,-1.164553,34.041454,-0.025536,0.037909,0.369165
106,4081080267,1.470615,-1.164356,34.040932,-0.001234,0.034019,0.374628
107,4081096934,1.471818,-1.165227,34.041744,-0.021993,0.017947,0.343440
108,4081113601,1.472830,-1.164914,34.042408,-0.026425,0.024856,0.366561
109,4081130268,1.472331,-1.163648,34.040058,0.001104,0.031185,0.380929
110,4081146935,1.472611,-1.163285,34.040413,-0.021729,0.027182,0.364530
111,4081163602,1.471614,-1.162726,34.039688,-0.025482,0.026998,0.375902
112,4081180269,1.470631,-1.164484,34.039097,-0.017649,0.024708,0.360525
113,4081196936,1.471376,-1.164129,34.036709,-0.005991,0.020821,0.359957
114,4081213603,1.471605,-1.163453,34.037266,-0.027310,0.009261,0.364917
115,4081230270,1.471611,-1.162569,34.036896,-0.012624,0.013973,0.381969
116,4081246937,1.471359,-1.162338,34.036781,-0.004238,0.016091,0.363601
117,4081263604,1.472442,-1.162216,34.037060,-0.020098,0.025278,0.365403
118,4081280271,1.472368,-1.162663,34.036644,-0.010796,0.019441,0.370059
119,4081296938,1.472746,-1.163519,34.037205,-0.020039,0.018033,0.363893
120,4081313605,1.472799,-1.163536,34.036160,-0.009151,0.019660,0.376403
121,4081330272,1.474071,-1.164195,34.035248,-0.011253,0.020521,0.365877
122,4081346939,1.474789,-1.163385,34.034409,-0.016321,0.026541,0.359146
123,4081363606,1.475019,-1.164333,34.035248,-0.011473,0.021576,0.388115
124,4081380273,1.474828,-1.164845,34.036114,-0.020203,0.018499,0.355983
125,4081396940,1.474432,-1.163680,34.035545,-0.019043,0.005121,0.389318
126,4081413607,1.473770,-1.164377,34.034252,-0.007180,0.021422,0.369655
127,4081430274,1.473049,-1.164637,34.034409,-0.013996,0.016072,0.373767
128,4081446941,1.472650,-1.165768,34.036495,-0.020912,0.022596,0.378613
129,4081463608,1.472385,-1.165283,34.038528,0.000364,0.017659,0.367946
130,4081480275,1.472452,-1.165118,34.038174,-0.025548,0.018165,0.369802
131,4081496942,1.471894,-1.166248,34.038086,-0.008290,0.013449,0.359068
132,4081513609,1.471854,-1.166322,34.040291,-0.002412,0.020506,0.351438
133,4081530276,1.471877,-1.164718,34.040073,-0.009641,0.006431,0.366148
134,4081546943,1.472310,-1.164065,34.039062,-0.002242,0.029504,0.401652
135,4081563610,1.472044,-1.163936,34.039246,-0.014676,0.025009,0.366643
136,4081580277,1.472113,-1.163313,34.044292,-0.016260,0.018698,0.376002
