sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:35:57_842 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,174720743,147.871948,-68.338089,24.370041,0.013579,0.317980,-0.064448
2,174737410,147.851898,-68.345413,24.392084,0.001028,0.327440,-0.045592
3,174754077,147.836334,-68.353256,24.412195,-0.017396,0.328151,-0.012065
4,174770744,147.820114,-68.363266,24.437349,0.012396,0.342326,-0.071446
5,174787411,147.809387,-68.370682,24.464674,0.061651,0.295332,-0.090444
6,174804078,147.796066,-68.375740,24.494688,0.072871,0.237300,-0.015093
7,174820745,147.775528,-68.382042,24.520061,0.054878,0.211757,-0.022037
8,174837412,147.749924,-68.390457,24.539511,0.016247,0.224862,-0.058991
9,174854079,147.723633,-68.400230,24.552933,-0.004574,0.265732,-0.051018
10,174870746,147.704132,-68.410255,24.547871,0.046428,0.206538,-0.030210
11,174887413,147.656021,-68.428482,24.538773,0.068157,0.108751,-0.004905
12,174904080,147.565659,-68.453354,24.538601,0.044504,0.210329,-0.017466
13,174920747,147.485229,-68.473244,24.537334,-0.017967,0.331023,-0.066791
14,174937414,147.423584,-68.485374,24.542362,-0.050254,0.524148,-0.076906
15,174954081,147.405807,-68.495537,24.561205,0.020227,0.657711,-0.099537
16,174970748,147.426575,-68.502693,24.597256,0.030925,0.586092,-0.045727
17,174987415,147.458389,-68.508087,24.649765,0.043336,0.421345,-0.022426
18,175004082,147.471405,-68.511803,24.714056,0.043127,0.287909,-0.077223
19,175020749,147.464264,-68.515297,24.774818,-0.019806,0.183817,-0.015736
20,175037416,147.450485,-68.524361,24.836910,0.047945,0.160078,-0.007567
21,175054083,147.442001,-68.533760,24.881489,0.065443,0.272743,-0.063416
22,175070750,147.445145,-68.540352,24.914637,0.021150,0.344762,-0.039990
23,175087417,147.456543,-68.548012,24.945444,-0.036979,0.304306,-0.026815
24,175104084,147.465683,-68.552521,24.976460,-0.023056,0.214985,-0.041302
25,175120751,147.476212,-68.558014,24.999710,0.014218,0.161539,-0.060729
26,175137418,147.480255,-68.565239,25.018345,0.039015,0.171824,-0.078439
27,175154085,147.492874,-68.572708,25.021671,0.037575,0.227203,-0.043612
28,175170752,147.507370,-68.580444,25.019119,0.037551,0.307676,-0.064167
29,175187419,147.529465,-68.587425,25.009186,-0.014282,0.379089,-0.061896
30,175204086,147.560989,-68.597939,24.998116,-0.033383,0.426811,-0.093974
31,175220753,147.615433,-68.606018,24.991386,0.010794,0.441617,-0.113584
32,175237420,147.676926,-68.609741,25.001202,0.050672,0.418488,-0.077999
33,175254087,147.727524,-68.607979,25.033251,0.043569,0.275379,-0.007162
34,175270754,147.741562,-68.609703,25.093296,0.031308,0.146519,0.014521
35,175287421,147.741974,-68.617218,25.153826,0.012879,0.105367,-0.013783
36,175304088,147.740723,-68.625565,25.196398,-0.020178,0.141207,-0.025218
37,175320755,147.734299,-68.634666,25.223577,-0.043593,0.185002,-0.064132
38,175337422,147.724182,-68.639717,25.253164,-0.002932,0.196075,-0.033581
39,175354089,147.704697,-68.646614,25.290518,0.007927,0.191780,0.029896
40,175370756,147.680801,-68.658356,25.320919,0.078383,0.287740,-0.059777
41,175387423,147.660461,-68.668663,25.340788,0.029180,0.334891,-0.061506
42,175404090,147.638794,-68.677139,25.350367,-0.018646,0.310061,-0.041733
43,175420757,147.622482,-68.690437,25.360121,-0.019723,0.255874,-0.053708
44,175437424,147.602478,-68.706230,25.377457,0.054171,0.304256,-0.072136
45,175454091,147.596603,-68.716751,25.391304,0.038399,0.331322,-0.076381
46,175470758,147.587799,-68.723717,25.405846,0.083736,0.341194,-0.043298
47,175487425,147.576584,-68.731110,25.429461,0.099466,0.309816,-0.025702
48,175504092,147.558945,-68.737488,25.466774,0.139070,0.333502,-0.033521
49,175520759,147.541275,-68.739174,25.503441,0.070588,0.373522,-0.058848
50,175537426,147.522690,-68.740608,25.539204,-0.022135,0.358526,-0.048246
51,175554093,147.512848,-68.743965,25.572943,0.001083,0.325195,-0.040171
52,175570760,147.503677,-68.749054,25.610361,0.056179,0.307769,-0.041170
53,175587427,147.497208,-68.755920,25.652664,0.054002,0.312995,-0.063788
54,175604094,147.491196,-68.761795,25.691202,0.025695,0.281494,-0.037488
55,175620761,147.482986,-68.766296,25.723982,-0.007162,0.242315,-0.049919
56,175637428,147.474960,-68.772209,25.753656,-0.004602,0.234147,-0.024531
57,175654095,147.481934,-68.781677,25.765083,-0.016071,0.231220,-0.058018
58,175670762,147.481628,-68.789314,25.773811,0.056939,0.243568,-0.049580
59,175687429,147.471725,-68.796524,25.770523,0.053469,0.243239,-0.052546
60,175704096,147.453094,-68.805199,25.768099,0.043016,0.256845,-0.051145
61,175720763,147.438263,-68.816223,25.758997,0.051585,0.280077,-0.044495
62,175737430,147.430267,-68.827087,25.747450,0.039568,0.324373,-0.045500
63,175754097,147.427094,-68.836990,25.735527,-0.024423,0.346458,-0.032293
64,175770764,147.420517,-68.845154,25.730824,-0.009336,0.323497,-0.067803
65,175787431,147.413406,-68.855057,25.728653,-0.027530,0.327793,-0.039758
66,175804098,147.407135,-68.865547,25.727520,-0.016156,0.338781,-0.055298
67,175820765,147.405655,-68.876053,25.729687,0.028327,0.382361,-0.040295
68,175837432,147.406723,-68.887772,25.732611,0.021242,0.340470,-0.034248
69,175854099,147.407608,-68.897736,25.733120,0.026898,0.309225,-0.068578
70,175870766,147.405228,-68.908562,25.734209,-0.002565,0.237545,-0.004037
71,175887433,147.397995,-68.922646,25.734497,-0.034178,0.216124,-0.025866
72,175904100,147.387909,-68.939438,25.734718,-0.032802,0.251958,-0.066970
73,175920767,147.385452,-68.952797,25.728958,-0.061957,0.272073,-0.057228
74,175937434,147.384476,-68.966553,25.718374,-0.046693,0.288586,-0.043659
75,175954101,147.375275,-68.987999,25.712814,0.018344,0.300341,-0.031758
76,175970768,147.364899,-69.011192,25.703941,0.049344,0.340142,-0.062691
77,175987435,147.365341,-69.030708,25.689091,0.034673,0.348190,-0.082126
78,176004102,147.363708,-69.046165,25.673439,0.051257,0.358058,-0.051624
79,176020769,147.357742,-69.065529,25.669186,0.090277,0.343313,-0.023847
80,176037436,147.351425,-69.084351,25.670292,0.074367,0.398863,-0.052346
81,176054103,147.345703,-69.098450,25.671259,-0.048996,0.428453,-0.029476
82,176070770,147.338577,-69.113152,25.685114,-0.035399,0.400515,-0.051132
83,176087437,147.325272,-69.129074,25.710596,-0.038606,0.364390,-0.029158
84,176104104,147.319046,-69.140785,25.732765,-0.005082,0.351451,-0.039592
85,176120771,147.307938,-69.152977,25.761686,0.010038,0.353605,-0.029454
86,176137438,147.293152,-69.165771,25.786583,-0.049820,0.335924,-0.047517
87,176154105,147.281769,-69.180183,25.812370,-0.028638,0.374179,-0.037368
88,176170772,147.282257,-69.194153,25.832855,0.022024,0.390709,-0.064343
89,176187439,147.291885,-69.209175,25.850943,0.035718,0.380426,-0.048023
90,176204106,147.301300,-69.222015,25.865711,0.027247,0.334206,-0.014853
91,176220773,147.293427,-69.234818,25.888245,0.030497,0.282628,-0.050359
92,176237440,147.285126,-69.248131,25.911890,0.015021,0.265920,-0.065321
93,176254107,147.278015,-69.260399,25.936255,0.025484,0.288060,-0.060770
94,176270774,147.267426,-69.271278,25.968187,-0.004265,0.324909,-0.036395
95,176287441,147.263504,-69.284950,26.003599,-0.008559,0.343371,-0.075856
96,176304108,147.268860,-69.299118,26.035366,-0.002284,0.325721,-0.045732
97,176320775,147.284348,-69.314400,26.053883,0.015189,0.251454,-0.011995
98,176337442,147.304169,-69.330750,26.050198,0.046485,0.174902,-0.013272
