sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:35:57_871 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,174737410,-100.507149,-89.531868,70.804695,-0.133677,-0.047246,0.064184
2,174754077,-99.981071,-89.533539,70.284645,-0.180345,-0.033625,0.079213
3,174770744,-99.370560,-89.535225,69.677834,-0.171328,-0.003588,0.028361
4,174787411,-99.336258,-89.537758,69.649994,-0.166346,0.015514,0.065256
5,174804078,-98.549469,-89.538177,68.876480,-0.150598,0.033921,0.106643
6,174820745,-97.919746,-89.536911,68.257866,-0.134843,0.043386,0.068424
7,174837412,-97.135918,-89.537331,67.471230,-0.124621,0.041596,0.066434
8,174854079,-96.460388,-89.540306,66.785591,-0.118898,0.038814,0.069125
9,174870746,-95.483192,-89.543716,65.794876,-0.178314,0.005201,0.064207
10,174887413,-94.251160,-89.541580,64.553337,-0.157683,-0.017099,0.082492
11,174904080,-92.929016,-89.545441,63.229362,-0.086430,0.041585,0.075024
12,174920747,-91.722084,-89.548027,62.005714,-0.110588,0.070706,0.062369
13,174937414,-90.785103,-89.553688,61.045910,-0.222282,-0.037285,0.047768
14,174954081,-90.010849,-89.560318,60.268948,-0.266458,-0.131771,0.053724
15,174970748,-89.640015,-89.562996,59.926414,-0.272855,-0.097441,0.066337
16,174987415,-88.834190,-89.568405,59.157097,-0.211488,-0.063201,0.069796
17,175004082,-88.115845,-89.571129,58.486752,-0.135511,-0.006310,0.071143
18,175020749,-87.602882,-89.576645,58.006756,-0.080014,0.076818,0.083889
19,175037416,-87.712456,-89.584099,58.138859,-0.082289,-0.020974,0.077204
20,175054083,-87.788918,-89.596039,58.232479,-0.150621,-0.022964,0.071773
21,175070750,-87.129272,-89.606339,57.603802,-0.176182,-0.030629,0.107092
22,175087417,-86.097107,-89.611336,56.606236,-0.142393,0.066047,0.076577
23,175104084,-85.000626,-89.613869,55.539738,-0.097136,0.088843,0.053353
24,175120751,-83.358879,-89.614372,53.918076,-0.110196,0.052238,0.074690
25,175137418,-81.505074,-89.615387,52.086967,-0.136344,0.003105,0.047782
26,175154085,-79.653587,-89.612350,50.269016,-0.146954,-0.015469,0.056884
27,175170752,-77.788353,-89.611336,48.440254,-0.153857,-0.060734,0.035719
28,175187419,-76.477219,-89.609833,47.183323,-0.154591,-0.140650,0.029059
29,175204086,-75.504333,-89.609833,46.290672,-0.206262,-0.149907,-0.000763
30,175220753,-75.194183,-89.613358,46.079536,-0.206623,-0.078743,-0.016726
31,175237420,-75.028290,-89.618965,46.025822,-0.228404,0.027849,0.040024
32,175254087,-75.054153,-89.620003,46.156467,-0.219923,0.143790,0.125323
33,175270754,-75.369209,-89.618965,46.569771,-0.075259,0.187862,0.118366
34,175287421,-75.620415,-89.620003,46.891621,-0.046310,0.141408,0.121118
35,175304088,-75.190186,-89.612854,46.512394,-0.029952,0.080989,0.113688
36,175320755,-74.388000,-89.600906,45.748035,-0.065638,0.110846,0.087696
37,175337422,-72.835365,-89.587883,44.223454,-0.109968,0.095427,0.162283
38,175354089,-71.040977,-89.565239,42.455845,-0.155322,0.051785,0.115367
39,175370756,-69.590370,-89.546303,41.023521,-0.142164,0.009697,0.080347
40,175387423,-68.537560,-89.529366,39.982735,-0.103926,0.014895,0.070078
41,175404090,-67.424751,-89.515434,38.873070,-0.115302,-0.001826,0.063638
42,175420757,-66.245628,-89.499153,37.685577,-0.148757,0.012603,0.062306
43,175437424,-65.150864,-89.486420,36.580757,-0.161002,-0.000920,0.070601
44,175454091,-64.265335,-89.475861,35.695698,-0.199638,-0.010195,0.059803
45,175470758,-63.680355,-89.462227,35.118618,-0.192589,0.047403,0.069715
46,175487425,-63.012875,-89.449287,34.463852,-0.214369,0.005632,0.068023
47,175504092,-62.751606,-89.438026,34.222149,-0.202889,0.010444,0.065686
48,175520759,-62.483295,-89.424950,33.976112,-0.170404,-0.009492,0.074647
49,175537426,-62.340462,-89.413834,33.855907,-0.119296,-0.051707,0.083331
50,175554093,-62.231953,-89.403900,33.762150,-0.148276,0.029199,0.066389
51,175570760,-62.370365,-89.398994,33.914082,-0.166835,-0.031763,0.056377
52,175587427,-62.487305,-89.393158,34.054070,-0.162353,-0.002292,0.080780
53,175604094,-62.779747,-89.388664,34.371468,-0.120830,0.047149,0.079024
54,175620761,-63.043625,-89.383247,34.653458,-0.094068,0.020598,0.067248
55,175637428,-63.167503,-89.376305,34.791016,-0.079798,-0.013965,0.096462
56,175654095,-62.852741,-89.366348,34.479603,-0.117759,0.031703,0.075920
57,175670762,-62.549465,-89.357452,34.172543,-0.133870,0.045772,0.059876
58,175687429,-62.109261,-89.346283,33.724407,-0.099211,-0.006952,0.084091
59,175704096,-61.667736,-89.336769,33.271255,-0.163605,0.037804,0.059373
60,175720763,-61.220222,-89.325661,32.809940,-0.151747,-0.021139,0.078705
61,175737430,-60.969372,-89.313866,32.550041,-0.144974,0.012802,0.079614
62,175754097,-60.779995,-89.305077,32.351910,-0.159361,0.015558,0.071200
63,175770764,-60.689079,-89.293907,32.258694,-0.133112,-0.026242,0.087811
64,175787431,-60.523979,-89.283180,32.094719,-0.100345,-0.014130,0.059590
65,175804098,-60.483055,-89.275574,32.055016,-0.136233,-0.019111,0.066894
66,175820765,-60.323185,-89.268852,31.895901,-0.162296,-0.031462,0.084953
67,175837432,-60.142521,-89.262192,31.724283,-0.157717,-0.050504,0.079420
68,175854099,-59.885918,-89.255325,31.477825,-0.133095,0.044592,0.058008
69,175870766,-59.544785,-89.248795,31.137491,-0.109826,0.041127,0.097865
70,175887433,-59.306622,-89.240242,30.904766,-0.118376,-0.003354,0.082560
71,175904100,-59.119606,-89.229759,30.723598,-0.062129,0.050478,0.068742
72,175920767,-58.960297,-89.219154,30.563124,-0.055104,0.043140,0.066735
73,175937434,-58.686386,-89.209694,30.279551,-0.118003,-0.006945,0.076898
74,175954101,-58.551300,-89.200829,30.133614,-0.164190,-0.034608,0.064581
75,175970768,-58.648628,-89.197411,30.228870,-0.168053,-0.048683,0.046160
76,175987435,-58.895638,-89.195702,30.484756,-0.130218,-0.022691,0.061389
77,176004102,-58.826302,-89.191818,30.415262,-0.153638,0.006509,0.064608
78,176020769,-58.626698,-89.188194,30.220709,-0.199796,-0.031171,0.067343
79,176037436,-58.553520,-89.186752,30.157352,-0.141348,-0.026515,0.085223
80,176054103,-58.564644,-89.185310,30.169441,-0.106433,-0.014658,0.079249
81,176070770,-58.268837,-89.182671,29.871693,-0.103253,-0.039579,0.075779
82,176087437,-57.932026,-89.183151,29.537945,-0.138166,-0.071531,0.083456
83,176104104,-57.638138,-89.185310,29.255423,-0.139540,-0.027157,0.085581
84,176120771,-57.243221,-89.186028,28.870998,-0.079707,0.011499,0.106987
85,176137438,-56.636784,-89.187233,28.269098,-0.110946,-0.048548,0.097663
86,176154105,-55.834892,-89.186989,27.473816,-0.146589,-0.071271,0.070178
87,176170772,-54.796246,-89.184586,26.444775,-0.180825,-0.068978,0.059110
88,176187439,-53.929165,-89.186516,25.591906,-0.135365,-0.009090,0.064231
89,176204106,-52.996197,-89.191338,24.668940,-0.146469,-0.014109,0.077875
90,176220773,-52.264214,-89.197411,23.942623,-0.117031,0.050616,0.077531
91,176237440,-51.663879,-89.205246,23.341516,-0.132015,0.065964,0.061484
92,176254107,-50.796753,-89.210930,22.471626,-0.129097,0.017966,0.066953
93,176270774,-49.891960,-89.212173,21.562750,-0.124195,-0.019061,0.059895
94,176287441,-48.936356,-89.214409,20.604883,-0.166486,-0.027268,0.051939
95,176304108,-48.183994,-89.218155,19.865023,-0.141627,-0.036416,0.069835
96,176320775,-47.477108,-89.222420,19.173185,-0.102001,0.020562,0.068372
97,176337442,-46.705303,-89.233574,18.401102,-0.080057,0.039022,0.032095
98,176354109,-46.041321,-89.249573,17.732340,-0.130249,-0.089456,0.030702
99,176370776,-45.116508,-89.266983,16.813972,-0.118993,-0.016001,0.105237
100,176387443,-44.544834,-89.281815,16.246906,-0.131479,0.067686,0.072608
101,176404110,-44.094070,-89.301147,15.796051,-0.061994,0.080280,0.071711
102,176420777,-43.598492,-89.317001,15.294508,-0.107693,-0.004097,0.066305
103,176437444,-43.402805,-89.334419,15.090714,-0.058230,-0.036088,0.057899
104,176454111,-43.859016,-89.361122,15.550726,-0.053513,-0.179929,0.000798
105,176470778,-44.983681,-89.392838,16.702175,-0.207565,-0.350719,0.040375
106,176487445,-44.726212,-89.412163,16.496891,-0.303034,-0.145953,0.166961
107,176504112,-43.352055,-89.421555,15.168079,-0.237000,0.017194,0.190289
108,176520779,-41.656765,-89.423935,13.510390,-0.227981,0.032901,0.140222
109,176537446,-39.671753,-89.423935,11.555013,-0.161665,0.101327,0.034328
110,176554113,-38.057964,-89.430077,9.974364,-0.201860,0.095654,0.035105
111,176570780,-36.074036,-89.436981,8.026277,-0.196719,0.106245,0.089484
112,176587447,-33.662399,-89.434906,5.640372,-0.120388,0.055434,0.110280
113,176604114,-31.266243,-89.432831,3.271185,-0.031971,-0.008139,0.122544
114,176620781,-29.117504,-89.431801,1.140076,-0.061734,-0.024941,0.044708
115,176637448,-26.963470,-89.435249,-1.003130,-0.036901,-0.102490,0.037460
116,176654115,-25.029907,-89.440475,-2.914619,-0.154067,-0.119051,0.068874
117,176670782,-23.295654,-89.438026,-4.603464,-0.197695,0.027430,0.086337
118,176687449,-21.621265,-89.433525,-6.239359,-0.166631,0.209474,0.084546
119,176704116,-20.196089,-89.424606,-7.638986,-0.133310,0.173752,0.087312
120,176720783,-19.118258,-89.412498,-8.704226,-0.101100,0.094287,0.059933
121,176737450,-18.207411,-89.404556,-9.621462,-0.123143,0.090949,0.066498
122,176754117,-17.127438,-89.396400,-10.717923,-0.139527,0.022901,0.039385
123,176770784,-16.219500,-89.392197,-11.640817,-0.163997,-0.054709,0.051777
124,176787451,-15.163189,-89.391548,-12.692533,-0.159194,-0.054440,0.080020
125,176804118,-14.555217,-89.380714,-13.293805,-0.150017,-0.002653,0.133571
126,176820785,-13.834627,-89.363571,-14.018046,-0.130663,0.083226,0.110153
127,176837452,-12.998484,-89.345093,-14.880032,-0.121492,0.071623,0.039837
128,176854119,-12.063471,-89.336479,-15.856766,-0.162004,-0.045339,0.051524
129,176870786,-11.102215,-89.330894,-16.850531,-0.190595,-0.094676,0.042385
130,176887453,-10.102526,-89.333824,-17.875729,-0.173572,-0.023090,0.048069
131,176904120,-9.104613,-89.343895,-18.894329,-0.187610,0.009797,0.037183
132,176920787,-7.973449,-89.355629,-20.044352,-0.174738,-0.036010,0.095139
133,176937454,-6.680276,-89.367279,-21.361666,-0.206572,-0.046146,0.075574
134,176954121,-4.871268,-89.381981,-23.196737,-0.177932,-0.147768,0.040249
135,176970788,-2.992537,-89.404884,-25.076468,-0.163355,-0.132573,-0.000111
136,176987455,-0.662545,-89.433525,-27.407291,-0.199277,-0.001511,0.046677
137,177004122,2.133606,-89.466614,-30.211529,-0.172244,-0.025937,0.051432
