sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:35:57_863 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,174737410,12.964451,24.581625,-47.033943,0.019561,0.017177,-0.401187
2,174754077,12.963490,24.580418,-47.032887,0.027557,0.006875,-0.441994
3,174770744,12.960278,24.579557,-47.032383,0.045913,0.009063,-0.451543
4,174787411,12.958382,24.575142,-47.031605,0.033083,0.018971,-0.428794
5,174804078,12.956404,24.572092,-47.030300,0.026113,0.027414,-0.420007
6,174820745,12.955739,24.570539,-47.028950,0.029924,0.025844,-0.422139
7,174837412,12.955597,24.567545,-47.027603,0.030781,0.026828,-0.421963
8,174854079,12.954390,24.563200,-47.027668,0.026408,0.022089,-0.419203
9,174870746,12.952991,24.557299,-47.027657,0.015553,0.023985,-0.446335
10,174887413,12.951591,24.552206,-47.028454,0.027347,0.026682,-0.429029
11,174904080,12.949272,24.546228,-47.028584,0.032385,0.005934,-0.424133
12,174920747,12.946409,24.539572,-47.030441,0.041957,0.014569,-0.447471
13,174937414,12.942756,24.529819,-47.032459,0.030985,0.009182,-0.412936
14,174954081,12.938599,24.520590,-47.034634,0.012147,0.029125,-0.437143
15,174970748,12.934499,24.512035,-47.036129,0.028787,0.015766,-0.445024
16,174987415,12.928661,24.505432,-47.036324,0.011658,0.009990,-0.458029
17,175004082,12.922083,24.500467,-47.036732,0.027719,0.008499,-0.431722
18,175020749,12.915220,24.493513,-47.037849,0.033794,0.026023,-0.422515
19,175037416,12.907577,24.489061,-47.040470,0.012166,0.019665,-0.403121
20,175054083,12.902850,24.487339,-47.042645,0.012048,0.019562,-0.447935
21,175070750,12.898480,24.487579,-47.047657,0.013201,0.027112,-0.452882
22,175087417,12.891416,24.486628,-47.053364,0.031970,0.032379,-0.435948
23,175104084,12.882891,24.484619,-47.057369,0.039894,0.026767,-0.430534
24,175120751,12.873619,24.480324,-47.061401,0.040614,0.010646,-0.440393
25,175137418,12.860189,24.474812,-47.068382,0.036121,0.018382,-0.419538
26,175154085,12.841606,24.463413,-47.077797,0.021428,0.021582,-0.435639
27,175170752,12.819385,24.450035,-47.090424,0.037160,0.004759,-0.432307
28,175187419,12.789832,24.433537,-47.106956,0.030344,-0.025195,-0.434355
29,175204086,12.753329,24.411829,-47.128361,0.020269,-0.022860,-0.445733
30,175220753,12.707269,24.385115,-47.153519,0.026986,0.013165,-0.418622
31,175237420,12.659781,24.356014,-47.178349,0.032274,0.041356,-0.438994
32,175254087,12.616077,24.329077,-47.201389,0.015604,0.060574,-0.431614
33,175270754,12.583320,24.303701,-47.216713,0.024030,0.062231,-0.426273
34,175287421,12.556396,24.281700,-47.228397,0.018691,0.028271,-0.438489
35,175304088,12.532661,24.265068,-47.240513,-0.015769,0.016101,-0.448077
36,175320755,12.510962,24.250708,-47.251762,0.016786,0.026669,-0.447925
37,175337422,12.494100,24.241968,-47.257820,-0.008117,0.038694,-0.441923
38,175354089,12.482121,24.237413,-47.263405,0.017928,0.051447,-0.413183
39,175370756,12.472649,24.234737,-47.266850,0.021675,0.035818,-0.433249
40,175387423,12.466452,24.232634,-47.269100,0.039071,0.025150,-0.441560
41,175404090,12.460886,24.230165,-47.269558,0.011597,0.024332,-0.421235
42,175420757,12.454228,24.225985,-47.271397,0.022751,0.022912,-0.445272
43,175437424,12.447587,24.222036,-47.271389,0.038531,0.042125,-0.437222
44,175454091,12.440400,24.216583,-47.273983,0.042803,0.018038,-0.437787
45,175470758,12.432857,24.209635,-47.277569,0.014938,0.015456,-0.444454
46,175487425,12.428809,24.203104,-47.277634,0.014196,0.033790,-0.429656
47,175504092,12.426452,24.197203,-47.275360,0.033191,0.029234,-0.441008
48,175520759,12.425614,24.192266,-47.273819,0.035723,0.007344,-0.457857
49,175537426,12.421681,24.187580,-47.275578,0.020189,0.018565,-0.435062
50,175554093,12.418161,24.184284,-47.276318,0.021852,0.027242,-0.420145
51,175570760,12.415533,24.182352,-47.276131,0.028219,0.037357,-0.418924
52,175587427,12.413194,24.179298,-47.274872,0.015177,0.014298,-0.427162
53,175604094,12.411118,24.174141,-47.271587,0.016006,0.031389,-0.433104
54,175620761,12.410019,24.169291,-47.268276,0.022159,0.013612,-0.427236
55,175637428,12.407227,24.164606,-47.267292,0.018424,0.016753,-0.443870
56,175654095,12.404755,24.161642,-47.265945,0.007950,0.039338,-0.423397
57,175670762,12.402921,24.156832,-47.263969,0.018319,0.020877,-0.440963
58,175687429,12.400516,24.152939,-47.265259,0.027388,0.029607,-0.427733
59,175704096,12.398557,24.150000,-47.265514,0.020057,0.042307,-0.434000
60,175720763,12.398294,24.145973,-47.264252,0.018054,0.035989,-0.421574
61,175737430,12.397743,24.141026,-47.265091,0.023936,0.042362,-0.451084
62,175754097,12.397526,24.138630,-47.262711,0.009873,0.024938,-0.434728
63,175770764,12.397953,24.136324,-47.261021,0.032152,0.032189,-0.438767
64,175787431,12.396669,24.134668,-47.266712,0.013528,0.012651,-0.422077
65,175804098,12.395257,24.132689,-47.264191,0.028978,0.006213,-0.410051
66,175820765,12.392691,24.130243,-47.263290,0.014947,0.030923,-0.418514
67,175837432,12.390273,24.126329,-47.262798,0.003703,0.011208,-0.422571
68,175854099,12.388043,24.124569,-47.260872,0.017848,0.020629,-0.427344
69,175870766,12.386595,24.121435,-47.260841,0.030428,0.020373,-0.413578
70,175887433,12.385181,24.117767,-47.260921,0.025828,0.038809,-0.434764
71,175904100,12.381401,24.111946,-47.265160,0.029004,0.011261,-0.430878
72,175920767,12.377038,24.104311,-47.267361,0.041421,0.026499,-0.439492
73,175937434,12.372455,24.097178,-47.272457,0.009293,0.030476,-0.434739
74,175954101,12.367579,24.089041,-47.276028,0.010156,0.043300,-0.414818
75,175970768,12.359715,24.080206,-47.279388,0.033370,0.010590,-0.420720
76,175987435,12.352153,24.070185,-47.281696,0.038125,0.025547,-0.429091
77,176004102,12.342739,24.059324,-47.288326,0.019992,0.023196,-0.440510
78,176020769,12.335208,24.046818,-47.286331,0.023949,0.055124,-0.425981
79,176037436,12.328864,24.033468,-47.284199,0.022349,0.025000,-0.429753
80,176054103,12.323074,24.021568,-47.287926,0.011572,0.024122,-0.443058
81,176070770,12.315930,24.009996,-47.289543,0.007255,0.022144,-0.438647
82,176087437,12.307987,23.999691,-47.299801,0.017368,0.017769,-0.431683
83,176104104,12.300983,23.991438,-47.304676,-0.018008,0.020550,-0.456080
84,176120771,12.292254,23.986309,-47.306946,0.021453,0.016828,-0.444080
85,176137438,12.283998,23.980949,-47.307186,0.010911,0.014236,-0.407268
86,176154105,12.277172,23.982004,-47.313065,-0.000725,0.032861,-0.415022
87,176170772,12.276423,23.990931,-47.314720,-0.000325,0.033398,-0.421376
88,176187439,12.277260,24.001026,-47.314751,0.028881,0.017361,-0.454273
89,176204106,12.274644,24.007271,-47.309841,0.029349,0.028153,-0.453434
90,176220773,12.269517,24.009325,-47.310078,0.012784,0.022013,-0.447228
91,176237440,12.260443,24.005875,-47.319294,0.037021,0.032150,-0.431709
92,176254107,12.249701,23.995922,-47.316360,0.021967,0.016265,-0.443617
93,176270774,12.236908,23.983519,-47.320236,0.044794,0.025031,-0.423071
94,176287441,12.220096,23.966764,-47.332008,0.024406,0.016925,-0.420075
95,176304108,12.205049,23.949720,-47.337551,0.019603,0.028600,-0.439613
96,176320775,12.190770,23.934681,-47.338295,0.043094,0.020596,-0.432844
97,176337442,12.174496,23.916483,-47.341625,0.039384,0.014656,-0.423270
98,176354109,12.154004,23.893427,-47.349701,0.034860,0.026909,-0.418125
99,176370776,12.134023,23.869947,-47.352955,0.003954,0.029502,-0.469589
