sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:35:57_877 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,174720743,1.125222,-1.423585,38.675766,-0.008808,0.022596,0.371155
2,174737410,1.122511,-1.423467,38.674953,-0.013281,0.023507,0.391808
3,174754077,1.118500,-1.423031,38.674934,-0.011190,0.034782,0.379974
4,174770744,1.114601,-1.421383,38.675716,-0.011460,0.084575,0.363158
5,174787411,1.111734,-1.421463,38.676315,-0.021430,0.112793,0.356853
6,174804078,1.106912,-1.420699,38.677856,-0.015835,0.130411,0.391803
7,174820745,1.102266,-1.420459,38.679214,-0.010206,0.105771,0.348534
8,174837412,1.098781,-1.421567,38.679867,0.001925,0.051215,0.371902
9,174854079,1.098081,-1.423098,38.680439,0.013227,-0.014570,0.384181
10,174870746,1.097650,-1.422695,38.680565,0.001456,-0.059686,0.360815
11,174887413,1.096765,-1.422634,38.681347,-0.016399,-0.045128,0.381195
12,174904080,1.094802,-1.422636,38.681454,0.007800,-0.022699,0.354438
13,174920747,1.093783,-1.422941,38.681431,-0.011554,-0.014617,0.362617
14,174937414,1.092807,-1.422435,38.682411,0.005026,-0.048726,0.346688
15,174954081,1.090406,-1.423274,38.683048,0.002714,-0.053427,0.357925
16,174970748,1.087626,-1.422822,38.684063,0.006052,-0.036550,0.358527
17,174987415,1.084988,-1.423557,38.685555,-0.006289,-0.040844,0.368979
18,175004082,1.081508,-1.424054,38.686226,-0.000476,-0.067768,0.373681
19,175020749,1.078104,-1.423432,38.688168,0.023467,-0.075644,0.367992
20,175037416,1.075332,-1.423322,38.689342,0.015950,-0.063700,0.381393
21,175054083,1.072115,-1.423897,38.690742,0.018648,-0.083162,0.382813
22,175070750,1.069660,-1.425433,38.692890,0.010397,-0.112050,0.382834
23,175087417,1.067021,-1.425395,38.693623,0.023341,-0.127171,0.362330
24,175104084,1.065581,-1.424368,38.694649,0.024841,-0.129944,0.380863
25,175120751,1.065437,-1.423376,38.694248,0.029927,-0.117626,0.356191
26,175137418,1.065030,-1.422401,38.695274,0.013934,-0.103791,0.369049
