sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:38:30_579 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,327573800,-9.679819,28.079185,160.542831,-0.060615,-0.156675,-0.407902
2,327590467,-9.663087,28.060480,160.551010,-0.089387,-0.167586,-0.427044
3,327607134,-9.639997,28.041651,160.562347,-0.086923,-0.144685,-0.405098
4,327623801,-9.612048,28.027660,160.577347,-0.050961,-0.134839,-0.416929
5,327640468,-9.579437,28.017956,160.594101,-0.060674,-0.123624,-0.423050
6,327657135,-9.548182,28.011644,160.611404,-0.035767,-0.088233,-0.442237
7,327673802,-9.527015,28.013168,160.623077,-0.095814,-0.062759,-0.387529
8,327690469,-9.520911,28.018707,160.628067,-0.122825,-0.055129,-0.349315
9,327707136,-9.526826,28.021051,160.625809,-0.122981,-0.102633,-0.404890
10,327723803,-9.538784,28.025969,160.622223,-0.074714,-0.103102,-0.401226
11,327740470,-9.555052,28.033384,160.617157,-0.108575,-0.088262,-0.384228
12,327757137,-9.583172,28.041874,160.606552,-0.070685,-0.090001,-0.393523
13,327773804,-9.627728,28.055046,160.588486,-0.087324,-0.070308,-0.393727
14,327790471,-9.690315,28.065586,160.561020,-0.129885,-0.039074,-0.351326
15,327807138,-9.788013,28.076641,160.512604,-0.096575,0.004167,-0.398142
16,327823805,-9.906647,28.095823,160.452255,-0.053676,-0.057247,-0.404043
17,327840472,-10.029197,28.124861,160.393448,-0.021941,-0.141644,-0.419447
18,327857139,-10.154225,28.157593,160.332596,-0.130784,-0.131660,-0.364460
19,327873806,-10.270203,28.184460,160.277359,-0.115745,-0.142053,-0.394174
20,327890473,-10.372643,28.207277,160.227936,-0.126760,-0.141121,-0.430097
21,327907140,-10.468644,28.226542,160.181534,-0.068642,-0.092579,-0.434381
31,328073810,-10.774220,28.406534,160.049774,-0.136427,-0.092207,-0.379002
36,328157145,-10.880140,28.475948,160.015076,-0.081402,-0.085285,-0.430371
37,328173812,-10.915789,28.491051,160.000488,-0.095694,-0.097564,-0.407146
38,328190479,-10.951895,28.502253,159.985565,-0.090198,-0.139619,-0.410443
39,328207146,-10.982915,28.513338,159.973312,-0.025453,-0.109122,-0.456869
40,328223813,-11.024798,28.540388,159.956085,-0.069365,-0.033148,-0.394896
41,328240480,-11.081860,28.578932,159.931183,-0.065163,-0.103899,-0.379752
42,328257147,-11.140059,28.623020,159.904846,-0.117755,-0.138496,-0.375525
43,328273814,-11.192891,28.660561,159.880539,-0.132477,-0.104113,-0.400124
45,328307148,-11.303471,28.732290,159.829071,-0.039707,-0.137023,-0.412675
46,328323815,-11.349973,28.776247,159.808731,-0.056813,-0.123947,-0.392987
47,328340482,-11.388561,28.818707,159.792877,-0.116567,-0.152097,-0.388458
48,328357149,-11.419181,28.852011,159.781525,-0.122426,-0.176077,-0.406801
49,328373816,-11.438650,28.875000,159.775574,-0.160267,-0.142906,-0.354381
50,328390483,-11.451494,28.887722,159.772003,-0.133266,-0.135069,-0.375976
51,328407150,-11.461310,28.892517,159.770538,-0.118785,-0.131338,-0.405496
52,328423817,-11.468847,28.892859,159.770370,-0.080252,-0.126122,-0.390533
53,328440484,-11.478754,28.891939,159.769089,-0.088555,-0.106873,-0.408163
54,328457151,-11.488705,28.894491,159.767212,-0.085846,-0.110859,-0.418499
