sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:39:51_391 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,408242080,173.191071,-80.480667,-21.134701,0.015572,0.101011,-0.020872
2,408258747,173.064819,-80.477959,-20.976984,0.004233,0.060728,-0.007182
3,408275414,172.931870,-80.474594,-20.858847,0.010475,0.044263,-0.004455
4,408292081,172.838074,-80.472992,-20.789406,0.004411,0.144041,-0.015112
5,408308748,172.779800,-80.472023,-20.754446,0.023688,0.228451,-0.021457
6,408325415,172.781693,-80.472473,-20.767473,0.066917,0.243804,-0.002733
7,408342082,172.819504,-80.471764,-20.815491,0.065999,0.231020,-0.021736
8,408358749,172.873123,-80.469254,-20.882723,0.066340,0.169964,-0.015291
9,408375416,172.917236,-80.465996,-20.935461,0.003534,0.110272,-0.003289
10,408392083,172.938812,-80.463829,-20.956741,0.032609,0.061069,0.037403
11,408408750,172.962128,-80.465515,-20.962456,0.043957,0.071112,0.021520
12,408425417,172.980713,-80.467026,-20.961384,0.009560,0.100604,-0.007216
13,408442084,173.018143,-80.464119,-20.995438,-0.001651,0.147919,-0.008845
14,408458751,173.075424,-80.461319,-21.057751,-0.014659,0.172901,-0.002662
15,408475418,173.144913,-80.457649,-21.126305,0.012311,0.152852,-0.002772
16,408492085,173.215836,-80.455238,-21.200850,0.031684,0.112911,-0.016734
17,408508752,173.274338,-80.451897,-21.250315,0.027050,0.119737,0.001966
18,408525419,173.315826,-80.451218,-21.296452,0.032371,0.115587,0.001420
19,408542086,173.352737,-80.451347,-21.322775,0.030517,0.118825,0.024018
20,408558753,173.396896,-80.452583,-21.346218,0.011989,0.121000,0.012040
21,408575420,173.435577,-80.454475,-21.364401,0.004189,0.083031,-0.029605
22,408592087,173.467529,-80.452171,-21.375029,-0.010402,0.070931,-0.022576
23,408608754,173.494965,-80.448685,-21.405836,-0.019299,0.082010,0.000926
24,408625421,173.507690,-80.444702,-21.435919,0.015340,0.084024,0.003095
25,408642088,173.524094,-80.440002,-21.476986,0.038274,0.089194,0.002670
26,408658755,173.541458,-80.437523,-21.482618,0.008143,0.131226,-0.008821
27,408675422,173.572464,-80.436119,-21.505503,0.046381,0.125872,-0.040420
28,408692089,173.630493,-80.436409,-21.579924,0.009233,0.135556,0.007155
29,408708756,173.714020,-80.434929,-21.656679,0.005854,0.123230,0.002292
30,408725423,173.794846,-80.429649,-21.732094,-0.017816,0.064693,-0.020840
31,408742090,173.858765,-80.419014,-21.784275,0.015385,0.045346,-0.012842
32,408758757,173.929138,-80.408058,-21.864897,0.037044,0.018972,0.000541
33,408775424,174.003098,-80.402390,-21.947483,0.006073,0.053084,0.007398
34,408792091,174.080688,-80.397293,-22.023512,0.024624,0.027515,-0.012827
35,408808758,174.150772,-80.391602,-22.118593,0.048726,0.028818,-0.005504
36,408825425,174.218384,-80.385201,-22.192068,-0.000372,0.058901,0.004698
37,408842092,174.294418,-80.379662,-22.281805,0.024096,0.077853,0.015190
38,408858759,174.374802,-80.372429,-22.365557,0.006243,0.087785,0.009874
39,408875426,174.458801,-80.364693,-22.456730,0.009889,0.109975,-0.007389
40,408892093,174.543884,-80.356369,-22.551825,0.056467,0.157038,0.000746
41,408908760,174.648544,-80.349426,-22.654743,0.030265,0.205809,0.014795
42,408925427,174.760605,-80.343246,-22.764187,0.042537,0.175465,0.008785
43,408942094,174.887436,-80.335007,-22.880339,0.040117,0.150936,-0.005185
44,408958761,175.002670,-80.325333,-22.988871,0.056794,0.138773,-0.008153
45,408975428,175.111557,-80.315323,-23.095192,0.054269,0.154286,0.003104
46,408992095,175.198730,-80.309731,-23.177135,0.077507,0.115709,-0.002900
47,409008762,175.275040,-80.303452,-23.209658,0.065790,0.087950,0.024328
48,409025429,175.320282,-80.300896,-23.213591,0.052268,0.103048,-0.011563
49,409042096,175.353912,-80.295074,-23.206371,0.040263,0.150375,-0.017338
50,409058763,175.379227,-80.285378,-23.200727,0.033969,0.228414,0.008250
51,409075430,175.417984,-80.275269,-23.191454,0.042601,0.210847,0.010395
52,409092097,175.479446,-80.262581,-23.232294,0.043880,0.189698,-0.021699
53,409108764,175.545059,-80.247749,-23.254824,0.022047,0.196005,-0.016513
54,409125431,175.625504,-80.233322,-23.300589,0.030468,0.190435,-0.010327
55,409142098,175.703751,-80.220863,-23.328295,0.027420,0.142263,-0.003234
56,409158765,175.781174,-80.210022,-23.344303,0.006576,0.088916,0.000252
57,409175432,175.848648,-80.199554,-23.357330,-0.034753,0.028819,-0.003195
58,409192099,175.899643,-80.188553,-23.391264,-0.033200,0.028555,-0.010542
59,409208766,175.959366,-80.176353,-23.399990,0.009915,0.090017,-0.002750
60,409225433,176.019547,-80.163109,-23.436047,0.026594,0.127801,-0.004662
61,409242100,176.076920,-80.151505,-23.399002,0.072973,0.152446,0.017893
62,409258767,176.139679,-80.142181,-23.465744,0.052108,0.127691,-0.011405
63,409275434,176.196854,-80.131203,-23.489708,0.040812,0.129712,0.000593
64,409292101,176.267288,-80.121758,-23.561102,0.057981,0.150187,0.040379
65,409308768,176.349609,-80.118477,-23.587551,0.047902,0.164303,0.066220
66,409325435,176.436676,-80.119431,-23.622982,0.050289,0.130434,0.012354
67,409342102,176.514755,-80.124901,-23.624662,0.004788,0.072303,0.030552
68,409358769,176.555176,-80.131241,-23.593056,-0.031441,0.040946,0.057468
69,409375436,176.553543,-80.139671,-23.515356,-0.053162,0.076078,0.047075
70,409392103,176.504608,-80.146431,-23.407557,-0.031489,0.111870,-0.014013
71,409408770,176.432022,-80.149925,-23.247738,-0.063861,0.154846,-0.056518
72,409425437,176.349487,-80.150780,-23.089821,-0.054208,0.222306,-0.060530
73,409442104,176.274124,-80.150642,-22.944851,-0.038065,0.259691,-0.005680
74,409458771,176.216522,-80.150764,-22.822460,-0.022242,0.240268,-0.011956
75,409475438,176.187836,-80.150063,-22.734772,-0.005761,0.214967,-0.015827
76,409492105,176.189117,-80.151604,-22.682833,0.009526,0.206327,-0.024683
77,409508772,176.231949,-80.153023,-22.675138,-0.008426,0.191790,-0.018718
78,409525439,176.292419,-80.155441,-22.687122,-0.018858,0.176989,-0.005933
79,409542106,176.351318,-80.155258,-22.699291,-0.004527,0.142005,-0.010554
80,409558773,176.412415,-80.153023,-22.715805,-0.037903,0.108120,-0.012704
81,409575440,176.453156,-80.151146,-22.716167,0.013238,0.089512,-0.007615
82,409592107,176.487885,-80.152603,-22.709465,0.014148,0.095799,0.012396
83,409608774,176.520172,-80.155296,-22.695526,0.008554,0.078863,0.038330
84,409625441,176.541245,-80.159157,-22.670830,-0.021287,0.039988,-0.003878
85,409642108,176.553314,-80.159790,-22.647179,-0.054936,0.070752,-0.035652
86,409658775,176.552307,-80.159134,-22.630442,-0.026129,0.098768,-0.004809
87,409675442,176.564957,-80.159508,-22.629568,-0.000062,0.127740,0.000194
88,409692109,176.591125,-80.161591,-22.638700,-0.006151,0.114331,-0.019160
89,409708776,176.624161,-80.163368,-22.658979,-0.000008,0.118036,-0.020226
90,409725443,176.658997,-80.164009,-22.683428,-0.007251,0.120417,0.007219
91,409742110,176.704178,-80.167206,-22.716434,0.009642,0.066294,0.010600
92,409758777,176.739746,-80.170914,-22.743393,0.016384,0.028611,-0.008862
93,409775444,176.771530,-80.173531,-22.784306,-0.030710,0.025206,-0.008902
94,409792111,176.800003,-80.174187,-22.806040,-0.029920,0.081775,0.002103
95,409808778,176.824570,-80.173195,-22.845858,-0.015697,0.098601,0.000299
96,409825445,176.849365,-80.173775,-22.891415,0.020668,0.106909,0.015512
97,409842112,176.872482,-80.173347,-22.941965,0.006863,0.108797,0.016145
98,409858779,176.897919,-80.173256,-22.993910,-0.015865,0.124855,-0.011244
99,409875446,176.923187,-80.173370,-23.035889,0.012959,0.140865,-0.014315
100,409892113,176.936172,-80.171890,-23.061966,0.042500,0.152278,-0.021516
101,409908780,176.949142,-80.170006,-23.092390,0.055118,0.155432,-0.025142
102,409925447,176.956253,-80.162994,-23.110928,0.022466,0.161669,-0.032990
103,409942114,176.975586,-80.156197,-23.140532,-0.003784,0.181913,0.018822
104,409958781,176.989273,-80.149330,-23.177933,0.039407,0.142079,0.022286
105,409975448,177.003113,-80.143982,-23.229111,0.055176,0.120766,-0.006567
106,409992115,177.005920,-80.140465,-23.259048,0.006596,0.139990,-0.005921
107,410008782,176.982437,-80.135208,-23.242062,-0.004591,0.177064,0.021463
108,410025449,176.935837,-80.130722,-23.207655,0.069314,0.232743,0.033639
109,410042116,176.850449,-80.125877,-23.119473,0.129347,0.271750,0.035658
110,410058783,176.760941,-80.119995,-22.989374,0.123623,0.276234,-0.010025
111,410075450,176.648132,-80.113876,-22.822823,0.079315,0.310992,-0.031123
112,410092117,176.533188,-80.109863,-22.634542,0.056485,0.266387,0.033037
113,410108784,176.417648,-80.110062,-22.453693,0.037508,0.091924,0.036552
114,410125451,176.328415,-80.112900,-22.276884,-0.076505,-0.032194,-0.013217
115,410142118,176.236465,-80.114014,-22.138628,-0.120014,-0.073846,-0.002875
116,410158785,176.151138,-80.115471,-22.031998,-0.123269,-0.055477,0.021661
117,410175452,176.069626,-80.117439,-21.962273,-0.086054,-0.045011,0.000299
118,410192119,176.001785,-80.118172,-21.924427,-0.044713,-0.032823,-0.015927
119,410208786,175.921646,-80.114578,-21.886730,-0.006097,0.047172,0.001944
120,410225453,175.841644,-80.113327,-21.841665,0.035142,0.120538,0.001495
121,410242120,175.749908,-80.115822,-21.788082,0.063543,0.178992,-0.001406
122,410258787,175.642746,-80.121101,-21.700356,0.079951,0.197976,0.011695
123,410275454,175.528275,-80.126770,-21.580807,0.030735,0.243034,0.004188
124,410292121,175.403976,-80.130043,-21.425104,0.010239,0.320161,-0.037752
125,410308788,175.275177,-80.132156,-21.281757,0.035824,0.400532,-0.036545
126,410325455,175.155975,-80.134308,-21.151224,0.081590,0.373016,-0.030341
127,410342122,175.067123,-80.134865,-21.032215,0.087768,0.373903,0.015943
128,410358789,175.019302,-80.137138,-20.946535,0.062563,0.295048,0.013535
129,410375456,174.988312,-80.142143,-20.860819,0.047517,0.154204,-0.007430
130,410392123,174.943344,-80.147507,-20.764076,0.084341,0.043311,0.007849
131,410408790,174.894226,-80.150902,-20.680799,0.086504,-0.045700,0.019584
132,410425457,174.836838,-80.154144,-20.593025,0.035934,-0.045984,0.010812
133,410442124,174.770844,-80.152985,-20.498631,0.024404,-0.070349,-0.015395
134,410458791,174.693420,-80.149391,-20.415371,0.052331,-0.028495,-0.018399
135,410475458,174.608551,-80.146294,-20.345627,0.055355,0.037155,0.007771
136,410492125,174.513763,-80.146210,-20.247107,0.045808,0.163192,0.008720
137,410508792,174.454910,-80.144676,-20.160833,0.011134,0.230453,0.014045
138,410525459,174.409241,-80.142082,-20.081018,0.034181,0.168069,-0.031921
139,410542126,174.357590,-80.133850,-20.006859,0.044866,0.137396,-0.009315
140,410558793,174.305481,-80.125099,-19.932787,0.042993,0.193036,0.058562
141,410575460,174.247711,-80.126244,-19.840385,0.042744,0.232740,0.015038
142,410592127,174.179901,-80.130180,-19.708914,-0.001916,0.197920,-0.038879
143,410608794,174.072922,-80.130180,-19.566597,-0.075262,0.174651,-0.009367
144,410625461,173.912842,-80.125816,-19.367592,-0.084595,0.220189,0.009788
145,410642128,173.725677,-80.123985,-19.123735,-0.060849,0.279810,0.000659
146,410658795,173.527863,-80.126579,-18.871506,0.007514,0.288207,0.011229
147,410675462,173.357956,-80.132874,-18.650446,0.002277,0.246904,-0.013676
148,410692129,173.209152,-80.135979,-18.453537,0.041332,0.207152,-0.016294
149,410708796,173.098984,-80.134544,-18.270004,0.069118,0.167712,-0.030749
150,410725463,173.026276,-80.130882,-18.162088,0.099132,0.117244,-0.039018
151,410742130,172.990112,-80.130119,-18.084282,0.114458,0.069564,-0.037935
152,410758797,172.966705,-80.130226,-18.032991,0.068574,-0.026255,-0.036111
153,410775464,172.944183,-80.125443,-18.003977,0.074478,-0.125572,-0.028940
154,410792131,172.915970,-80.117401,-17.983570,0.051619,-0.141692,-0.004890
155,410808798,172.893784,-80.102348,-17.974678,0.032200,-0.095880,0.012852
156,410825465,172.883865,-80.085678,-17.976170,0.087700,-0.064022,-0.015635
157,410842132,172.849106,-80.066330,-17.970932,0.100127,-0.059753,-0.022202
158,410858799,172.811188,-80.045349,-17.967787,0.035412,0.022486,-0.007903
159,410875466,172.765640,-80.023094,-17.941814,0.070691,0.123980,-0.019703
160,410892133,172.730927,-80.001274,-17.932749,0.018769,0.238205,-0.005903
161,410908800,173.128647,-80.248695,-19.248478,-27.987074,8.853014,4.095542
162,410925467,172.897964,-80.377640,-19.016047,36.171474,-16.300640,-7.581589
163,410942134,173.155304,-80.533676,-19.594566,3.890573,1.731328,3.530150
164,410958801,172.589172,-81.015022,-19.507973,-5.650336,5.940837,0.571829
165,410975468,172.190750,-80.637939,-17.942581,-2.940788,3.530964,-1.004114
166,410992135,172.271881,-80.524895,-17.863640,0.628347,-1.587728,0.025490
167,411008802,172.256271,-80.330147,-17.683613,-0.584199,-1.047638,-0.124457
168,411025469,172.149734,-80.396141,-17.335274,0.054204,0.221485,-0.376148
169,411042136,171.824295,-80.327278,-16.959522,-0.355629,0.660463,0.209684
170,411058803,171.709854,-80.270256,-16.849525,-0.894170,0.043149,0.688139
171,411075470,171.420242,-80.328606,-16.614033,-0.186606,-0.550582,-0.585621
172,411092137,171.227234,-80.376495,-16.477005,0.104033,-0.161545,-0.164260
173,411108804,171.244736,-80.394226,-16.428862,0.287547,0.557950,0.281252
174,411125471,171.089981,-80.417747,-16.256529,-0.021343,0.950598,0.179861
175,411142138,170.810364,-80.476494,-15.968901,-0.230574,0.455767,-0.079314
