sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:39:51_417 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,408258747,-85.351311,-81.168190,51.721035,-0.026494,0.018550,0.095392
2,408275414,-85.390961,-81.152077,51.735977,-0.054661,-0.025950,0.107881
3,408292081,-85.413750,-81.137077,51.736191,-0.069572,-0.090717,0.110062
4,408308748,-85.402145,-81.126328,51.737045,-0.110594,-0.257166,0.136582
5,408325415,-85.354126,-81.119514,51.727779,-0.106977,-0.219805,0.081245
6,408342082,-85.326675,-81.118652,51.739468,-0.037363,-0.045209,0.048965
7,408358749,-85.363167,-81.124031,51.795017,0.018321,-0.039395,0.089318
8,408375416,-85.348007,-81.127350,51.818054,-0.031801,-0.051734,0.106611
9,408392083,-85.283836,-81.124802,51.826797,-0.070711,0.023908,0.117697
10,408408750,-85.264534,-81.121124,51.849598,0.063333,0.052339,0.088749
11,408425417,-85.215828,-81.119781,51.834564,0.032371,-0.041093,0.128203
12,408442084,-85.139801,-81.119385,51.805801,-0.042400,-0.150916,0.123287
13,408458751,-85.003952,-81.118233,51.745487,-0.046821,-0.170360,0.117793
14,408475418,-84.936188,-81.120247,51.743458,0.034165,0.040045,0.070478
15,408492085,-84.866280,-81.124710,51.729874,-0.046235,0.066926,0.087470
16,408508752,-84.733421,-81.127884,51.674053,-0.084953,0.027883,0.071542
17,408525419,-84.645828,-81.127884,51.643120,-0.021048,0.003764,0.096075
18,408542086,-84.549500,-81.128967,51.627243,0.021197,-0.027084,0.121567
19,408558753,-84.431709,-81.128792,51.595402,-0.009954,0.032847,0.083562
20,408575420,-84.371155,-81.129295,51.580383,0.029916,0.006277,0.075428
21,408592087,-84.326584,-81.127861,51.577732,0.031514,-0.015788,0.084887
22,408608754,-84.286057,-81.127434,51.591389,0.005478,-0.023820,0.085950
23,408625421,-84.242485,-81.124405,51.603043,0.002648,0.020365,0.088189
24,408642088,-84.205696,-81.121284,51.594246,0.005818,0.061702,0.101208
25,408658755,-84.221626,-81.122124,51.616276,-0.005316,-0.018848,0.073019
26,408675422,-84.242058,-81.119560,51.653664,-0.052662,-0.109140,0.072394
27,408692089,-84.264137,-81.116882,51.686993,0.001744,-0.052979,0.116506
28,408708756,-84.286476,-81.115799,51.712040,0.029436,0.002041,0.135460
29,408725423,-84.321861,-81.116600,51.742886,0.048430,-0.008475,0.083339
30,408742090,-84.368149,-81.112244,51.783154,0.010907,-0.036405,0.129679
31,408758757,-84.413834,-81.105789,51.829803,0.018490,0.058181,0.112624
32,408775424,-84.448135,-81.098480,51.852859,-0.010845,0.070869,0.091800
33,408792091,-84.458679,-81.090454,51.867603,-0.050070,0.010236,0.116579
34,408808758,-84.459167,-81.081009,51.881130,-0.024073,0.005413,0.100949
35,408825425,-84.472160,-81.073357,51.900642,0.012805,-0.019372,0.077250
36,408842092,-84.575829,-81.065941,51.995480,-0.027166,-0.002036,0.118478
37,408858759,-84.667168,-81.055870,52.061043,0.002370,0.072413,0.135580
38,408875426,-84.703987,-81.044235,52.065380,-0.007113,-0.073619,0.084726
39,408892093,-84.747978,-81.032181,52.111477,-0.030507,-0.133752,0.107609
40,408908760,-84.810173,-81.021126,52.178139,-0.001906,-0.074440,0.082178
41,408925427,-84.913033,-81.011520,52.266563,0.013238,-0.031706,0.107865
42,408942094,-85.049614,-81.004723,52.379944,-0.018737,-0.057919,0.078898
43,408958761,-85.160141,-80.996895,52.487869,-0.056014,-0.100231,0.111674
44,408975428,-85.234802,-80.987900,52.584583,-0.077707,-0.030991,0.078152
45,408992095,-85.334808,-80.978142,52.690376,-0.045766,0.130627,0.092928
46,409008762,-85.478493,-80.972961,52.809769,-0.011149,0.103654,0.081457
47,409025429,-85.647408,-80.963608,52.941105,0.024084,-0.023435,0.084841
48,409042096,-85.806595,-80.955299,53.072792,-0.032344,-0.100869,0.108694
49,409058763,-85.910248,-80.947418,53.171192,-0.040556,-0.125908,0.106334
50,409075430,-85.990608,-80.941025,53.269520,-0.009808,-0.111620,0.096979
51,409092097,-86.107162,-80.937721,53.391933,-0.034409,-0.036091,0.069386
52,409108764,-86.239487,-80.937500,53.522072,-0.041638,-0.106110,0.083646
53,409125431,-86.397835,-80.937202,53.682068,-0.045152,-0.088507,0.093427
54,409142098,-86.541870,-80.938606,53.838245,0.006671,-0.027280,0.098889
55,409158765,-86.676056,-80.938072,53.997314,-0.008978,0.020387,0.110212
56,409175432,-86.761421,-80.935249,54.118492,-0.021357,-0.003135,0.111634
57,409192099,-86.757622,-80.929512,54.156181,-0.032591,0.018559,0.118608
58,409208766,-86.712814,-80.923813,54.152294,-0.013980,-0.024740,0.107458
59,409225433,-86.700180,-80.919914,54.172043,-0.005255,-0.014060,0.093060
60,409242100,-86.676437,-80.914665,54.221443,-0.069284,-0.054039,0.097375
61,409258767,-86.642357,-80.907715,54.297085,-0.096921,-0.013524,0.084317
62,409275434,-86.440788,-80.901436,54.316769,-0.124265,-0.091491,0.150201
63,409292101,-86.085526,-80.892540,54.212444,-0.111781,-0.077404,0.208171
64,409308768,-85.437538,-80.880318,53.907490,-0.124643,-0.033502,0.144122
65,409325435,-84.619865,-80.868599,53.589825,-0.021260,0.070370,0.057272
66,409342102,-83.814827,-80.856781,53.300381,0.103350,0.057161,0.106258
67,409358769,-83.208397,-80.845261,53.135189,0.109293,0.099478,0.057985
68,409375436,-82.768600,-80.834557,53.043316,0.171289,0.096346,0.091753
69,409392103,-82.505447,-80.821381,53.021187,0.175581,0.037067,0.061750
70,409408770,-82.388786,-80.807030,53.048344,0.134815,-0.109674,0.044759
71,409425437,-82.365799,-80.793205,53.108101,0.061406,-0.195020,0.060968
72,409442104,-82.382607,-80.783417,53.166985,0.010328,-0.252346,0.102798
73,409458771,-82.358742,-80.774948,53.177116,-0.065535,-0.228227,0.085434
74,409475438,-82.337105,-80.773483,53.201794,-0.092264,-0.148629,0.087224
75,409492105,-82.297348,-80.777977,53.202538,-0.108576,-0.129885,0.089562
76,409508772,-82.248383,-80.783966,53.196388,-0.075468,-0.157464,0.096259
77,409525439,-82.190598,-80.791565,53.191669,-0.010340,-0.152308,0.105032
78,409542106,-82.158401,-80.801445,53.217617,0.005330,-0.113925,0.076932
