sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:39:51_423 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,408275414,1.216260,-0.846881,-141.684647,0.001739,-0.010565,0.353451
2,408292081,1.220171,-0.846756,-141.683350,-0.006810,-0.027090,0.359513
3,408308748,1.222410,-0.846869,-141.681976,0.018044,-0.040324,0.392926
4,408325415,1.224018,-0.846839,-141.682632,0.023340,-0.043559,0.353748
5,408342082,1.224144,-0.846635,-141.683640,0.017575,-0.038208,0.364820
6,408358749,1.223367,-0.846667,-141.681580,0.009577,-0.037730,0.375757
7,408375416,1.224107,-0.847505,-141.682816,0.016969,-0.023805,0.370287
8,408392083,1.222145,-0.848006,-141.684021,0.019873,-0.021675,0.366410
9,408408750,1.220297,-0.847634,-141.681274,0.015290,-0.017022,0.373927
10,408425417,1.218193,-0.847889,-141.681763,0.014176,-0.018526,0.377849
11,408442084,1.216592,-0.846893,-141.681229,0.017681,-0.021937,0.366161
12,408458751,1.215154,-0.846222,-141.679794,0.013889,-0.022117,0.364699
13,408475418,1.211989,-0.845630,-141.677399,0.022834,-0.043220,0.347917
14,408492085,1.208344,-0.846242,-141.674469,0.021925,-0.029237,0.365036
15,408508752,1.204811,-0.845960,-141.673325,0.022183,-0.034117,0.369515
16,408525419,1.201989,-0.845830,-141.673431,0.020254,-0.042736,0.371202
17,408542086,1.199422,-0.845595,-141.671005,0.024656,-0.017857,0.362736
18,408558753,1.198660,-0.845042,-141.668472,0.015353,-0.017706,0.352835
19,408575420,1.198362,-0.846018,-141.667068,0.028300,-0.011101,0.368340
20,408592087,1.195147,-0.845955,-141.665848,0.004072,0.002702,0.363853
21,408608754,1.194752,-0.846195,-141.665665,0.018105,-0.034012,0.381064
22,408625421,1.193047,-0.844704,-141.666351,0.025381,-0.035114,0.368712
23,408642088,1.191448,-0.845116,-141.668045,0.017696,-0.042217,0.351553
24,408658755,1.191304,-0.844254,-141.670181,0.015231,-0.049731,0.378660
25,408675422,1.192220,-0.844474,-141.670898,0.022574,-0.045521,0.389851
26,408692089,1.192482,-0.843664,-141.671768,0.026945,-0.051054,0.375553
27,408708756,1.193535,-0.843391,-141.671097,0.015503,-0.030794,0.353585
28,408725423,1.194880,-0.843622,-141.671692,0.002846,-0.016734,0.367251
29,408742090,1.195983,-0.842820,-141.672226,0.000116,0.010065,0.391924
30,408758757,1.196840,-0.841918,-141.669647,0.000313,0.000893,0.364612
31,408775424,1.197313,-0.841989,-141.668762,0.015991,-0.035121,0.345753
32,408792091,1.196767,-0.841554,-141.669846,0.007554,-0.052697,0.382539
33,408808758,1.196746,-0.841264,-141.670883,0.027954,-0.060321,0.365508
34,408825425,1.198323,-0.840566,-141.671860,0.027809,-0.046227,0.356811
35,408842092,1.199185,-0.840276,-141.670761,0.018039,-0.043241,0.382088
36,408858759,1.198894,-0.838522,-141.670609,0.017416,-0.048820,0.360323
37,408875426,1.199183,-0.838093,-141.671478,0.034577,-0.032757,0.382672
38,408892093,1.197887,-0.836404,-141.673233,0.040439,-0.033341,0.368516
39,408908760,1.195824,-0.835964,-141.674072,0.023814,-0.028187,0.384380
40,408925427,1.192541,-0.835950,-141.673203,0.035501,-0.030660,0.362003
41,408942094,1.191099,-0.835778,-141.672836,0.023043,-0.010184,0.361195
42,408958761,1.188592,-0.835558,-141.674957,0.001595,-0.015049,0.374111
43,408975428,1.185901,-0.834242,-141.674728,0.016717,-0.005454,0.349323
44,408992095,1.183692,-0.833629,-141.672607,-0.002945,0.005753,0.369435
45,409008762,1.183060,-0.832771,-141.672714,0.011946,-0.004918,0.358275
46,409025429,1.181167,-0.831685,-141.672882,0.025070,-0.016087,0.377564
47,409042096,1.177041,-0.830654,-141.670166,0.041555,-0.062963,0.353036
48,409058763,1.170309,-0.830021,-141.670807,0.046491,-0.093322,0.361974
49,409075430,1.166299,-0.828695,-141.669678,0.024826,-0.084440,0.334454
50,409092097,1.165318,-0.827962,-141.672241,0.041027,-0.077997,0.370516
51,409108764,1.165371,-0.829521,-141.670380,0.023614,-0.042628,0.378802
52,409125431,1.165112,-0.830469,-141.669601,0.006695,-0.029188,0.374874
53,409142098,1.164669,-0.829787,-141.670822,0.012537,-0.015822,0.381970
54,409158765,1.160753,-0.828978,-141.671844,0.033948,-0.040068,0.377669
55,409175432,1.154378,-0.827534,-141.670746,0.020060,-0.038764,0.364063
56,409192099,1.148791,-0.826928,-141.672043,0.040660,-0.039658,0.364890
57,409208766,1.143983,-0.826991,-141.668350,0.013555,-0.018094,0.358150
58,409225433,1.138900,-0.826937,-141.663788,0.004229,0.014900,0.360852
59,409242100,1.133484,-0.826409,-141.660828,-0.025684,0.031811,0.381482
60,409258767,1.128722,-0.826770,-141.659698,-0.021656,0.053446,0.380065
61,409275434,1.124959,-0.826374,-141.657715,-0.022796,0.050349,0.385298
62,409292101,1.120887,-0.825797,-141.657578,-0.006028,0.038247,0.379933
63,409308768,1.117253,-0.825688,-141.657272,-0.008957,0.003204,0.370012
64,409325435,1.113884,-0.825802,-141.657776,0.013430,-0.018404,0.360630
65,409342102,1.111046,-0.826213,-141.657776,0.007780,-0.016189,0.353925
66,409358769,1.107843,-0.825804,-141.657257,0.018451,-0.023966,0.374440
67,409375436,1.104801,-0.826771,-141.658508,0.024119,-0.036973,0.352437
68,409392103,1.099481,-0.825837,-141.659515,0.041567,-0.025280,0.360415
69,409408770,1.092830,-0.826709,-141.659927,0.031065,-0.035935,0.371155
70,409425437,1.085024,-0.826069,-141.658829,0.033008,-0.035520,0.362770
71,409442104,1.079099,-0.824107,-141.657440,0.029554,-0.063908,0.354325
72,409458771,1.074948,-0.824912,-141.658142,0.034602,-0.064563,0.364815
73,409475438,1.071915,-0.824428,-141.658707,0.036632,-0.057368,0.369954
74,409492105,1.070641,-0.824346,-141.657181,0.029964,-0.057011,0.372287
75,409508772,1.068855,-0.823188,-141.656998,0.044270,-0.060760,0.372857
76,409525439,1.066775,-0.822187,-141.656494,0.047727,-0.070799,0.364760
77,409542106,1.064819,-0.822823,-141.656464,0.028035,-0.045768,0.371616
78,409558773,1.062494,-0.824519,-141.659195,0.026502,-0.018118,0.364492
79,409575440,1.061294,-0.825251,-141.660934,0.012426,-0.011631,0.398511
80,409592107,1.060626,-0.824586,-141.663162,0.013026,-0.009643,0.365224
81,409608774,1.058002,-0.825784,-141.663910,0.014319,-0.010048,0.373707
82,409625441,1.055718,-0.824417,-141.664047,0.012514,-0.030144,0.378054
83,409642108,1.052581,-0.824858,-141.663406,0.027706,-0.034943,0.361982
84,409658775,1.050977,-0.825770,-141.663818,0.022418,-0.039478,0.347219
85,409675442,1.050323,-0.825130,-141.663467,-0.003699,-0.008821,0.363967
86,409692109,1.049684,-0.824583,-141.664780,0.014037,-0.024290,0.359855
87,409708776,1.049741,-0.823131,-141.665527,0.019795,-0.019858,0.378546
88,409725443,1.050605,-0.824868,-141.666931,0.023460,-0.051106,0.375159
89,409742110,1.053452,-0.823968,-141.670471,0.020954,-0.047366,0.359502
90,409758777,1.054850,-0.822783,-141.671448,0.025679,-0.041013,0.359120
91,409775444,1.056712,-0.821698,-141.671616,0.022011,-0.023246,0.381344
92,409792111,1.057588,-0.820660,-141.671204,0.008803,-0.017668,0.367828
93,409808778,1.058806,-0.819776,-141.670303,-0.006721,-0.020528,0.365039
94,409825445,1.060993,-0.818575,-141.669388,0.013658,-0.038186,0.367992
95,409842112,1.063576,-0.818336,-141.669388,0.023989,-0.027086,0.364588
96,409858779,1.065131,-0.816771,-141.669052,0.029965,-0.052472,0.375773
97,409875446,1.066488,-0.817353,-141.669006,0.015079,-0.051859,0.384811
98,409892113,1.068306,-0.816722,-141.671066,0.009904,-0.032132,0.379963
99,409908780,1.070903,-0.815863,-141.671555,0.024363,-0.047404,0.365549
100,409925447,1.072421,-0.813867,-141.672287,0.032160,-0.069814,0.378290
101,409942114,1.074200,-0.812995,-141.672455,0.034644,-0.081931,0.376598
102,409958781,1.076779,-0.811213,-141.671341,0.039475,-0.070177,0.371579
103,409975448,1.079185,-0.810211,-141.670807,0.034653,-0.067601,0.340493
104,409992115,1.078993,-0.809783,-141.671875,0.028515,-0.054136,0.366544
105,410008782,1.078026,-0.809771,-141.673492,0.007629,-0.032678,0.379536
106,410025449,1.076894,-0.809137,-141.675262,0.014143,-0.030106,0.366356
107,410042116,1.074266,-0.809310,-141.677094,0.004310,0.022768,0.374308
108,410058783,1.073373,-0.808613,-141.677628,-0.032762,0.039503,0.353765
109,410075450,1.075315,-0.808917,-141.677246,-0.040092,0.052798,0.349340
110,410092117,1.081693,-0.806886,-141.682800,-0.059677,0.028820,0.365910
111,410108784,1.096031,-0.805690,-141.687469,-0.023980,0.005890,0.365622
112,410125451,1.110828,-0.803779,-141.693924,0.023789,-0.021300,0.359289
113,410142118,1.123199,-0.804040,-141.694046,0.024155,-0.047991,0.346801
114,410158785,1.133069,-0.804027,-141.695465,0.048114,-0.052150,0.369567
115,410175452,1.138884,-0.804037,-141.696350,0.042767,-0.038169,0.377328
116,410192119,1.141496,-0.804380,-141.696884,0.024168,-0.026455,0.383814
117,410208786,1.142726,-0.804511,-141.697601,0.001037,0.001285,0.379463
118,410225453,1.144934,-0.804895,-141.698715,0.005183,-0.003674,0.366638
119,410242120,1.146188,-0.804899,-141.697540,0.007136,-0.021934,0.380168
120,410258787,1.147973,-0.805160,-141.697525,0.017611,-0.026162,0.369479
121,410275454,1.149334,-0.805802,-141.697769,0.014507,-0.031467,0.366698
122,410292121,1.151966,-0.806385,-141.697159,0.017042,-0.046514,0.377492
123,410308788,1.153476,-0.806395,-141.694260,0.029997,-0.026168,0.371854
124,410325455,1.153771,-0.805015,-141.692093,0.042796,-0.041908,0.363645
125,410342122,1.153200,-0.806050,-141.692413,0.025467,-0.035231,0.386405
126,410358789,1.151643,-0.804587,-141.691742,0.022875,-0.054505,0.375750
127,410375456,1.149352,-0.804050,-141.690811,0.053711,-0.065358,0.353691
128,410392123,1.145109,-0.803889,-141.690430,0.036890,-0.046038,0.364171
129,410408790,1.141994,-0.802611,-141.685944,0.021616,-0.054247,0.387087
130,410425457,1.137918,-0.802116,-141.684860,0.019966,-0.035139,0.357385
131,410442124,1.132681,-0.803603,-141.683212,0.016720,-0.012861,0.375404
132,410458791,1.128529,-0.803543,-141.680786,0.009407,0.004813,0.363632
133,410475458,1.125531,-0.803656,-141.678772,-0.003356,0.015550,0.354055
134,410492125,1.122540,-0.803095,-141.678909,-0.004763,0.023272,0.340995
135,410508792,1.118470,-0.802344,-141.677917,0.005172,-0.002058,0.374442
136,410525459,1.113742,-0.800490,-141.678329,0.019141,0.004351,0.343605
137,410542126,1.108040,-0.800333,-141.677277,0.003193,0.004579,0.370138
138,410558793,1.101851,-0.800368,-141.678223,0.006182,0.005425,0.348187
139,410575460,1.097120,-0.799341,-141.677475,-0.001213,0.015403,0.364648
140,410592127,1.092799,-0.798235,-141.675613,0.000528,0.015450,0.370809
141,410608794,1.086561,-0.796901,-141.674423,0.018082,0.000343,0.368002
142,410625461,1.080033,-0.796712,-141.671783,0.026951,-0.033130,0.373788
143,410642128,1.072336,-0.797092,-141.670624,0.039140,-0.037449,0.359605
144,410658795,1.062757,-0.795646,-141.667786,0.043255,-0.063132,0.357634
145,410675462,1.053446,-0.794907,-141.664307,0.017648,-0.082650,0.361559
146,410692129,1.047075,-0.795116,-141.666229,0.025124,-0.050423,0.368752
147,410708796,1.043635,-0.796493,-141.662064,0.020993,-0.029428,0.351911
148,410725463,1.041573,-0.796984,-141.659607,-0.002448,0.004626,0.362331
