sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:50:55_456 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1072305361,1.717142,-1.524144,32.702446,-0.029980,-0.038940,0.367896
2,1072322028,1.716552,-1.524729,32.703979,-0.005853,-0.055749,0.383474
3,1072338695,1.716202,-1.522699,32.705177,-0.032796,-0.021798,0.368602
4,1072355362,1.714763,-1.521882,32.704636,-0.020154,0.012452,0.379214
5,1072372029,1.713037,-1.521672,32.706829,0.017961,0.011561,0.376619
6,1072388696,1.714062,-1.522182,32.708282,-0.006172,-0.031796,0.366452
7,1072405363,1.714136,-1.522206,32.709774,-0.028906,-0.075172,0.367405
8,1072422030,1.714001,-1.521899,32.708870,-0.035940,-0.089904,0.371834
9,1072438697,1.713031,-1.521157,32.708561,-0.028475,-0.045725,0.374690
10,1072455364,1.710160,-1.520864,32.707932,-0.012040,0.006895,0.376756
11,1072472031,1.707321,-1.520113,32.707825,-0.003364,0.028668,0.380841
12,1072488698,1.707203,-1.519642,32.707680,-0.005834,-0.010704,0.358207
13,1072505365,1.707909,-1.519435,32.705711,-0.016623,-0.058990,0.365003
14,1072522032,1.707637,-1.519902,32.707191,-0.035514,-0.119383,0.358842
15,1072538699,1.706498,-1.519516,32.705280,-0.029729,-0.073815,0.367510
16,1072555366,1.706860,-1.518612,32.706650,-0.008563,-0.018526,0.346658
17,1072572033,1.705322,-1.517031,32.707561,-0.008604,0.054797,0.375871
18,1072588700,1.702743,-1.517569,32.709297,0.002478,0.076247,0.378560
19,1072605367,1.700709,-1.518026,32.708294,-0.014597,0.034275,0.392602
20,1072622034,1.699512,-1.518128,32.705482,-0.030392,-0.026858,0.386083
21,1072638701,1.697600,-1.518910,32.703697,-0.016069,-0.080470,0.377688
22,1072655368,1.696793,-1.520842,32.704315,-0.017452,-0.088603,0.376615
23,1072672035,1.697631,-1.520281,32.705891,-0.018268,-0.059657,0.369121
24,1072688702,1.697410,-1.519644,32.704578,-0.025733,0.007182,0.372979
25,1072705369,1.696977,-1.518781,32.704819,-0.002206,0.061484,0.389462
26,1072722036,1.695389,-1.518204,32.702850,-0.013896,0.046271,0.373514
27,1072738703,1.696439,-1.518197,32.705338,-0.017445,-0.000611,0.371847
28,1072755370,1.696564,-1.520132,32.706486,-0.018831,-0.050848,0.365440
29,1072772037,1.697294,-1.520281,32.707542,-0.013647,-0.082871,0.373199
30,1072788704,1.697822,-1.519271,32.706478,-0.022899,-0.059314,0.367754
31,1072805371,1.698746,-1.520673,32.704502,-0.009559,-0.036423,0.371860
32,1072822038,1.699011,-1.519809,32.704540,-0.013657,-0.014915,0.373249
33,1072838705,1.700046,-1.518199,32.706451,0.005284,-0.010647,0.376169
34,1072855372,1.699569,-1.517136,32.709309,-0.030367,-0.006283,0.361759
35,1072872039,1.698332,-1.517466,32.710510,-0.017133,-0.026357,0.378760
36,1072888706,1.698167,-1.518078,32.710472,-0.026867,-0.029043,0.374518
37,1072905373,1.696779,-1.518333,32.711040,-0.004403,-0.036395,0.361689
38,1072922040,1.696773,-1.520072,32.710300,-0.020023,-0.074123,0.371974
39,1072938707,1.696464,-1.520141,32.711090,-0.044676,-0.084498,0.386706
40,1072955374,1.696319,-1.518491,32.710537,-0.016163,-0.043583,0.374484
41,1072972041,1.695086,-1.518694,32.708500,-0.028518,-0.005200,0.368515
42,1072988708,1.693115,-1.518508,32.707512,-0.002262,0.045391,0.369912
43,1073005375,1.692391,-1.518030,32.706554,0.018908,0.032419,0.384475
44,1073022042,1.693340,-1.518571,32.706970,0.002369,-0.030257,0.357097
45,1073038709,1.693227,-1.519030,32.706543,-0.029612,-0.069480,0.366543
46,1073055376,1.692962,-1.519471,32.706440,-0.009027,-0.079085,0.383937
47,1073072043,1.692999,-1.518065,32.707741,-0.011952,-0.046676,0.367431
48,1073088710,1.691507,-1.517022,32.708725,-0.020307,-0.005158,0.375916
49,1073105377,1.689955,-1.516265,32.709431,-0.005342,0.014839,0.381757
50,1073122044,1.690282,-1.516972,32.708420,0.013599,0.006641,0.367847
51,1073138711,1.689167,-1.517278,32.708771,-0.034845,-0.040196,0.379089
52,1073155378,1.687083,-1.517167,32.709751,-0.043883,-0.053284,0.364984
53,1073172045,1.685140,-1.517001,32.709408,-0.006841,-0.052979,0.366492
54,1073188712,1.683764,-1.515249,32.709709,-0.005680,-0.018876,0.383861
55,1073205379,1.682626,-1.514157,32.708927,-0.011918,-0.003624,0.386450
56,1073222046,1.681278,-1.513877,32.709904,-0.005695,0.007764,0.395944
57,1073238713,1.680470,-1.513629,32.710850,-0.001976,-0.016170,0.358077
58,1073255380,1.679058,-1.514018,32.711029,-0.016362,-0.030740,0.363012
59,1073272047,1.678056,-1.515719,32.710564,-0.019227,-0.045187,0.360906
60,1073288714,1.677367,-1.516494,32.711830,-0.019336,-0.043030,0.386756
61,1073305381,1.675952,-1.516764,32.710228,-0.017347,-0.018391,0.378850
62,1073322048,1.675005,-1.516904,32.711540,0.002791,0.004651,0.384691
63,1073338715,1.674740,-1.517867,32.711597,-0.002259,0.028507,0.382065
64,1073355382,1.672972,-1.518658,32.711048,-0.012550,0.005485,0.359576
65,1073372049,1.672795,-1.518736,32.709808,-0.002437,-0.017839,0.369630
66,1073388716,1.671893,-1.519627,32.709618,-0.004383,-0.049597,0.358946
67,1073405383,1.671380,-1.518932,32.709774,-0.018982,-0.070617,0.360871
68,1073422050,1.671350,-1.518987,32.709457,-0.036132,-0.040921,0.378806
69,1073438717,1.671652,-1.518128,32.710976,0.000897,-0.002554,0.390831
70,1073455384,1.671219,-1.517381,32.710300,-0.002605,0.009997,0.371624
71,1073472051,1.672096,-1.516811,32.709106,-0.021667,0.000321,0.373515
72,1073488718,1.672417,-1.515633,32.708103,-0.019279,-0.002470,0.384364
73,1073505385,1.672243,-1.517391,32.709766,-0.011911,-0.024248,0.364580
74,1073522052,1.671945,-1.517888,32.711655,-0.014730,-0.055892,0.358681
75,1073538719,1.672095,-1.516777,32.712036,-0.010951,-0.040838,0.363339
76,1073555386,1.673239,-1.516174,32.712063,-0.002536,-0.030643,0.382737
77,1073572053,1.674745,-1.515522,32.712048,0.003732,-0.028893,0.353845
78,1073588720,1.677930,-1.514990,32.710152,-0.034572,-0.038844,0.375401
79,1073605387,1.679790,-1.514099,32.710522,-0.047496,-0.049949,0.371605
80,1073622054,1.680042,-1.513975,32.712021,-0.041813,-0.037337,0.374855
81,1073638721,1.679264,-1.512995,32.712357,-0.000165,-0.023886,0.372804
82,1073655388,1.680014,-1.512212,32.710358,0.015822,-0.013002,0.390388
83,1073672055,1.683620,-1.510699,32.709961,-0.011385,-0.019017,0.358162
84,1073688722,1.687183,-1.510891,32.708740,-0.032255,-0.051816,0.371731
85,1073705389,1.687392,-1.509751,32.708164,-0.046042,-0.066159,0.381538
86,1073722056,1.685632,-1.509977,32.705868,-0.034801,-0.023330,0.375971
87,1073738723,1.684218,-1.509508,32.706192,0.009229,0.026326,0.381894
88,1073755390,1.682652,-1.509862,32.705448,0.023548,0.026604,0.374939
89,1073772057,1.683246,-1.510054,32.705402,0.002784,-0.030618,0.366617
90,1073788724,1.684889,-1.510434,32.705669,-0.051540,-0.078553,0.363860
91,1073805391,1.684860,-1.511212,32.705429,-0.040468,-0.069635,0.344571
92,1073822058,1.683559,-1.510389,32.706886,-0.003833,-0.022540,0.384132
93,1073838725,1.683091,-1.511696,32.708775,0.021908,0.021084,0.376946
94,1073855392,1.682371,-1.512213,32.707996,0.001605,0.017062,0.362424
95,1073872059,1.682538,-1.513057,32.710171,-0.005210,-0.024523,0.390910
96,1073888726,1.682165,-1.513337,32.710236,-0.015251,-0.079430,0.384166
97,1073905393,1.681825,-1.512185,32.710594,-0.005547,-0.091409,0.376232
98,1073922060,1.681731,-1.511369,32.710747,-0.005445,-0.039536,0.369020
99,1073938727,1.683431,-1.510918,32.716026,0.011875,0.028484,0.394558
100,1073955394,1.683918,-1.512103,32.713959,-0.001027,0.046481,0.362148
101,1073972061,1.684403,-1.512311,32.716339,-0.022884,-0.015545,0.374332
102,1073988728,1.684912,-1.513795,32.717186,-0.021178,-0.082748,0.363498
103,1074005395,1.684694,-1.513898,32.721424,-0.031247,-0.097196,0.348171
104,1074022062,1.685335,-1.512946,32.718273,0.000836,-0.041782,0.360519
105,1074038729,1.687068,-1.512583,32.718296,0.018700,0.022475,0.365228
106,1074055396,1.688605,-1.512312,32.717342,-0.021168,0.055708,0.381235
107,1074072063,1.688278,-1.511939,32.716255,-0.031271,-0.002808,0.378243
108,1074088730,1.687360,-1.513593,32.717403,-0.009105,-0.069611,0.360305
109,1074105397,1.688047,-1.512526,32.715961,-0.005410,-0.063800,0.365555
110,1074122064,1.689492,-1.511617,32.716644,-0.011136,-0.019804,0.362712
111,1074138731,1.691498,-1.509843,32.714214,0.003097,0.039267,0.360291
112,1074155398,1.692202,-1.510399,32.716049,-0.014836,-0.001084,0.358337
113,1074172065,1.693123,-1.511822,32.715034,-0.022548,-0.081348,0.388669
114,1074188732,1.694235,-1.512003,32.715378,-0.036690,-0.092503,0.386964
115,1074205399,1.693325,-1.512066,32.714752,-0.040605,-0.056413,0.371325
116,1074222066,1.692467,-1.511002,32.711342,-0.007056,0.003236,0.361719
117,1074238733,1.692579,-1.511951,32.712109,-0.007421,0.061230,0.354218
118,1074255400,1.693347,-1.512910,32.710350,-0.002107,0.036161,0.355975
119,1074272067,1.693968,-1.512930,32.711971,-0.004188,-0.033992,0.371758
120,1074288734,1.695474,-1.513546,32.714355,-0.033878,-0.087436,0.362898
121,1074305401,1.696931,-1.513025,32.716106,-0.019438,-0.069810,0.364681
122,1074322068,1.697085,-1.511962,32.716888,-0.011342,-0.031185,0.372706
123,1074338735,1.698086,-1.510976,32.716267,-0.019887,0.015154,0.388959
124,1074355402,1.698967,-1.510758,32.717373,0.003371,-0.008221,0.379003
125,1074372069,1.701306,-1.510549,32.717377,-0.010752,-0.022416,0.377563
126,1074388736,1.703763,-1.511115,32.717022,-0.009083,-0.068400,0.375650
127,1074405403,1.705589,-1.510338,32.716171,-0.031335,-0.069502,0.384118
128,1074422070,1.706483,-1.510372,32.715130,-0.025324,-0.037601,0.385574
129,1074438737,1.707657,-1.509821,32.716675,-0.012471,0.002338,0.360810
130,1074455404,1.708852,-1.509696,32.715488,0.008049,0.059302,0.357015
131,1074472071,1.710788,-1.509533,32.715027,-0.020815,0.033558,0.359037
132,1074488738,1.711642,-1.510207,32.715103,-0.028748,-0.021050,0.367179
133,1074505405,1.712056,-1.510382,32.716312,-0.038307,-0.050634,0.395860
134,1074522072,1.712038,-1.509813,32.717033,-0.002237,-0.062601,0.381730
135,1074538739,1.712061,-1.509682,32.717339,-0.004761,0.000414,0.367294
