sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:52:02_036 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1138873359,178.994141,-77.813881,-47.024231,0.263034,0.340932,-0.008862
2,1138890026,179.174576,-77.789368,-47.119484,0.027664,0.224971,-0.050966
3,1138906693,179.306320,-77.762787,-47.191608,-0.130720,-0.009168,-0.054393
4,1138923360,179.345169,-77.734543,-47.203430,-0.125252,-0.221920,-0.030482
5,1138940027,179.278076,-77.710289,-47.136986,-0.094728,-0.217079,-0.015141
6,1138956694,179.181641,-77.700569,-47.044186,0.056988,-0.097956,0.052587
7,1138973361,179.110840,-77.699219,-46.967670,0.105078,-0.033835,0.059098
8,1138990028,179.101990,-77.704765,-46.937920,0.095643,-0.099033,0.027577
9,1139006695,179.098755,-77.707161,-46.876839,-0.101787,-0.190300,-0.008529
10,1139023362,178.956375,-77.703583,-46.660233,-0.223815,-0.345055,-0.026334
11,1139040029,178.639374,-77.701950,-46.350471,-0.190767,-0.345947,0.010068
12,1139056696,178.233795,-77.717491,-45.986454,-0.151166,-0.236931,0.005990
13,1139073363,177.819672,-77.738106,-45.645771,-0.016650,0.046179,0.018229
14,1139090030,177.536957,-77.754066,-45.434582,0.313844,0.461606,-0.005269
15,1139106697,177.463409,-77.765282,-45.418510,0.330932,0.644855,-0.011572
16,1139123364,177.593887,-77.757195,-45.526020,0.211888,0.570953,0.001561
17,1139140031,177.792191,-77.752457,-45.709911,0.118379,0.349495,-0.040993
18,1139156698,177.986328,-77.743034,-45.887623,0.023623,0.149867,-0.028483
19,1139173365,178.141464,-77.730774,-46.053028,-0.034316,0.008791,-0.014715
20,1139190032,178.186020,-77.720276,-46.092884,-0.022289,-0.032310,-0.020814
21,1139206699,178.159210,-77.708527,-46.031376,0.048697,-0.131975,0.027988
22,1139223366,178.070480,-77.705505,-45.911999,0.051453,-0.118388,0.047190
23,1139240033,177.941818,-77.716423,-45.770210,0.130299,-0.138341,0.055449
24,1139256700,177.778687,-77.719856,-45.617241,0.117123,0.037216,-0.071934
25,1139273367,177.683594,-77.714218,-45.537075,0.047244,0.162036,-0.056014
26,1139290034,177.665115,-77.698486,-45.515266,0.052508,0.245310,-0.037607
27,1139306701,177.722137,-77.683136,-45.532253,0.033901,0.307307,0.030543
28,1139323368,177.793945,-77.667206,-45.588257,0.137932,0.229919,-0.009426
29,1139340035,177.870804,-77.648003,-45.629414,0.137357,0.172004,-0.026616
30,1139356702,177.886185,-77.635811,-45.609360,0.022009,0.095521,0.011973
31,1139373369,177.826782,-77.630165,-45.513302,-0.052708,-0.024369,0.029532
32,1139390036,177.711884,-77.630196,-45.338066,-0.028454,-0.038610,0.043549
33,1139406703,177.593018,-77.630676,-45.170929,0.077571,0.057844,-0.005932
34,1139423370,177.542282,-77.624298,-45.068981,0.104045,0.010364,-0.020023
35,1139440037,177.528778,-77.622215,-44.993755,0.046897,-0.083533,-0.008538
36,1139456704,177.523560,-77.621658,-44.940029,-0.083745,-0.101160,-0.014372
37,1139473371,177.441864,-77.616699,-44.835075,-0.082655,-0.159819,-0.047826
38,1139490038,177.266754,-77.613167,-44.639343,-0.085949,-0.104766,0.010333
39,1139506705,177.009689,-77.604935,-44.342701,0.050517,-0.027108,-0.017019
40,1139523372,176.737122,-77.599197,-43.988926,0.082783,-0.026893,0.000349
41,1139540039,176.449692,-77.600769,-43.615459,0.018065,-0.009391,0.024722
42,1139556706,176.192093,-77.600426,-43.254662,0.102953,-0.071470,0.058069
43,1139573373,175.938782,-77.614761,-42.919994,0.012949,-0.244656,0.033635
44,1139590040,175.718704,-77.630676,-42.630997,-0.057083,-0.028687,0.008244
45,1139606707,175.476273,-77.645813,-42.351509,-0.022908,-0.007130,-0.020881
46,1139623374,175.238510,-77.657555,-42.096699,-0.058849,-0.013708,0.001927
47,1139640041,175.011307,-77.683502,-41.876369,-0.162107,0.122460,0.042697
48,1139656708,174.839096,-77.707230,-41.728725,-0.051945,0.255083,-0.012742
49,1139673375,174.747162,-77.718620,-41.638016,-0.051392,0.179742,-0.041654
50,1139690042,174.711823,-77.713043,-41.653072,0.017175,0.061709,-0.082152
51,1139706709,174.728012,-77.727676,-41.716404,-0.075024,0.083578,0.029697
52,1139723376,174.696442,-77.741890,-41.754410,-0.023882,0.071068,-0.007511
53,1139740043,174.572830,-77.741806,-41.705513,0.137985,0.036592,0.007758
54,1139756710,174.434265,-77.747757,-41.612709,0.212708,0.200391,0.007002
55,1139773377,174.345322,-77.771210,-41.509243,0.296599,0.222114,0.053033
56,1139790044,174.332169,-77.798065,-41.438831,0.162241,0.142505,0.023210
57,1139806711,174.297485,-77.811218,-41.353264,0.088812,-0.037081,-0.022418
58,1139823378,174.226135,-77.800339,-41.252785,0.056827,-0.033598,-0.060294
59,1139840045,174.127319,-77.795792,-41.120422,-0.007109,0.037455,-0.038449
60,1139856712,174.011642,-77.794159,-40.962818,0.050341,0.059727,-0.018264
61,1139873379,173.894394,-77.795677,-40.798477,0.135000,0.131213,0.012222
62,1139890046,173.842316,-77.791687,-40.653862,0.214746,0.021635,0.066352
63,1139906713,173.780853,-77.789108,-40.518303,0.006213,-0.190309,-0.021868
64,1139923380,173.685394,-77.777794,-40.409824,-0.104661,-0.199243,0.017124
65,1139940047,173.572754,-77.769379,-40.301025,-0.059375,-0.168318,0.018751
66,1139956714,173.498596,-77.763977,-40.237400,0.057339,-0.072694,0.035292
67,1139973381,173.489639,-77.771873,-40.254593,0.127730,0.009007,-0.091848
68,1139990048,173.581894,-77.779793,-40.388676,0.053532,0.028670,0.064593
69,1140006715,173.688950,-77.789391,-40.565151,-0.073125,0.177400,-0.001045
70,1140023382,173.836960,-77.793938,-40.819935,0.084810,0.235341,-0.020144
71,1140040049,174.038757,-77.785332,-41.115730,0.129174,0.244303,-0.070017
72,1140056716,174.279968,-77.771019,-41.436798,0.184638,0.162570,-0.051756
73,1140073383,174.517944,-77.753891,-41.719982,0.094276,0.132288,-0.030155
74,1140090050,174.684692,-77.730324,-41.930988,0.070249,-0.024738,0.020952
75,1140106717,174.756805,-77.718941,-42.018032,0.210851,-0.072795,0.016213
76,1140123384,174.799423,-77.705673,-42.012718,0.201709,-0.107814,0.021188
77,1140140051,174.759186,-77.700127,-41.907063,0.015360,-0.184570,-0.003718
78,1140156718,174.649078,-77.676414,-41.755505,-0.043085,-0.395170,-0.063688
79,1140173385,174.440491,-77.662956,-41.548504,-0.065741,-0.239615,-0.040363
80,1140190052,174.213806,-77.633354,-41.355618,-0.024009,-0.181071,-0.018250
81,1140206719,173.986099,-77.614120,-41.165932,0.038328,-0.145966,0.020819
82,1140223386,173.830261,-77.598068,-41.056065,0.028000,-0.015947,0.031201
83,1140240053,173.745316,-77.599098,-41.012440,0.151949,0.027862,-0.001383
84,1140256720,173.729080,-77.590118,-41.025303,0.059839,0.090687,-0.027175
85,1140273387,173.734421,-77.568649,-41.071915,0.007826,0.192365,-0.031796
86,1140290054,173.732635,-77.539474,-41.136898,-0.016643,0.036236,-0.044538
87,1140306721,173.678604,-77.508499,-41.147587,0.116255,0.050851,-0.031585
