sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:52:02_044 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1138890026,-144.987671,-84.424309,91.705902,-0.113680,-0.012432,0.153814
2,1138906693,-145.219727,-84.426132,91.955528,0.153487,0.278197,0.102256
3,1138923360,-145.384857,-84.423538,92.097435,0.096728,0.193816,0.042120
4,1138940027,-145.463882,-84.416718,92.148926,-0.051225,0.224826,-0.016706
5,1138956694,-145.535782,-84.406830,92.216469,-0.164320,0.125736,0.047705
6,1138973361,-145.503647,-84.392273,92.181229,-0.336370,0.008851,0.042926
7,1138990028,-145.373886,-84.366470,92.071533,-0.162004,0.077401,0.157993
8,1139006695,-144.828278,-84.320557,91.524536,0.041885,0.347297,0.257793
9,1139023362,-144.029465,-84.270157,90.730537,0.722970,0.782289,0.021251
10,1139040029,-143.751862,-84.258507,90.330856,0.751627,0.708517,0.101646
11,1139056696,-143.302124,-84.250351,89.711609,-0.223128,0.095432,-0.042285
12,1139073363,-142.819443,-84.217514,89.093033,-0.735442,-0.649273,-0.270432
13,1139090030,-142.595917,-84.183517,88.822929,-1.032592,-1.112792,-0.153228
14,1139106697,-142.600861,-84.164108,88.912033,-0.738033,-0.765264,-0.024252
15,1139123364,-142.807541,-84.160042,89.211662,-0.312005,-0.430049,0.089591
16,1139140031,-143.074814,-84.174797,89.545776,-0.205385,-0.197833,0.111536
17,1139156698,-143.380569,-84.202187,89.882248,0.027772,0.119116,0.097943
18,1139173365,-143.661987,-84.233742,90.145210,0.103590,0.212308,0.119293
19,1139190032,-143.828110,-84.262840,90.285408,0.152217,0.312933,0.077456
20,1139206699,-143.928192,-84.281975,90.343201,0.038556,0.321866,-0.000643
21,1139223366,-144.012344,-84.292091,90.413757,-0.136015,0.086441,0.017559
22,1139240033,-144.067902,-84.296417,90.466003,-0.310384,-0.130762,0.008383
23,1139256700,-144.201080,-84.293327,90.609245,-0.131878,-0.166748,-0.028160
24,1139273367,-144.359314,-84.289520,90.772766,-0.211916,-0.254533,-0.036800
25,1139290034,-144.568542,-84.290581,91.015335,-0.297212,-0.312417,0.017251
26,1139306701,-144.849823,-84.302605,91.351295,-0.284483,-0.133029,0.086440
27,1139323368,-145.164795,-84.323395,91.698097,-0.217433,-0.045006,0.089620
28,1139340035,-145.530319,-84.349762,92.084114,-0.074018,0.018300,0.053098
29,1139356702,-145.837860,-84.372108,92.407776,-0.006005,0.276640,0.084100
30,1139373369,-146.091873,-84.392342,92.668709,-0.006248,0.239595,0.075006
31,1139390036,-146.322495,-84.409775,92.927658,-0.171085,0.004050,0.005325
32,1139406703,-146.523544,-84.423676,93.201935,-0.246255,-0.174077,-0.010124
33,1139423370,-146.774002,-84.434715,93.533241,-0.143595,-0.114623,-0.020649
34,1139440037,-147.016891,-84.444275,93.843193,-0.051279,0.163223,0.055384
35,1139456704,-147.227844,-84.452003,94.075462,0.125431,0.247243,0.124173
36,1139473371,-147.264633,-84.454826,94.120827,0.046952,0.238479,0.150341
37,1139490038,-147.098389,-84.447548,93.929123,0.094264,0.264121,0.070327
38,1139506705,-146.862854,-84.431656,93.690331,0.031953,0.166864,0.049066
39,1139523372,-146.582138,-84.412437,93.442757,-0.124890,0.017428,0.019537
40,1139540039,-146.295029,-84.387108,93.225327,-0.196263,0.125014,-0.017892
41,1139556706,-146.101471,-84.361877,93.092667,-0.157141,0.078064,0.007292
42,1139573373,-145.928345,-84.342789,92.950142,-0.235758,-0.090464,-0.063930
43,1139590040,-145.805344,-84.323875,92.847725,-0.156364,-0.115477,-0.092505
44,1139606707,-145.706467,-84.308044,92.761864,-0.083380,-0.030267,0.060905
45,1139623374,-145.605240,-84.301369,92.635376,-0.180470,-0.154529,0.064358
46,1139640041,-145.481491,-84.303024,92.533699,-0.132831,-0.234860,0.057334
47,1139656708,-145.416946,-84.315697,92.477852,0.010131,-0.271550,0.133384
48,1139673375,-145.334930,-84.334763,92.353394,-0.213457,-0.408024,0.054137
49,1139690042,-145.317108,-84.364731,92.287621,-0.103467,-0.317740,-0.033981
50,1139706709,-145.310577,-84.396255,92.231331,-0.173738,0.009808,-0.026793
51,1139723376,-145.336960,-84.427612,92.192818,-0.031830,0.177604,0.071612
52,1139740043,-145.356155,-84.458855,92.151680,-0.224048,0.085647,0.074047
53,1139756710,-145.427765,-84.487587,92.188545,-0.335860,-0.106487,-0.028663
54,1139773377,-145.512863,-84.510803,92.304031,-0.390264,-0.019291,-0.021309
55,1139790044,-145.638641,-84.532883,92.495781,-0.173710,-0.012877,0.096236
56,1139806711,-145.759277,-84.553314,92.661743,-0.131875,-0.064481,0.098212
57,1139823378,-145.843689,-84.571159,92.782112,0.072887,0.137235,0.033792
58,1139840045,-145.895737,-84.588074,92.824890,0.126577,0.289966,0.019631
59,1139856712,-145.988068,-84.603989,92.888695,-0.212969,0.024128,0.011003
60,1139873379,-146.042603,-84.616684,92.969925,-0.343755,-0.135593,0.019870
61,1139890046,-146.136429,-84.622475,93.087158,-0.229404,-0.216589,0.050466
62,1139906713,-146.211166,-84.627029,93.208206,-0.055871,0.037366,0.023770
63,1139923380,-146.322083,-84.633896,93.358681,0.049928,0.124597,0.051888
64,1139940047,-146.434418,-84.644897,93.473793,-0.125806,-0.033744,-0.009421
65,1139956714,-146.611664,-84.655182,93.636131,-0.278802,-0.210600,-0.035678
66,1139973381,-146.843597,-84.673218,93.859306,-0.221014,-0.153040,-0.080349
67,1139990048,-147.187698,-84.696182,94.174530,-0.257202,-0.257384,-0.065278
68,1140006715,-147.659714,-84.727722,94.593521,-0.182272,-0.227269,0.020610
