sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:52:02_041 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1138890026,10.547687,7.115704,-113.395668,0.198748,-0.075671,-0.493753
2,1138906693,10.561608,7.136161,-113.336647,0.073491,-0.142889,-0.507038
3,1138923360,10.558215,7.157797,-113.289070,0.048919,-0.086848,-0.461460
4,1138940027,10.558356,7.174653,-113.250778,0.077844,-0.177516,-0.377500
5,1138956694,10.556171,7.201202,-113.214134,0.127142,0.000417,-0.560925
6,1138973361,10.532979,7.263452,-113.171677,0.188983,0.000592,-0.672362
7,1138990028,10.453895,7.393594,-113.114311,0.424570,0.147831,-1.165053
8,1139006695,10.344436,7.698375,-113.012016,0.649567,0.374091,-1.271311
9,1139023362,10.310649,7.993924,-112.933693,-0.696156,-0.524787,0.945111
10,1139040029,10.341679,8.054385,-112.904182,-0.259161,-0.603510,0.372945
11,1139056696,10.383404,8.056733,-112.892357,-0.005950,-0.075860,-0.412661
12,1139073363,10.406681,8.044450,-112.901794,0.014001,0.046330,-0.588617
13,1139090030,10.400615,8.039523,-112.913719,0.046841,0.034931,-0.546725
14,1139106697,10.382523,8.042350,-112.931953,0.044078,0.045209,-0.526540
15,1139123364,10.350878,8.055997,-112.956543,0.120607,0.037537,-0.523582
16,1139140031,10.307714,8.084268,-112.989143,0.116559,0.047203,-0.575603
17,1139156698,10.264327,8.117863,-113.000755,0.152787,-0.065010,-0.514379
18,1139173365,10.222326,8.149837,-113.003319,0.078670,-0.038984,-0.432534
19,1139190032,10.187976,8.170467,-113.004051,0.076434,-0.124513,-0.456983
20,1139206699,10.160809,8.187184,-112.995590,0.063318,-0.087103,-0.430179
21,1139223366,10.141139,8.198025,-112.994987,0.112290,-0.054836,-0.530011
22,1139240033,10.132231,8.208650,-112.986450,0.018653,-0.047324,-0.374702
23,1139256700,10.128589,8.213938,-112.992180,0.072635,-0.026325,-0.485175
24,1139273367,10.122697,8.214845,-113.006516,0.063839,-0.015861,-0.488146
25,1139290034,10.113283,8.214366,-113.016251,0.073097,-0.000400,-0.448895
26,1139306701,10.094316,8.215538,-113.026718,0.111326,0.017139,-0.562853
27,1139323368,10.066600,8.222179,-113.037102,0.087766,-0.019952,-0.491545
28,1139340035,10.034953,8.233205,-113.044456,0.103319,0.008215,-0.524075
29,1139356702,10.007749,8.247714,-113.048492,0.116787,-0.080982,-0.459946
30,1139373369,9.992761,8.256578,-113.057655,0.022692,-0.124425,-0.347030
31,1139390036,9.989356,8.253708,-113.058418,0.071472,-0.065143,-0.471316
32,1139406703,9.983582,8.252390,-113.057426,0.058617,-0.034257,-0.500231
33,1139423370,9.971116,8.257665,-113.066902,0.124371,0.027305,-0.587966
34,1139440037,9.948912,8.270560,-113.065170,0.150756,-0.020672,-0.527674
35,1139456704,9.910335,8.286273,-113.058670,0.133774,0.030068,-0.622892
36,1139473371,9.850126,8.312993,-113.040962,0.199203,-0.008479,-0.750560
37,1139490038,9.771763,8.356909,-113.021614,0.110687,-0.010235,-0.633377
38,1139506705,9.697434,8.408025,-113.003304,0.061293,-0.060783,-0.396783
39,1139523372,9.639522,8.455864,-112.970924,0.059190,-0.051066,-0.361064
40,1139540039,9.593299,8.503142,-112.961563,0.010785,-0.091902,-0.320976
41,1139556706,9.564996,8.546748,-112.940674,0.067096,-0.061125,-0.384415
42,1139573373,9.546844,8.583059,-112.937531,-0.032111,-0.153271,-0.280480
43,1139590040,9.549119,8.597521,-112.937126,0.060799,-0.052276,-0.384587
44,1139606707,9.562778,8.596551,-112.943451,-0.010856,-0.147303,-0.264143
45,1139623374,9.594272,8.587503,-112.945595,0.067457,-0.058787,-0.429173
46,1139640041,9.634108,8.574039,-112.937469,0.029669,-0.090911,-0.406124
47,1139656708,9.670190,8.562999,-112.943474,0.126043,-0.015917,-0.561912
48,1139673375,9.685971,8.560738,-112.954002,0.062840,0.031861,-0.510108
49,1139690042,9.691505,8.560217,-112.966637,0.130723,0.016965,-0.607654
50,1139706709,9.687981,8.561765,-112.978455,0.041018,-0.076633,-0.419877
51,1139723376,9.689615,8.560041,-112.990242,0.089543,-0.049212,-0.473742
52,1139740043,9.692045,8.555868,-113.008812,0.002332,-0.079092,-0.336422
53,1139756710,9.699514,8.548693,-113.022758,0.083432,-0.031695,-0.517586
54,1139773377,9.702809,8.545672,-113.031967,0.129516,-0.000374,-0.523716
55,1139790044,9.702129,8.551068,-113.038361,0.140642,-0.009626,-0.560287
56,1139806711,9.695112,8.559727,-113.041611,0.078636,-0.060294,-0.517771
57,1139823378,9.680645,8.571521,-113.042908,0.091162,-0.020406,-0.531555
58,1139840045,9.668582,8.576867,-113.045769,0.070332,-0.156752,-0.434706
59,1139856712,9.656549,8.579011,-113.042900,0.119055,-0.022228,-0.543253
60,1139873379,9.634833,8.586729,-113.038589,0.136488,-0.005824,-0.559144
61,1139890046,9.608370,8.602625,-113.037544,0.126826,0.044336,-0.519512
62,1139906713,9.586967,8.616494,-113.028107,0.000451,-0.141790,-0.354057
63,1139923380,9.575915,8.625943,-113.030449,0.011503,-0.068061,-0.361264
64,1139940047,9.571695,8.624519,-113.037071,0.021023,-0.051543,-0.381257
65,1139956714,9.570948,8.622437,-113.047844,0.005356,-0.038039,-0.315910
66,1139973381,9.596301,8.608929,-113.070267,0.025980,-0.172379,-0.357205
67,1139990048,9.632895,8.594205,-113.093506,0.028468,0.040401,-0.419143
68,1140006715,9.670648,8.572804,-113.120102,0.042773,-0.191215,-0.352798
69,1140023382,9.686392,8.551970,-113.157204,0.034069,0.105363,-0.617349
70,1140040049,9.678976,8.533470,-113.200775,0.112564,0.001194,-0.518056
71,1140056716,9.664377,8.504344,-113.241859,0.100435,-0.089500,-0.503344
72,1140073383,9.639205,8.482450,-113.277039,0.174625,0.029376,-0.601910
73,1140090050,9.611604,8.461419,-113.306694,0.164536,-0.075531,-0.571389
74,1140106717,9.592978,8.457356,-113.314255,0.212587,-0.020333,-0.645913
75,1140123384,9.585391,8.471748,-113.304138,0.215063,-0.000395,-0.629264
76,1140140051,9.584730,8.495085,-113.295708,0.078219,-0.119771,-0.405657
77,1140156718,9.586846,8.512347,-113.291199,0.145441,-0.035134,-0.557402
78,1140173385,9.577096,8.525985,-113.267632,0.006877,-0.071350,-0.495040
79,1140190052,9.561720,8.536768,-113.258362,0.073796,0.036679,-0.440199
80,1140206719,9.554557,8.541373,-113.255089,0.011849,-0.145704,-0.340650
81,1140223386,9.551740,8.543931,-113.257500,0.133784,-0.008153,-0.524536
82,1140240053,9.544805,8.549644,-113.250679,0.055220,-0.049953,-0.382821
83,1140256720,9.540765,8.553971,-113.257416,0.129061,-0.021906,-0.532927
84,1140273387,9.527691,8.566463,-113.254951,0.147602,-0.022331,-0.556565
85,1140290054,9.507153,8.580411,-113.244652,0.049655,-0.059496,-0.527310
86,1140306721,9.480436,8.590107,-113.236534,0.092814,-0.014817,-0.519234
87,1140323388,9.457976,8.601994,-113.229523,-0.031156,-0.059430,-0.221512
88,1140340055,9.452285,8.608084,-113.230812,0.144084,-0.156667,-0.421721
89,1140356722,9.451763,8.615828,-113.225426,0.134888,0.029241,-0.534299
90,1140373389,9.450234,8.629403,-113.221359,0.130850,0.009024,-0.566449
91,1140390056,9.446857,8.653860,-113.210442,0.142554,-0.002782,-0.534082
92,1140406723,9.449509,8.687451,-113.189735,0.110441,-0.077974,-0.480373
93,1140423390,9.452056,8.720278,-113.167656,0.049668,-0.113046,-0.425545
94,1140440057,9.456890,8.745233,-113.147972,0.068436,-0.101655,-0.452574
95,1140456724,9.467576,8.767637,-113.129532,0.082691,-0.057051,-0.456395
96,1140473391,9.482386,8.794658,-113.110245,0.104742,-0.011311,-0.507468
97,1140490058,9.503769,8.827578,-113.087761,0.094848,0.033740,-0.516999
98,1140506725,9.524632,8.872049,-113.070953,0.031614,-0.075987,-0.403892
99,1140523392,9.548617,8.905988,-113.061577,0.045190,-0.100200,-0.412905
100,1140540059,9.571476,8.933400,-113.053406,0.049941,-0.059011,-0.444140
101,1140556726,9.594426,8.956814,-113.041405,0.095665,-0.075486,-0.450812
102,1140573393,9.618611,8.977512,-113.034088,0.064633,-0.088908,-0.460713
103,1140590060,9.641890,8.989192,-113.028252,0.063372,-0.065330,-0.467391
104,1140606727,9.663012,9.000843,-113.027611,0.066998,-0.033033,-0.447770
105,1140623394,9.679819,9.013557,-113.023712,0.079110,-0.027686,-0.465806
106,1140640061,9.692097,9.025282,-113.021545,0.060953,-0.044394,-0.432548
107,1140656728,9.699524,9.036547,-113.020233,0.066842,-0.062028,-0.478078
108,1140673395,9.701962,9.049129,-113.025620,0.063014,0.000705,-0.498839
109,1140690062,9.701364,9.067122,-113.038818,0.143559,0.023418,-0.540650
110,1140706729,9.702878,9.090754,-113.046539,0.097519,-0.062570,-0.487897
111,1140723396,9.711700,9.120625,-113.041122,0.122327,-0.030652,-0.521791
112,1140740063,9.723919,9.152051,-113.044647,0.086576,-0.094636,-0.440803
113,1140756730,9.740696,9.181489,-113.042755,0.046518,-0.082988,-0.443815
114,1140773397,9.752029,9.203420,-113.043251,0.044836,-0.075760,-0.409345
115,1140790064,9.760287,9.216978,-113.043747,0.050806,-0.095618,-0.420866
116,1140806731,9.765285,9.223310,-113.042870,0.055327,-0.059346,-0.450978
117,1140823398,9.768507,9.225251,-113.043839,0.097767,-0.059026,-0.453257
118,1140840065,9.771913,9.225420,-113.047058,0.063366,-0.041066,-0.451808
119,1140856732,9.770885,9.226369,-113.054184,0.055749,-0.031889,-0.464970
120,1140873399,9.767165,9.228154,-113.057945,0.065569,-0.045959,-0.473298
121,1140890066,9.767373,9.232807,-113.067474,0.121859,-0.058116,-0.510687
122,1140906733,9.773139,9.239692,-113.070877,0.075308,-0.083634,-0.456697
123,1140923400,9.781730,9.243906,-113.076271,0.081794,-0.020363,-0.489038
124,1140940067,9.788033,9.250303,-113.078751,0.067798,-0.074718,-0.432631
125,1140956734,9.796252,9.254077,-113.077919,0.077794,-0.058260,-0.473670
126,1140973401,9.801729,9.255733,-113.072990,0.050582,-0.044732,-0.461888
127,1140990068,9.805381,9.254160,-113.077042,0.082171,-0.079442,-0.465559
128,1141006735,9.809253,9.251781,-113.078949,0.105523,-0.058275,-0.473303
129,1141023402,9.814127,9.251309,-113.078941,0.082425,-0.065885,-0.478327
130,1141040069,9.819798,9.252490,-113.083900,0.066889,-0.036424,-0.465279
131,1141056736,9.823744,9.252232,-113.076805,0.067052,-0.045931,-0.454225
132,1141073403,9.824394,9.248940,-113.071991,0.044986,-0.062945,-0.453286
133,1141090070,9.821414,9.242598,-113.073784,0.050195,-0.033486,-0.488954
134,1141106737,9.815235,9.235687,-113.077492,0.090893,-0.033309,-0.480097
135,1141123404,9.809109,9.228416,-113.081238,0.078828,-0.057807,-0.450283
136,1141140071,9.804844,9.221474,-113.084045,0.076130,-0.076551,-0.445699
137,1141156738,9.803220,9.210835,-113.089577,0.083737,-0.063802,-0.489203
138,1141173405,9.803587,9.209177,-113.091583,0.140165,0.002536,-0.499303
139,1141190072,9.806987,9.213139,-113.094803,0.079127,-0.037691,-0.489807
140,1141206739,9.809985,9.218409,-113.096252,0.051301,-0.033907,-0.446237
141,1141223406,9.811747,9.224088,-113.102493,0.073247,-0.028316,-0.465500
142,1141240073,9.811325,9.231444,-113.104050,0.082892,-0.025680,-0.474608
143,1141256740,9.808165,9.237987,-113.091759,0.077288,-0.047849,-0.505993
144,1141273407,9.807047,9.246088,-113.098106,0.077681,-0.033836,-0.468791
145,1141290074,9.806428,9.254537,-113.103149,0.075066,-0.029945,-0.509056
146,1141306741,9.805502,9.265095,-113.106300,0.105631,-0.033849,-0.506076
147,1141323408,9.807223,9.280625,-113.113998,0.105300,-0.022440,-0.496756
148,1141340075,9.809601,9.297153,-113.118942,0.077691,-0.108982,-0.427697
149,1141356742,9.814569,9.311750,-113.126198,0.062199,-0.069104,-0.465033
150,1141373409,9.817346,9.322515,-113.129234,0.049237,-0.055224,-0.433752
151,1141390076,9.818541,9.329657,-113.137840,0.060225,-0.049970,-0.472537
152,1141406743,9.815839,9.335213,-113.144279,0.082841,-0.056935,-0.469618
153,1141423410,9.814489,9.339925,-113.142921,0.091852,-0.060724,-0.463685
154,1141440077,9.811513,9.343747,-113.148010,0.041293,-0.085374,-0.441417
155,1141456744,9.805482,9.343401,-113.152794,0.061780,-0.044431,-0.461053
156,1141473411,9.794266,9.340830,-113.164963,0.068100,-0.062265,-0.457049
157,1141490078,9.771026,9.340077,-113.179077,0.076175,0.002116,-0.489589
158,1141506745,9.732117,9.339179,-113.192780,0.075740,-0.071981,-0.484467
159,1141523412,9.680686,9.339496,-113.209564,0.035739,-0.035001,-0.458716
160,1141540079,9.635038,9.334751,-113.212769,0.091502,-0.080163,-0.463546
161,1141556746,9.601849,9.326529,-113.216309,0.095512,-0.072430,-0.452766
162,1141573413,9.579028,9.317538,-113.220795,0.109798,-0.065117,-0.482834
163,1141590080,9.563216,9.308930,-113.224701,0.054258,-0.051186,-0.455774
164,1141606747,9.554736,9.299557,-113.219208,0.086337,-0.066184,-0.465471
165,1141623414,9.552757,9.291481,-113.219131,0.104515,-0.033020,-0.530991
166,1141640081,9.558648,9.294520,-113.225716,0.104575,-0.031576,-0.508060
167,1141656748,9.568245,9.297430,-113.228424,0.089500,-0.080194,-0.474147
168,1141673415,9.576600,9.301184,-113.228706,0.100137,-0.049851,-0.502144
169,1141690082,9.585254,9.307333,-113.232018,0.110811,-0.033542,-0.523596
170,1141706749,9.592462,9.318350,-113.235397,0.075490,-0.076318,-0.446251
171,1141723416,9.602538,9.326085,-113.236809,0.063983,-0.085598,-0.428306
172,1141740083,9.611959,9.329720,-113.237488,0.064385,-0.026539,-0.466413
173,1141756750,9.620301,9.332895,-113.237122,0.077478,-0.059679,-0.458863
174,1141773417,9.633026,9.334324,-113.232826,0.092003,-0.060763,-0.456563
175,1141790084,9.646698,9.334087,-113.232597,0.084079,-0.061587,-0.489202
176,1141806751,9.661739,9.336006,-113.234192,0.076237,-0.028460,-0.473337
177,1141823418,9.676997,9.336200,-113.239006,0.055864,-0.056278,-0.432060
178,1141840085,9.688881,9.333150,-113.235504,0.071554,-0.060455,-0.483740
179,1141856752,9.697787,9.328708,-113.229500,0.055720,-0.076631,-0.464818
