sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:55:27_461 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1344327468,-150.592697,-80.162094,-94.630577,0.366815,0.413499,0.095646
2,1344344135,-150.449127,-80.172394,-94.708908,0.380252,0.358289,0.035983
3,1344360802,-150.341629,-80.155617,-94.732269,0.307769,0.376524,0.008996
4,1344377469,-150.190903,-80.138733,-94.780609,0.227785,0.500520,-0.048597
5,1344394136,-150.044891,-80.115814,-94.791595,0.219043,0.375999,-0.076285
6,1344410803,-149.815842,-80.094170,-94.880234,0.173600,0.220680,0.054810
7,1344427470,-149.473846,-80.065186,-95.097061,0.238109,0.089119,0.182865
8,1344444137,-148.933212,-80.040276,-95.477737,0.414311,-0.074098,0.187073
9,1344460804,-148.263489,-80.014519,-95.991920,0.293463,-0.023557,0.107844
10,1344477471,-147.600662,-79.977722,-96.515480,-0.009287,0.185398,0.310791
11,1344494138,-146.886703,-79.998779,-97.029083,-0.305113,0.011594,0.119846
12,1344510805,-146.451477,-80.045197,-97.265999,-0.526861,-0.194155,-0.071856
13,1344527472,-146.367920,-80.117180,-97.172668,-0.585449,-0.319315,-0.174470
14,1344544139,-146.569763,-80.215904,-96.822548,-0.578062,-0.371984,-0.263160
15,1344560806,-147.065567,-80.311684,-96.206787,-0.663043,-0.232627,-0.121522
16,1344577473,-147.707230,-80.391563,-95.449890,-0.466991,-0.255988,0.147056
17,1344594140,-148.314575,-80.450668,-94.762100,-0.177239,-0.272057,0.105268
18,1344610807,-148.824783,-80.478043,-94.220444,0.113566,-0.176943,-0.004322
19,1344627474,-149.179352,-80.490746,-93.883087,0.108685,0.099730,0.019899
20,1344644141,-149.390854,-80.501686,-93.699699,0.130443,0.172289,-0.028594
21,1344660808,-149.476913,-80.512833,-93.607147,0.148143,0.090900,-0.001635
22,1344677475,-149.468369,-80.520866,-93.596344,0.211443,-0.014957,0.026068
23,1344694142,-149.387833,-80.517387,-93.654747,0.109587,-0.064814,0.006387
24,1344710809,-149.291245,-80.503059,-93.737976,-0.048312,0.013371,-0.011739
