sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:55:27_477 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1344360802,0.861567,-1.563727,-151.528152,-0.016552,-0.024939,0.338160
2,1344377469,0.860023,-1.561956,-151.528091,-0.012016,-0.069298,0.354488
3,1344394136,0.857799,-1.562978,-151.526917,-0.004202,-0.009822,0.365052
4,1344410803,0.853484,-1.563271,-151.525269,0.017708,0.024199,0.406820
5,1344427470,0.842837,-1.562065,-151.525513,0.055996,0.008010,0.361980
6,1344444137,0.824320,-1.560675,-151.522430,0.000812,-0.018884,0.377015
7,1344460804,0.804891,-1.560336,-151.520126,-0.019240,-0.002344,0.348489
8,1344477471,0.790854,-1.560237,-151.518539,-0.037758,0.005119,0.340005
9,1344494138,0.783309,-1.561787,-151.517776,-0.002313,0.065119,0.378440
10,1344510805,0.779823,-1.562035,-151.518585,0.012708,0.172637,0.382389
11,1344527472,0.774970,-1.563915,-151.516998,0.014129,0.217638,0.390318
12,1344544139,0.774825,-1.564685,-151.514511,-0.010676,0.199530,0.342361
13,1344560806,0.773847,-1.565455,-151.513275,0.021895,0.197604,0.331685
14,1344577473,0.769374,-1.565306,-151.512711,0.028785,0.162733,0.337875
15,1344594140,0.765215,-1.566931,-151.512497,-0.002132,0.150663,0.353891
16,1344610807,0.761434,-1.567479,-151.511963,0.027016,0.168125,0.402945
17,1344627474,0.752809,-1.568195,-151.509644,0.026842,0.132868,0.371598
18,1344644141,0.742901,-1.567229,-151.505981,-0.008721,0.080263,0.369450
19,1344660808,0.736334,-1.567614,-151.504227,-0.019758,0.008543,0.344426
20,1344677475,0.739096,-1.567256,-151.503235,-0.063275,-0.049652,0.340946
21,1344694142,0.751765,-1.566512,-151.506668,-0.048282,-0.117329,0.340965
22,1344710809,0.765906,-1.567690,-151.510880,0.006528,-0.102063,0.364038
23,1344727476,0.772645,-1.569486,-151.518463,0.034481,-0.036389,0.371799
24,1344744143,0.773520,-1.571276,-151.519211,0.013562,0.018212,0.399306
25,1344760810,0.770635,-1.571565,-151.524094,0.020102,0.081557,0.378076
26,1344777477,0.766208,-1.572058,-151.524246,0.004439,0.117176,0.374469
27,1344794144,0.760155,-1.572162,-151.521378,-0.005362,0.107227,0.377433
28,1344810811,0.753503,-1.574036,-151.520599,0.017649,0.188003,0.354233
29,1344827478,0.746784,-1.575085,-151.520752,0.015918,0.217008,0.369723
30,1344844145,0.739884,-1.574558,-151.521149,-0.002155,0.242432,0.345499
31,1344860812,0.736114,-1.574019,-151.521545,-0.009831,0.227114,0.347536
32,1344877479,0.737826,-1.572502,-151.522018,-0.017252,0.188395,0.326724
33,1344894146,0.743719,-1.573344,-151.521881,-0.000428,0.144537,0.353755
34,1344910813,0.751656,-1.572818,-151.523041,-0.009440,0.140036,0.359585
35,1344927480,0.761779,-1.571501,-151.525101,-0.015463,0.043079,0.363152
36,1344944147,0.771400,-1.571194,-151.525970,0.010991,0.031359,0.323300
37,1344960814,0.779183,-1.569076,-151.527374,-0.017776,-0.077116,0.337183
38,1344977481,0.791299,-1.569720,-151.532913,-0.027609,-0.170928,0.365829
39,1344994148,0.803128,-1.570302,-151.536102,0.009669,-0.153342,0.386165
40,1345010815,0.809122,-1.570299,-151.537491,0.015387,-0.098172,0.392602
41,1345027482,0.812472,-1.569386,-151.532318,0.012789,-0.118670,0.350097
42,1345044149,0.814426,-1.568543,-151.533615,-0.017371,-0.192718,0.338644
43,1345060816,0.818918,-1.569955,-151.534470,-0.031626,-0.239852,0.332164
44,1345077483,0.826868,-1.571192,-151.536423,-0.028502,-0.191790,0.359309
45,1345094150,0.833372,-1.572407,-151.538071,0.015386,-0.100353,0.361776
46,1345110817,0.834830,-1.573988,-151.538239,0.026264,0.022729,0.371904
47,1345127484,0.831654,-1.575637,-151.539673,-0.004002,0.145258,0.364314
48,1345144151,0.828455,-1.576594,-151.540176,0.033168,0.266641,0.367097
49,1345160818,0.822205,-1.577633,-151.541046,0.041056,0.297529,0.385553
50,1345177485,0.816427,-1.580716,-151.540253,-0.015510,0.364031,0.403767
51,1345194152,0.813928,-1.582203,-151.541016,0.026477,0.471654,0.381432
52,1345210819,0.807003,-1.583290,-151.541336,0.040877,0.493241,0.368566
53,1345227486,0.798924,-1.583873,-151.540390,0.020517,0.470725,0.330844
54,1345244153,0.794941,-1.583030,-151.539413,-0.005916,0.439868,0.355590
55,1345260820,0.797816,-1.582371,-151.543076,-0.004444,0.348412,0.344788
56,1345277487,0.805063,-1.580024,-151.545105,0.036201,0.279011,0.372845
57,1345294154,0.809221,-1.579763,-151.545074,0.023928,0.206884,0.373486
58,1345310821,0.814081,-1.578701,-151.545654,-0.006455,0.122471,0.363511
59,1345327488,0.821082,-1.577526,-151.546539,0.003941,0.075217,0.363383
60,1345344155,0.829506,-1.577910,-151.548477,0.003653,0.041696,0.365796
61,1345360822,0.834512,-1.577485,-151.549988,0.022409,0.006088,0.372341
62,1345377489,0.832216,-1.576757,-151.545624,0.032595,0.008608,0.398083
63,1345394156,0.825302,-1.576533,-151.544189,0.009669,-0.030353,0.346642
64,1345410823,0.816806,-1.573415,-151.541855,-0.035693,-0.111007,0.335790
65,1345427490,0.809796,-1.573214,-151.543015,-0.011054,-0.118100,0.377827
66,1345444157,0.805790,-1.572177,-151.544952,-0.007275,-0.073546,0.375089
67,1345460824,0.801889,-1.573066,-151.545441,0.002357,-0.011806,0.356150
68,1345477491,0.798990,-1.572735,-151.544693,-0.007672,0.014369,0.372536
69,1345494158,0.799347,-1.572565,-151.544418,-0.018806,0.022640,0.386372
70,1345510825,0.802431,-1.570497,-151.544479,0.000446,-0.032587,0.342883
71,1345527492,0.806050,-1.571173,-151.549286,0.003061,-0.063944,0.382064
72,1345544159,0.812208,-1.572065,-151.550507,-0.012073,-0.052488,0.363938
73,1345560826,0.817202,-1.572305,-151.549561,0.018778,0.012101,0.377384
74,1345577493,0.819508,-1.572125,-151.547562,0.007540,0.091949,0.360796
75,1345594160,0.818172,-1.572878,-151.548050,0.022009,0.156877,0.388801
76,1345610827,0.815935,-1.571517,-151.547867,0.005823,0.125959,0.386484
77,1345627494,0.814451,-1.570020,-151.548599,-0.005211,0.091535,0.359489
78,1345644161,0.814284,-1.570917,-151.548523,0.038863,0.087902,0.370694
79,1345660828,0.810985,-1.571175,-151.547119,-0.004214,0.089437,0.354442
80,1345677495,0.812447,-1.570436,-151.547577,-0.023176,0.068229,0.371669
81,1345694162,0.821045,-1.571278,-151.547745,-0.028191,0.045789,0.358068
82,1345710829,0.828024,-1.572362,-151.551056,0.032162,0.100565,0.374888
83,1345727496,0.828748,-1.572258,-151.552124,0.062186,0.153517,0.376658
84,1345744163,0.824638,-1.572952,-151.551941,0.029558,0.199129,0.368718
85,1345760830,0.819369,-1.573198,-151.555283,0.007467,0.223556,0.364182
86,1345777497,0.818183,-1.573498,-151.553146,0.000508,0.238850,0.353315
87,1345794164,0.819257,-1.575202,-151.554993,0.010807,0.316915,0.358864
88,1345810831,0.821066,-1.575077,-151.554642,0.033929,0.371326,0.359532
89,1345827498,0.821393,-1.571886,-151.555130,0.016157,0.261266,0.375246
90,1345844165,0.823324,-1.568407,-151.556503,-0.009220,0.124977,0.346041
91,1345860832,0.825515,-1.566551,-151.555511,-0.014564,0.026843,0.360601
92,1345877499,0.826522,-1.565596,-151.553772,0.017263,-0.019431,0.383525
93,1345894166,0.824307,-1.565081,-151.552155,0.014911,-0.066534,0.387606
94,1345910833,0.821005,-1.564884,-151.549362,-0.001482,-0.069300,0.376487
95,1345927500,0.816458,-1.565855,-151.550186,0.022295,-0.030977,0.363400
96,1345944167,0.809152,-1.566250,-151.550415,0.007008,0.086456,0.346815
97,1345960834,0.804466,-1.567447,-151.550949,0.007142,0.174831,0.374259
98,1345977501,0.804301,-1.567564,-151.550705,0.005875,0.201578,0.355360
99,1345994168,0.804046,-1.566324,-151.549637,0.017247,0.130748,0.368389
100,1346010835,0.800301,-1.564259,-151.549728,0.032861,0.054964,0.360427
101,1346027502,0.792205,-1.563649,-151.544586,0.011416,0.022969,0.346703
102,1346044169,0.784283,-1.563670,-151.542984,-0.010939,0.056511,0.357010
103,1346060836,0.778406,-1.563969,-151.544006,0.003476,0.024790,0.364820
104,1346077503,0.776245,-1.563963,-151.547089,-0.003053,0.033988,0.328759
105,1346094170,0.773906,-1.565279,-151.546783,-0.006702,0.026534,0.370197
106,1346110837,0.768773,-1.565679,-151.550156,0.039425,0.083593,0.356596
107,1346127504,0.762928,-1.566640,-151.550140,0.020815,0.099835,0.379727
108,1346144171,0.759703,-1.567248,-151.547867,-0.009347,0.159706,0.344427
109,1346160838,0.760194,-1.567361,-151.546371,-0.008611,0.178073,0.340970
110,1346177505,0.763939,-1.567697,-151.544525,0.006636,0.134322,0.365759
111,1346194172,0.770168,-1.567142,-151.547150,-0.013807,0.110322,0.358742
112,1346210839,0.775671,-1.567102,-151.548004,0.009898,0.044945,0.371924
113,1346227506,0.780532,-1.566897,-151.552246,-0.000782,0.021595,0.355232
114,1346244173,0.782530,-1.566611,-151.553467,0.005462,0.034327,0.355631
115,1346260840,0.783511,-1.567273,-151.556717,0.018424,0.029383,0.350787
116,1346277507,0.779361,-1.567441,-151.559433,0.016330,0.042569,0.373362
117,1346294174,0.775731,-1.568850,-151.559174,0.014737,0.121280,0.362784
118,1346310841,0.775315,-1.568625,-151.558655,-0.024630,0.135174,0.380688
119,1346327508,0.780591,-1.568682,-151.559586,0.001460,0.126309,0.358727
120,1346344175,0.788257,-1.568745,-151.561661,0.006365,0.080080,0.345758
121,1346360842,0.792399,-1.566174,-151.563309,-0.000966,0.062975,0.330243
122,1346377509,0.794769,-1.569298,-151.564011,0.029591,0.189500,0.407806
123,1346394176,0.794899,-1.567668,-151.562500,0.039290,0.161503,0.367161
124,1346410843,0.792054,-1.567028,-151.562302,-0.009489,0.058674,0.342162
125,1346427510,0.790658,-1.567667,-151.561249,-0.008893,0.039120,0.385807
126,1346444177,0.792580,-1.567174,-151.560257,-0.009287,0.061195,0.374228
127,1346460844,0.791910,-1.567864,-151.559753,0.008922,0.053829,0.365718
128,1346477511,0.792272,-1.567185,-151.558334,0.001751,0.072140,0.354546
129,1346494178,0.795043,-1.567822,-151.559296,-0.011408,0.048224,0.367985
130,1346510845,0.798949,-1.567714,-151.560471,-0.000067,0.063985,0.345574
