sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:56:18_608 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1395461824,-140.356934,-83.296738,100.419006,0.046592,-0.292247,0.055755
2,1395478491,-140.484940,-83.252327,100.520508,0.180298,-0.247541,-0.009120
3,1395495158,-140.566483,-83.215454,100.588570,0.230842,-0.316777,0.015660
4,1395511825,-140.522827,-83.199898,100.545288,0.038036,-0.231947,0.134920
5,1395528492,-140.411865,-83.204796,100.452278,-0.178893,-0.143358,0.181020
6,1395545159,-140.252670,-83.212219,100.299667,-0.174815,0.297611,0.086697
7,1395561826,-140.061066,-83.216904,100.054474,0.140543,0.314923,0.030044
8,1395578493,-139.861115,-83.210541,99.767487,0.260617,0.166243,0.042673
9,1395595160,-139.597321,-83.198364,99.429916,0.185214,-0.046583,0.065897
10,1395611827,-139.096649,-83.190643,98.908592,0.144642,0.064130,-0.007574
11,1395628494,-138.481140,-83.182465,98.278503,0.032070,0.383158,-0.068799
12,1395645161,-137.821976,-83.176567,97.552223,-0.092594,0.297090,0.051123
13,1395661828,-137.164413,-83.161560,96.825668,-0.035796,0.011963,0.039705
14,1395678495,-136.520798,-83.125427,96.099892,-0.185605,0.082625,-0.029084
15,1395695162,-135.900986,-83.081429,95.374413,-0.126554,0.014685,-0.026925
16,1395711829,-135.273438,-83.036552,94.611191,-0.186150,-0.055033,0.135961
17,1395728496,-134.631317,-82.988686,93.820763,0.011004,-0.071867,0.141579
18,1395745163,-133.949310,-82.941696,92.955338,0.056034,0.186904,0.078179
19,1395761830,-133.316650,-82.889862,92.077148,0.131507,0.336538,-0.022186
20,1395778497,-132.705078,-82.830399,91.173523,0.064912,-0.092979,0.025970
21,1395795164,-131.953049,-82.753975,90.216393,-0.055915,-0.720273,0.123239
22,1395811831,-131.073914,-82.662544,89.293533,0.079571,-0.364807,0.091226
23,1395828498,-130.101440,-82.550972,88.323311,0.235833,0.590210,0.036632
24,1395845165,-128.969162,-82.425835,87.133713,0.377710,0.895847,0.108903
25,1395861832,-127.670525,-82.304688,85.706871,0.175447,0.681737,0.067820
26,1395878499,-126.389877,-82.166016,84.257301,0.206190,0.400075,-0.152260
27,1395895166,-125.226700,-82.011292,82.864388,0.107131,0.373901,-0.375561
28,1395911833,-124.275841,-81.846741,81.587135,0.188530,0.381809,-0.305533
29,1395928500,-123.513809,-81.681976,80.392654,0.042367,0.225766,-0.051165
30,1395945167,-122.801682,-81.524193,79.190071,-0.119832,-0.341265,0.300910
31,1395961834,-121.939522,-81.392029,77.911644,-0.197343,-0.980213,0.344534
32,1395978501,-121.061264,-81.293182,76.738213,-0.157047,-1.657885,0.398382
