sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_17:56:18_606 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1395461824,15.197517,-9.252961,-110.656364,0.126119,-0.011757,-0.399503
2,1395478491,15.184317,-9.256953,-110.695786,0.092721,0.001819,-0.460912
3,1395495158,15.173378,-9.252905,-110.722343,0.057713,-0.014557,-0.455011
4,1395511825,15.169321,-9.247854,-110.744843,0.000488,-0.082734,-0.533342
5,1395528492,15.171778,-9.249944,-110.754494,0.037400,-0.029121,-0.453154
6,1395545159,15.177052,-9.252922,-110.760811,0.090895,-0.056885,-0.454410
7,1395561826,15.181444,-9.257269,-110.765190,0.057268,-0.006663,-0.434756
8,1395578493,15.183604,-9.264310,-110.770111,0.026487,-0.010496,-0.444361
9,1395595160,15.184074,-9.272581,-110.773987,0.044443,0.015678,-0.442832
10,1395611827,15.181275,-9.278283,-110.757782,0.042746,-0.013601,-0.480170
11,1395628494,15.177816,-9.282523,-110.750061,0.020387,-0.047762,-0.492133
12,1395645161,15.175347,-9.290707,-110.733559,0.033679,-0.039495,-0.467128
13,1395661828,15.169397,-9.297818,-110.710854,0.072716,0.012406,-0.454888
14,1395678495,15.158193,-9.300189,-110.690971,0.093814,-0.015048,-0.406549
15,1395695162,15.142958,-9.301113,-110.662422,0.054836,-0.022455,-0.470675
16,1395711829,15.124322,-9.301362,-110.637711,0.103017,-0.023783,-0.421218
17,1395728496,15.104043,-9.301927,-110.599960,0.072429,-0.004892,-0.423619
18,1395745163,15.080240,-9.303106,-110.578140,0.025727,0.005223,-0.447892
19,1395761830,15.042992,-9.303754,-110.552460,-0.000852,0.005204,-0.479902
20,1395778497,15.008471,-9.312464,-110.526413,0.255955,-0.059347,-0.349076
21,1395795164,14.987872,-9.316597,-110.536552,0.204960,-0.027498,-0.335299
22,1395811831,14.971378,-9.315837,-110.537453,0.091115,0.019797,-0.412563
23,1395828498,14.950675,-9.315847,-110.540649,0.034812,-0.030608,-0.458549
24,1395845165,14.919546,-9.319324,-110.527580,-0.076361,-0.054257,-0.529463
25,1395861832,14.875657,-9.329672,-110.504433,-0.086027,-0.050658,-0.564528
26,1395878499,14.810271,-9.346426,-110.458778,-0.083556,0.029431,-0.553452
27,1395895166,14.719370,-9.365541,-110.397820,-0.013385,0.013134,-0.493389
28,1395911833,14.601679,-9.380180,-110.324493,0.031237,0.028339,-0.441120
29,1395928500,14.478926,-9.395004,-110.254570,0.142804,-0.050707,-0.390304
30,1395945167,14.372591,-9.409851,-110.197319,0.222624,-0.104945,-0.403408
31,1395961834,14.284088,-9.436766,-110.128326,0.068856,-0.108134,-0.423740
32,1395978501,14.217766,-9.479228,-110.068649,0.228538,-0.065708,-0.353816
33,1395995168,14.179128,-9.511526,-110.028778,0.267795,-0.004480,-0.332153
34,1396011835,14.162521,-9.528071,-110.010605,0.230761,-0.003478,-0.348135
35,1396028502,14.157974,-9.538088,-109.994255,0.116877,-0.025344,-0.383180
36,1396045169,14.163191,-9.544119,-109.967964,0.131509,-0.057115,-0.405779
37,1396061836,14.172631,-9.551035,-109.966820,0.129130,-0.039194,-0.427640
38,1396078503,14.184566,-9.556014,-109.972351,0.118907,-0.015966,-0.454401
39,1396095170,14.193273,-9.558303,-109.961105,0.108714,-0.007464,-0.414504
40,1396111837,14.206929,-9.556750,-109.958000,0.119252,-0.011005,-0.401437
41,1396128504,14.219920,-9.550894,-109.956337,0.060060,-0.031366,-0.477432
42,1396145171,14.228552,-9.547845,-109.966301,-0.020171,-0.094629,-0.477044
43,1396161838,14.229049,-9.540820,-109.974594,0.084545,-0.039151,-0.465356
44,1396178505,14.227328,-9.538625,-109.975731,0.011039,-0.085351,-0.462150
45,1396195172,14.225458,-9.542095,-109.981018,0.042890,-0.059130,-0.479355
46,1396211839,14.221208,-9.549413,-109.977448,0.015351,0.024337,-0.504597
47,1396228506,14.196749,-9.558250,-109.949730,-0.047520,0.024906,-0.537342
48,1396245173,14.144205,-9.583533,-109.906174,-0.102415,-0.034530,-0.502551
49,1396261840,14.069653,-9.625873,-109.848045,-0.014258,0.006524,-0.439512
50,1396278507,13.992059,-9.671775,-109.785789,0.127760,-0.014071,-0.383152
51,1396295174,13.925228,-9.712511,-109.741524,0.176343,-0.073060,-0.382298
52,1396311841,13.884028,-9.743989,-109.710663,0.279897,-0.066363,-0.342062
53,1396328508,13.868811,-9.766726,-109.699417,0.160738,-0.008597,-0.375238
