sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_18:08:17_187 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2114042862,-136.395859,-75.317604,105.262642,-0.312147,-1.234674,0.116152
2,2114059529,-136.535965,-75.341644,105.509651,-0.049339,-0.608122,-0.003765
3,2114076196,-136.728455,-75.377228,105.801094,-0.011539,-0.022371,-0.030634
4,2114092863,-136.979721,-75.417496,106.103111,0.006251,0.338835,-0.035780
5,2114109530,-137.232056,-75.455017,106.353294,0.071765,0.553709,-0.074395
6,2114126197,-137.458084,-75.493805,106.517235,0.047510,0.475180,0.045088
7,2114142864,-137.572418,-75.535408,106.617134,-0.110249,-0.419584,0.152189
8,2114159531,-137.544159,-75.579430,106.731644,-0.134994,-0.868440,0.078841
9,2114176198,-137.363525,-75.623741,106.873703,-0.171383,-0.652470,0.027531
10,2114192865,-137.051971,-75.662415,107.043030,-0.317757,-0.499979,-0.008634
11,2114209532,-136.618805,-75.710411,107.210838,-0.265390,-0.527467,0.024493
12,2114226199,-136.058792,-75.788979,107.286942,-0.098560,0.088895,-0.034093
13,2114242866,-135.762222,-75.880913,107.374794,0.434693,0.776789,-0.178735
14,2114259533,-135.659897,-75.976372,107.463783,-0.080357,0.844247,-0.058440
15,2114276200,-135.565292,-76.083038,107.467766,-0.197270,0.160707,0.049581
16,2114292867,-135.386032,-76.194588,107.412857,-0.111122,0.053983,0.055015
17,2114309534,-135.121780,-76.311180,107.278053,0.012607,0.342292,-0.037642
18,2114326201,-134.886963,-76.418068,107.120926,0.207049,0.373983,-0.073936
19,2114342868,-134.718567,-76.502136,106.975731,0.096347,0.315519,-0.058220
20,2114359535,-134.646729,-76.558174,106.864250,0.106669,0.335701,-0.077335
21,2114376202,-134.776474,-76.561783,106.892715,0.164991,0.290269,-0.123781
22,2114392869,-134.946045,-76.545029,106.932892,-0.045089,0.212487,-0.046474
23,2114409536,-135.095200,-76.531433,106.936569,-0.104779,0.061560,0.011841
24,2114426203,-135.243195,-76.525124,106.929993,-0.104155,-0.076982,-0.025485
25,2114442870,-135.447449,-76.520943,106.956131,-0.054160,-0.131059,-0.034306
26,2114459537,-135.714890,-76.519585,107.027466,-0.014687,-0.212019,-0.021228
27,2114476204,-135.969849,-76.529419,107.114441,-0.173654,-0.533885,0.041753
28,2114492871,-136.198807,-76.548286,107.241341,-0.131385,-0.588679,0.024737
