sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_18:08:17_201 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2114059529,107.347794,-87.473618,-42.888943,0.461714,0.434172,-0.050656
2,2114076196,107.638680,-87.508171,-43.072170,0.253583,0.651818,0.018343
3,2114092863,107.654396,-87.542419,-42.973301,0.177258,0.697471,0.093364
4,2114109530,107.652382,-87.555283,-42.886280,0.099839,0.298555,0.021399
5,2114126197,107.310623,-87.552231,-42.423450,0.253854,0.480329,0.109984
6,2114142864,106.497116,-87.539474,-41.413849,0.519029,0.512977,0.139850
7,2114159531,105.393646,-87.528366,-40.084187,0.405853,0.427379,0.083636
8,2114176198,104.092781,-87.520149,-38.533047,0.388540,0.323915,-0.031329
9,2114192865,102.536247,-87.509590,-36.692268,0.523317,0.278095,-0.050212
10,2114209532,100.622078,-87.504723,-34.450882,0.438261,0.157018,0.047331
11,2114226199,98.458664,-87.516830,-31.958223,0.045933,0.007702,0.040975
12,2114242866,96.817810,-87.528290,-30.076500,-0.305887,-0.152470,-0.060230
13,2114259533,95.606644,-87.537247,-28.696686,-0.321697,0.187660,0.087435
14,2114276200,94.438683,-87.545692,-27.386185,-0.171104,0.363632,0.112291
15,2114292867,93.528046,-87.557358,-26.395754,-0.193274,0.227759,0.095497
16,2114309534,92.791176,-87.572708,-25.620480,-0.253706,0.210319,-0.024508
17,2114326201,92.021149,-87.575050,-24.849382,-0.241124,0.193750,-0.038377
18,2114342868,91.131668,-87.558243,-23.987356,-0.203314,0.214113,-0.003523
19,2114359535,90.319427,-87.529549,-23.222532,-0.113374,0.207836,0.026785
20,2114376202,89.964577,-87.490410,-22.956400,-0.034317,0.129912,0.004070
21,2114392869,89.693611,-87.443039,-22.796509,0.070454,0.174139,0.036018
22,2114409536,89.394875,-87.388657,-22.603323,0.193994,0.198683,0.047569
23,2114426203,89.088318,-87.336555,-22.404863,0.279215,0.176875,0.008376
24,2114442870,88.800591,-87.292389,-22.225426,0.325813,0.192310,0.027255
25,2114459537,88.621719,-87.250282,-22.143099,0.566097,0.228633,0.036662
26,2114476204,88.491119,-87.213715,-22.074837,0.741109,0.220534,0.076270
27,2114492871,88.346725,-87.195374,-21.961548,0.593922,0.212813,0.082099
28,2114509538,88.175652,-87.186798,-21.803955,0.399337,0.193388,0.025067
29,2114526205,88.024979,-87.174583,-21.655237,0.352606,0.220975,0.020689
30,2114542872,87.876350,-87.157516,-21.480217,0.380181,0.293745,0.064898
31,2114559539,87.826424,-87.136864,-21.383522,0.273456,0.286007,0.112237
32,2114576206,87.829552,-87.110321,-21.320154,0.128723,0.312891,0.069956
33,2114592873,87.908646,-87.079323,-21.351068,-0.028094,0.279849,0.058160
34,2114609540,87.857025,-87.056892,-21.281342,-0.081108,0.407270,-0.002592
35,2114626207,87.631264,-87.051643,-21.044321,-0.000224,0.384272,0.072136
36,2114642874,87.264664,-87.049652,-20.666454,0.276155,0.352840,0.099848
37,2114659541,86.980408,-87.045547,-20.336115,0.505977,0.255256,0.091190
