sep=,
DeviceTag:,4-Pe
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_18:10:22_344 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2239212032,-11.629180,17.909384,-29.483646,0.027425,0.056756,-0.440502
2,2239228699,-11.620181,17.904457,-29.485432,0.032082,0.070882,-0.439739
3,2239245366,-11.613718,17.900026,-29.485069,0.031442,0.049226,-0.427824
4,2239262033,-11.607611,17.894966,-29.479246,0.032201,0.048491,-0.431513
5,2239278700,-11.602808,17.892214,-29.476706,0.024102,0.069573,-0.441928
6,2239295367,-11.597578,17.893536,-29.471928,0.015140,0.055982,-0.452967
7,2239312034,-11.592524,17.897221,-29.466246,0.026035,0.051623,-0.434181
8,2239328701,-11.588070,17.899691,-29.461109,0.019414,0.048487,-0.446239
9,2239345368,-11.583320,17.900219,-29.460690,0.034992,0.046537,-0.425355
10,2239362035,-11.579862,17.901365,-29.460335,0.037716,0.022678,-0.437100
11,2239378702,-11.578500,17.904200,-29.465750,0.048866,0.040373,-0.430410
12,2239395369,-11.574613,17.904194,-29.469839,0.050263,0.061260,-0.427313
13,2239412036,-11.568102,17.903452,-29.478476,0.049652,0.050599,-0.447651
14,2239428703,-11.560218,17.900343,-29.472483,0.015820,0.056723,-0.468812
15,2239445370,-11.556065,17.898165,-29.469858,0.040135,0.032659,-0.450428
16,2239462037,-11.554634,17.899977,-29.472057,0.025046,0.047192,-0.434119
17,2239478704,-11.552777,17.901266,-29.475124,0.057185,0.054485,-0.450053
18,2239495371,-11.552018,17.900656,-29.470436,0.035829,0.065367,-0.439651
19,2239512038,-11.549754,17.900026,-29.467007,0.026500,0.043778,-0.449584
20,2239528705,-11.547905,17.898977,-29.462841,0.034925,0.056289,-0.438256
