sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_18:10:22_370 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2239228699,1.183794,-1.785964,-127.524376,-0.098740,0.159400,0.375725
2,2239245366,1.188809,-1.787397,-127.523148,-0.098621,0.151772,0.372566
3,2239262033,1.192442,-1.787313,-127.524277,-0.102806,0.184932,0.350885
4,2239278700,1.194652,-1.789327,-127.523376,-0.112801,0.202905,0.370813
5,2239295367,1.195389,-1.789265,-127.523552,-0.149069,0.252798,0.341456
6,2239312034,1.198289,-1.789342,-127.523392,-0.135313,0.193800,0.356506
7,2239328701,1.202033,-1.790345,-127.525230,-0.086329,0.167343,0.346084
8,2239345368,1.205740,-1.789968,-127.524712,-0.004870,0.058835,0.352268
9,2239362035,1.207507,-1.789468,-127.524773,0.049428,-0.084951,0.370254
10,2239378702,1.208552,-1.787607,-127.525002,0.103474,-0.150137,0.369939
11,2239395369,1.207516,-1.788441,-127.524910,0.097141,-0.159617,0.342395
12,2239412036,1.206260,-1.789547,-127.526993,0.103693,-0.161611,0.352919
13,2239428703,1.212377,-1.791779,-127.527214,0.050723,-0.150266,0.344256
14,2239445370,1.226545,-1.791303,-127.529472,0.069254,-0.140818,0.368180
15,2239462037,1.240551,-1.788925,-127.528473,0.152318,-0.188970,0.362910
16,2239478704,1.247389,-1.789257,-127.529167,0.135059,-0.236312,0.361564
17,2239495371,1.252014,-1.790096,-127.530373,0.134840,-0.209735,0.348927
18,2239512038,1.252908,-1.790981,-127.531029,0.118509,-0.156477,0.387313
19,2239528705,1.251220,-1.792735,-127.530510,0.017534,-0.049970,0.346529
20,2239545372,1.251043,-1.795277,-127.531654,-0.024750,0.034233,0.364983
21,2239562039,1.252701,-1.796866,-127.529785,-0.051940,0.096442,0.365335
22,2239578706,1.254065,-1.796594,-127.531639,-0.075556,0.141478,0.373400
23,2239595373,1.252612,-1.796767,-127.532608,-0.096157,0.179676,0.353228
24,2239612040,1.248066,-1.797033,-127.532845,-0.107598,0.218492,0.383443
25,2239628707,1.239043,-1.798892,-127.533005,-0.143014,0.242344,0.356892
26,2239645374,1.231233,-1.800472,-127.533333,-0.182850,0.301791,0.340478
27,2239662041,1.227600,-1.801570,-127.532555,-0.215980,0.385701,0.338306
28,2239678708,1.224567,-1.800009,-127.532730,-0.186633,0.348297,0.375158
29,2239695375,1.220557,-1.799781,-127.532471,-0.182790,0.310299,0.357991
30,2239712042,1.215779,-1.800752,-127.532967,-0.162966,0.310775,0.372675
31,2239728709,1.207051,-1.798854,-127.532951,-0.151111,0.279205,0.349146
32,2239745376,1.195248,-1.799496,-127.534416,-0.160698,0.289410,0.346061
33,2239762043,1.184031,-1.800539,-127.537239,-0.180817,0.326275,0.348539
34,2239778710,1.175593,-1.802044,-127.540604,-0.202644,0.317124,0.334274
35,2239795377,1.172477,-1.801456,-127.542282,-0.196819,0.287546,0.325700
36,2239812044,1.171537,-1.800298,-127.542297,-0.110560,0.234356,0.394314
37,2239828711,1.167956,-1.798911,-127.543266,-0.065591,0.155404,0.361334
38,2239845378,1.160010,-1.799391,-127.542145,-0.093948,0.133794,0.363507
39,2239862045,1.154663,-1.801334,-127.544838,-0.126066,0.228275,0.311326
40,2239878712,1.152921,-1.803730,-127.546532,-0.121431,0.272129,0.358998
