sep=,
DeviceTag:,5-Skate
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_18:13:08_699 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2405565359,-0.297493,-2.165091,54.157166,-0.183364,0.165429,0.364812
2,2405582026,-0.317920,-2.163475,54.147102,-0.078465,0.127381,0.337041
3,2405598693,-0.334380,-2.166884,54.140881,-0.010857,-0.010527,0.354835
4,2405615360,-0.354930,-2.163254,54.137836,-0.002191,-0.113029,0.360742
5,2405632027,-0.378022,-2.161591,54.134651,-0.061228,-0.012407,0.399776
6,2405648694,-0.396869,-2.159670,54.130692,-0.064517,0.022950,0.361982
7,2405665361,-0.415880,-2.157690,54.127151,-0.093550,0.052887,0.379878
8,2405682028,-0.433032,-2.153413,54.121773,-0.128706,0.122356,0.392140
9,2405698695,-0.445804,-2.149801,54.115181,-0.093670,0.158097,0.333159
10,2405715362,-0.457351,-2.147656,54.106735,-0.100639,0.161510,0.435739
11,2405732029,-0.458497,-2.140787,54.094662,-0.090223,0.148173,0.302447
12,2405748696,-0.449684,-2.136291,54.085003,-0.199756,0.261187,0.383725
13,2405765363,-0.443636,-2.131159,54.076290,-0.167853,0.318458,0.256564
14,2405782030,-0.434796,-2.130371,54.070694,-0.246553,0.413194,0.385527
15,2405798697,-0.432926,-2.121703,54.063869,-0.324055,0.297749,0.316815
16,2405815364,-0.447620,-2.125821,54.064674,-0.326297,0.430449,0.388003
17,2405832031,-0.476908,-2.109814,54.065903,-0.391997,0.494191,0.267745
18,2405848698,-0.493589,-2.112314,54.068638,-0.235072,0.553747,0.373627
19,2405865365,-0.502876,-2.118386,54.068977,-0.295314,0.450212,0.391073
20,2405882032,-0.531410,-2.114428,54.070911,-0.507117,0.563741,0.354907
21,2405898699,-0.593868,-2.108399,54.081024,-0.569712,0.597567,0.380087
22,2405915366,-0.672354,-2.107510,54.097057,-0.341757,0.504259,0.407970
23,2405932033,-0.743843,-2.104225,54.111515,-0.213933,0.396457,0.385539
24,2405948700,-0.797434,-2.102895,54.126476,-0.149904,0.359138,0.382700
25,2405965367,-0.831090,-2.105272,54.140083,-0.083124,0.235344,0.379066
26,2405982034,-0.842721,-2.108818,54.149960,0.006520,0.110530,0.378636
27,2405998701,-0.836516,-2.112659,54.161610,-0.010491,-0.004716,0.366401
28,2406015368,-0.826533,-2.116983,54.171486,-0.014476,-0.074425,0.363693
29,2406032035,-0.825359,-2.121263,54.183331,-0.066657,-0.146886,0.389759
30,2406048702,-0.827196,-2.122298,54.195358,0.030532,-0.081218,0.358234
31,2406065369,-0.819776,-2.125691,54.200253,0.125072,-0.099919,0.348273
32,2406082036,-0.799657,-2.126967,54.204205,0.081129,-0.130500,0.322590
33,2406098703,-0.785487,-2.128306,54.208607,-0.016597,-0.145278,0.345154
34,2406115370,-0.774163,-2.131783,54.214161,0.064755,-0.205844,0.369567
35,2406132037,-0.759959,-2.135125,54.215355,0.150974,-0.310010,0.389994
36,2406148704,-0.737090,-2.138462,54.216995,0.140744,-0.295109,0.378735
37,2406165371,-0.714161,-2.134723,54.218010,0.074548,-0.221217,0.311412
38,2406182038,-0.704774,-2.134661,54.219357,0.038244,-0.246180,0.321795
39,2406198705,-0.695786,-2.138379,54.222752,0.194737,-0.388703,0.371069
40,2406215372,-0.682858,-2.139883,54.222160,0.269271,-0.474359,0.363329
41,2406232039,-0.670447,-2.138306,54.221828,0.185218,-0.470493,0.310739
42,2406248706,-0.669478,-2.136298,54.221912,0.136354,-0.392418,0.342281
43,2406265373,-0.675341,-2.133392,54.222633,0.130662,-0.335605,0.347671
44,2406282040,-0.686247,-2.130486,54.222610,0.102452,-0.279309,0.325243
45,2406298707,-0.705914,-2.125947,54.223888,0.036433,-0.191022,0.322656
46,2406315374,-0.729236,-2.121201,54.226513,0.025232,-0.131507,0.382694
47,2406332041,-0.741289,-2.114055,54.227318,0.008434,0.013921,0.420129
48,2406348708,-0.745489,-2.105273,54.226360,-0.168855,0.252460,0.358612
49,2406365375,-0.754633,-2.097218,54.227432,-0.326623,0.402983,0.305507
50,2406382042,-0.779390,-2.093085,54.233624,-0.371096,0.468817,0.331523
51,2406398709,-0.804656,-2.093318,54.241318,-0.212047,0.360423,0.384902
52,2406415376,-0.817608,-2.089666,54.246868,-0.175622,0.315971,0.398926
53,2406432043,-0.826015,-2.089905,54.252491,-0.229535,0.317778,0.368127
54,2406448710,-0.835669,-2.093173,54.258358,-0.143639,0.192225,0.352339
55,2406465377,-0.841996,-2.096750,54.264397,-0.046137,0.038541,0.380111
56,2406482044,-0.844001,-2.099633,54.267540,0.053510,-0.136668,0.355696
57,2406498711,-0.845736,-2.102522,54.272575,0.053512,-0.243804,0.356864
58,2406515378,-0.853139,-2.105929,54.277164,0.130418,-0.317004,0.360878
59,2406532045,-0.855807,-2.109193,54.281109,0.234779,-0.412243,0.355620
60,2406548712,-0.845327,-2.111037,54.280323,0.292678,-0.472562,0.384021
61,2406565379,-0.825479,-2.107422,54.275562,0.163931,-0.371965,0.331113
62,2406582046,-0.810585,-2.103900,54.272587,0.015538,-0.217365,0.341095
63,2406598713,-0.804344,-2.103103,54.271175,0.045308,-0.170073,0.361593
64,2406615380,-0.792778,-2.102749,54.268803,0.061566,-0.122439,0.354869
65,2406632047,-0.770159,-2.101424,54.263920,0.047841,-0.057733,0.343225
66,2406648714,-0.744284,-2.099492,54.257214,-0.071240,0.005899,0.363267
67,2406665381,-0.724382,-2.099350,54.253220,-0.077032,0.011865,0.360363
68,2406682048,-0.707966,-2.097980,54.249386,-0.066429,0.009815,0.383396
69,2406698715,-0.687462,-2.096464,54.245781,-0.066552,0.093176,0.347799
70,2406715382,-0.670445,-2.095386,54.242382,-0.129908,0.110933,0.350995
71,2406732049,-0.660115,-2.094327,54.242428,-0.140856,0.097617,0.366973
72,2406748716,-0.655874,-2.096827,54.242088,-0.083845,0.074726,0.368569
73,2406765383,-0.648408,-2.097909,54.241074,-0.037624,0.005113,0.336123
74,2406782050,-0.641926,-2.098647,54.239136,-0.062588,-0.005780,0.351155
75,2406798717,-0.640008,-2.099415,54.239189,-0.030523,-0.040103,0.348505
76,2406815384,-0.639926,-2.101359,54.239681,0.045722,-0.114804,0.362742
77,2406832051,-0.634621,-2.102581,54.237663,0.052782,-0.177728,0.348073
78,2406848718,-0.625896,-2.103714,54.236355,0.022337,-0.161758,0.344626
79,2406865385,-0.620953,-2.104590,54.234962,0.029479,-0.176233,0.333287
80,2406882052,-0.617828,-2.104409,54.233284,0.068481,-0.175210,0.367956
81,2406898719,-0.607624,-2.103260,54.230843,0.064026,-0.118674,0.358763
82,2406915386,-0.592021,-2.102901,54.227562,-0.000982,-0.066140,0.346446
83,2406932053,-0.577236,-2.102512,54.224091,-0.042664,-0.033661,0.360747
84,2406948720,-0.563503,-2.104147,54.220715,0.000243,-0.020031,0.362999
85,2406965387,-0.545506,-2.105808,54.215923,0.023854,-0.050295,0.375730
86,2406982054,-0.521444,-2.107788,54.209141,0.024295,-0.088438,0.388429
87,2406998721,-0.494226,-2.109889,54.202557,0.023470,-0.101584,0.354943
88,2407015388,-0.465732,-2.113305,54.194599,0.019336,-0.090745,0.343364
89,2407032055,-0.436628,-2.114854,54.187260,0.016958,-0.104268,0.360752
90,2407048722,-0.408672,-2.116526,54.180038,0.019630,-0.117704,0.354737
91,2407065389,-0.381230,-2.116910,54.173378,0.008409,-0.125409,0.342840
92,2407082056,-0.359437,-2.117565,54.166821,-0.023288,-0.104170,0.380316
93,2407098723,-0.343658,-2.116277,54.161190,-0.074711,-0.046739,0.388976
94,2407115390,-0.333953,-2.114078,54.157475,-0.111348,0.102803,0.373574
95,2407132057,-0.325369,-2.111815,54.154324,-0.147001,0.230526,0.313113
96,2407148724,-0.317504,-2.113784,54.151470,-0.193866,0.276651,0.376481
97,2407165391,-0.311714,-2.112472,54.149189,-0.203326,0.264229,0.359839
98,2407182058,-0.305952,-2.111355,54.147926,-0.175719,0.228500,0.336468
