sep=,
DeviceTag:,2-Coxa
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_18:13:08_706 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2405565359,144.396713,-75.343803,-82.183205,-0.347212,-0.503082,-0.030321
2,2405582026,144.350784,-75.411865,-82.245506,-0.421359,-0.575415,-0.115280
3,2405598693,144.277786,-75.467575,-82.312210,-0.330044,-0.450399,-0.193291
4,2405615360,144.228485,-75.499893,-82.393311,-0.189986,-0.439839,-0.230128
5,2405632027,144.261520,-75.483261,-82.477562,-0.049966,-0.523981,0.005747
6,2405648694,144.165665,-75.459068,-82.425079,0.089123,-0.506324,0.104529
7,2405665361,144.078964,-75.434509,-82.355103,0.135338,-0.360103,0.169000
8,2405682028,143.949310,-75.428154,-82.240135,0.062015,-0.682731,0.162854
9,2405698695,143.758896,-75.443100,-82.124199,0.300464,-0.904264,0.024626
10,2405715362,143.554855,-75.493744,-82.054794,0.409469,-0.744125,0.151302
11,2405732029,143.397781,-75.582550,-82.066483,0.266625,-0.327661,0.140623
12,2405748696,143.286514,-75.674194,-82.153107,0.215713,0.012259,-0.026781
13,2405765363,143.225555,-75.749092,-82.291039,0.361793,-0.052805,-0.104242
14,2405782030,143.182220,-75.831360,-82.392067,0.470628,-0.241589,-0.120084
15,2405798697,143.192154,-75.903305,-82.486755,0.274150,-0.341209,-0.041784
16,2405815364,143.190781,-75.966743,-82.563881,0.040184,-0.214749,0.063595
17,2405832031,143.191101,-76.008377,-82.614471,-0.071854,-0.067020,0.053804
18,2405848698,143.185501,-76.045586,-82.663628,-0.159783,-0.125863,-0.052277
19,2405865365,143.147186,-76.086861,-82.713005,-0.170324,-0.145567,-0.162169
20,2405882032,143.104950,-76.119972,-82.778297,-0.045715,-0.081256,-0.134740
21,2405898699,143.120544,-76.143257,-82.864403,0.195831,-0.142125,-0.148936
22,2405915366,143.218292,-76.158592,-82.981728,0.354626,-0.184480,0.031384
23,2405932033,143.351974,-76.190506,-83.112877,0.345614,-0.158542,0.071472
24,2405948700,143.540863,-76.224228,-83.306694,0.091295,-0.255130,0.008707
25,2405965367,143.680756,-76.244156,-83.495033,-0.163747,-0.423593,0.025823
26,2405982034,143.697128,-76.249519,-83.619331,-0.147316,-0.405651,0.120878
27,2405998701,143.579559,-76.275261,-83.625053,0.094166,-0.265054,0.104809
28,2406015368,143.556290,-76.289833,-83.681023,0.387582,-0.003342,-0.111827
29,2406032035,143.596069,-76.291557,-83.758911,0.372165,0.059058,-0.151607
30,2406048702,143.654892,-76.282700,-83.835869,0.237737,-0.024358,-0.078840
31,2406065369,143.666458,-76.281120,-83.841125,0.054837,-0.220471,0.031596
32,2406082036,143.618942,-76.282494,-83.784027,-0.092051,-0.354296,0.011251
33,2406098703,143.529007,-76.276878,-83.692047,-0.096106,-0.373499,0.002456
34,2406115370,143.407837,-76.260246,-83.601646,0.148723,-0.223915,0.047922
35,2406132037,143.265076,-76.236771,-83.467964,0.205167,-0.153749,0.090489
