sep=,
DeviceTag:,3-Perna
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Euler)
StartTime: ,2025-05-07_18:13:08_690 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2405565359,-128.944336,-77.699707,84.276421,-0.220412,0.458630,-0.022081
2,2405582026,-128.122040,-77.691498,83.371826,0.004538,0.765432,-0.058354
3,2405598693,-127.276604,-77.672028,82.411797,0.121597,0.667396,-0.100322
4,2405615360,-126.602943,-77.607689,81.593758,-0.021726,0.209716,-0.158680
5,2405632027,-125.948372,-77.523598,80.866798,-0.374791,0.168507,-0.027486
6,2405648694,-125.236496,-77.438606,80.161125,-0.611886,0.488804,0.242317
7,2405665361,-124.490555,-77.353416,79.401253,-0.464253,0.814161,0.138851
8,2405682028,-123.798714,-77.282967,78.647820,-0.687029,0.430112,0.016862
9,2405698695,-123.194542,-77.222046,78.014847,-0.921336,-0.238190,-0.094290
10,2405715362,-122.703079,-77.180946,77.551598,-0.526493,-0.178823,0.123449
11,2405732029,-122.261101,-77.158920,77.087685,0.156746,0.359008,0.187350
12,2405748696,-121.877457,-77.151443,76.583214,0.225166,0.227969,-0.019887
13,2405765363,-121.541428,-77.151962,76.116112,-0.184526,-0.340575,0.033216
14,2405782030,-121.234436,-77.163071,75.754547,-0.352674,-0.248222,-0.061503
15,2405798697,-120.971138,-77.174744,75.483971,-0.124432,0.127466,0.014001
16,2405815364,-120.882401,-77.163010,75.345871,0.095760,0.252165,-0.008913
17,2405832031,-120.802536,-77.141472,75.224266,-0.021276,0.107522,0.056414
18,2405848698,-120.733345,-77.117378,75.136604,-0.109025,0.195747,-0.065076
19,2405865365,-120.792870,-77.077171,75.124115,0.344059,0.381235,-0.135694
20,2405882032,-121.025940,-77.011345,75.206863,0.151173,0.042114,0.005460
21,2405898699,-121.118820,-76.965431,75.212112,0.026072,-0.329566,-0.029744
22,2405915366,-121.187286,-76.942528,75.252014,-0.331731,-0.059954,0.068635
23,2405932033,-121.205437,-76.934143,75.279915,-0.376433,0.329073,0.165727
24,2405948700,-121.204369,-76.936218,75.284012,-0.164120,0.619040,-0.033398
25,2405965367,-121.216064,-76.944115,75.279861,-0.249581,0.440221,0.003832
26,2405982034,-121.175301,-76.955383,75.250404,-0.262516,0.217281,0.198013
27,2405998701,-121.040680,-76.979813,75.165085,0.021892,0.376200,0.243259
28,2406015368,-120.931450,-77.005013,75.057144,0.201050,0.308439,-0.043975
29,2406032035,-120.870018,-77.017456,74.980049,-0.026914,-0.023504,-0.074399
30,2406048702,-120.857315,-77.025696,74.992729,-0.144443,0.096699,-0.016004
31,2406065369,-120.846169,-77.036156,75.017349,-0.060201,0.523691,0.068556
32,2406082036,-120.835693,-77.046600,75.008621,-0.037571,0.374150,-0.010705
33,2406098703,-120.850990,-77.049194,75.035164,-0.239361,0.045873,0.034046
34,2406115370,-120.898560,-77.045761,75.124619,-0.150699,0.264049,0.031925
35,2406132037,-120.929047,-77.047867,75.175034,0.026719,0.536429,0.190195
36,2406148704,-120.922493,-77.050133,75.179924,-0.135050,0.239905,0.041685
37,2406165371,-120.989357,-77.045456,75.287338,-0.347660,-0.269658,-0.056638
38,2406182038,-121.153923,-77.048538,75.504631,-0.331265,-0.110989,0.034762
39,2406198705,-121.295036,-77.072830,75.719818,-0.210227,0.193528,0.101824
40,2406215372,-121.419525,-77.110107,75.944557,-0.183291,0.081700,0.028296
41,2406232039,-121.651955,-77.147369,76.242706,0.146315,0.057880,-0.039941
42,2406248706,-121.974297,-77.170769,76.604912,0.037264,-0.022928,-0.019989
43,2406265373,-122.266983,-77.195297,76.986778,0.113365,0.194873,0.034104
44,2406282040,-122.561432,-77.221748,77.346237,0.310249,0.340017,0.039316
45,2406298707,-122.907616,-77.235329,77.706627,0.119743,0.145053,0.010078
46,2406315374,-123.208488,-77.248039,78.025719,0.159374,0.254965,0.029535
47,2406332041,-123.437027,-77.264420,78.261574,0.211065,0.678848,0.065352
48,2406348708,-123.573914,-77.274139,78.392883,0.142541,0.669760,0.075903
49,2406365375,-123.710899,-77.274727,78.510002,0.007849,0.301424,-0.034941
50,2406382042,-123.847878,-77.260399,78.661621,-0.081923,0.148668,0.004807
51,2406398709,-123.965942,-77.244812,78.806549,-0.086382,0.332847,0.109468
52,2406415376,-124.052017,-77.235390,78.909599,-0.129677,0.278611,-0.024654
53,2406432043,-124.156555,-77.229767,79.041428,-0.154572,0.041821,-0.092916
54,2406448710,-124.288185,-77.230942,79.210838,-0.024585,0.227509,0.001652
55,2406465377,-124.395767,-77.236023,79.349106,0.023580,0.368531,0.082886
56,2406482044,-124.517204,-77.244698,79.481895,0.024612,0.183676,-0.031689
57,2406498711,-124.681427,-77.254326,79.664169,-0.147125,-0.082867,-0.079934
58,2406515378,-124.854340,-77.269424,79.883148,-0.152848,0.121315,-0.028137
59,2406532045,-125.016945,-77.284920,80.104317,-0.101005,0.341319,0.082211
60,2406548712,-125.154915,-77.299896,80.291496,-0.074429,0.396313,0.122940
61,2406565379,-125.308739,-77.314087,80.472191,-0.083469,0.146119,-0.044491
62,2406582046,-125.520508,-77.317154,80.727028,-0.077905,0.006481,-0.057024
63,2406598713,-125.790199,-77.317825,81.040031,-0.019475,0.151335,0.037225
64,2406615380,-126.072845,-77.323875,81.337677,-0.147819,0.358106,0.147676
65,2406632047,-126.314293,-77.345955,81.567810,-0.179052,0.225134,0.088890
66,2406648714,-126.541977,-77.371101,81.805740,-0.139121,-0.031780,0.033311
67,2406665381,-126.799446,-77.401550,82.097916,-0.098592,0.057761,0.080057
68,2406682048,-127.061462,-77.437172,82.363228,-0.021093,0.370133,0.102554
69,2406698715,-127.327927,-77.478172,82.590233,-0.011590,0.327542,0.076082
70,2406715382,-127.820656,-77.485321,83.010612,-0.004709,-0.327324,-0.098317
71,2406732049,-128.388809,-77.470406,83.575920,-0.041949,-0.345693,-0.060932
72,2406748716,-128.897903,-77.463486,84.128288,0.205310,0.380344,0.040771
73,2406765383,-129.336777,-77.465652,84.574821,0.235255,0.585719,-0.050429
74,2406782050,-129.730026,-77.462692,84.986855,-0.107513,-0.001101,-0.125940
